"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.088,0.067
"P24","Patricia Bullrich por Juntos por el Cambio",0.01,0.542,0.049
"P24","María Eugenia Vidal por Juntos por el Cambio",0.003,0.076,0.023
"P24","Facundo Manes por Juntos por el Cambio",0.022,0.046,0.073
"P24","Sergio Massa por el Frente de Todos",0.242,0.002,0.165
"P24","Wado de Pedro por el Frente de Todos",0.5,0.007,0.039
"P24","Alberto Fernández por el Frente de Todos",0.123,0.004,0.086
"P24","Javier Milei por los liberales libertarios",0.022,0.222,0.281
"P24","Al candidato del Frente de Izquierda",0.018,0.001,0.044
"P24","No sabe",0.053,0.012,0.173
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.104,0.082
"P25","Patricia Bullrich por Juntos por el Cambio",0.001,0.467,0.025
"P25","Facundo Manes por Juntos por el Cambio",0.015,0.141,0.072
"P25","Sergio Massa por el Frente de Todos",0.19,0.007,0.146
"P25","Wado de Pedro por el Frente de Todos",0.446,0.015,0.038
"P25","Daniel Scioli por el Frente de Todos",0.259,0.005,0.117
"P25","Javier Milei por los liberales libertario",0.028,0.14,0.22
"P25","Al candidato del Frente de Izquierda",0.018,0.102,0.165
"P25","No sabe",0.036,0.019,0.135
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.141,0.083
"P26","Patricia Bulrich por Juntos por el Cambio",0.025,0.562,0.065
"P26","Alberto Fernández por el Frente de Todos",0.166,0.008,0.105
"P26","Sergio Massa por el Frente de Todos",0.532,0.01,0.157
"P26","Javier Milei por los liberales libertarios",0.037,0.227,0.298
"P26","Al candidato del Frente de Izquierda",0.092,0.013,0.06
"P26","No sabe",0.141,0.039,0.232
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.137,0.096
"P27","Patricia Bullrich por Juntos por el Cambio",0.017,0.577,0.051
"P27","Wado de Pedro por el Frente de Todos",0.474,0.01,0.06
"P27","Sergio Massa por el Frente de Todos",0.343,0.009,0.19
"P27","Javier Milei por los liberales libertarios",0.036,0.245,0.297
"P27","Al candidato del Frente de Izquierda",0.051,0.01,0.066
"P27","No sabe",0.064,0.012,0.24
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.136,0.105
"P28","Patricia Bullrich por Juntos por el Cambio",0.007,0.575,0.058
"P28","Wado de Pedro por el Frente de Todos",0.52,0.007,0.031
"P28","Daniel Scioli por el Frente de Todos",0.323,0.006,0.171
"P28","Javier Milei por los liberales libertarios",0.047,0.251,0.299
"P28","Al candidato del Frente de Izquierda",0.035,0.009,0.082
"P28","No sabe",0.059,0.016,0.254
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.01,0.201,0.109
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.014,0.493,0.038
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.281,0.016,0.176
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.55,0.006,0.044
"P29","Javier Milei presidente y su candidato a vice",0.029,0.249,0.303
"P29","A los candidatos de la izquierda",0.042,0.007,0.064
"P29","No sabe",0.074,0.028,0.266
"P30","Alberto Fernández por el Frente de Todos",0.66,0.023,0.167
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.397,0.118
"P30","Javier Milei por los liberales libertarios",0.045,0.413,0.291
"P30","Al candidato del Frente de Izquierda",0.079,0.012,0.084
"P30","No sabe",0.191,0.155,0.34
"P31","Sergio Massa por el Frente de Todos",0.73,0.01,0.192
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.438,0.113
"P31","Javier Milei por los liberales libertarios",0.028,0.417,0.297
"P31","Al candidato del Frente de Izquierda",0.073,0.017,0.075
"P31","No sabe",0.154,0.118,0.323
"P32","Wado de Pedro por el Frente de Todos",0.873,0.005,0.057
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.45,0.141
"P32","Javier Milei por los liberales libertarios",0.03,0.414,0.294
"P32","Al candidato del Frente de Izquierda",0.027,0.014,0.079
"P32","No sabe",0.057,0.117,0.429
"P33","Daniel Scioli por el Frente de Todos",0.786,0.011,0.185
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.471,0.105
"P33","Javier Milei por los liberales libertarios",0.032,0.402,0.302
"P33","Al candidato del Frente de Izquierda",0.054,0.016,0.077
"P33","No sabe",0.106,0.1,0.331
"P34","Sergio Massa por el Frente de Todos",0.765,0.016,0.19
"P34","Patricia Bullrich por Juntos por el Cambio",0.014,0.696,0.056
"P34","Javier Milei por los liberales libertarios",0.021,0.26,0.311
"P34","Al candidato del Frente de Izquierda",0.068,0.008,0.079
"P34","No sabe",0.132,0.02,0.364
"P35","Alberto Fernández por el Frente de Todos",0.694,0.01,0.209
"P35","Patricia Bullrich por Juntos por el Cambio",0.009,0.714,0.052
"P35","Javier Milei por los liberales libertarios",0.046,0.248,0.306
"P35","Al candidato del Frente de Izquierda",0.104,0.008,0.083
"P35","No sabe",0.147,0.02,0.35
"P36","Wado de Pedro por el Frente de Todos",0.84,0.008,0.037
"P36","Patricia Bullrich por Juntos por el Cambio",0.009,0.728,0.063
"P36","Javier Milei por los liberales libertarios",0.04,0.238,0.317
"P36","Al candidato del Frente de Izquierda",0.042,0.014,0.098
"P36","No sabe",0.069,0.012,0.485
"P37","Daniel Scioli por el Frente de Todos",0.794,0.009,0.186
"P37","Patricia Bullrich por Juntos por el Cambio",0.009,0.725,0.053
"P37","Javier Milei por los liberales libertarios",0.037,0.245,0.303
"P37","Al candidato del Frente de Izquierda",0.051,0.008,0.083
"P37","No sabe",0.109,0.013,0.375
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.127,0.384,0.1
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.563,0.09,0.218
"P38","Javier Milei presidente y su candidato a vice",0.048,0.385,0.287
"P38","A los candidatos de la izquierda",0.089,0.013,0.072
"P38","No sabe",0.173,0.128,0.323
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.015,0.644,0.041
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.67,0.038,0.181
"P39","Javier Milei presidente y su candidato a vice",0.031,0.264,0.309
"P39","A los candidatos de la izquierda",0.093,0.01,0.075
"P39","No sabe",0.191,0.044,0.394
"P40","Sergio Massa por el Frente de Todos",0.833,0.045,0.268
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.711,0.112
"P40","No sabe",0.143,0.244,0.62
"P41","Alberto Fernández por el Frente de Todos",0.76,0.039,0.21
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.042,0.744,0.133
"P41","No sabe",0.198,0.217,0.657
"P42","Sergio Massa por el Frente de Todos",0.854,0.019,0.27
"P42","Patricia Bullrich por Juntos por el Cambio",0.03,0.948,0.064
"P42","No sabe",0.116,0.033,0.666
"P43","Alberto Fernández por el Frente de Todos",0.816,0.016,0.218
"P43","Patricia Bullrich por Juntos por el Cambio",0.026,0.964,0.056
"P43","No sabe",0.158,0.02,0.726
"P44","Wado de Pedro por el Frente de Todos",0.919,0.02,0.062
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.773,0.147
"P44","No sabe",0.046,0.207,0.791
"P45","Daniel Scioli por el Frente de Todos",0.874,0.023,0.175
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.765,0.118
"P45","No sabe",0.097,0.212,0.707
"P47","Daniel Scioli por el Frente de Todos",0.883,0.008,0.22
"P47","Patricia Bullrich por Juntos por el Cambio",0.009,0.981,0.068
"P47","No sabe",0.108,0.011,0.712
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.194,0.431,0.131
"P48","Javier Milei por los liberales libertarios",0.066,0.486,0.281
"P48","No sabe",0.74,0.083,0.588
"P49","Patricia Bullrich por Juntos por el Cambio",0.052,0.676,0.068
"P49","Javier Milei por los liberales libertarios",0.081,0.291,0.311
"P49","No sabe",0.867,0.033,0.621
"P50","Alberto Fernández por el Frente de Todos",0.719,0.123,0.18
"P50","Javier Milei por los liberales libertarios",0.063,0.613,0.336
"P50","No sabe",0.218,0.264,0.484
"P51","Sergio Massa por el Frente de Todos",0.834,0.031,0.245
"P51","Javier Milei por los liberales libertarios",0.029,0.699,0.343
"P51","No sabe",0.137,0.27,0.412
"P52","Muy buena",0.153,0.006,0.071
"P52","Buena",0.251,0.088,0.131
