"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P24","Wado de Pedro por el Frente de Todos",0.375,0.012,0.144
"P24","Alberto Fernández por el Frente de Todos",0.178,0.006,0.025
"P24","Javier Milei por los liberales libertarios",0.032,0.159,0.324
"P24","Al candidato del Frente de Izquierda",0.022,0.001,0.031
"P24","No sabe",0.064,0.019,0.11
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.152,0.028
"P25","Patricia Bullrich por Juntos por el Cambio",0.03,0.426,0.152
"P25","Facundo Manes por Juntos por el Cambio",0.008,0.151,0.086
"P25","Sergio Massa por el Frente de Todos",0.231,0.019,0.063
"P25","Wado de Pedro por el Frente de Todos",0.377,0.014,0.103
"P25","Daniel Scioli por el Frente de Todos",0.218,0.019,0.107
"P25","Javier Milei por los liberales libertario",0.044,0.131,0.182
"P25","Al candidato del Frente de Izquierda",0.028,0.064,0.185
"P25","No sabe",0.051,0.024,0.094
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.217,0.011
"P26","Patricia Bulrich por Juntos por el Cambio",0.049,0.533,0.192
"P26","Alberto Fernández por el Frente de Todos",0.235,0.008,0.026
"P26","Sergio Massa por el Frente de Todos",0.519,0.024,0.122
"P26","Javier Milei por los liberales libertarios",0.045,0.161,0.35
"P26","Al candidato del Frente de Izquierda",0.056,0.016,0.076
"P26","No sabe",0.089,0.041,0.223
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.22,0.008
"P27","Patricia Bullrich por Juntos por el Cambio",0.043,0.55,0.187
"P27","Wado de Pedro por el Frente de Todos",0.411,0.007,0.115
"P27","Sergio Massa por el Frente de Todos",0.37,0.022,0.106
"P27","Javier Milei por los liberales libertarios",0.047,0.165,0.364
"P27","Al candidato del Frente de Izquierda",0.048,0.011,0.052
"P27","No sabe",0.063,0.025,0.168
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.22,0.005
"P28","Patricia Bullrich por Juntos por el Cambio",0.045,0.544,0.192
"P28","Wado de Pedro por el Frente de Todos",0.429,0.013,0.105
"P28","Daniel Scioli por el Frente de Todos",0.324,0.014,0.116
"P28","Javier Milei por los liberales libertarios",0.053,0.168,0.373
"P28","Al candidato del Frente de Izquierda",0.038,0.01,0.059
"P28","No sabe",0.093,0.031,0.15
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.016,0.28,0.042
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.043,0.464,0.147
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.316,0.039,0.076
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.46,0.012,0.116
"P29","Javier Milei presidente y su candidato a vice",0.041,0.172,0.374
"P29","A los candidatos de la izquierda",0.036,0.008,0.053
"P29","No sabe",0.088,0.025,0.192
"P30","Alberto Fernández por el Frente de Todos",0.751,0.031,0.048
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.525,0.039
"P30","Javier Milei por los liberales libertarios",0.062,0.305,0.428
"P30","Al candidato del Frente de Izquierda",0.055,0.016,0.083
"P30","No sabe",0.11,0.123,0.402
"P31","Sergio Massa por el Frente de Todos",0.733,0.027,0.132
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.567,0.025
"P31","Javier Milei por los liberales libertarios",0.051,0.305,0.434
"P31","Al candidato del Frente de Izquierda",0.058,0.017,0.07
"P31","No sabe",0.136,0.084,0.339
"P32","Wado de Pedro por el Frente de Todos",0.736,0.024,0.154
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.589,0.026
"P32","Javier Milei por los liberales libertarios",0.057,0.302,0.428
"P32","Al candidato del Frente de Izquierda",0.038,0.013,0.049
"P32","No sabe",0.134,0.072,0.343
"P33","Daniel Scioli por el Frente de Todos",0.756,0.031,0.153
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.61,0.022
"P33","Javier Milei por los liberales libertarios",0.051,0.294,0.433
"P33","Al candidato del Frente de Izquierda",0.045,0.013,0.069
"P33","No sabe",0.127,0.052,0.323
"P34","Sergio Massa por el Frente de Todos",0.749,0.041,0.143
"P34","Patricia Bullrich por Juntos por el Cambio",0.052,0.688,0.181
"P34","Javier Milei por los liberales libertarios",0.028,0.191,0.366
"P34","Al candidato del Frente de Izquierda",0.043,0.015,0.072
"P34","No sabe",0.128,0.065,0.238
"P35","Alberto Fernández por el Frente de Todos",0.8,0.02,0.058
"P35","Patricia Bullrich por Juntos por el Cambio",0.038,0.711,0.189
"P35","Javier Milei por los liberales libertarios",0.042,0.193,0.353
"P35","Al candidato del Frente de Izquierda",0.055,0.018,0.097
"P35","No sabe",0.065,0.058,0.303
"P36","Wado de Pedro por el Frente de Todos",0.723,0.02,0.138
"P36","Patricia Bullrich por Juntos por el Cambio",0.045,0.71,0.205
"P36","Javier Milei por los liberales libertarios",0.041,0.192,0.352
"P36","Al candidato del Frente de Izquierda",0.04,0.025,0.064
"P36","No sabe",0.151,0.053,0.241
"P37","Daniel Scioli por el Frente de Todos",0.76,0.036,0.151
"P37","Patricia Bullrich por Juntos por el Cambio",0.043,0.701,0.208
"P37","Javier Milei por los liberales libertarios",0.036,0.195,0.347
"P37","Al candidato del Frente de Izquierda",0.04,0.017,0.062
"P37","No sabe",0.121,0.051,0.232
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.111,0.496,0.034
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.606,0.108,0.131
"P38","Javier Milei presidente y su candidato a vice",0.078,0.289,0.403
"P38","A los candidatos de la izquierda",0.066,0.019,0.081
"P38","No sabe",0.139,0.088,0.351
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.047,0.646,0.153
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.678,0.068,0.109
"P39","Javier Milei presidente y su candidato a vice",0.039,0.206,0.355
"P39","A los candidatos de la izquierda",0.073,0.017,0.068
"P39","No sabe",0.163,0.063,0.315
"P40","Sergio Massa por el Frente de Todos",0.886,0.052,0.161
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.896,0.027
"P40","No sabe",0.092,0.052,0.812
"P42","Sergio Massa por el Frente de Todos",0.88,0.036,0.164
"P42","Patricia Bullrich por Juntos por el Cambio",0.054,0.89,0.329
"P42","No sabe",0.066,0.074,0.507
"P43","Alberto Fernández por el Frente de Todos",0.917,0.029,0.078
"P43","Patricia Bullrich por Juntos por el Cambio",0.047,0.883,0.355
"P43","No sabe",0.036,0.088,0.567
"P44","Wado de Pedro por el Frente de Todos",0.795,0.021,0.173
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.051,0.938,0.077
"P44","No sabe",0.154,0.041,0.75
"P45","Daniel Scioli por el Frente de Todos",0.822,0.03,0.183
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.05,0.931,0.044
"P45","No sabe",0.128,0.039,0.773
"P46","Wado de Pedro por el Frente de Todos",0.774,0.032,0.191
"P46","Patricia Bullrich por Juntos por el Cambio",0.063,0.891,0.326
"P46","No sabe",0.163,0.077,0.483
"P47","Daniel Scioli por el Frente de Todos",0.845,0.041,0.182
"P47","Patricia Bullrich por Juntos por el Cambio",0.056,0.888,0.367
"P47","No sabe",0.099,0.071,0.451
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.197,0.557,0.043
"P48","Javier Milei por los liberales libertarios",0.089,0.396,0.417
"P48","No sabe",0.714,0.047,0.54
"P49","Patricia Bullrich por Juntos por el Cambio",0.089,0.687,0.166
"P49","Javier Milei por los liberales libertarios",0.084,0.24,0.359
"P49","No sabe",0.827,0.073,0.475
"P50","Alberto Fernández por el Frente de Todos",0.815,0.127,0.094
"P50","Javier Milei por los liberales libertarios",0.064,0.582,0.434
"P50","No sabe",0.121,0.291,0.472
"P51","Sergio Massa por el Frente de Todos",0.847,0.051,0.174
"P51","Javier Milei por los liberales libertarios",0.07,0.657,0.438
"P51","No sabe",0.083,0.292,0.388
"P52","Muy buena",0.177,0.012,0.027
"P52","Buena",0.311,0.079,0.08
"P52","Ni buena ni mala",0.339,0.063,0.18
"P52","Mala",0.117,0.082,0.146
"P52","Muy mala",0.053,0.761,0.548
"P52","No sabe",0.003,0.003,0.019
"P53","Muy buena",0.583,0.009,0.212
"P53","Buena",0.142,0.012,0.057
"P53","Ni buena ni mala",0.122,0.026,0.075
"P53","Mala",0.073,0.065,0.066
"P53","Muy mala",0.08,0.887,0.582
"P53","No sabe",0,0.001,0.008
"P54","Muy buena",0.108,0.322,0.124
"P54","Buena",0.02,0.268,0.095
"P54","Ni buena ni mala",0.031,0.179,0.135
"P54","Mala",0.117,0.08,0.161
"P54","Muy mala",0.724,0.148,0.471
"P54","No sabe",0,0.003,0.014
"P55","Muy buena",0.009,0.255,0.036
"P55","Buena",0.023,0.387,0.055
"P55","Ni buena ni mala",0.073,0.249,0.248
"P55","Mala",0.232,0.077,0.198
"P55","Muy mala",0.661,0.031,0.438
"P55","No sabe",0.002,0.001,0.025
"P56","Muy buena",0.158,0.034,0.03
"P56","Buena",0.338,0.061,0.089
"P56","Ni buena ni mala",0.296,0.111,0.209
"P56","Mala",0.1,0.148,0.14
"P56","Muy mala",0.091,0.645,0.519
"P56","No sabe",0.017,0.001,0.013
"P57","Muy buena",0.061,0.508,0.154
"P57","Buena",0.074,0.207,0.134
"P57","Ni buena ni mala",0.094,0.114,0.165
"P57","Mala",0.105,0.075,0.128
"P57","Muy mala",0.658,0.092,0.405
"P57","No sabe",0.008,0.004,0.014
"P58","Muy buena",0.032,0.202,0.312
"P58","Buena",0.011,0.23,0.104
"P58","Ni buena ni mala",0.083,0.311,0.159
"P58","Mala",0.108,0.139,0.109
"P58","Muy mala",0.74,0.107,0.289
"P58","No sabe",0.026,0.011,0.027
"P59","Muy buena",0.307,0.036,0.108
"P59","Buena",0.269,0.032,0.117
"P59","Ni buena ni mala",0.129,0.161,0.173
"P59","Mala",0.064,0.181,0.117
"P59","Muy mala",0.165,0.555,0.422
"P59","No sabe",0.066,0.035,0.063
"P60","Muy buena",0.225,0.029,0.071
"P60","Buena",0.391,0.017,0.112
"P60","Ni buena ni mala",0.267,0.079,0.183
"P60","Mala",0.05,0.169,0.153
"P60","Muy mala",0.054,0.701,0.464
"P60","No sabe",0.013,0.005,0.017
"P61","Muy buena",0.043,0.26,0.047
"P61","Buena",0.066,0.309,0.104
"P61","Ni buena ni mala",0.073,0.221,0.209
"P61","Mala",0.122,0.113,0.138
"P61","Muy mala",0.688,0.095,0.485
"P61","No sabe",0.008,0.002,0.017
"P62","Muy buena",0.026,0.13,0.066
"P62","Buena",0.092,0.262,0.11
"P62","Ni buena ni mala",0.324,0.382,0.317
"P62","Mala",0.228,0.123,0.17
"P62","Muy mala",0.277,0.089,0.27
"P62","No sabe",0.053,0.014,0.067
"P63","Siempre",0.313,0.344,0.294
"P63","Casi siempre",0.412,0.432,0.345
"P63","Casi nunca",0.189,0.157,0.232
"P63","Nunca, pero esta es una excepción",0.086,0.067,0.129
"P64","Si",0.605,0.624,0.617
"P64","No",0.395,0.376,0.383
