"var","categoria","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P30","Alberto Fernández por el Frente de Todos",0.658,0.01,0.095
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.06,0.287,0.329
"P30","Javier Milei por los liberales libertarios",0.018,0.618,0.056
"P30","Al candidato del Frente de Izquierda",0.075,0.008,0.083
"P30","No sabe",0.189,0.077,0.437
"P31","Sergio Massa por el Frente de Todos",0.763,0.008,0.044
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.298,0.386
"P31","Javier Milei por los liberales libertarios",0.014,0.624,0.038
"P31","Al candidato del Frente de Izquierda",0.065,0.008,0.087
"P31","No sabe",0.111,0.062,0.445
"P32","Wado de Pedro por el Frente de Todos",0.735,0.006,0.129
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.065,0.302,0.402
"P32","Javier Milei por los liberales libertarios",0.009,0.629,0.041
"P32","Al candidato del Frente de Izquierda",0.045,0.009,0.053
"P32","No sabe",0.146,0.054,0.375
"P33","Daniel Scioli por el Frente de Todos",0.744,0.014,0.129
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.059,0.328,0.393
"P33","Javier Milei por los liberales libertarios",0.009,0.617,0.042
"P33","Al candidato del Frente de Izquierda",0.059,0.009,0.068
"P33","No sabe",0.129,0.032,0.368
"P34","Sergio Massa por el Frente de Todos",0.789,0.012,0.053
"P34","Patricia Bullrich por Juntos por el Cambio",0.055,0.498,0.478
"P34","Javier Milei por los liberales libertarios",0.006,0.466,0.025
"P34","Al candidato del Frente de Izquierda",0.058,0.003,0.093
"P34","No sabe",0.092,0.021,0.351
"P35","Alberto Fernández por el Frente de Todos",0.721,0.002,0.068
"P35","Patricia Bullrich por Juntos por el Cambio",0.042,0.525,0.471
"P35","Javier Milei por los liberales libertarios",0.017,0.452,0.038
"P35","Al candidato del Frente de Izquierda",0.081,0.002,0.106
"P35","No sabe",0.139,0.019,0.317
"P36","Wado de Pedro por el Frente de Todos",0.732,0.005,0.103
"P36","Patricia Bullrich por Juntos por el Cambio",0.049,0.527,0.491
"P36","Javier Milei por los liberales libertarios",0.014,0.441,0.036
"P36","Al candidato del Frente de Izquierda",0.054,0.009,0.082
"P36","No sabe",0.151,0.018,0.288
"P37","Daniel Scioli por el Frente de Todos",0.759,0.013,0.132
"P37","Patricia Bullrich por Juntos por el Cambio",0.044,0.521,0.483
"P37","Javier Milei por los liberales libertarios",0.019,0.448,0.037
"P37","Al candidato del Frente de Izquierda",0.058,0.001,0.075
"P37","No sabe",0.12,0.017,0.273
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.136,0.279,0.321
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.639,0.061,0.114
"P38","Javier Milei presidente y su candidato a vice",0.017,0.594,0.044
"P38","A los candidatos de la izquierda",0.078,0.007,0.081
"P38","No sabe",0.13,0.059,0.44
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.049,0.474,0.423
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.703,0.025,0.065
"P39","Javier Milei presidente y su candidato a vice",0.009,0.473,0.035
"P39","A los candidatos de la izquierda",0.078,0.003,0.097
"P39","No sabe",0.161,0.025,0.38
"P40","Sergio Massa por el Frente de Todos",0.895,0.047,0.064
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.053,0.601,0.428
"P40","No sabe",0.052,0.352,0.508
"P41","Alberto Fernández por el Frente de Todos",0.765,0.048,0.09
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.064,0.629,0.45
"P41","No sabe",0.171,0.323,0.46
"P42","Sergio Massa por el Frente de Todos",0.913,0.033,0.055
"P42","Patricia Bullrich por Juntos por el Cambio",0.048,0.795,0.483
"P42","No sabe",0.039,0.172,0.462
"P43","Alberto Fernández por el Frente de Todos",0.811,0.026,0.091
"P43","Patricia Bullrich por Juntos por el Cambio",0.051,0.809,0.49
"P43","No sabe",0.138,0.165,0.419
"P44","Wado de Pedro por el Frente de Todos",0.785,0.029,0.129
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.067,0.643,0.471
"P44","No sabe",0.148,0.328,0.4
"P45","Daniel Scioli por el Frente de Todos",0.808,0.038,0.125
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.063,0.644,0.442
"P45","No sabe",0.129,0.318,0.433
"P46","Wado de Pedro por el Frente de Todos",0.781,0.02,0.155
"P46","Patricia Bullrich por Juntos por el Cambio",0.048,0.799,0.496
"P46","No sabe",0.171,0.181,0.349
"P47","Daniel Scioli por el Frente de Todos",0.83,0.028,0.149
"P47","Patricia Bullrich por Juntos por el Cambio",0.044,0.823,0.494
"P47","No sabe",0.126,0.149,0.357
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.245,0.284,0.38
"P48","Javier Milei por los liberales libertarios",0.032,0.658,0.096
"P48","No sabe",0.723,0.058,0.524
"P49","Patricia Bullrich por Juntos por el Cambio",0.097,0.477,0.471
"P49","Javier Milei por los liberales libertarios",0.058,0.496,0.034
"P49","No sabe",0.845,0.027,0.495
"P50","Alberto Fernández por el Frente de Todos",0.784,0.076,0.131
"P50","Javier Milei por los liberales libertarios",0.035,0.873,0.038
"P50","No sabe",0.181,0.051,0.831
"P52","Muy buena",0.177,0.005,0.022
"P52","Buena",0.254,0.123,0.052
"P52","Ni buena ni mala",0.337,0.034,0.218
"P52","Mala",0.155,0.071,0.127
"P52","Muy mala",0.073,0.763,0.563
"P52","No sabe",0.004,0.004,0.018
"P53","Muy buena",0.591,0.009,0.173
"P53","Buena",0.138,0.021,0.04
"P53","Ni buena ni mala",0.123,0.033,0.06
"P53","Mala",0.08,0.055,0.073
"P53","Muy mala",0.068,0.882,0.645
"P53","No sabe",0,0,0.009
"P54","Muy buena",0.092,0.253,0.241
"P54","Buena",0.029,0.223,0.156
"P54","Ni buena ni mala",0.041,0.196,0.104
"P54","Mala",0.116,0.111,0.123
"P54","Muy mala",0.722,0.214,0.361
"P54","No sabe",0,0.003,0.015
"P55","Muy buena",0.022,0.147,0.184
"P55","Buena",0.048,0.249,0.225
"P55","Ni buena ni mala",0.102,0.285,0.175
"P55","Mala",0.221,0.148,0.102
"P55","Muy mala",0.605,0.166,0.293
"P55","No sabe",0.002,0.005,0.021
"P56","Muy buena",0.161,0.013,0.044
"P56","Buena",0.349,0.045,0.074
"P56","Ni buena ni mala",0.327,0.116,0.16
"P56","Mala",0.089,0.138,0.174
"P56","Muy mala",0.07,0.681,0.528
"P56","No sabe",0.004,0.007,0.02
"P57","Muy buena",0.058,0.4,0.319
"P57","Buena",0.054,0.234,0.117
"P57","Ni buena ni mala",0.098,0.147,0.119
"P57","Mala",0.112,0.088,0.103
"P57","Muy mala",0.665,0.127,0.333
"P57","No sabe",0.013,0.004,0.009
"P58","Muy buena",0.015,0.398,0.055
"P58","Buena",0.008,0.269,0.048
"P58","Ni buena ni mala",0.074,0.235,0.292
"P58","Mala",0.131,0.068,0.193
"P58","Muy mala",0.745,0.025,0.375
"P58","No sabe",0.027,0.005,0.037
"P59","Muy buena",0.305,0.048,0.072
"P59","Buena",0.279,0.047,0.067
"P59","Ni buena ni mala",0.152,0.155,0.161
"P59","Mala",0.051,0.15,0.185
"P59","Muy mala",0.17,0.543,0.458
"P59","No sabe",0.043,0.057,0.057
"P60","Muy buena",0.23,0.019,0.065
"P60","Buena",0.375,0.022,0.097
"P60","Ni buena ni mala",0.304,0.077,0.138
"P60","Mala",0.049,0.162,0.177
"P60","Muy mala",0.036,0.706,0.511
"P60","No sabe",0.006,0.014,0.012
"P61","Muy buena",0.045,0.17,0.178
"P61","Buena",0.064,0.266,0.165
"P61","Ni buena ni mala",0.091,0.227,0.193
"P61","Mala",0.134,0.126,0.106
"P61","Muy mala",0.658,0.209,0.339
"P61","No sabe",0.008,0.002,0.019
"P62","Muy buena",0.044,0.096,0.1
"P62","Buena",0.106,0.221,0.15
"P62","Ni buena ni mala",0.333,0.355,0.345
"P62","Mala",0.234,0.142,0.128
"P62","Muy mala",0.238,0.158,0.216
"P62","No sabe",0.045,0.028,0.061
"P63","Siempre",0.342,0.308,0.311
"P63","Casi siempre",0.404,0.412,0.373
"P63","Casi nunca",0.182,0.175,0.221
"P63","Nunca, pero esta es una excepción",0.072,0.105,0.095
"P64","Si",0.65,0.623,0.565
"P64","No",0.35,0.377,0.435
