"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.563,0.027,0.001,0.003,0.023,0.045,0.062
"P24","Patricia Bullrich por Juntos por el Cambio",0.081,0.838,0.003,0.002,0.065,0.009,0.037
"P24","María Eugenia Vidal por Juntos por el Cambio",0.17,0.062,0.007,0.032,0.032,0.025,0.021
"P24","Facundo Manes por Juntos por el Cambio",0.094,0.033,0.006,0.029,0.013,0.051,0.105
"P24","Sergio Massa por el Frente de Todos",0.009,0.006,0.059,0.559,0.023,0.006,0.044
"P24","Wado de Pedro por el Frente de Todos",0.011,0.004,0.728,0.118,0.014,0.272,0.058
"P24","Alberto Fernández por el Frente de Todos",0.034,0.007,0.133,0.194,0.007,0.045,0.164
"P24","Javier Milei por los liberales libertarios",0.026,0.019,0.02,0.005,0.795,0.056,0.026
"P24","Al candidato del Frente de Izquierda",0,0.001,0.015,0.003,0,0.4,0.015
"P24","No sabe",0.012,0.003,0.028,0.055,0.028,0.091,0.468
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.605,0.027,0.003,0.002,0.024,0.053,0.058
"P25","Patricia Bullrich por Juntos por el Cambio",0.108,0.722,0.001,0.005,0.042,0.027,0.021
"P25","Facundo Manes por Juntos por el Cambio",0.09,0.187,0.008,0.02,0.047,0.04,0.08
"P25","Sergio Massa por el Frente de Todos",0.017,0.013,0.04,0.526,0.001,0.017,0.042
"P25","Wado de Pedro por el Frente de Todos",0.016,0.007,0.647,0.164,0.036,0.045,0.052
"P25","Daniel Scioli por el Frente de Todos",0.009,0.005,0.245,0.225,0.019,0.26,0.152
"P25","Javier Milei por los liberales libertario",0.133,0.022,0.024,0.019,0.397,0.051,0.091
"P25","Al candidato del Frente de Izquierda",0.013,0.009,0.008,0.009,0.428,0.283,0.012
"P25","No sabe",0.009,0.008,0.024,0.03,0.006,0.224,0.492
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.773,0.045,0.004,0.001,0.018,0.014,0.012
"P26","Patricia Bulrich por Juntos por el Cambio",0.09,0.901,0.017,0.052,0.027,0.007,0.023
"P26","Alberto Fernández por el Frente de Todos",0.039,0.012,0.263,0.169,0.004,0.054,0.145
"P26","Sergio Massa por el Frente de Todos",0.014,0.005,0.445,0.715,0.015,0.034,0.011
"P26","Javier Milei por los liberales libertarios",0.033,0.024,0.031,0.01,0.875,0.028,0.019
"P26","Al candidato del Frente de Izquierda",0.026,0.002,0.072,0.017,0.007,0.82,0.032
"P26","No sabe",0.025,0.011,0.168,0.036,0.054,0.043,0.758
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.826,0.027,0.002,0.049,0.027,0.008,0.029
"P28","Patricia Bullrich por Juntos por el Cambio",0.083,0.926,0.001,0.018,0.027,0.013,0.016
"P28","Wado de Pedro por el Frente de Todos",0.026,0.007,0.775,0.213,0.001,0.137,0.037
"P28","Daniel Scioli por el Frente de Todos",0.021,0.002,0.184,0.5,0.002,0.059,0.164
"P28","Javier Milei por los liberales libertarios",0.011,0.024,0.007,0.03,0.933,0.004,0.032
"P28","Al candidato del Frente de Izquierda",0.002,0.001,0.006,0.017,0.003,0.733,0.039
"P28","No sabe",0.031,0.013,0.025,0.173,0.007,0.046,0.683
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.716,0.169,0.008,0.008,0.025,0.026,0.058
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.158,0.746,0.011,0.024,0.03,0.008,0.012
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.027,0.01,0.134,0.601,0.014,0.003,0.094
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.054,0.006,0.744,0.238,0.014,0.137,0.078
"P29","Javier Milei presidente y su candidato a vice",0.002,0.029,0.01,0.03,0.89,0.079,0.063
"P29","A los candidatos de la izquierda",0,0.002,0.014,0.008,0.005,0.681,0.031
"P29","No sabe",0.043,0.038,0.079,0.091,0.022,0.066,0.664
"P30","Alberto Fernández por el Frente de Todos",0.068,0.029,0.649,0.656,0.017,0.188,0.198
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.852,0.433,0.024,0.055,0.032,0.028,0.05
"P30","Javier Milei por los liberales libertarios",0.018,0.278,0.029,0.04,0.859,0.048,0.041
"P30","Al candidato del Frente de Izquierda",0.03,0.013,0.085,0.044,0.012,0.662,0.032
"P30","No sabe",0.032,0.247,0.213,0.205,0.08,0.074,0.679
"P31","Sergio Massa por el Frente de Todos",0.021,0.009,0.661,0.833,0.045,0.174,0.126
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.911,0.483,0.022,0.039,0.016,0.034,0.055
"P31","Javier Milei por los liberales libertarios",0.027,0.285,0.03,0.013,0.877,0.054,0.051
"P31","Al candidato del Frente de Izquierda",0.033,0.015,0.077,0.026,0.004,0.646,0.027
"P31","No sabe",0.008,0.208,0.21,0.089,0.058,0.092,0.741
"P32","Wado de Pedro por el Frente de Todos",0.05,0.005,0.878,0.619,0.032,0.315,0.134
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.902,0.503,0.008,0.063,0.032,0.034,0.073
"P32","Javier Milei por los liberales libertarios",0.015,0.282,0.01,0.036,0.881,0.026,0.023
"P32","Al candidato del Frente de Izquierda",0.024,0.013,0.023,0.029,0.004,0.516,0.015
"P32","No sabe",0.009,0.197,0.081,0.253,0.051,0.109,0.755
"P33","Daniel Scioli por el Frente de Todos",0.043,0.012,0.744,0.734,0.027,0.282,0.261
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.912,0.524,0.016,0.056,0.024,0.012,0.042
"P33","Javier Milei por los liberales libertarios",0.011,0.279,0.012,0.029,0.896,0.029,0.02
"P33","Al candidato del Frente de Izquierda",0.012,0.014,0.061,0.035,0.003,0.572,0.025
"P33","No sabe",0.022,0.171,0.167,0.146,0.05,0.105,0.652
"P34","Sergio Massa por el Frente de Todos",0.101,0.006,0.703,0.854,0.035,0.237,0.128
"P34","Patricia Bullrich por Juntos por el Cambio",0.63,0.894,0.02,0.02,0.077,0.03,0.058
"P34","Javier Milei por los liberales libertarios",0.071,0.06,0.02,0.019,0.855,0.047,0.039
"P34","Al candidato del Frente de Izquierda",0.034,0.001,0.075,0.015,0.003,0.606,0.039
"P34","No sabe",0.164,0.039,0.182,0.092,0.03,0.08,0.736
"P35","Alberto Fernández por el Frente de Todos",0.075,0.009,0.686,0.721,0.023,0.329,0.237
"P35","Patricia Bullrich por Juntos por el Cambio",0.643,0.922,0.007,0.011,0.081,0.021,0.039
"P35","Javier Milei por los liberales libertarios",0.109,0.034,0.039,0.039,0.848,0.042,0.021
"P35","Al candidato del Frente de Izquierda",0.06,0.001,0.103,0.068,0.013,0.551,0.049
"P35","No sabe",0.113,0.034,0.165,0.161,0.035,0.057,0.654
"P36","Wado de Pedro por el Frente de Todos",0.057,0.006,0.887,0.605,0.029,0.295,0.14
"P36","Patricia Bullrich por Juntos por el Cambio",0.646,0.926,0.006,0.015,0.075,0.021,0.056
"P36","Javier Milei por los liberales libertarios",0.1,0.043,0.034,0.064,0.836,0.048,0.018
"P36","Al candidato del Frente de Izquierda",0.061,0.001,0.007,0.053,0.02,0.57,0.034
"P36","No sabe",0.136,0.024,0.066,0.263,0.04,0.066,0.752
"P37","Daniel Scioli por el Frente de Todos",0.084,0.009,0.78,0.724,0.033,0.314,0.225
"P37","Patricia Bullrich por Juntos por el Cambio",0.63,0.924,0.02,0.016,0.079,0.021,0.043
"P37","Javier Milei por los liberales libertarios",0.111,0.041,0.034,0.058,0.838,0.046,0.018
"P37","Al candidato del Frente de Izquierda",0.053,0.001,0.036,0.036,0.001,0.533,0.028
"P37","No sabe",0.122,0.025,0.13,0.166,0.049,0.086,0.686
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.785,0.411,0.093,0.12,0.027,0.126,0.094
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.114,0.102,0.527,0.759,0.035,0.045,0.141
"P38","Javier Milei presidente y su candidato a vice",0.026,0.257,0.033,0.014,0.881,0.048,0.037
"P38","A los candidatos de la izquierda",0.04,0.007,0.09,0.019,0.005,0.665,0.046
"P38","No sabe",0.035,0.223,0.257,0.088,0.052,0.116,0.682
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.671,0.789,0.045,0.017,0.069,0.036,0.046
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.077,0.044,0.598,0.816,0.023,0.054,0.136
"P39","Javier Milei presidente y su candidato a vice",0.056,0.082,0.008,0.011,0.865,0.055,0.016
"P39","A los candidatos de la izquierda",0.037,0.003,0.087,0.033,0.002,0.679,0.036
"P39","No sabe",0.159,0.082,0.262,0.123,0.041,0.176,0.766
"P40","Sergio Massa por el Frente de Todos",0.051,0.051,0.8,0.935,0.065,0.421,0.218
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.881,0.722,0.011,0.01,0.322,0.125,0.09
"P40","No sabe",0.068,0.227,0.189,0.055,0.613,0.454,0.692
"P41","Alberto Fernández por el Frente de Todos",0.056,0.044,0.759,0.722,0.072,0.403,0.228
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.917,0.752,0.016,0.059,0.337,0.125,0.12
"P41","No sabe",0.027,0.204,0.225,0.219,0.591,0.472,0.652
"P42","Sergio Massa por el Frente de Todos",0.074,0.013,0.79,0.891,0.079,0.47,0.265
"P42","Patricia Bullrich por Juntos por el Cambio",0.719,0.949,0.039,0.021,0.569,0.093,0.075
"P42","No sabe",0.207,0.038,0.171,0.088,0.352,0.437,0.66
"P43","Alberto Fernández por el Frente de Todos",0.077,0.011,0.799,0.748,0.081,0.46,0.27
"P43","Patricia Bullrich por Juntos por el Cambio",0.689,0.963,0.038,0.02,0.604,0.02,0.07
"P43","No sabe",0.234,0.026,0.163,0.232,0.315,0.52,0.66
"P44","Wado de Pedro por el Frente de Todos",0.039,0.023,0.916,0.675,0.045,0.38,0.211
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.886,0.794,0.021,0.048,0.38,0.094,0.117
"P44","No sabe",0.075,0.183,0.063,0.277,0.575,0.526,0.672
"P45","Daniel Scioli por el Frente de Todos",0.053,0.028,0.827,0.779,0.063,0.397,0.285
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.896,0.776,0.015,0.042,0.355,0.143,0.079
"P45","No sabe",0.051,0.196,0.158,0.179,0.582,0.46,0.636
"P46","Wado de Pedro por el Frente de Todos",0.05,0.018,0.886,0.683,0.056,0.434,0.24
"P46","Patricia Bullrich por Juntos por el Cambio",0.708,0.941,0.028,0.028,0.593,0.137,0.069
"P46","No sabe",0.242,0.041,0.086,0.289,0.351,0.429,0.691
"P47","Daniel Scioli por el Frente de Todos",0.08,0.014,0.865,0.804,0.068,0.36,0.309
"P47","Patricia Bullrich por Juntos por el Cambio",0.705,0.961,0.028,0.024,0.626,0.113,0.062
"P47","No sabe",0.215,0.025,0.107,0.172,0.306,0.527,0.629
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.834,0.482,0.148,0.223,0.025,0.222,0.093
"P48","Javier Milei por los liberales libertarios",0.08,0.388,0.034,0.066,0.879,0.069,0.049
"P48","No sabe",0.086,0.13,0.818,0.711,0.096,0.709,0.858
"P49","Patricia Bullrich por Juntos por el Cambio",0.657,0.86,0.052,0.082,0.055,0.117,0.085
"P49","Javier Milei por los liberales libertarios",0.121,0.095,0.036,0.087,0.863,0.113,0.021
"P49","No sabe",0.222,0.045,0.912,0.831,0.082,0.77,0.894
"P50","Alberto Fernández por el Frente de Todos",0.141,0.161,0.756,0.691,0.022,0.409,0.207
"P50","Javier Milei por los liberales libertarios",0.434,0.496,0.035,0.053,0.906,0.067,0.082
"P50","No sabe",0.425,0.343,0.209,0.256,0.072,0.524,0.711
"P51","Sergio Massa por el Frente de Todos",0.129,0.027,0.826,0.881,0.021,0.478,0.29
"P51","Javier Milei por los liberales libertarios",0.512,0.608,0.011,0.019,0.912,0.069,0.056
"P51","No sabe",0.359,0.365,0.163,0.1,0.067,0.453,0.654
"P52","Muy buena",0.026,0.006,0.103,0.179,0.011,0.259,0.093
"P52","Buena",0.078,0.09,0.272,0.289,0.112,0.034,0.065
"P52","Ni buena ni mala",0.062,0.059,0.377,0.339,0.104,0.187,0.262
"P52","Mala",0.086,0.086,0.191,0.132,0.052,0.124,0.194
"P52","Muy mala",0.746,0.754,0.057,0.055,0.714,0.375,0.346
"P52","No sabe",0.002,0.005,0,0.006,0.007,0.021,0.04
"P53","Muy buena",0.042,0.006,0.743,0.506,0.025,0.279,0.355
"P53","Buena",0.007,0.016,0.11,0.177,0.021,0.097,0.1
"P53","Ni buena ni mala",0.039,0.012,0.093,0.17,0.061,0.068,0.102
"P53","Mala",0.075,0.056,0.039,0.099,0.056,0.163,0.096
"P53","Muy mala",0.837,0.909,0.015,0.047,0.836,0.393,0.321
"P53","No sabe",0,0.001,0,0.001,0.001,0,0.026
"P54","Muy buena",0.226,0.424,0.074,0.055,0.098,0.237,0.074
"P54","Buena",0.255,0.274,0.02,0.02,0.15,0.039,0.024
"P54","Ni buena ni mala",0.217,0.14,0,0.07,0.214,0,0.109
"P54","Mala",0.106,0.046,0.094,0.145,0.187,0.072,0.215
"P54","Muy mala",0.194,0.113,0.812,0.709,0.347,0.628,0.548
"P54","No sabe",0.002,0.003,0,0.001,0.004,0.024,0.03
"P55","Muy buena",0.403,0.199,0,0.007,0.05,0.095,0.082
"P55","Buena",0.394,0.376,0.002,0.057,0.091,0.012,0.065
"P55","Ni buena ni mala",0.14,0.259,0.049,0.138,0.316,0.043,0.206
"P55","Mala",0.014,0.092,0.187,0.239,0.224,0.301,0.154
"P55","Muy mala",0.049,0.072,0.761,0.554,0.309,0.525,0.441
"P55","No sabe",0,0.002,0.001,0.005,0.01,0.024,0.052
"P56","Muy buena",0.042,0.025,0.041,0.32,0.01,0.01,0.035
"P56","Buena",0.119,0.047,0.311,0.405,0.039,0.048,0.113
"P56","Ni buena ni mala",0.13,0.088,0.401,0.206,0.143,0.276,0.332
"P56","Mala",0.124,0.141,0.152,0.026,0.138,0.315,0.159
"P56","Muy mala",0.585,0.697,0.08,0.04,0.653,0.351,0.329
"P56","No sabe",0,0.002,0.015,0.003,0.017,0,0.032
"P57","Muy buena",0.229,0.641,0.012,0.062,0.21,0.09,0.043
"P57","Buena",0.253,0.196,0.045,0.07,0.215,0.044,0.04
"P57","Ni buena ni mala",0.239,0.052,0.09,0.099,0.2,0.138,0.172
"P57","Mala",0.119,0.027,0.048,0.123,0.156,0.201,0.228
"P57","Muy mala",0.16,0.083,0.796,0.644,0.21,0.527,0.462
"P57","No sabe",0,0.001,0.009,0.002,0.009,0,0.055
"P58","Muy buena",0.051,0.127,0.011,0.019,0.675,0.057,0.041
"P58","Buena",0.18,0.24,0.001,0.026,0.171,0.034,0.017
"P58","Ni buena ni mala",0.312,0.376,0.015,0.117,0.083,0.193,0.204
"P58","Mala",0.233,0.132,0.09,0.137,0.018,0.077,0.259
"P58","Muy mala",0.205,0.11,0.847,0.688,0.045,0.627,0.419
"P58","No sabe",0.019,0.015,0.036,0.013,0.008,0.012,0.06
"P59","Muy buena",0.005,0.017,0.526,0.166,0.093,0.029,0.06
"P59","Buena",0.067,0.031,0.268,0.287,0.044,0.251,0.138
"P59","Ni buena ni mala",0.219,0.147,0.073,0.21,0.137,0.143,0.234
"P59","Mala",0.178,0.168,0.006,0.096,0.148,0.034,0.205
"P59","Muy mala",0.501,0.606,0.106,0.192,0.478,0.459,0.269
"P59","No sabe",0.03,0.031,0.021,0.049,0.1,0.084,0.094
"P60","Muy buena",0.012,0.002,0.212,0.281,0.042,0.083,0.152
"P60","Buena",0.046,0.013,0.44,0.351,0.04,0.052,0.225
"P60","Ni buena ni mala",0.139,0.062,0.288,0.304,0.081,0.404,0.2
"P60","Mala",0.18,0.162,0.042,0.026,0.195,0.149,0.137
"P60","Muy mala",0.623,0.747,0.017,0.031,0.631,0.312,0.24
"P60","No sabe",0,0.014,0.001,0.007,0.011,0,0.046
"P61","Muy buena",0.354,0.222,0.023,0.043,0.076,0.093,0.065
"P61","Buena",0.247,0.346,0.042,0.071,0.154,0,0.031
"P61","Ni buena ni mala",0.196,0.228,0.057,0.08,0.237,0.139,0.208
"P61","Mala",0.086,0.089,0.072,0.17,0.178,0.129,0.176
"P61","Muy mala",0.113,0.113,0.791,0.633,0.355,0.639,0.458
"P61","No sabe",0.004,0.002,0.015,0.003,0,0,0.062
"P62","Muy buena",0.199,0.09,0.013,0.06,0.082,0.043,0.086
"P62","Buena",0.268,0.246,0.055,0.137,0.138,0.078,0.126
"P62","Ni buena ni mala",0.384,0.36,0.364,0.286,0.353,0.333,0.303
"P62","Mala",0.074,0.143,0.239,0.249,0.127,0.153,0.193
"P62","Muy mala",0.056,0.144,0.285,0.226,0.234,0.358,0.196
"P62","No sabe",0.019,0.017,0.044,0.042,0.066,0.035,0.096
"P63","Siempre",0.331,0.333,0.335,0.331,0.304,0.179,0.308
"P63","Casi siempre",0.455,0.418,0.377,0.431,0.347,0.444,0.36
"P63","Casi nunca",0.169,0.192,0.206,0.168,0.179,0.282,0.195
"P63","Nunca, pero esta es una excepción",0.045,0.057,0.082,0.07,0.17,0.095,0.137
"P64","Si",0.665,0.602,0.629,0.681,0.597,0.553,0.554
"P64","No",0.335,0.398,0.371,0.319,0.403,0.447,0.446
