"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.289,0.018,0.024,0.146,0.235
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.601,0.001,0.02,0.06,0.075
"P29","Javier Milei presidente y su candidato a vice",0.009,0.038,0.833,0.118,0.089
"P29","A los candidatos de la izquierda",0.031,0.001,0.002,0.47,0.006
"P29","No sabe",0.054,0.035,0.03,0.063,0.47
"P30","Alberto Fernández por el Frente de Todos",0.708,0.028,0.019,0.096,0.256
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.534,0.063,0.136,0.111
"P30","Javier Milei por los liberales libertarios",0.015,0.232,0.872,0.099,0.022
"P30","Al candidato del Frente de Izquierda",0.07,0.012,0.009,0.616,0.02
"P30","No sabe",0.174,0.194,0.037,0.053,0.591
"P31","Sergio Massa por el Frente de Todos",0.762,0.011,0.036,0.147,0.259
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.582,0.059,0.14,0.12
"P31","Javier Milei por los liberales libertarios",0.005,0.236,0.874,0.092,0.031
"P31","Al candidato del Frente de Izquierda",0.055,0.017,0.01,0.533,0.03
"P31","No sabe",0.146,0.154,0.021,0.088,0.56
"P32","Wado de Pedro por el Frente de Todos",0.929,0.006,0.011,0.137,0.079
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.593,0.083,0.157,0.125
"P32","Javier Milei por los liberales libertarios",0.009,0.242,0.868,0.092,0.027
"P32","Al candidato del Frente de Izquierda",0.014,0.012,0.006,0.532,0.013
"P32","No sabe",0.038,0.147,0.032,0.082,0.756
"P33","Daniel Scioli por el Frente de Todos",0.823,0.011,0.035,0.141,0.259
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.036,0.614,0.063,0.129,0.098
"P33","Javier Milei por los liberales libertarios",0.005,0.231,0.875,0.089,0.014
"P33","Al candidato del Frente de Izquierda",0.039,0.013,0.006,0.601,0.013
"P33","No sabe",0.097,0.131,0.021,0.04,0.616
"P34","Sergio Massa por el Frente de Todos",0.813,0.015,0.04,0.191,0.258
"P34","Patricia Bullrich por Juntos por el Cambio",0.016,0.924,0.044,0.012,0.03
"P34","Javier Milei por los liberales libertarios",0,0.04,0.897,0.089,0.018
"P34","Al candidato del Frente de Izquierda",0.045,0,0.002,0.651,0.018
"P34","No sabe",0.126,0.021,0.017,0.057,0.676
"P35","Alberto Fernández por el Frente de Todos",0.785,0.01,0.023,0.116,0.274
"P35","Patricia Bullrich por Juntos por el Cambio",0.004,0.957,0.031,0.048,0.012
"P35","Javier Milei por los liberales libertarios",0.019,0.014,0.929,0.061,0.013
"P35","Al candidato del Frente de Izquierda",0.074,0,0.011,0.762,0.029
"P35","No sabe",0.118,0.019,0.006,0.013,0.672
"P37","Daniel Scioli por el Frente de Todos",0.88,0.004,0.032,0.134,0.213
"P37","Patricia Bullrich por Juntos por el Cambio",0.001,0.97,0.031,0.012,0.007
"P37","Javier Milei por los liberales libertarios",0.018,0.018,0.935,0.063,0.006
"P37","Al candidato del Frente de Izquierda",0.025,0,0,0.699,0.011
"P37","No sabe",0.076,0.008,0.002,0.092,0.763
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.161,0.49,0.059,0.074,0.107
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.598,0.119,0.041,0.168,0.277
"P38","Javier Milei presidente y su candidato a vice",0.015,0.21,0.879,0.048,0.025
"P38","A los candidatos de la izquierda",0.058,0.015,0.005,0.621,0.015
"P38","No sabe",0.168,0.166,0.016,0.089,0.576
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.044,0.824,0.058,0.003,0.025
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.697,0.048,0.038,0.17,0.246
"P39","Javier Milei presidente y su candidato a vice",0.003,0.064,0.884,0.059,0.017
"P39","A los candidatos de la izquierda",0.067,0.002,0.003,0.675,0.018
"P39","No sabe",0.189,0.062,0.017,0.093,0.694
"P40","Sergio Massa por el Frente de Todos",0.887,0.046,0.08,0.368,0.366
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.75,0.35,0.233,0.128
"P40","No sabe",0.1,0.204,0.57,0.399,0.506
"P41","Alberto Fernández por el Frente de Todos",0.806,0.037,0.061,0.283,0.315
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.783,0.382,0.235,0.149
"P41","No sabe",0.164,0.18,0.557,0.482,0.536
"P42","Sergio Massa por el Frente de Todos",0.886,0.011,0.088,0.396,0.376
"P42","Patricia Bullrich por Juntos por el Cambio",0.009,0.958,0.557,0.091,0.073
"P42","No sabe",0.105,0.031,0.355,0.513,0.551
"P43","Alberto Fernández por el Frente de Todos",0.867,0.007,0.075,0.329,0.324
"P43","Patricia Bullrich por Juntos por el Cambio",0.006,0.964,0.585,0.081,0.047
"P43","No sabe",0.127,0.029,0.34,0.59,0.629
"P44","Wado de Pedro por el Frente de Todos",0.962,0.022,0.033,0.203,0.155
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.812,0.406,0.241,0.166
"P44","No sabe",0.032,0.166,0.561,0.556,0.679
"P45","Daniel Scioli por el Frente de Todos",0.88,0.023,0.066,0.328,0.32
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.799,0.389,0.205,0.134
"P45","No sabe",0.105,0.178,0.545,0.467,0.546
"P46","Wado de Pedro por el Frente de Todos",0.954,0.007,0.06,0.303,0.151
"P46","Patricia Bullrich por Juntos por el Cambio",0.014,0.953,0.57,0.157,0.041
"P46","No sabe",0.032,0.04,0.37,0.54,0.808
"P47","Daniel Scioli por el Frente de Todos",0.884,0.007,0.075,0.387,0.383
"P47","Patricia Bullrich por Juntos por el Cambio",0.007,0.969,0.611,0.135,0.035
"P47","No sabe",0.109,0.024,0.314,0.478,0.582
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.203,0.543,0.057,0.285,0.147
"P48","Javier Milei por los liberales libertarios",0.02,0.35,0.867,0.066,0.056
"P48","No sabe",0.777,0.107,0.076,0.649,0.797
"P49","Patricia Bullrich por Juntos por el Cambio",0.049,0.871,0.058,0.106,0.064
"P49","Javier Milei por los liberales libertarios",0.031,0.088,0.898,0.096,0.075
"P49","No sabe",0.92,0.041,0.044,0.798,0.861
"P50","Alberto Fernández por el Frente de Todos",0.798,0.158,0.014,0.29,0.241
"P50","Javier Milei por los liberales libertarios",0.006,0.497,0.944,0.088,0.092
"P50","No sabe",0.196,0.345,0.042,0.622,0.667
"P51","Sergio Massa por el Frente de Todos",0.888,0.043,0.022,0.407,0.365
"P51","Javier Milei por los liberales libertarios",0.008,0.606,0.931,0.083,0.059
"P51","No sabe",0.104,0.351,0.047,0.51,0.576
"P52","Muy buena",0.156,0.003,0.015,0.132,0.103
"P52","Buena",0.279,0.084,0.115,0.106,0.113
"P52","Ni buena ni mala",0.343,0.065,0.088,0.184,0.302
"P52","Mala",0.166,0.072,0.071,0.146,0.168
"P52","Muy mala",0.053,0.77,0.703,0.415,0.293
"P52","No sabe",0.003,0.006,0.008,0.017,0.021
"P53","Muy buena",0.72,0.006,0.015,0.158,0.28
"P53","Buena",0.123,0.011,0.037,0.116,0.111
"P53","Ni buena ni mala",0.104,0.013,0.061,0.089,0.156
"P53","Mala",0.043,0.048,0.061,0.205,0.139
"P53","Muy mala",0.009,0.921,0.825,0.432,0.298
"P53","No sabe",0.001,0.001,0.001,0,0.016
"P54","Muy buena",0.082,0.402,0.081,0.107,0.074
"P54","Buena",0.009,0.286,0.156,0.047,0.026
"P54","Ni buena ni mala",0.01,0.151,0.225,0.03,0.143
"P54","Mala",0.106,0.04,0.174,0.219,0.225
"P54","Muy mala",0.792,0.118,0.36,0.578,0.513
"P54","No sabe",0.001,0.003,0.004,0.019,0.019
"P55","Muy buena",0.007,0.256,0.051,0.068,0.065
"P55","Buena",0.011,0.364,0.123,0.13,0.102
"P55","Ni buena ni mala",0.047,0.24,0.326,0.065,0.23
"P55","Mala",0.234,0.073,0.195,0.234,0.17
"P55","Muy mala",0.7,0.066,0.294,0.461,0.404
"P55","No sabe",0.001,0.001,0.011,0.042,0.029
"P56","Muy buena",0.145,0.035,0.011,0.039,0.103
"P56","Buena",0.357,0.052,0.052,0.115,0.163
"P56","Ni buena ni mala",0.326,0.091,0.163,0.227,0.259
"P56","Mala",0.106,0.128,0.143,0.218,0.148
"P56","Muy mala",0.066,0.69,0.618,0.39,0.289
"P56","No sabe",0,0.004,0.013,0.011,0.038
"P57","Muy buena",0.039,0.592,0.19,0.073,0.014
"P57","Buena",0.051,0.227,0.226,0.026,0.024
"P57","Ni buena ni mala",0.077,0.066,0.226,0.056,0.247
"P57","Mala",0.078,0.033,0.171,0.182,0.196
"P57","Muy mala",0.75,0.081,0.177,0.663,0.483
"P57","No sabe",0.005,0.001,0.01,0,0.036
"P58","Muy buena",0.01,0.127,0.656,0.077,0.029
"P58","Buena",0.007,0.225,0.206,0.006,0.017
"P58","Ni buena ni mala",0.036,0.384,0.089,0.233,0.157
"P58","Mala",0.106,0.135,0.026,0.047,0.277
"P58","Muy mala",0.827,0.111,0.02,0.637,0.447
"P58","No sabe",0.014,0.018,0.003,0,0.073
"P59","Muy buena",0.403,0.01,0.084,0.077,0.056
"P59","Buena",0.336,0.032,0.057,0.144,0.072
"P59","Ni buena ni mala",0.114,0.163,0.141,0.186,0.232
"P59","Mala",0.02,0.156,0.162,0.09,0.223
"P59","Muy mala",0.116,0.608,0.457,0.435,0.299
"P59","No sabe",0.011,0.031,0.099,0.068,0.118
"P60","Muy buena",0.23,0.002,0.047,0.082,0.188
"P60","Buena",0.429,0.018,0.041,0.116,0.174
"P60","Ni buena ni mala",0.288,0.067,0.102,0.288,0.256
"P60","Mala",0.042,0.171,0.172,0.217,0.097
"P60","Muy mala",0.011,0.731,0.627,0.297,0.249
"P60","No sabe",0,0.011,0.011,0,0.036
"P61","Muy buena",0.031,0.273,0.078,0.077,0.037
"P61","Buena",0.055,0.329,0.149,0.014,0.076
"P61","Ni buena ni mala",0.045,0.217,0.257,0.038,0.228
"P61","Mala",0.113,0.08,0.16,0.213,0.182
"P61","Muy mala",0.747,0.098,0.356,0.647,0.442
"P61","No sabe",0.009,0.003,0,0.011,0.035
"P62","Muy buena",0.024,0.121,0.092,0.054,0.067
"P62","Buena",0.098,0.245,0.152,0.073,0.133
"P62","Ni buena ni mala",0.323,0.36,0.36,0.348,0.326
"P62","Mala",0.248,0.131,0.111,0.229,0.178
"P62","Muy mala",0.268,0.124,0.221,0.258,0.219
"P62","No sabe",0.039,0.019,0.064,0.038,0.077
"P63","Siempre",0.336,0.346,0.309,0.187,0.275
"P63","Casi siempre",0.384,0.414,0.382,0.449,0.397
"P63","Casi nunca",0.199,0.187,0.159,0.226,0.209
"P63","Nunca, pero esta es una excepción",0.081,0.053,0.15,0.138,0.119
"P64","Si",0.641,0.609,0.608,0.584,0.615
"P64","No",0.359,0.391,0.392,0.416,0.385
