"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P24","Wado de Pedro por el Frente de Todos",0.377,0.005,0.016,0.248,0.187
"P24","Alberto Fernández por el Frente de Todos",0.162,0.026,0.016,0.094,0.077
"P24","Javier Milei por los liberales libertarios",0.005,0.011,0.629,0.026,0.034
"P24","Al candidato del Frente de Izquierda",0.002,0.001,0.001,0.325,0.001
"P24","No sabe",0.04,0.008,0.012,0.067,0.266
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.275,0.013,0.021,0.029
"P25","Patricia Bullrich por Juntos por el Cambio",0.014,0.429,0.226,0.101,0.212
"P25","Facundo Manes por Juntos por el Cambio",0.016,0.154,0.065,0.056,0.12
"P25","Sergio Massa por el Frente de Todos",0.308,0.022,0.006,0.058,0.034
"P25","Wado de Pedro por el Frente de Todos",0.34,0.027,0.023,0.216,0.167
"P25","Daniel Scioli por el Frente de Todos",0.265,0.009,0.009,0.098,0.141
"P25","Javier Milei por los liberales libertario",0.024,0.069,0.33,0.023,0.032
"P25","Al candidato del Frente de Izquierda",0.01,0.002,0.32,0.211,0.024
"P25","No sabe",0.017,0.013,0.008,0.216,0.241
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.354,0.02,0.036,0.02
"P26","Patricia Bulrich por Juntos por el Cambio",0.038,0.535,0.254,0.077,0.27
"P26","Alberto Fernández por el Frente de Todos",0.206,0.019,0.005,0.145,0.102
"P26","Sergio Massa por el Frente de Todos",0.599,0.024,0.017,0.065,0.083
"P26","Javier Milei por los liberales libertarios",0.028,0.027,0.624,0.023,0.08
"P26","Al candidato del Frente de Izquierda",0.039,0.018,0.006,0.597,0.021
"P26","No sabe",0.07,0.023,0.074,0.057,0.424
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.391,0.01,0.071,0.004
"P27","Patricia Bullrich por Juntos por el Cambio",0.009,0.529,0.268,0.083,0.29
"P27","Wado de Pedro por el Frente de Todos",0.384,0.013,0.016,0.232,0.163
"P27","Sergio Massa por el Frente de Todos",0.486,0.024,0.007,0.08,0.069
"P27","Javier Milei por los liberales libertarios",0.038,0.015,0.674,0.017,0.065
"P27","Al candidato del Frente de Izquierda",0.024,0.005,0.007,0.461,0.017
"P27","No sabe",0.05,0.023,0.018,0.056,0.392
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.388,0.021,0.02,0.015
"P28","Patricia Bullrich por Juntos por el Cambio",0.016,0.536,0.255,0.1,0.289
"P28","Wado de Pedro por el Frente de Todos",0.417,0.021,0.015,0.242,0.155
"P28","Daniel Scioli por el Frente de Todos",0.36,0.015,0.003,0.126,0.129
"P28","Javier Milei por los liberales libertarios",0.037,0.008,0.692,0.061,0.063
"P28","Al candidato del Frente de Izquierda",0.028,0.003,0.005,0.403,0.025
"P28","No sabe",0.115,0.029,0.009,0.048,0.324
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.012,0.416,0.058,0.034,0.058
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.013,0.475,0.22,0.102,0.214
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.387,0.041,0.007,0.052,0.073
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.465,0.024,0.007,0.267,0.18
"P29","Javier Milei presidente y su candidato a vice",0.015,0.005,0.69,0.079,0.073
"P29","A los candidatos de la izquierda",0.03,0.002,0.002,0.41,0.012
"P29","No sabe",0.078,0.037,0.016,0.056,0.39
"P30","Alberto Fernández por el Frente de Todos",0.742,0.053,0.007,0.13,0.145
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.856,0.027,0.026,0.02
"P30","Javier Milei por los liberales libertarios",0.025,0.026,0.912,0.047,0.036
"P30","Al candidato del Frente de Izquierda",0.041,0.007,0.011,0.727,0.02
"P30","No sabe",0.155,0.058,0.043,0.07,0.779
"P32","Wado de Pedro por el Frente de Todos",0.782,0.029,0.007,0.301,0.196
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.911,0.038,0.049,0.051
"P32","Javier Milei por los liberales libertarios",0.017,0.023,0.93,0.061,0.019
"P32","Al candidato del Frente de Izquierda",0.019,0.004,0.006,0.527,0.003
"P32","No sabe",0.147,0.033,0.019,0.062,0.731
"P33","Daniel Scioli por el Frente de Todos",0.82,0.03,0.015,0.203,0.212
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.91,0.034,0.026,0.068
"P33","Javier Milei por los liberales libertarios",0.012,0.02,0.92,0.081,0.03
"P33","Al candidato del Frente de Izquierda",0.023,0.004,0.007,0.631,0.015
"P33","No sabe",0.112,0.036,0.024,0.059,0.675
"P34","Sergio Massa por el Frente de Todos",0.933,0.047,0.009,0.121,0.081
"P34","Patricia Bullrich por Juntos por el Cambio",0.017,0.812,0.275,0.097,0.266
"P34","Javier Milei por los liberales libertarios",0.002,0.042,0.711,0.037,0.02
"P34","Al candidato del Frente de Izquierda",0.01,0.017,0,0.659,0.023
"P34","No sabe",0.038,0.082,0.005,0.086,0.61
"P35","Alberto Fernández por el Frente de Todos",0.804,0.044,0.004,0.244,0.167
"P35","Patricia Bullrich por Juntos por el Cambio",0.01,0.813,0.303,0.092,0.265
"P35","Javier Milei por los liberales libertarios",0.024,0.047,0.677,0.015,0.034
"P35","Al candidato del Frente de Izquierda",0.049,0.032,0.008,0.594,0.039
"P35","No sabe",0.113,0.064,0.008,0.055,0.495
"P36","Wado de Pedro por el Frente de Todos",0.781,0.035,0.005,0.292,0.211
"P36","Patricia Bullrich por Juntos por el Cambio",0.014,0.815,0.29,0.116,0.287
"P36","Javier Milei por los liberales libertarios",0.03,0.052,0.674,0.041,0.024
"P36","Al candidato del Frente de Izquierda",0.025,0.025,0.014,0.462,0.021
"P36","No sabe",0.15,0.073,0.017,0.089,0.457
"P37","Daniel Scioli por el Frente de Todos",0.826,0.038,0.009,0.262,0.221
"P37","Patricia Bullrich por Juntos por el Cambio",0.012,0.799,0.312,0.092,0.289
"P37","Javier Milei por los liberales libertarios",0.021,0.069,0.663,0.05,0.02
"P37","Al candidato del Frente de Izquierda",0.021,0.022,0,0.485,0.02
"P37","No sabe",0.12,0.072,0.016,0.111,0.45
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.142,0.74,0.031,0.081,0.082
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.722,0.135,0.036,0.079,0.11
"P38","Javier Milei presidente y su candidato a vice",0.025,0.038,0.872,0.027,0.046
"P38","A los candidatos de la izquierda",0.027,0.018,0.006,0.684,0.024
"P38","No sabe",0.084,0.069,0.055,0.129,0.738
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.036,0.79,0.264,0.084,0.218
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.808,0.061,0.021,0.083,0.086
"P39","Javier Milei presidente y su candidato a vice",0.011,0.04,0.701,0.011,0.022
"P39","A los candidatos de la izquierda",0.03,0.015,0.003,0.659,0.026
"P39","No sabe",0.115,0.094,0.011,0.163,0.648
"P40","Sergio Massa por el Frente de Todos",0.965,0.026,0.062,0.35,0.2
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.918,0.413,0.137,0.156
"P40","No sabe",0.026,0.056,0.525,0.513,0.644
"P41","Alberto Fernández por el Frente de Todos",0.807,0.027,0.055,0.372,0.224
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.039,0.939,0.443,0.148,0.184
"P41","No sabe",0.154,0.034,0.502,0.48,0.592
"P42","Sergio Massa por el Frente de Todos",0.952,0.026,0.037,0.374,0.199
"P42","Patricia Bullrich por Juntos por el Cambio",0.019,0.879,0.713,0.168,0.306
"P42","No sabe",0.029,0.095,0.25,0.458,0.495
"P43","Alberto Fernández por el Frente de Todos",0.848,0.027,0.04,0.376,0.24
"P43","Patricia Bullrich por Juntos por el Cambio",0.015,0.867,0.738,0.101,0.326
"P43","No sabe",0.137,0.106,0.222,0.523,0.434
"P44","Wado de Pedro por el Frente de Todos",0.818,0.013,0.038,0.428,0.256
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.94,0.472,0.167,0.206
"P44","No sabe",0.141,0.047,0.49,0.405,0.538
"P45","Daniel Scioli por el Frente de Todos",0.851,0.015,0.058,0.427,0.253
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.948,0.447,0.141,0.185
"P45","No sabe",0.117,0.037,0.495,0.432,0.562
"P46","Wado de Pedro por el Frente de Todos",0.818,0.019,0.03,0.467,0.264
"P46","Patricia Bullrich por Juntos por el Cambio",0.018,0.871,0.72,0.166,0.315
"P46","No sabe",0.164,0.11,0.25,0.367,0.421
"P47","Daniel Scioli por el Frente de Todos",0.871,0.027,0.032,0.433,0.305
"P47","Patricia Bullrich por Juntos por el Cambio",0.017,0.875,0.754,0.145,0.322
"P47","No sabe",0.112,0.098,0.214,0.422,0.373
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.209,0.802,0.047,0.192,0.135
"P48","Javier Milei por los liberales libertarios",0.046,0.15,0.887,0.047,0.118
"P48","No sabe",0.745,0.048,0.066,0.761,0.747
"P49","Patricia Bullrich por Juntos por el Cambio",0.066,0.839,0.262,0.146,0.317
"P49","Javier Milei por los liberales libertarios",0.062,0.065,0.704,0.061,0.026
"P49","No sabe",0.872,0.096,0.034,0.793,0.657
"P50","Alberto Fernández por el Frente de Todos",0.77,0.158,0.054,0.347,0.258
"P50","Javier Milei por los liberales libertarios",0.034,0.425,0.902,0.079,0.131
"P50","No sabe",0.196,0.417,0.044,0.574,0.611
"P51","Sergio Massa por el Frente de Todos",0.942,0.061,0.016,0.44,0.198
"P51","Javier Milei por los liberales libertarios",0.013,0.519,0.948,0.077,0.146
"P51","No sabe",0.045,0.42,0.036,0.483,0.656
"P52","Muy buena",0.168,0.008,0.016,0.099,0.055
"P52","Buena",0.308,0.066,0.121,0.103,0.069
"P52","Ni buena ni mala",0.353,0.083,0.048,0.263,0.235
"P52","Mala",0.131,0.082,0.056,0.151,0.203
"P52","Muy mala",0.039,0.755,0.752,0.358,0.419
"P52","No sabe",0.001,0.006,0.007,0.026,0.019
"P53","Muy buena",0.643,0.008,0.014,0.353,0.273
"P53","Buena",0.155,0.006,0.026,0.083,0.061
"P53","Ni buena ni mala",0.113,0.023,0.038,0.063,0.114
"P53","Mala",0.062,0.056,0.047,0.136,0.106
"P53","Muy mala",0.027,0.906,0.874,0.365,0.433
"P53","No sabe",0,0.001,0.001,0,0.013
"P54","Muy buena",0.071,0.375,0.177,0.232,0.173
"P54","Buena",0.009,0.256,0.218,0.023,0.101
"P54","Ni buena ni mala",0.033,0.162,0.2,0.039,0.101
"P54","Mala",0.119,0.05,0.141,0.095,0.166
"P54","Muy mala",0.768,0.153,0.26,0.594,0.445
"P54","No sabe",0,0.004,0.004,0.017,0.014
"P55","Muy buena",0.009,0.322,0.079,0.079,0.065
"P55","Buena",0.021,0.456,0.148,0.052,0.116
"P55","Ni buena ni mala",0.109,0.181,0.312,0.031,0.215
"P55","Mala",0.224,0.027,0.193,0.208,0.177
"P55","Muy mala",0.636,0.014,0.26,0.613,0.397
"P55","No sabe",0.001,0,0.008,0.017,0.03
"P56","Muy buena",0.201,0.044,0.012,0.009,0.011
"P56","Buena",0.409,0.077,0.035,0.09,0.066
"P56","Ni buena ni mala",0.311,0.085,0.118,0.214,0.287
"P56","Mala",0.032,0.144,0.127,0.321,0.218
"P56","Muy mala",0.045,0.647,0.698,0.366,0.388
"P56","No sabe",0.002,0.003,0.01,0,0.03
"P57","Muy buena",0.044,0.483,0.358,0.096,0.216
"P57","Buena",0.064,0.231,0.21,0.062,0.07
"P57","Ni buena ni mala",0.083,0.111,0.154,0.043,0.177
"P57","Mala",0.102,0.071,0.108,0.118,0.119
"P57","Muy mala",0.697,0.104,0.163,0.681,0.396
"P57","No sabe",0.01,0,0.007,0,0.022
"P58","Muy buena",0.009,0.068,0.578,0.01,0.043
"P58","Buena",0.005,0.18,0.248,0.046,0.07
"P58","Ni buena ni mala",0.078,0.397,0.114,0.153,0.248
"P58","Mala",0.115,0.183,0.032,0.035,0.205
"P58","Muy mala",0.772,0.151,0.025,0.747,0.386
"P58","No sabe",0.021,0.021,0.003,0.009,0.048
"P59","Muy buena",0.306,0.007,0.079,0.163,0.149
"P59","Buena",0.292,0.03,0.053,0.25,0.097
"P59","Ni buena ni mala",0.155,0.19,0.109,0.142,0.186
"P59","Mala",0.046,0.188,0.139,0.032,0.172
"P59","Muy mala",0.159,0.566,0.545,0.353,0.32
"P59","No sabe",0.042,0.019,0.075,0.06,0.076
"P60","Muy buena",0.244,0.008,0.032,0.077,0.116
"P60","Buena",0.402,0.028,0.03,0.11,0.171
"P60","Ni buena ni mala",0.294,0.091,0.069,0.347,0.182
"P60","Mala",0.042,0.178,0.169,0.137,0.128
"P60","Muy mala",0.011,0.688,0.69,0.325,0.376
"P60","No sabe",0.007,0.007,0.01,0.004,0.027
"P61","Muy buena",0.037,0.342,0.091,0.077,0.062
"P61","Buena",0.054,0.309,0.211,0.052,0.147
"P61","Ni buena ni mala",0.075,0.202,0.248,0.066,0.197
"P61","Mala",0.141,0.069,0.156,0.074,0.135
"P61","Muy mala",0.683,0.075,0.294,0.731,0.431
"P61","No sabe",0.01,0.003,0,0,0.028
"P62","Muy buena",0.037,0.143,0.08,0.05,0.067
"P62","Buena",0.104,0.276,0.168,0.107,0.119
"P62","Ni buena ni mala",0.335,0.411,0.328,0.294,0.313
"P62","Mala",0.247,0.1,0.151,0.189,0.165
"P62","Muy mala",0.239,0.058,0.232,0.331,0.245
"P62","No sabe",0.038,0.012,0.041,0.029,0.091
"P63","Siempre",0.334,0.341,0.323,0.185,0.299
"P63","Casi siempre",0.412,0.437,0.364,0.427,0.376
"P63","Casi nunca",0.193,0.169,0.178,0.306,0.199
"P63","Nunca, pero esta es una excepción",0.061,0.053,0.135,0.082,0.126
"P64","Si",0.664,0.624,0.621,0.533,0.555
"P64","No",0.336,0.376,0.379,0.467,0.445
