"var","categoria","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos","Javier Milei presidente y su candidato a vice","A los candidatos de la izquierda","No sabe"
"P24","Sergio Massa por el Frente de Todos",0.008,0.346,0.003,0.058,0.09
"P24","Wado de Pedro por el Frente de Todos",0.011,0.362,0.005,0.326,0.25
"P24","Alberto Fernández por el Frente de Todos",0.013,0.165,0.01,0.034,0.101
"P24","Javier Milei por los liberales libertarios",0.02,0.006,0.786,0.044,0.022
"P24","Al candidato del Frente de Izquierda",0,0,0.003,0.291,0.014
"P24","No sabe",0.007,0.02,0.021,0.11,0.256
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.152,0.021,0.031,0.051,0.072
"P25","Patricia Bullrich por Juntos por el Cambio",0.582,0.028,0.079,0.025,0.069
"P25","Facundo Manes por Juntos por el Cambio",0.158,0.024,0.06,0.043,0.089
"P25","Sergio Massa por el Frente de Todos",0.011,0.283,0.005,0.039,0.068
"P25","Wado de Pedro por el Frente de Todos",0.02,0.35,0.01,0.282,0.205
"P25","Daniel Scioli por el Frente de Todos",0.013,0.246,0.02,0.121,0.156
"P25","Javier Milei por los liberales libertario",0.044,0.04,0.392,0.052,0.06
"P25","Al candidato del Frente de Izquierda",0.006,0.001,0.396,0.223,0.009
"P25","No sabe",0.014,0.007,0.007,0.164,0.272
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.214,0.021,0.035,0.068,0.081
"P26","Patricia Bulrich por Juntos por el Cambio",0.679,0.074,0.104,0.011,0.107
"P26","Alberto Fernández por el Frente de Todos",0.02,0.195,0.007,0.047,0.137
"P26","Sergio Massa por el Frente de Todos",0.011,0.603,0.019,0.202,0.129
"P26","Javier Milei por los liberales libertarios",0.04,0.026,0.773,0.016,0.06
"P26","Al candidato del Frente de Izquierda",0.009,0.024,0,0.57,0.051
"P26","No sabe",0.027,0.057,0.062,0.086,0.435
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.216,0.031,0.028,0.075,0.088
"P27","Patricia Bullrich por Juntos por el Cambio",0.693,0.047,0.111,0.015,0.124
"P27","Wado de Pedro por el Frente de Todos",0.023,0.377,0.006,0.284,0.231
"P27","Sergio Massa por el Frente de Todos",0.008,0.471,0.008,0.098,0.098
"P27","Javier Milei por los liberales libertarios",0.043,0.018,0.831,0.007,0.044
"P27","Al candidato del Frente de Izquierda",0.004,0.007,0.009,0.455,0.032
"P27","No sabe",0.013,0.049,0.007,0.066,0.383
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.201,0.038,0.036,0.079,0.086
"P28","Patricia Bullrich por Juntos por el Cambio",0.709,0.05,0.086,0.002,0.121
"P28","Wado de Pedro por el Frente de Todos",0.027,0.413,0.005,0.263,0.222
"P28","Daniel Scioli por el Frente de Todos",0.007,0.355,0.002,0.121,0.182
"P28","Javier Milei por los liberales libertarios",0.032,0.019,0.859,0.054,0.041
"P28","Al candidato del Frente de Izquierda",0.003,0.012,0.01,0.447,0.031
"P28","No sabe",0.021,0.113,0.002,0.034,0.317
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.257,0.028,0.063,0.063,0.146
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.627,0.037,0.055,0.019,0.069
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.02,0.413,0.008,0.039,0.081
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.032,0.45,0.003,0.321,0.225
"P29","Javier Milei presidente y su candidato a vice",0.028,0.012,0.853,0.037,0.058
"P29","A los candidatos de la izquierda",0.002,0.005,0.002,0.472,0.015
"P29","No sabe",0.034,0.055,0.016,0.049,0.406
"P30","Alberto Fernández por el Frente de Todos",0.053,0.703,0.006,0.15,0.257
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.544,0.07,0.046,0.085,0.126
"P30","Javier Milei por los liberales libertarios",0.218,0.036,0.898,0.011,0.016
"P30","Al candidato del Frente de Izquierda",0.009,0.032,0.015,0.708,0.024
"P30","No sabe",0.176,0.159,0.035,0.046,0.577
"P31","Sergio Massa por el Frente de Todos",0.03,0.843,0.014,0.163,0.166
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.604,0.057,0.047,0.075,0.124
"P31","Javier Milei por los liberales libertarios",0.226,0.022,0.917,0.015,0.017
"P31","Al candidato del Frente de Izquierda",0.013,0.016,0.003,0.649,0.043
"P31","No sabe",0.127,0.062,0.019,0.098,0.65
"P32","Wado de Pedro por el Frente de Todos",0.034,0.755,0,0.398,0.282
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.616,0.082,0.042,0.086,0.115
"P32","Javier Milei por los liberales libertarios",0.22,0.011,0.93,0.011,0.018
"P32","Al candidato del Frente de Izquierda",0.008,0.018,0.005,0.436,0.026
"P32","No sabe",0.122,0.134,0.023,0.069,0.559
"P33","Daniel Scioli por el Frente de Todos",0.035,0.795,0.006,0.281,0.29
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.65,0.07,0.04,0.079,0.098
"P33","Javier Milei por los liberales libertarios",0.202,0.019,0.932,0.008,0.025
"P33","Al candidato del Frente de Izquierda",0.011,0.016,0.007,0.594,0.024
"P33","No sabe",0.102,0.1,0.015,0.038,0.563
"P34","Sergio Massa por el Frente de Todos",0.04,0.875,0.017,0.191,0.171
"P34","Patricia Bullrich por Juntos por el Cambio",0.876,0.067,0.104,0.011,0.118
"P34","Javier Milei por los liberales libertarios",0.049,0.004,0.867,0.016,0.027
"P34","Al candidato del Frente de Izquierda",0.001,0.006,0.001,0.741,0.028
"P34","No sabe",0.034,0.048,0.011,0.041,0.656
"P35","Alberto Fernández por el Frente de Todos",0.041,0.774,0.006,0.203,0.256
"P35","Patricia Bullrich por Juntos por el Cambio",0.899,0.063,0.112,0.002,0.112
"P35","Javier Milei por los liberales libertarios",0.035,0.021,0.871,0.018,0.031
"P35","Al candidato del Frente de Izquierda",0,0.041,0,0.755,0.038
"P35","No sabe",0.025,0.101,0.011,0.022,0.563
"P36","Wado de Pedro por el Frente de Todos",0.038,0.734,0.004,0.363,0.276
"P36","Patricia Bullrich por Juntos por el Cambio",0.913,0.065,0.109,0.011,0.119
"P36","Javier Milei por los liberales libertarios",0.037,0.03,0.863,0.013,0.018
"P36","Al candidato del Frente de Izquierda",0,0.027,0.011,0.557,0.021
"P36","No sabe",0.012,0.144,0.013,0.056,0.566
"P37","Daniel Scioli por el Frente de Todos",0.037,0.792,0.013,0.331,0.301
"P37","Patricia Bullrich por Juntos por el Cambio",0.911,0.064,0.106,0.011,0.114
"P37","Javier Milei por los liberales libertarios",0.038,0.016,0.869,0.013,0.016
"P37","Al candidato del Frente de Izquierda",0,0.021,0,0.615,0.009
"P37","No sabe",0.014,0.107,0.012,0.03,0.56
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.572,0.121,0.023,0.096,0.139
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.102,0.821,0.015,0.007,0.066
"P38","Javier Milei presidente y su candidato a vice",0.18,0.023,0.945,0.03,0.02
"P38","A los candidatos de la izquierda",0.013,0.011,0.005,0.852,0.006
"P38","No sabe",0.133,0.024,0.012,0.015,0.769
"P40","Sergio Massa por el Frente de Todos",0.057,0.905,0.046,0.425,0.28
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.766,0.059,0.39,0.13,0.15
"P40","No sabe",0.177,0.036,0.564,0.445,0.57
"P41","Alberto Fernández por el Frente de Todos",0.044,0.767,0.056,0.434,0.28
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.804,0.102,0.398,0.136,0.146
"P41","No sabe",0.152,0.131,0.546,0.43,0.574
"P42","Sergio Massa por el Frente de Todos",0.019,0.891,0.061,0.473,0.292
"P42","Patricia Bullrich por Juntos por el Cambio",0.968,0.069,0.593,0.026,0.137
"P42","No sabe",0.013,0.04,0.346,0.501,0.571
"P43","Alberto Fernández por el Frente de Todos",0.019,0.813,0.06,0.465,0.303
"P43","Patricia Bullrich por Juntos por el Cambio",0.962,0.07,0.631,0.022,0.121
"P43","No sabe",0.019,0.117,0.309,0.513,0.576
"P44","Wado de Pedro por el Frente de Todos",0.03,0.77,0.024,0.491,0.345
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.819,0.093,0.437,0.122,0.162
"P44","No sabe",0.151,0.137,0.539,0.387,0.493
"P45","Daniel Scioli por el Frente de Todos",0.032,0.81,0.041,0.448,0.355
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.814,0.067,0.429,0.134,0.149
"P45","No sabe",0.154,0.123,0.53,0.418,0.496
"P46","Wado de Pedro por el Frente de Todos",0.014,0.773,0.046,0.557,0.34
"P46","Patricia Bullrich por Juntos por el Cambio",0.957,0.068,0.607,0.096,0.124
"P46","No sabe",0.029,0.159,0.347,0.347,0.536
"P47","Daniel Scioli por el Frente de Todos",0.018,0.835,0.051,0.504,0.388
"P47","Patricia Bullrich por Juntos por el Cambio",0.964,0.063,0.643,0.075,0.121
"P47","No sabe",0.018,0.102,0.306,0.421,0.491
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.58,0.229,0.045,0.246,0.15
"P48","Javier Milei por los liberales libertarios",0.331,0.059,0.877,0.035,0.059
"P48","No sabe",0.089,0.712,0.078,0.719,0.791
"P49","Patricia Bullrich por Juntos por el Cambio",0.894,0.1,0.067,0.059,0.122
"P49","Javier Milei por los liberales libertarios",0.073,0.07,0.884,0.049,0.034
"P49","No sabe",0.033,0.83,0.049,0.892,0.844
"P50","Alberto Fernández por el Frente de Todos",0.161,0.753,0.011,0.394,0.305
"P50","Javier Milei por los liberales libertarios",0.505,0.054,0.939,0.038,0.065
"P50","No sabe",0.334,0.193,0.05,0.568,0.63
"P51","Sergio Massa por el Frente de Todos",0.048,0.891,0.013,0.483,0.316
"P51","Javier Milei por los liberales libertarios",0.612,0.041,0.943,0.024,0.065
"P51","No sabe",0.34,0.068,0.044,0.493,0.619
"P52","Muy buena",0.011,0.149,0.009,0.152,0.084
"P52","Buena",0.073,0.315,0.125,0.045,0.091
"P52","Ni buena ni mala",0.058,0.33,0.079,0.312,0.275
"P52","Mala",0.076,0.133,0.068,0.162,0.194
"P52","Muy mala",0.777,0.072,0.71,0.315,0.334
"P52","No sabe",0.005,0.001,0.009,0.014,0.022
"P53","Muy buena",0.012,0.573,0.014,0.403,0.41
"P53","Buena",0.011,0.16,0.022,0.086,0.065
"P53","Ni buena ni mala",0.012,0.133,0.06,0.084,0.088
"P53","Mala",0.048,0.056,0.07,0.127,0.104
"P53","Muy mala",0.916,0.078,0.834,0.3,0.318
"P53","No sabe",0.001,0,0,0,0.015
"P54","Muy buena",0.406,0.099,0.098,0.128,0.091
"P54","Buena",0.297,0.025,0.151,0.025,0.044
"P54","Ni buena ni mala",0.152,0.05,0.221,0.019,0.078
"P54","Mala",0.035,0.131,0.175,0.076,0.191
"P54","Muy mala",0.106,0.694,0.352,0.736,0.58
"P54","No sabe",0.004,0.001,0.003,0.016,0.016
"P55","Muy buena",0.248,0.034,0.066,0.052,0.068
"P55","Buena",0.372,0.038,0.138,0.075,0.095
"P55","Ni buena ni mala",0.242,0.111,0.31,0.046,0.146
"P55","Mala",0.074,0.224,0.201,0.217,0.155
"P55","Muy mala",0.062,0.592,0.277,0.591,0.504
"P55","No sabe",0.002,0.001,0.008,0.019,0.032
"P56","Muy buena",0.036,0.185,0.013,0.054,0.029
"P56","Buena",0.049,0.392,0.046,0.117,0.122
"P56","Ni buena ni mala",0.093,0.293,0.149,0.219,0.299
"P56","Mala",0.132,0.053,0.143,0.303,0.185
"P56","Muy mala",0.689,0.075,0.638,0.307,0.328
"P56","No sabe",0.001,0.002,0.011,0,0.037
"P57","Muy buena",0.62,0.049,0.202,0.053,0.061
"P57","Buena",0.22,0.084,0.206,0.059,0.041
"P57","Ni buena ni mala",0.062,0.089,0.23,0.044,0.191
"P57","Mala",0.037,0.111,0.148,0.139,0.136
"P57","Muy mala",0.061,0.657,0.206,0.705,0.546
"P57","No sabe",0,0.01,0.008,0,0.025
"P58","Muy buena",0.126,0.013,0.646,0.009,0.033
"P58","Buena",0.223,0.017,0.216,0.017,0.028
"P58","Ni buena ni mala",0.378,0.08,0.09,0.132,0.184
"P58","Mala",0.14,0.134,0.021,0.036,0.219
"P58","Muy mala",0.116,0.733,0.024,0.798,0.486
"P58","No sabe",0.017,0.023,0.003,0.008,0.05
"P59","Muy buena",0.006,0.288,0.096,0.177,0.206
"P59","Buena",0.02,0.292,0.064,0.259,0.121
"P59","Ni buena ni mala",0.16,0.152,0.131,0.142,0.189
"P59","Mala",0.148,0.082,0.163,0.039,0.139
"P59","Muy mala",0.63,0.162,0.451,0.328,0.271
"P59","No sabe",0.036,0.024,0.095,0.055,0.074
"P60","Muy buena",0.003,0.257,0.03,0.072,0.139
"P60","Buena",0.02,0.365,0.042,0.274,0.208
"P60","Ni buena ni mala",0.077,0.281,0.077,0.242,0.256
"P60","Mala",0.167,0.038,0.177,0.151,0.13
"P60","Muy mala",0.723,0.05,0.662,0.258,0.248
"P60","No sabe",0.01,0.009,0.012,0.003,0.019
"P61","Muy buena",0.285,0.041,0.078,0.064,0.053
"P61","Buena",0.344,0.065,0.154,0.07,0.066
"P61","Ni buena ni mala",0.22,0.087,0.25,0.051,0.159
"P61","Mala",0.072,0.157,0.159,0.046,0.154
"P61","Muy mala",0.077,0.643,0.357,0.769,0.532
"P61","No sabe",0.002,0.007,0.002,0,0.036
"P62","Muy buena",0.126,0.041,0.083,0.042,0.058
"P62","Buena",0.265,0.114,0.156,0.053,0.095
"P62","Ni buena ni mala",0.351,0.359,0.351,0.331,0.309
"P62","Mala",0.127,0.263,0.13,0.183,0.144
"P62","Muy mala",0.117,0.198,0.218,0.365,0.291
"P62","No sabe",0.014,0.025,0.062,0.026,0.103
"P63","Siempre",0.348,0.336,0.299,0.242,0.289
"P63","Casi siempre",0.415,0.416,0.376,0.462,0.349
"P63","Casi nunca",0.189,0.194,0.164,0.194,0.214
"P63","Nunca, pero esta es una excepción",0.048,0.054,0.161,0.102,0.148
"P64","Si",0.622,0.665,0.61,0.562,0.556
"P64","No",0.378,0.335,0.39,0.438,0.444
