"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P50","Javier Milei por los liberales libertarios",0.03,0.41,0.911,0.093,0.128
"P50","No sabe",0.214,0.415,0.043,0.538,0.635
"P51","Sergio Massa por el Frente de Todos",0.865,0.081,0.01,0.452,0.277
"P51","Javier Milei por los liberales libertarios",0.009,0.503,0.951,0.116,0.135
"P51","No sabe",0.126,0.416,0.039,0.432,0.588
"P52","Muy buena",0.159,0.006,0.011,0.127,0.076
"P52","Buena",0.27,0.071,0.117,0.097,0.118
"P52","Ni buena ni mala",0.345,0.091,0.054,0.231,0.238
"P52","Mala",0.159,0.086,0.065,0.203,0.136
"P52","Muy mala",0.064,0.739,0.747,0.319,0.416
"P52","No sabe",0.003,0.007,0.006,0.023,0.016
"P53","Muy buena",0.715,0.006,0.01,0.212,0.196
"P53","Buena",0.136,0.007,0.019,0.102,0.096
"P53","Ni buena ni mala",0.1,0.031,0.04,0.083,0.119
"P53","Mala",0.037,0.063,0.051,0.171,0.133
"P53","Muy mala",0.012,0.892,0.879,0.432,0.443
"P53","No sabe",0,0.001,0.001,0,0.013
"P54","Muy buena",0.092,0.385,0.173,0.097,0.154
"P54","Buena",0.013,0.247,0.21,0.03,0.109
"P54","Ni buena ni mala",0.007,0.156,0.2,0.048,0.144
"P54","Mala",0.106,0.055,0.145,0.13,0.172
"P54","Muy mala",0.781,0.153,0.268,0.695,0.403
"P54","No sabe",0.001,0.004,0.004,0,0.018
"P55","Muy buena",0.006,0.328,0.083,0.074,0.042
"P55","Buena",0.009,0.46,0.14,0.045,0.121
"P55","Ni buena ni mala",0.051,0.17,0.319,0.057,0.303
"P55","Mala",0.232,0.023,0.194,0.293,0.164
"P55","Muy mala",0.701,0.018,0.256,0.531,0.336
"P55","No sabe",0.001,0.001,0.008,0,0.034
"P56","Muy buena",0.142,0.054,0.01,0.019,0.077
"P56","Buena",0.35,0.08,0.036,0.123,0.124
"P56","Ni buena ni mala",0.32,0.091,0.123,0.232,0.26
"P56","Mala",0.117,0.145,0.123,0.27,0.124
"P56","Muy mala",0.071,0.627,0.698,0.356,0.381
"P56","No sabe",0,0.003,0.01,0,0.034
"P57","Muy buena",0.024,0.5,0.351,0.095,0.216
"P57","Buena",0.057,0.224,0.218,0.04,0.073
"P57","Ni buena ni mala",0.073,0.112,0.151,0.04,0.193
"P57","Mala",0.08,0.071,0.11,0.2,0.138
"P57","Muy mala",0.761,0.093,0.163,0.625,0.35
"P57","No sabe",0.005,0,0.007,0,0.03
"P58","Muy buena",0.007,0.062,0.574,0.01,0.054
