"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertario","Al candidato del Frente de Izquierda","No sabe"
"P14","Puede que lo vote",0.026,0.022,0.063,0.309,0.372,0.263,0.065,0.084,0.105
"P14","Nunca lo votaría",0.852,0.942,0.861,0.309,0.337,0.332,0.81,0.85,0.509
"P14","No sabe",0.037,0.019,0.043,0.123,0.147,0.17,0.071,0.029,0.282
"P15","Lo votaría",0.558,0.179,0.184,0.062,0.041,0.039,0.104,0.023,0.031
"P15","Puede que lo vote",0.281,0.453,0.357,0.117,0.093,0.112,0.2,0.163,0.108
"P15","Nunca lo votaría",0.137,0.304,0.379,0.727,0.838,0.817,0.625,0.754,0.599
"P15","No sabe",0.024,0.064,0.08,0.094,0.028,0.032,0.071,0.06,0.262
"P16","Lo votaría",0.171,0.074,0.241,0.073,0.042,0.016,0.068,0.026,0.015
"P16","Puede que lo vote",0.309,0.289,0.339,0.195,0.114,0.125,0.207,0.158,0.116
"P16","Nunca lo votaría",0.336,0.526,0.35,0.51,0.763,0.731,0.606,0.722,0.483
"P16","No sabe",0.184,0.111,0.07,0.222,0.081,0.128,0.119,0.094,0.386
"P17","La votaría",0.288,0.777,0.474,0.018,0.044,0.024,0.135,0.142,0.067
"P17","Puede que la vote",0.342,0.136,0.228,0.052,0.033,0.034,0.288,0.236,0.087
"P17","Nunca la votaría",0.313,0.061,0.232,0.844,0.89,0.904,0.492,0.568,0.562
"P17","No sabe",0.057,0.026,0.066,0.086,0.033,0.038,0.085,0.054,0.284
"P18","Lo votaría",0.147,0.184,0.176,0.011,0.041,0.033,0.555,0.715,0.029
"P18","Puede que lo vote",0.267,0.327,0.285,0.095,0.069,0.062,0.186,0.134,0.129
"P18","Nunca lo votaría",0.521,0.419,0.468,0.811,0.879,0.853,0.217,0.133,0.592
"P18","No sabe",0.065,0.07,0.071,0.083,0.011,0.052,0.042,0.018,0.25
"P19","La votaría",0.255,0.235,0.206,0.056,0.04,0.037,0.08,0.113,0.028
"P19","Puede que la vote",0.293,0.393,0.314,0.075,0.039,0.023,0.196,0.192,0.113
"P19","Nunca la votaría",0.382,0.298,0.385,0.8,0.87,0.859,0.644,0.645,0.583
"P19","No sabe",0.07,0.074,0.095,0.069,0.051,0.081,0.08,0.05,0.276
"P20","Lo votaría",0.048,0.037,0.048,0.092,0.474,0.237,0.02,0.025,0.041
"P20","Puede que lo vote",0.101,0.058,0.096,0.312,0.308,0.314,0.061,0.046,0.091
"P20","Nunca lo votaría",0.716,0.851,0.773,0.386,0.188,0.319,0.804,0.822,0.529
"P20","No sabe",0.135,0.054,0.083,0.21,0.03,0.13,0.115,0.107,0.339
"P21","Lo votaría",0.064,0.013,0.018,0.146,0.238,0.453,0.056,0.027,0.032
"P21","Puede que lo vote",0.091,0.025,0.078,0.414,0.421,0.354,0.084,0.08,0.133
"P21","Nunca lo votaría",0.776,0.934,0.863,0.282,0.278,0.118,0.825,0.836,0.536
"P21","No sabe",0.069,0.028,0.041,0.158,0.063,0.075,0.035,0.057,0.299
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.601,0.024,0.036,0.014,0,0.005,0.152,0.004,0.047
"P22","Patricia Bullrich por Juntos por el Cambio",0.102,0.867,0.575,0.001,0.01,0.016,0.052,0.017,0.033
"P22","Facundo Manes por Juntos por el Cambio",0.134,0.015,0.25,0.064,0.005,0.016,0.019,0.017,0.009
"P22","Alberto Fernández por el Frente de Todos",0.043,0.014,0.011,0.12,0.083,0.121,0.036,0.013,0.148
"P22","Sergio Massa por el Frente de Todos",0.009,0.004,0.007,0.606,0.112,0.042,0.031,0.016,0.029
"P22","Wado de Pedro por el Frente de Todos",0,0.015,0.007,0.034,0.674,0.224,0.013,0.001,0.022
"P22","Daniel Scioli por el Frente de Todos",0.006,0.002,0.009,0.072,0.053,0.451,0.051,0.005,0.007
"P22","Javier Milei por los liberales libertarios",0.048,0.037,0.07,0.004,0.014,0.015,0.602,0.838,0.023
"P22","Al candidato del Frente de Izquierda",0.013,0.004,0.022,0.005,0.011,0.013,0.006,0.063,0.112
"P22","No sabe",0.044,0.018,0.013,0.08,0.038,0.097,0.038,0.026,0.57
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.608,0.018,0.026,0.006,0,0.012,0.142,0.008,0.035
"P23","Patricia Bullrich por Juntos por el Cambio",0.045,0.83,0.54,0,0.011,0.008,0.054,0.012,0.028
"P23","María Eugenia Vidal por Juntos por el Cambio",0.127,0.103,0.134,0.026,0.014,0.025,0.042,0.005,0.02
"P23","Facundo Manes por Juntos por el Cambio",0.092,0.005,0.19,0.046,0.02,0.005,0.017,0.009,0.021
"P23","Sergio Massa por el Frente de Todos",0.026,0.002,0.014,0.715,0.149,0.063,0.032,0.002,0.016
"P23","Wado de Pedro por el Frente de Todos",0,0.01,0.005,0.023,0.697,0.221,0.001,0.003,0.014
"P23","Daniel Scioli por el Frente de Todos",0.004,0.002,0.002,0.096,0.05,0.575,0.058,0.011,0.019
"P23","Javier Milei por los liberales libertarios",0.044,0.02,0.069,0.005,0.013,0.027,0.603,0.878,0.019
"P23","Al candidato del Frente de Izquierda",0.011,0.001,0.003,0.012,0.019,0.016,0.007,0.065,0.11
"P23","No sabe",0.043,0.009,0.017,0.071,0.027,0.048,0.044,0.007,0.718
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.621,0.01,0.031,0.003,0,0.012,0.158,0.013,0.031
"P24","Patricia Bullrich por Juntos por el Cambio",0.044,0.865,0.561,0,0.006,0.003,0.044,0.006,0.033
"P24","María Eugenia Vidal por Juntos por el Cambio",0.121,0.088,0.142,0.008,0.015,0.012,0.039,0.003,0.028
"P24","Facundo Manes por Juntos por el Cambio",0.115,0.006,0.207,0.064,0.007,0.001,0.005,0,0.02
"P24","Sergio Massa por el Frente de Todos",0.005,0,0.009,0.714,0.138,0.125,0.002,0.006,0.024
"P24","Wado de Pedro por el Frente de Todos",0.007,0.002,0.002,0.03,0.735,0.331,0.002,0.002,0.009
"P24","Alberto Fernández por el Frente de Todos",0.036,0.007,0.004,0.121,0.057,0.313,0.102,0.011,0.114
"P24","Javier Milei por los liberales libertarios",0.021,0.017,0.032,0.001,0.017,0.019,0.604,0.877,0.022
"P24","Al candidato del Frente de Izquierda",0,0.002,0.002,0.005,0.003,0.005,0,0.076,0.126
"P24","No sabe",0.03,0.003,0.01,0.054,0.022,0.179,0.044,0.006,0.593
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.691,0.079,0.09,0.014,0.005,0.008,0.113,0.015,0.012
"P26","Patricia Bulrich por Juntos por el Cambio",0.114,0.861,0.547,0.092,0.033,0.01,0.04,0.022,0.023
"P26","Alberto Fernández por el Frente de Todos",0.036,0.008,0.078,0.144,0.161,0.282,0.046,0.016,0.144
"P26","Sergio Massa por el Frente de Todos",0.006,0.003,0.005,0.678,0.484,0.346,0.013,0.023,0.034
"P26","Javier Milei por los liberales libertarios",0.046,0.037,0.16,0.006,0.097,0.027,0.576,0.822,0.015
"P26","Al candidato del Frente de Izquierda",0.06,0.002,0.017,0.007,0.06,0.171,0.023,0.087,0.102
"P26","No sabe",0.047,0.01,0.103,0.059,0.16,0.156,0.189,0.015,0.67
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.759,0.055,0.118,0.02,0.013,0.01,0.118,0.013,0.013
"P27","Patricia Bullrich por Juntos por el Cambio",0.08,0.883,0.588,0.037,0.013,0.013,0.047,0.021,0.028
"P27","Wado de Pedro por el Frente de Todos",0.004,0.001,0.013,0.061,0.687,0.35,0.028,0.011,0.046
"P27","Sergio Massa por el Frente de Todos",0.004,0.003,0.035,0.822,0.176,0.325,0.022,0.011,0.059
"P27","Javier Milei por los liberales libertarios",0.058,0.042,0.123,0.003,0.056,0.04,0.688,0.836,0.016
"P27","Al candidato del Frente de Izquierda",0.023,0.005,0.018,0.007,0.013,0.097,0.016,0.096,0.113
"P27","No sabe",0.072,0.011,0.105,0.05,0.042,0.165,0.081,0.012,0.725
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.747,0.053,0.111,0.062,0.01,0.02,0.14,0.021,0.032
"P28","Patricia Bullrich por Juntos por el Cambio",0.118,0.872,0.631,0.039,0.003,0.007,0.035,0.012,0.033
"P28","Wado de Pedro por el Frente de Todos",0.009,0.01,0.015,0.238,0.734,0.211,0.007,0.004,0.069
"P28","Daniel Scioli por el Frente de Todos",0.005,0.003,0.008,0.387,0.128,0.57,0.048,0.017,0.043
"P28","Javier Milei por los liberales libertarios",0.037,0.034,0.099,0.029,0.064,0.043,0.709,0.85,0.013
"P28","Al candidato del Frente de Izquierda",0.022,0.005,0.016,0.012,0.016,0.059,0.022,0.09,0.112
"P28","No sabe",0.062,0.023,0.12,0.233,0.045,0.09,0.039,0.006,0.698
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.706,0.102,0.384,0.033,0.013,0.005,0.108,0.017,0.053
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.132,0.78,0.329,0.018,0.02,0.016,0.086,0.012,0.025
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.03,0.014,0.022,0.671,0.151,0.277,0.013,0.005,0.088
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.019,0.021,0.023,0.139,0.673,0.416,0.035,0.006,0.052
"P29","Javier Milei presidente y su candidato a vice",0.035,0.039,0.101,0.025,0.046,0.028,0.703,0.856,0.039
"P29","A los candidatos de la izquierda",0.013,0.006,0.01,0.032,0.013,0.053,0.01,0.087,0.097
"P29","No sabe",0.065,0.038,0.131,0.082,0.084,0.205,0.045,0.017,0.646
"P30","Alberto Fernández por el Frente de Todos",0.058,0.029,0.049,0.596,0.591,0.599,0.051,0.014,0.201
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.793,0.422,0.434,0.081,0.035,0.017,0.162,0,0.035
"P30","Javier Milei por los liberales libertarios",0.042,0.291,0.204,0.046,0.045,0.051,0.718,0.811,0.027
"P30","Al candidato del Frente de Izquierda",0.026,0.02,0.033,0.031,0.08,0.084,0.006,0.11,0.14
"P30","No sabe",0.081,0.238,0.28,0.246,0.249,0.249,0.063,0.065,0.597
"P31","Sergio Massa por el Frente de Todos",0.019,0.016,0.047,0.828,0.61,0.649,0.049,0.023,0.067
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.851,0.481,0.439,0.056,0.046,0.022,0.136,0.005,0.047
"P31","Javier Milei por los liberales libertarios",0.047,0.294,0.213,0.017,0.046,0.024,0.757,0.834,0.035
"P31","Al candidato del Frente de Izquierda",0.013,0.023,0.032,0.03,0.074,0.046,0.009,0.096,0.159
"P31","No sabe",0.07,0.186,0.269,0.069,0.224,0.259,0.049,0.042,0.692
"P32","Wado de Pedro por el Frente de Todos",0.018,0.019,0.019,0.538,0.862,0.657,0.029,0.024,0.062
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.851,0.493,0.449,0.1,0.019,0.033,0.175,0.007,0.076
"P32","Javier Milei por los liberales libertarios",0.038,0.286,0.243,0.042,0.021,0.038,0.717,0.84,0.032
"P32","Al candidato del Frente de Izquierda",0.013,0.021,0.023,0.017,0.016,0.032,0.012,0.089,0.126
"P32","No sabe",0.08,0.181,0.266,0.303,0.082,0.24,0.067,0.04,0.704
"P33","Daniel Scioli por el Frente de Todos",0.034,0.015,0.026,0.633,0.72,0.821,0.054,0.01,0.08
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.816,0.534,0.476,0.096,0.021,0.016,0.146,0.003,0.056
"P33","Javier Milei por los liberales libertarios",0.039,0.276,0.246,0.035,0.026,0.027,0.746,0.842,0.028
"P33","Al candidato del Frente de Izquierda",0.021,0.019,0.025,0.024,0.05,0.046,0.013,0.099,0.132
"P33","No sabe",0.09,0.156,0.227,0.212,0.183,0.09,0.041,0.046,0.704
"P34","Sergio Massa por el Frente de Todos",0.083,0.013,0.048,0.823,0.691,0.668,0.062,0.013,0.067
"P34","Patricia Bullrich por Juntos por el Cambio",0.63,0.892,0.68,0.042,0.034,0.025,0.108,0.054,0.061
"P34","Javier Milei por los liberales libertarios",0.091,0.059,0.116,0.01,0.04,0.013,0.726,0.813,0.052
"P34","Al candidato del Frente de Izquierda",0.03,0.006,0.014,0.015,0.065,0.067,0.018,0.101,0.124
"P34","No sabe",0.166,0.03,0.142,0.11,0.17,0.227,0.086,0.019,0.696
"P35","Alberto Fernández por el Frente de Todos",0.032,0.02,0.008,0.725,0.649,0.651,0.062,0.037,0.189
"P35","Patricia Bullrich por Juntos por el Cambio",0.651,0.909,0.75,0.022,0.017,0.019,0.119,0.036,0.049
"P35","Javier Milei por los liberales libertarios",0.125,0.05,0.057,0.049,0.047,0.036,0.709,0.809,0.035
"P35","Al candidato del Frente de Izquierda",0.081,0.005,0.014,0.031,0.105,0.1,0.019,0.101,0.144
"P35","No sabe",0.111,0.016,0.171,0.173,0.182,0.194,0.091,0.017,0.583
"P36","Wado de Pedro por el Frente de Todos",0.01,0.023,0.02,0.539,0.856,0.651,0.036,0.017,0.115
"P36","Patricia Bullrich por Juntos por el Cambio",0.652,0.913,0.744,0.028,0.01,0.022,0.131,0.037,0.065
"P36","Javier Milei por los liberales libertarios",0.126,0.055,0.053,0.078,0.052,0.036,0.703,0.793,0.032
"P36","Al candidato del Frente de Izquierda",0.073,0.003,0.041,0.053,0.012,0.06,0.02,0.112,0.094
"P36","No sabe",0.139,0.006,0.142,0.302,0.07,0.231,0.11,0.041,0.694
"P37","Daniel Scioli por el Frente de Todos",0.048,0.022,0.016,0.671,0.73,0.783,0.062,0.018,0.115
"P37","Patricia Bullrich por Juntos por el Cambio",0.645,0.916,0.745,0.028,0.018,0.017,0.119,0.037,0.061
"P37","Javier Milei por los liberales libertarios",0.12,0.052,0.056,0.067,0.056,0.031,0.704,0.817,0.023
"P37","Al candidato del Frente de Izquierda",0.051,0.003,0.015,0.027,0.04,0.044,0.023,0.106,0.098
"P37","No sabe",0.136,0.007,0.168,0.207,0.156,0.125,0.092,0.022,0.703
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.711,0.435,0.377,0.112,0.079,0.16,0.122,0.012,0.109
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.137,0.091,0.138,0.774,0.541,0.458,0.101,0.006,0.048
"P38","Javier Milei presidente y su candidato a vice",0.05,0.259,0.204,0.012,0.04,0.068,0.705,0.842,0.046
"P38","A los candidatos de la izquierda",0.065,0.01,0.025,0.023,0.089,0.054,0.015,0.118,0.113
"P38","No sabe",0.037,0.205,0.256,0.079,0.251,0.26,0.057,0.022,0.684
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.637,0.831,0.575,0.038,0.042,0.04,0.117,0.021,0.067
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.072,0.032,0.07,0.792,0.598,0.596,0.085,0.004,0.026
"P39","Javier Milei presidente y su candidato a vice",0.084,0.074,0.142,0.012,0.014,0.038,0.683,0.843,0.021
"P39","A los candidatos de la izquierda",0.033,0.006,0.025,0.021,0.093,0.056,0.022,0.114,0.124
"P39","No sabe",0.174,0.057,0.188,0.137,0.253,0.27,0.093,0.018,0.762
"P40","Sergio Massa por el Frente de Todos",0.036,0.06,0.05,0.896,0.801,0.735,0.106,0.077,0.191
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.797,0.711,0.663,0.038,0.024,0.03,0.398,0.284,0.139
"P40","No sabe",0.167,0.229,0.287,0.066,0.175,0.235,0.496,0.639,0.67
"P41","Alberto Fernández por el Frente de Todos",0.051,0.04,0.028,0.712,0.746,0.61,0.107,0.09,0.281
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.828,0.748,0.668,0.081,0.036,0.072,0.424,0.275,0.174
"P41","No sabe",0.121,0.212,0.304,0.207,0.218,0.318,0.469,0.635,0.545
"P42","Sergio Massa por el Frente de Todos",0.063,0.009,0.042,0.874,0.803,0.736,0.114,0.095,0.214
"P42","Patricia Bullrich por Juntos por el Cambio",0.723,0.957,0.792,0.041,0.059,0.025,0.528,0.491,0.143
"P42","No sabe",0.214,0.034,0.166,0.085,0.138,0.239,0.358,0.414,0.643
"P43","Alberto Fernández por el Frente de Todos",0.05,0.006,0.012,0.742,0.753,0.738,0.121,0.121,0.225
"P43","Patricia Bullrich por Juntos por el Cambio",0.687,0.973,0.813,0.034,0.06,0.016,0.521,0.545,0.122
"P43","No sabe",0.263,0.021,0.175,0.224,0.187,0.246,0.358,0.334,0.653
"P44","Wado de Pedro por el Frente de Todos",0.02,0.026,0.025,0.647,0.888,0.677,0.072,0.052,0.169
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.83,0.776,0.713,0.095,0.043,0.06,0.392,0.348,0.178
"P44","No sabe",0.15,0.198,0.262,0.258,0.069,0.263,0.536,0.6,0.653
"P45","Daniel Scioli por el Frente de Todos",0.03,0.022,0.023,0.705,0.802,0.809,0.085,0.085,0.225
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.826,0.77,0.702,0.071,0.041,0.026,0.405,0.314,0.147
"P45","No sabe",0.144,0.208,0.275,0.224,0.157,0.165,0.51,0.601,0.628
"P46","Wado de Pedro por el Frente de Todos",0.029,0.002,0.052,0.606,0.894,0.729,0.068,0.058,0.213
"P46","Patricia Bullrich por Juntos por el Cambio",0.701,0.973,0.759,0.037,0.047,0.021,0.527,0.526,0.176
"P46","No sabe",0.27,0.025,0.189,0.357,0.059,0.25,0.405,0.416,0.611
"P47","Daniel Scioli por el Frente de Todos",0.042,0,0.038,0.762,0.81,0.835,0.121,0.078,0.226
"P47","Patricia Bullrich por Juntos por el Cambio",0.709,0.99,0.786,0.044,0.047,0.011,0.547,0.55,0.162
"P47","No sabe",0.249,0.01,0.176,0.194,0.143,0.154,0.332,0.372,0.612
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.734,0.492,0.417,0.246,0.196,0.11,0.141,0.037,0.172
"P48","Javier Milei por los liberales libertarios",0.146,0.391,0.359,0.077,0.043,0.073,0.705,0.757,0.054
"P48","No sabe",0.12,0.117,0.224,0.677,0.761,0.817,0.154,0.206,0.774
"P49","Patricia Bullrich por Juntos por el Cambio",0.628,0.882,0.664,0.136,0.069,0.031,0.103,0.02,0.162
"P49","Javier Milei por los liberales libertarios",0.136,0.101,0.125,0.075,0.055,0.063,0.729,0.773,0.05
"P49","No sabe",0.236,0.017,0.211,0.789,0.876,0.906,0.168,0.207,0.788
"P50","Alberto Fernández por el Frente de Todos",0.135,0.139,0.166,0.702,0.665,0.642,0.092,0.056,0.271
"P50","Javier Milei por los liberales libertarios",0.456,0.497,0.486,0.043,0.06,0.068,0.786,0.781,0.095
"P50","No sabe",0.409,0.364,0.348,0.255,0.275,0.29,0.122,0.163,0.634
"P51","Sergio Massa por el Frente de Todos",0.126,0.02,0.071,0.883,0.793,0.723,0.08,0.077,0.264
"P51","Javier Milei por los liberales libertarios",0.519,0.618,0.551,0.038,0.029,0.023,0.801,0.779,0.094
"P51","No sabe",0.355,0.362,0.378,0.079,0.178,0.254,0.119,0.144,0.642
"P52","Muy buena",0.042,0.005,0.006,0.14,0.108,0.223,0.031,0.025,0.048
"P52","Buena",0.067,0.084,0.083,0.329,0.225,0.217,0.09,0.139,0.113
"P52","Ni buena ni mala",0.072,0.043,0.127,0.334,0.408,0.302,0.113,0.093,0.177
"P52","Mala",0.115,0.07,0.132,0.152,0.167,0.156,0.063,0.05,0.194
"P52","Muy mala",0.704,0.791,0.65,0.043,0.092,0.102,0.692,0.687,0.388
"P52","No sabe",0,0.007,0.002,0.002,0,0,0.011,0.006,0.08
"P53","Muy buena",0.03,0.005,0.005,0.392,0.725,0.688,0.063,0.021,0.257
"P53","Buena",0.017,0.016,0.008,0.205,0.115,0.099,0.049,0.022,0.082
"P53","Ni buena ni mala",0.034,0.01,0.034,0.188,0.102,0.136,0.069,0.038,0.055
"P53","Mala",0.08,0.04,0.134,0.142,0.028,0.04,0.044,0.07,0.16
"P53","Muy mala",0.839,0.928,0.819,0.073,0.03,0.037,0.772,0.849,0.404
"P53","No sabe",0,0.001,0,0,0,0,0.003,0,0.042
"P54","Muy buena",0.223,0.431,0.33,0.051,0.091,0.109,0.076,0.111,0.114
"P54","Buena",0.269,0.304,0.218,0,0.021,0.005,0.148,0.115,0.025
"P54","Ni buena ni mala",0.201,0.121,0.154,0.117,0.018,0.019,0.24,0.161,0.107
"P54","Mala",0.09,0.036,0.104,0.16,0.081,0.185,0.152,0.201,0.169
"P54","Muy mala",0.21,0.105,0.19,0.672,0.789,0.682,0.377,0.403,0.543
"P54","No sabe",0.007,0.003,0.004,0,0,0,0.007,0.009,0.042
"P55","Muy buena",0.398,0.201,0.256,0.023,0.012,0.027,0.045,0.046,0.069
"P55","Buena",0.374,0.37,0.311,0.078,0.006,0.018,0.165,0.06,0.064
"P55","Ni buena ni mala",0.159,0.254,0.255,0.177,0.06,0.07,0.313,0.22,0.242
"P55","Mala",0.035,0.078,0.12,0.192,0.197,0.262,0.203,0.26,0.097
"P55","Muy mala",0.034,0.095,0.05,0.53,0.724,0.605,0.26,0.405,0.477
"P55","No sabe",0,0.002,0.008,0,0.001,0.018,0.014,0.009,0.051
"P56","Muy buena",0.052,0.024,0.03,0.36,0.077,0.087,0.017,0.019,0.006
"P56","Buena",0.131,0.039,0.059,0.386,0.302,0.331,0.061,0.033,0.06
"P56","Ni buena ni mala",0.178,0.077,0.147,0.189,0.358,0.356,0.149,0.123,0.302
"P56","Mala",0.148,0.122,0.172,0.012,0.172,0.081,0.176,0.119,0.188
"P56","Muy mala",0.491,0.736,0.592,0.048,0.091,0.122,0.572,0.706,0.393
"P56","No sabe",0,0.002,0,0.005,0,0.023,0.025,0,0.051
"P57","Muy buena",0.263,0.706,0.367,0.103,0.017,0.01,0.15,0.212,0.07
"P57","Buena",0.291,0.202,0.146,0.09,0.037,0.058,0.198,0.184,0.069
"P57","Ni buena ni mala",0.255,0.022,0.189,0.125,0.087,0.11,0.197,0.176,0.141
"P57","Mala",0.117,0.021,0.081,0.104,0.095,0.102,0.209,0.094,0.192
"P57","Muy mala",0.074,0.048,0.215,0.574,0.762,0.709,0.232,0.334,0.442
