"var","categoria","Daniel Scioli por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P25","Al candidato del Frente de Izquierda",0.004,0.001,0.326,0.249,0.029
"P25","No sabe",0.019,0.014,0.006,0.197,0.263
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.336,0.018,0.028,0.019
"P26","Patricia Bulrich por Juntos por el Cambio",0.039,0.555,0.253,0.079,0.253
"P26","Alberto Fernández por el Frente de Todos",0.205,0.006,0.01,0.045,0.129
"P26","Sergio Massa por el Frente de Todos",0.534,0.038,0.016,0.129,0.139
"P26","Javier Milei por los liberales libertarios",0.03,0.027,0.642,0.013,0.064
"P26","Al candidato del Frente de Izquierda",0.059,0.016,0.007,0.622,0.011
"P26","No sabe",0.115,0.022,0.054,0.084,0.385
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.37,0.004,0.029,0.013
"P27","Patricia Bullrich por Juntos por el Cambio",0.012,0.55,0.269,0.091,0.268
"P27","Wado de Pedro por el Frente de Todos",0.421,0.01,0.007,0.219,0.15
"P27","Sergio Massa por el Frente de Todos",0.402,0.033,0.015,0.12,0.127
"P27","Javier Milei por los liberales libertarios",0.022,0.02,0.694,0.015,0.063
"P27","Al candidato del Frente de Izquierda",0.037,0.002,0.004,0.47,0.022
"P27","No sabe",0.09,0.015,0.007,0.056,0.357
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.365,0.008,0.035,0.025
"P28","Patricia Bullrich por Juntos por el Cambio",0.014,0.564,0.26,0.08,0.251
"P28","Wado de Pedro por el Frente de Todos",0.441,0.022,0.003,0.259,0.145
"P28","Daniel Scioli por el Frente de Todos",0.425,0.011,0.002,0.04,0.057
"P28","Javier Milei por los liberales libertarios",0.018,0.015,0.719,0.009,0.07
"P28","Al candidato del Frente de Izquierda",0.023,0.001,0.004,0.535,0.024
"P28","No sabe",0.059,0.022,0.004,0.042,0.428
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.008,0.389,0.054,0.059,0.073
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.015,0.51,0.207,0.095,0.189
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.324,0.046,0.008,0.127,0.127
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.527,0.017,0.004,0.141,0.132
"P29","Javier Milei presidente y su candidato a vice",0.015,0.008,0.709,0.039,0.079
"P29","A los candidatos de la izquierda",0.024,0.001,0.001,0.524,0
"P29","No sabe",0.087,0.029,0.017,0.015,0.4
"P30","Alberto Fernández por el Frente de Todos",0.718,0.044,0.007,0.11,0.171
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.8,0.034,0.011,0.051
"P30","Javier Milei por los liberales libertarios",0.018,0.055,0.907,0.066,0.032
"P30","Al candidato del Frente de Izquierda",0.053,0.01,0.009,0.795,0.005
"P30","No sabe",0.178,0.091,0.043,0.018,0.741
"P31","Sergio Massa por el Frente de Todos",0.777,0.033,0.011,0.14,0.169
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.875,0.018,0.021,0.052
"P31","Javier Milei por los liberales libertarios",0.016,0.038,0.937,0.049,0.039
"P31","Al candidato del Frente de Izquierda",0.037,0.005,0.014,0.727,0.017
"P31","No sabe",0.143,0.049,0.02,0.063,0.723
"P32","Wado de Pedro por el Frente de Todos",0.819,0.024,0.002,0.244,0.152
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.915,0.016,0.008,0.031
"P32","Javier Milei por los liberales libertarios",0.014,0.019,0.964,0.034,0.02
"P32","Al candidato del Frente de Izquierda",0.012,0.002,0.004,0.656,0.002
"P32","No sabe",0.12,0.04,0.014,0.058,0.795
"P34","Sergio Massa por el Frente de Todos",0.819,0.059,0.014,0.141,0.152
"P34","Patricia Bullrich por Juntos por el Cambio",0.017,0.83,0.258,0.08,0.258
"P34","Javier Milei por los liberales libertarios",0.017,0.026,0.721,0.067,0.022
"P34","Al candidato del Frente de Izquierda",0.03,0.014,0,0.712,0.006
"P34","No sabe",0.117,0.071,0.007,0,0.562
"P35","Alberto Fernández por el Frente de Todos",0.774,0.041,0.011,0.118,0.182
"P35","Patricia Bullrich por Juntos por el Cambio",0.011,0.83,0.297,0.075,0.237
"P35","Javier Milei por los liberales libertarios",0.022,0.049,0.686,0.061,0.031
"P35","Al candidato del Frente de Izquierda",0.064,0.023,0.001,0.715,0.027
"P35","No sabe",0.129,0.057,0.005,0.031,0.523
"P36","Wado de Pedro por el Frente de Todos",0.796,0.038,0.005,0.235,0.153
"P36","Patricia Bullrich por Juntos por el Cambio",0.013,0.829,0.288,0.098,0.265
"P36","Javier Milei por los liberales libertarios",0.027,0.053,0.685,0.029,0.027
"P36","Al candidato del Frente de Izquierda",0.022,0.022,0.014,0.593,0.01
"P36","No sabe",0.142,0.058,0.008,0.045,0.545
"P37","Daniel Scioli por el Frente de Todos",0.905,0.035,0.008,0.125,0.084
"P37","Patricia Bullrich por Juntos por el Cambio",0.01,0.826,0.295,0.101,0.268
"P37","Javier Milei por los liberales libertarios",0.016,0.066,0.685,0.023,0.012
"P37","Al candidato del Frente de Izquierda",0.007,0.02,0,0.699,0.008
"P37","No sabe",0.062,0.053,0.012,0.052,0.628
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.138,0.742,0.02,0.084,0.059
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.639,0.138,0.034,0.109,0.177
"P38","Javier Milei presidente y su candidato a vice",0.029,0.035,0.888,0.064,0.029
"P38","A los candidatos de la izquierda",0.044,0.016,0.006,0.695,0.015
"P38","No sabe",0.15,0.069,0.052,0.048,0.72
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.039,0.811,0.24,0.082,0.194
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.719,0.07,0.018,0.097,0.154
"P39","Javier Milei presidente y su candidato a vice",0.005,0.033,0.723,0.034,0.018
"P39","A los candidatos de la izquierda",0.049,0.015,0.002,0.683,0.011
"P39","No sabe",0.188,0.071,0.017,0.104,0.623
"P40","Sergio Massa por el Frente de Todos",0.877,0.046,0.058,0.408,0.256
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.915,0.411,0.128,0.106
"P40","No sabe",0.103,0.039,0.531,0.464,0.638
"P41","Alberto Fernández por el Frente de Todos",0.788,0.025,0.056,0.334,0.235
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.043,0.947,0.435,0.127,0.128
"P41","No sabe",0.169,0.028,0.509,0.539,0.637
"P42","Sergio Massa por el Frente de Todos",0.871,0.033,0.049,0.413,0.253
"P42","Patricia Bullrich por Juntos por el Cambio",0.025,0.889,0.695,0.135,0.294
"P42","No sabe",0.104,0.078,0.256,0.452,0.453
"P43","Alberto Fernández por el Frente de Todos",0.832,0.024,0.053,0.373,0.222
"P43","Patricia Bullrich por Juntos por el Cambio",0.022,0.871,0.721,0.107,0.31
"P43","No sabe",0.146,0.105,0.226,0.52,0.468
"P44","Wado de Pedro por el Frente de Todos",0.832,0.022,0.033,0.375,0.21
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.941,0.484,0.127,0.161
"P44","No sabe",0.138,0.037,0.483,0.498,0.629
"P45","Daniel Scioli por el Frente de Todos",0.924,0.021,0.043,0.279,0.141
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.962,0.455,0.151,0.138
"P45","No sabe",0.071,0.017,0.502,0.57,0.721
"P46","Wado de Pedro por el Frente de Todos",0.832,0.026,0.035,0.394,0.206
"P46","Patricia Bullrich por Juntos por el Cambio",0.018,0.878,0.706,0.178,0.304
"P46","No sabe",0.15,0.096,0.259,0.428,0.49
"P47","Daniel Scioli por el Frente de Todos",0.933,0.029,0.038,0.325,0.158
"P47","Patricia Bullrich por Juntos por el Cambio",0.013,0.885,0.746,0.175,0.308
"P47","No sabe",0.054,0.086,0.216,0.5,0.534
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.194,0.804,0.032,0.187,0.096
"P48","Javier Milei por los liberales libertarios",0.043,0.152,0.894,0.053,0.138
"P48","No sabe",0.763,0.044,0.074,0.76,0.766
"P49","Patricia Bullrich por Juntos por el Cambio",0.054,0.855,0.241,0.108,0.317
"P49","Javier Milei por los liberales libertarios",0.057,0.064,0.716,0.087,0.024
"P49","No sabe",0.889,0.081,0.043,0.805,0.659
"P50","Alberto Fernández por el Frente de Todos",0.757,0.169,0.039,0.343,0.236
"P50","Javier Milei por los liberales libertarios",0.034,0.426,0.917,0.08,0.103
"P50","No sabe",0.209,0.405,0.044,0.577,0.661
"P51","Sergio Massa por el Frente de Todos",0.855,0.072,0.011,0.466,0.27
"P51","Javier Milei por los liberales libertarios",0.022,0.531,0.949,0.091,0.091
"P51","No sabe",0.123,0.397,0.04,0.443,0.639
"P52","Muy buena",0.171,0.012,0.006,0.146,0.041
"P52","Buena",0.274,0.06,0.123,0.081,0.118
"P52","Ni buena ni mala",0.346,0.076,0.057,0.216,0.256
"P52","Mala",0.138,0.094,0.061,0.237,0.155
"P52","Muy mala",0.068,0.753,0.746,0.302,0.408
"P52","No sabe",0.003,0.005,0.007,0.018,0.022
"P53","Muy buena",0.665,0.012,0.015,0.262,0.235
"P53","Buena",0.128,0.005,0.018,0.131,0.107
"P53","Ni buena ni mala",0.124,0.025,0.038,0.099,0.089
"P53","Mala",0.054,0.07,0.054,0.142,0.094
"P53","Muy mala",0.028,0.887,0.874,0.366,0.461
"P53","No sabe",0.001,0.001,0.001,0,0.014
"P54","Muy buena",0.096,0.38,0.177,0.091,0.144
"P54","Buena",0.017,0.25,0.198,0.068,0.113
"P54","Ni buena ni mala",0.026,0.157,0.198,0.029,0.128
"P54","Mala",0.124,0.054,0.147,0.111,0.152
"P54","Muy mala",0.736,0.155,0.276,0.681,0.448
"P54","No sabe",0.001,0.004,0.004,0.02,0.015
"P55","Muy buena",0.013,0.323,0.073,0.06,0.047
"P55","Buena",0.02,0.442,0.139,0.026,0.129
"P55","Ni buena ni mala",0.085,0.192,0.318,0.079,0.23
"P55","Mala",0.22,0.023,0.2,0.238,0.187
"P55","Muy mala",0.655,0.019,0.262,0.564,0.389
"P55","No sabe",0.007,0.001,0.008,0.033,0.018
"P56","Muy buena",0.159,0.053,0.01,0.018,0.047
"P56","Buena",0.367,0.072,0.034,0.102,0.104
"P56","Ni buena ni mala",0.309,0.096,0.127,0.245,0.263
"P56","Mala",0.086,0.135,0.127,0.333,0.167
"P56","Muy mala",0.079,0.643,0.692,0.302,0.378
"P56","No sabe",0,0.001,0.01,0,0.041
"P57","Muy buena",0.034,0.513,0.333,0.082,0.214
"P57","Buena",0.06,0.218,0.22,0.048,0.071
"P57","Ni buena ni mala",0.09,0.11,0.153,0.022,0.184
"P57","Mala",0.095,0.061,0.116,0.182,0.125
"P57","Muy mala",0.713,0.098,0.171,0.666,0.378
"P57","No sabe",0.008,0,0.007,0,0.028
"P58","Muy buena",0.014,0.068,0.58,0.013,0.041
"P58","Buena",0.008,0.198,0.241,0.063,0.039
"P58","Ni buena ni mala",0.065,0.38,0.133,0.162,0.255
"P58","Mala",0.139,0.176,0.02,0.065,0.19
"P58","Muy mala",0.754,0.162,0.023,0.697,0.411
"P58","No sabe",0.02,0.016,0.003,0,0.064
"P59","Muy buena",0.329,0.005,0.074,0.16,0.12
"P59","Buena",0.308,0.031,0.053,0.159,0.089
"P59","Ni buena ni mala",0.138,0.183,0.113,0.166,0.214
"P59","Mala",0.054,0.18,0.141,0.042,0.168
"P59","Muy mala",0.15,0.581,0.533,0.413,0.308
"P59","No sabe",0.021,0.02,0.086,0.06,0.101
"P60","Muy buena",0.297,0.002,0.023,0.022,0.058
"P60","Buena",0.45,0.02,0.032,0.105,0.087
"P60","Ni buena ni mala",0.227,0.089,0.081,0.362,0.285
"P60","Mala",0.009,0.181,0.172,0.198,0.166
"P60","Muy mala",0.014,0.702,0.682,0.309,0.367
"P60","No sabe",0.003,0.006,0.01,0.004,0.037
"P61","Muy buena",0.028,0.332,0.087,0.102,0.064
"P61","Buena",0.068,0.325,0.196,0.023,0.115
"P61","Ni buena ni mala",0.05,0.194,0.253,0.046,0.256
"P61","Mala",0.138,0.065,0.162,0.166,0.118
"P61","Muy mala",0.704,0.081,0.301,0.663,0.419
"P61","No sabe",0.012,0.003,0.001,0,0.028
"P62","Muy buena",0.028,0.157,0.076,0.046,0.059
"P62","Buena",0.09,0.27,0.164,0.088,0.148
"P62","Ni buena ni mala",0.329,0.403,0.322,0.323,0.323
"P62","Mala",0.251,0.098,0.16,0.239,0.134
"P62","Muy mala",0.264,0.057,0.229,0.27,0.253
"P62","No sabe",0.038,0.015,0.049,0.034,0.083
"P63","Siempre",0.32,0.335,0.31,0.295,0.318
"P63","Casi siempre",0.402,0.438,0.368,0.384,0.39
"P63","Casi nunca",0.19,0.175,0.183,0.247,0.207
"P63","Nunca, pero esta es una excepción",0.088,0.052,0.139,0.074,0.085
"P64","Si",0.64,0.625,0.623,0.551,0.569
"P64","No",0.36,0.375,0.377,0.449,0.431
