"var","categoria","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P27","No sabe",0.074,0.012,0.008,0.068,0.449
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.183,0.071,0.142,0.084
"P28","Patricia Bullrich por Juntos por el Cambio",0.008,0.747,0.039,0,0.04
"P28","Wado de Pedro por el Frente de Todos",0.46,0.009,0.023,0.186,0.149
"P28","Daniel Scioli por el Frente de Todos",0.387,0.001,0.014,0.018,0.123
"P28","Javier Milei por los liberales libertarios",0.022,0.041,0.838,0.007,0.079
"P28","Al candidato del Frente de Izquierda",0.025,0.002,0.008,0.584,0.028
"P28","No sabe",0.063,0.017,0.007,0.063,0.497
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.01,0.282,0.051,0.112,0.121
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.015,0.62,0.043,0.028,0.016
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.323,0.018,0.022,0.103,0.175
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.524,0.001,0.028,0.119,0.151
"P29","Javier Milei presidente y su candidato a vice",0.019,0.039,0.828,0.024,0.087
"P29","A los candidatos de la izquierda",0.025,0.001,0.002,0.566,0.004
"P29","No sabe",0.084,0.039,0.026,0.048,0.446
"P30","Alberto Fernández por el Frente de Todos",0.712,0.026,0.02,0.077,0.208
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.044,0.53,0.067,0.13,0.116
"P30","Javier Milei por los liberales libertarios",0.014,0.237,0.874,0,0.021
"P30","Al candidato del Frente de Izquierda",0.058,0.009,0.014,0.746,0.02
"P30","No sabe",0.172,0.198,0.025,0.047,0.635
"P31","Sergio Massa por el Frente de Todos",0.767,0.009,0.028,0.141,0.221
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.576,0.082,0.141,0.124
"P31","Javier Milei por los liberales libertarios",0.008,0.246,0.86,0,0.03
"P31","Al candidato del Frente de Izquierda",0.047,0.013,0.012,0.625,0.039
"P31","No sabe",0.145,0.156,0.018,0.093,0.586
"P32","Wado de Pedro por el Frente de Todos",0.812,0.005,0.02,0.233,0.204
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.045,0.592,0.075,0.126,0.108
"P32","Javier Milei por los liberales libertarios",0.01,0.24,0.872,0,0.024
"P32","Al candidato del Frente de Izquierda",0.017,0.01,0.004,0.588,0.012
"P32","No sabe",0.116,0.153,0.029,0.053,0.652
"P33","Daniel Scioli por el Frente de Todos",0.891,0.008,0.021,0.049,0.122
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.617,0.081,0.135,0.096
"P33","Javier Milei por los liberales libertarios",0.008,0.23,0.883,0,0.024
"P33","Al candidato del Frente de Izquierda",0.019,0.013,0.005,0.782,0.016
"P33","No sabe",0.05,0.132,0.01,0.034,0.742
"P34","Sergio Massa por el Frente de Todos",0.816,0.015,0.041,0.182,0.206
"P34","Patricia Bullrich por Juntos por el Cambio",0.014,0.918,0.063,0,0.023
"P34","Javier Milei por los liberales libertarios",0.011,0.047,0.877,0,0.029
"P34","Al candidato del Frente de Izquierda",0.035,0,0.005,0.767,0.019
"P34","No sabe",0.124,0.02,0.014,0.051,0.723
"P35","Alberto Fernández por el Frente de Todos",0.787,0.006,0.024,0.11,0.231
"P35","Patricia Bullrich por Juntos por el Cambio",0.005,0.947,0.05,0,0.036
"P35","Javier Milei por los liberales libertarios",0.02,0.028,0.902,0.006,0.018
"P35","Al candidato del Frente de Izquierda",0.065,0,0.015,0.853,0.024
"P35","No sabe",0.123,0.019,0.009,0.031,0.691
"P36","Wado de Pedro por el Frente de Todos",0.838,0.001,0.023,0.169,0.144
"P36","Patricia Bullrich por Juntos por el Cambio",0.005,0.976,0.03,0,0.02
"P36","Javier Milei por los liberales libertarios",0.023,0.018,0.929,0,0.004
"P36","Al candidato del Frente de Izquierda",0.021,0.002,0.013,0.788,0.028
"P36","No sabe",0.113,0.003,0.005,0.043,0.804
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.162,0.489,0.056,0.072,0.109
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.617,0.121,0.031,0.099,0.215
"P38","Javier Milei presidente y su candidato a vice",0.02,0.208,0.899,0,0.025
"P38","A los candidatos de la izquierda",0.046,0.014,0.005,0.792,0.012
"P38","No sabe",0.155,0.168,0.009,0.037,0.639
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.041,0.828,0.06,0,0.032
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.701,0.047,0.021,0.141,0.197
"P39","Javier Milei presidente y su candidato a vice",0.009,0.063,0.901,0,0.018
"P39","A los candidatos de la izquierda",0.057,0.002,0.003,0.815,0.011
"P39","No sabe",0.192,0.06,0.015,0.044,0.742
"P40","Sergio Massa por el Frente de Todos",0.868,0.044,0.061,0.406,0.32
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.748,0.366,0.165,0.15
"P40","No sabe",0.107,0.208,0.573,0.429,0.53
"P41","Alberto Fernández por el Frente de Todos",0.784,0.036,0.054,0.314,0.279
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.05,0.78,0.392,0.171,0.155
"P41","No sabe",0.166,0.184,0.554,0.515,0.566
"P42","Sergio Massa por el Frente de Todos",0.882,0.008,0.063,0.443,0.323
"P42","Patricia Bullrich por Juntos por el Cambio",0.01,0.966,0.574,0.023,0.081
"P42","No sabe",0.108,0.026,0.363,0.534,0.596
"P43","Alberto Fernández por el Frente de Todos",0.839,0.005,0.071,0.389,0.278
"P43","Patricia Bullrich por Juntos por el Cambio",0.009,0.973,0.597,0.02,0.053
"P43","No sabe",0.152,0.022,0.332,0.591,0.669
"P44","Wado de Pedro por el Frente de Todos",0.834,0.02,0.033,0.361,0.26
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.04,0.811,0.416,0.151,0.153
"P44","No sabe",0.126,0.169,0.551,0.488,0.587
"P45","Daniel Scioli por el Frente de Todos",0.9,0.019,0.055,0.258,0.219
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.799,0.404,0.159,0.142
"P45","No sabe",0.074,0.182,0.541,0.583,0.639
"P46","Wado de Pedro por el Frente de Todos",0.835,0.008,0.057,0.402,0.262
"P46","Patricia Bullrich por Juntos por el Cambio",0.015,0.958,0.589,0.094,0.048
"P46","No sabe",0.15,0.034,0.354,0.504,0.69
"P47","Daniel Scioli por el Frente de Todos",0.938,0.003,0.062,0.335,0.223
"P47","Patricia Bullrich por Juntos por el Cambio",0.005,0.981,0.62,0.075,0.03
"P47","No sabe",0.057,0.016,0.318,0.59,0.747
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.196,0.538,0.078,0.272,0.155
"P48","Javier Milei por los liberales libertarios",0.04,0.355,0.855,0.008,0.034
"P48","No sabe",0.764,0.107,0.067,0.72,0.811
"P49","Patricia Bullrich por Juntos por el Cambio",0.05,0.878,0.059,0.085,0.075
"P49","Javier Milei por los liberales libertarios",0.047,0.083,0.902,0.032,0.058
"P49","No sabe",0.903,0.039,0.039,0.883,0.867
"P50","Alberto Fernández por el Frente de Todos",0.778,0.156,0.022,0.347,0.178
"P50","Javier Milei por los liberales libertarios",0.021,0.498,0.936,0.016,0.099
"P50","No sabe",0.201,0.346,0.042,0.637,0.723
"P51","Sergio Massa por el Frente de Todos",0.858,0.039,0.029,0.478,0.326
"P51","Javier Milei por los liberales libertarios",0.019,0.609,0.924,0.01,0.062
"P51","No sabe",0.123,0.352,0.047,0.512,0.612
"P52","Muy buena",0.16,0.005,0.021,0.13,0.069
"P52","Buena",0.283,0.084,0.109,0.054,0.103
"P52","Ni buena ni mala",0.339,0.062,0.079,0.235,0.304
"P52","Mala",0.152,0.068,0.076,0.222,0.178
"P52","Muy mala",0.063,0.777,0.707,0.34,0.318
"P52","No sabe",0.003,0.004,0.008,0.019,0.028
"P53","Muy buena",0.682,0.004,0.018,0.211,0.272
"P53","Buena",0.119,0.01,0.029,0.136,0.128
"P53","Ni buena ni mala",0.123,0.012,0.054,0.108,0.121
"P53","Mala",0.057,0.045,0.079,0.146,0.118
"P53","Muy mala",0.018,0.928,0.819,0.399,0.343
"P53","No sabe",0.001,0.001,0.001,0,0.018
"P54","Muy buena",0.088,0.408,0.079,0.07,0.08
"P54","Buena",0.006,0.291,0.155,0.034,0.037
"P54","Ni buena ni mala",0.022,0.141,0.229,0.035,0.152
"P54","Mala",0.132,0.039,0.184,0.089,0.2
"P54","Muy mala",0.751,0.118,0.349,0.751,0.512
"P54","No sabe",0.001,0.003,0.004,0.021,0.019
"P55","Muy buena",0.011,0.253,0.066,0.087,0.052
"P55","Buena",0.024,0.362,0.125,0.082,0.119
"P55","Ni buena ni mala",0.077,0.246,0.302,0.055,0.204
"P55","Mala",0.224,0.071,0.215,0.212,0.158
"P55","Muy mala",0.663,0.065,0.282,0.543,0.431
"P55","No sabe",0.001,0.003,0.01,0.021,0.036
"P56","Muy buena",0.158,0.036,0.012,0.026,0.063
"P56","Buena",0.367,0.051,0.038,0.081,0.145
"P56","Ni buena ni mala",0.314,0.089,0.167,0.236,0.264
"P56","Mala",0.089,0.124,0.145,0.281,0.188
"P56","Muy mala",0.064,0.699,0.621,0.376,0.314
"P56","No sabe",0.008,0.001,0.017,0,0.026
"P57","Muy buena",0.033,0.599,0.199,0.062,0.019
"P57","Buena",0.058,0.226,0.219,0,0.032
"P57","Ni buena ni mala",0.099,0.062,0.216,0.059,0.235
"P57","Mala",0.085,0.033,0.164,0.146,0.211
"P57","Muy mala",0.717,0.079,0.193,0.733,0.469
"P57","No sabe",0.008,0.001,0.009,0,0.034
"P58","Muy buena",0.013,0.127,0.656,0,0.03
"P58","Buena",0.009,0.221,0.21,0.006,0.023
"P58","Ni buena ni mala",0.055,0.39,0.081,0.188,0.163
"P58","Mala",0.126,0.138,0.025,0.048,0.245
"P58","Muy mala",0.767,0.109,0.021,0.758,0.496
"P58","No sabe",0.03,0.015,0.007,0,0.043
"P59","Muy buena",0.325,0.009,0.102,0.13,0.136
"P59","Buena",0.3,0.03,0.056,0.162,0.12
"P59","Ni buena ni mala",0.15,0.152,0.143,0.146,0.205
"P59","Mala",0.049,0.159,0.153,0.068,0.193
"P59","Muy mala",0.144,0.618,0.449,0.432,0.262
"P59","No sabe",0.032,0.032,0.097,0.062,0.084
"P60","Muy buena",0.281,0.003,0.036,0.013,0.09
"P60","Buena",0.445,0.013,0.038,0.07,0.126
"P60","Ni buena ni mala",0.25,0.062,0.103,0.368,0.324
"P60","Mala",0.014,0.172,0.188,0.184,0.158
"P60","Muy mala",0.007,0.739,0.625,0.36,0.27
"P60","No sabe",0.003,0.011,0.01,0.005,0.032
"P61","Muy buena",0.028,0.267,0.092,0.093,0.044
"P61","Buena",0.055,0.336,0.141,0.011,0.086
"P61","Ni buena ni mala",0.048,0.22,0.248,0.035,0.256
"P61","Mala",0.141,0.078,0.166,0.138,0.143
"P61","Muy mala",0.719,0.096,0.353,0.723,0.43
"P61","No sabe",0.009,0.003,0,0,0.041
"P62","Muy buena",0.025,0.118,0.091,0.084,0.075
"P62","Buena",0.087,0.247,0.156,0.053,0.162
"P62","Ni buena ni mala",0.332,0.354,0.364,0.365,0.314
"P62","Mala",0.243,0.134,0.115,0.213,0.171
"P62","Muy mala",0.272,0.128,0.212,0.25,0.199
"P62","No sabe",0.041,0.019,0.062,0.035,0.079
"P63","Siempre",0.327,0.342,0.321,0.244,0.257
"P63","Casi siempre",0.403,0.417,0.355,0.445,0.399
"P63","Casi nunca",0.184,0.185,0.171,0.236,0.231
"P63","Nunca, pero esta es una excepción",0.086,0.056,0.153,0.075,0.113
"P64","Si",0.653,0.614,0.605,0.58,0.573
"P64","No",0.347,0.386,0.395,0.42,0.427
