"var","categoria","Alberto Fernández por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P19","Puede que la vote",0.036,0.36,0.126
"P19","Nunca la votaría",0.904,0.367,0.743
"P19","No sabe",0.031,0.065,0.081
"P20","Lo votaría",0.336,0.03,0.096
"P20","Puede que lo vote",0.318,0.06,0.168
"P20","Nunca lo votaría",0.264,0.862,0.585
"P20","No sabe",0.082,0.048,0.151
"P21","Lo votaría",0.294,0.017,0.108
"P21","Puede que lo vote",0.462,0.021,0.181
"P21","Nunca lo votaría",0.161,0.948,0.6
"P21","No sabe",0.083,0.014,0.111
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.097,0.075
"P22","Patricia Bullrich por Juntos por el Cambio",0.008,0.573,0.038
"P22","Facundo Manes por Juntos por el Cambio",0.017,0.053,0.091
"P22","Alberto Fernández por el Frente de Todos",0.119,0.007,0.024
"P22","Sergio Massa por el Frente de Todos",0.202,0.004,0.099
"P22","Wado de Pedro por el Frente de Todos",0.346,0.013,0.13
"P22","Daniel Scioli por el Frente de Todos",0.185,0.003,0.094
"P22","Javier Milei por los liberales libertarios",0.03,0.229,0.245
"P22","Al candidato del Frente de Izquierda",0.018,0.003,0.042
"P22","No sabe",0.068,0.018,0.162
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.083,0.081
"P23","Patricia Bullrich por Juntos por el Cambio",0.007,0.536,0.027
"P23","María Eugenia Vidal por Juntos por el Cambio",0.009,0.08,0.024
"P23","Facundo Manes por Juntos por el Cambio",0.024,0.047,0.072
"P23","Sergio Massa por el Frente de Todos",0.263,0.005,0.117
"P23","Wado de Pedro por el Frente de Todos",0.355,0.011,0.139
"P23","Daniel Scioli por el Frente de Todos",0.205,0.003,0.087
"P23","Javier Milei por los liberales libertarios",0.039,0.225,0.254
"P23","Al candidato del Frente de Izquierda",0.033,0,0.037
"P23","No sabe",0.049,0.01,0.162
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.085,0.065
"P24","Patricia Bullrich por Juntos por el Cambio",0.007,0.549,0.025
"P24","María Eugenia Vidal por Juntos por el Cambio",0.004,0.075,0.032
"P24","Facundo Manes por Juntos por el Cambio",0.016,0.047,0.079
"P24","Sergio Massa por el Frente de Todos",0.266,0.001,0.129
"P24","Wado de Pedro por el Frente de Todos",0.391,0.01,0.165
"P24","Alberto Fernández por el Frente de Todos",0.176,0.003,0.037
"P24","Javier Milei por los liberales libertarios",0.037,0.223,0.26
"P24","Al candidato del Frente de Izquierda",0.023,0,0.038
"P24","No sabe",0.066,0.007,0.17
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.104,0.085
"P25","Patricia Bullrich por Juntos por el Cambio",0.004,0.464,0.021
"P25","Facundo Manes por Juntos por el Cambio",0.003,0.149,0.068
"P25","Sergio Massa por el Frente de Todos",0.231,0.007,0.095
"P25","Wado de Pedro por el Frente de Todos",0.366,0.018,0.124
"P25","Daniel Scioli por el Frente de Todos",0.259,0.004,0.117
"P25","Javier Milei por los liberales libertario",0.048,0.134,0.196
"P25","Al candidato del Frente de Izquierda",0.037,0.106,0.138
"P25","No sabe",0.04,0.014,0.156
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.145,0.088
"P26","Patricia Bulrich por Juntos por el Cambio",0.026,0.567,0.048
"P26","Alberto Fernández por el Frente de Todos",0.231,0.003,0.029
"P26","Sergio Massa por el Frente de Todos",0.507,0.011,0.174
"P26","Javier Milei por los liberales libertarios",0.047,0.231,0.283
"P26","Al candidato del Frente de Izquierda",0.08,0.005,0.093
"P26","No sabe",0.103,0.038,0.285
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.135,0.098
"P27","Patricia Bullrich por Juntos por el Cambio",0.011,0.584,0.033
"P27","Wado de Pedro por el Frente de Todos",0.418,0.013,0.116
"P27","Sergio Massa por el Frente de Todos",0.371,0.006,0.157
"P27","Javier Milei por los liberales libertarios",0.052,0.248,0.275
"P27","Al candidato del Frente de Izquierda",0.052,0.002,0.08
"P27","No sabe",0.073,0.012,0.241
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.135,0.103
"P28","Patricia Bullrich por Juntos por el Cambio",0.012,0.58,0.038
"P28","Wado de Pedro por el Frente de Todos",0.429,0.014,0.121
"P28","Daniel Scioli por el Frente de Todos",0.352,0.001,0.138
"P28","Javier Milei por los liberales libertarios",0.055,0.254,0.284
"P28","Al candidato del Frente de Izquierda",0.048,0.001,0.081
"P28","No sabe",0.086,0.015,0.235
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.011,0.207,0.109
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.017,0.491,0.023
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.328,0.014,0.115
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.469,0.008,0.134
"P29","Javier Milei presidente y su candidato a vice",0.046,0.252,0.291
"P29","A los candidatos de la izquierda",0.048,0.001,0.066
"P29","No sabe",0.081,0.027,0.262
"P30","Alberto Fernández por el Frente de Todos",0.743,0.019,0.056
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.398,0.127
"P30","Javier Milei por los liberales libertarios",0.051,0.419,0.269
"P30","Al candidato del Frente de Izquierda",0.064,0.007,0.113
"P30","No sabe",0.119,0.157,0.435
"P31","Sergio Massa por el Frente de Todos",0.746,0.009,0.163
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.435,0.113
"P31","Javier Milei por los liberales libertarios",0.036,0.424,0.272
"P31","Al candidato del Frente de Izquierda",0.056,0.01,0.106
"P31","No sabe",0.141,0.122,0.346
"P32","Wado de Pedro por el Frente de Todos",0.756,0.008,0.185
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.445,0.125
"P32","Javier Milei por los liberales libertarios",0.042,0.42,0.266
"P32","Al candidato del Frente de Izquierda",0.037,0.007,0.08
"P32","No sabe",0.13,0.12,0.344
"P33","Daniel Scioli por el Frente de Todos",0.77,0.013,0.184
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.467,0.12
"P33","Javier Milei por los liberales libertarios",0.046,0.408,0.272
"P33","Al candidato del Frente de Izquierda",0.049,0.009,0.094
"P33","No sabe",0.115,0.103,0.33
"P34","Sergio Massa por el Frente de Todos",0.762,0.015,0.182
"P34","Patricia Bullrich por Juntos por el Cambio",0.018,0.693,0.045
"P34","Javier Milei por los liberales libertarios",0.034,0.265,0.286
"P34","Al candidato del Frente de Izquierda",0.056,0.002,0.106
"P34","No sabe",0.13,0.025,0.381
"P35","Alberto Fernández por el Frente de Todos",0.804,0.003,0.063
"P35","Patricia Bullrich por Juntos por el Cambio",0.006,0.72,0.038
"P35","Javier Milei por los liberales libertarios",0.051,0.252,0.293
"P35","Al candidato del Frente de Izquierda",0.061,0.002,0.157
"P35","No sabe",0.078,0.023,0.449
"P36","Wado de Pedro por el Frente de Todos",0.748,0.004,0.149
"P36","Patricia Bullrich por Juntos por el Cambio",0.009,0.731,0.046
"P36","Javier Milei por los liberales libertarios",0.049,0.244,0.302
"P36","Al candidato del Frente de Izquierda",0.045,0.007,0.111
"P36","No sabe",0.149,0.014,0.392
"P37","Daniel Scioli por el Frente de Todos",0.782,0.005,0.193
"P37","Patricia Bullrich por Juntos por el Cambio",0.007,0.732,0.035
"P37","Javier Milei por los liberales libertarios",0.046,0.247,0.292
"P37","Al candidato del Frente de Izquierda",0.049,0.002,0.101
"P37","No sabe",0.116,0.014,0.379
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.127,0.375,0.102
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.611,0.086,0.157
"P38","Javier Milei presidente y su candidato a vice",0.054,0.396,0.269
"P38","A los candidatos de la izquierda",0.073,0.011,0.108
"P38","No sabe",0.135,0.132,0.364
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.02,0.642,0.027
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.695,0.038,0.136
"P39","Javier Milei presidente y su candidato a vice",0.04,0.274,0.285
"P39","A los candidatos de la izquierda",0.075,0.002,0.113
"P39","No sabe",0.17,0.044,0.439
"P40","Sergio Massa por el Frente de Todos",0.869,0.039,0.214
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.699,0.147
"P40","No sabe",0.118,0.262,0.639
"P41","Alberto Fernández por el Frente de Todos",0.883,0.029,0.046
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.736,0.156
"P41","No sabe",0.08,0.235,0.798
"P42","Sergio Massa por el Frente de Todos",0.891,0.01,0.213
"P42","Patricia Bullrich por Juntos por el Cambio",0.017,0.957,0.046
"P42","No sabe",0.092,0.033,0.741
"P44","Wado de Pedro por el Frente de Todos",0.813,0.02,0.179
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.772,0.12
"P44","No sabe",0.138,0.208,0.701
"P45","Daniel Scioli por el Frente de Todos",0.83,0.025,0.217
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.745,0.146
"P45","No sabe",0.142,0.23,0.637
"P46","Wado de Pedro por el Frente de Todos",0.81,0.017,0.212
"P46","Patricia Bullrich por Juntos por el Cambio",0.025,0.956,0.042
"P46","No sabe",0.165,0.027,0.746
"P47","Daniel Scioli por el Frente de Todos",0.88,0.012,0.228
"P47","Patricia Bullrich por Juntos por el Cambio",0.012,0.976,0.055
"P47","No sabe",0.108,0.012,0.717
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.205,0.418,0.139
"P48","Javier Milei por los liberales libertarios",0.064,0.499,0.248
"P48","No sabe",0.731,0.083,0.613
"P49","Patricia Bullrich por Juntos por el Cambio",0.059,0.667,0.062
"P49","Javier Milei por los liberales libertarios",0.08,0.301,0.287
"P49","No sabe",0.861,0.032,0.651
"P50","Alberto Fernández por el Frente de Todos",0.826,0.117,0.07
"P50","Javier Milei por los liberales libertarios",0.048,0.626,0.314
"P50","No sabe",0.126,0.257,0.616
"P51","Sergio Massa por el Frente de Todos",0.881,0.033,0.196
"P51","Javier Milei por los liberales libertarios",0.037,0.702,0.311
"P51","No sabe",0.082,0.265,0.493
"P52","Muy buena",0.189,0.008,0.023
"P52","Buena",0.3,0.092,0.06
"P52","Ni buena ni mala",0.358,0.045,0.233
"P52","Mala",0.135,0.07,0.174
"P52","Muy mala",0.017,0.781,0.483
"P52","No sabe",0.001,0.004,0.027
"P53","Muy buena",0.594,0.005,0.274
"P53","Buena",0.148,0.014,0.059
"P53","Ni buena ni mala",0.142,0.012,0.096
"P53","Mala",0.085,0.047,0.09
"P53","Muy mala",0.031,0.922,0.47
"P53","No sabe",0,0,0.011
"P54","Muy buena",0.083,0.327,0.074
"P54","Buena",0.012,0.269,0.041
"P54","Ni buena ni mala",0.024,0.17,0.149
"P54","Mala",0.123,0.08,0.183
"P54","Muy mala",0.758,0.151,0.535
"P54","No sabe",0,0.003,0.018
"P55","Muy buena",0.016,0.206,0.057
"P55","Buena",0.019,0.308,0.109
"P55","Ni buena ni mala",0.07,0.267,0.215
"P55","Mala",0.244,0.12,0.131
"P55","Muy mala",0.651,0.097,0.453
"P55","No sabe",0,0.002,0.035
"P56","Muy buena",0.152,0.028,0.046
"P56","Buena",0.341,0.046,0.122
"P56","Ni buena ni mala",0.336,0.096,0.223
"P56","Mala",0.1,0.14,0.156
"P56","Muy mala",0.055,0.689,0.435
"P56","No sabe",0.016,0.001,0.018
"P57","Muy buena",0.038,0.521,0.027
"P57","Buena",0.065,0.238,0.052
"P57","Ni buena ni mala",0.089,0.094,0.235
"P57","Mala",0.123,0.048,0.183
"P57","Muy mala",0.678,0.095,0.484
"P57","No sabe",0.007,0.004,0.019
"P58","Muy buena",0.033,0.266,0.216
"P58","Buena",0.011,0.218,0.087
"P58","Ni buena ni mala",0.057,0.312,0.136
"P58","Mala",0.12,0.106,0.154
"P58","Muy mala",0.753,0.085,0.377
"P58","No sabe",0.026,0.013,0.03
"P59","Muy buena",0.306,0.039,0.124
"P59","Buena",0.287,0.037,0.109
"P59","Ni buena ni mala",0.146,0.142,0.197
"P59","Mala",0.055,0.165,0.143
"P59","Muy mala",0.147,0.58,0.349
"P59","No sabe",0.059,0.037,0.078
"P60","Muy buena",0.244,0.011,0.093
"P60","Buena",0.396,0.011,0.148
"P60","Ni buena ni mala",0.29,0.066,0.218
"P60","Mala",0.046,0.179,0.134
"P60","Muy mala",0.018,0.721,0.391
"P60","No sabe",0.006,0.012,0.016
"P61","Muy buena",0.037,0.23,0.042
"P61","Buena",0.049,0.288,0.096
"P61","Ni buena ni mala",0.071,0.242,0.163
"P61","Mala",0.13,0.112,0.141
"P61","Muy mala",0.705,0.126,0.535
"P61","No sabe",0.008,0.002,0.023
"P62","Muy buena",0.027,0.115,0.075
"P62","Buena",0.095,0.244,0.09
"P62","Ni buena ni mala",0.326,0.366,0.326
"P62","Mala",0.228,0.126,0.181
"P62","Muy mala",0.265,0.136,0.248
"P62","No sabe",0.059,0.013,0.08
"P63","Siempre",0.309,0.349,0.27
"P63","Casi siempre",0.39,0.395,0.42
"P63","Casi nunca",0.203,0.184,0.184
"P63","Nunca, pero esta es una excepción",0.098,0.072,0.126
"P64","Si",0.615,0.612,0.63
"P64","No",0.385,0.388,0.37
