"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P10","A Alberto Fernández",0.271,0.411,0.148,0.606,0.064,0.044,0.108,0.1,0.191,0.081
"P10","A Sergio Massa",0.323,0.037,0.27,0.138,0.584,0.085,0.141,0.289,0.017,0.053
"P10","A algún candidato del peronismo",0.344,0.338,0.337,0.065,0.106,0.095,0.381,0.575,0.584,0.355
"P10","A algún candidato del kirchnerismo",0.062,0.214,0.245,0.191,0.246,0.776,0.37,0.036,0.208,0.511
"P11","A Alberto Fernández",0.224,0.539,0.159,0.474,0.01,0.005,0.111,0,0,0.037
"P11","A Sergio Massa",0.323,0.05,0.162,0.077,0.464,0.026,0.042,0.289,0,0.072
"P11","A algún candidato del peronismo",0.365,0.274,0.395,0.035,0.057,0.073,0.187,0.575,0.525,0.199
"P11","A Cristina Fernández de Kirchner",0.088,0.137,0.284,0.414,0.469,0.896,0.66,0.136,0.475,0.692
"P12","A Horacio Rodriguez Larreta",0.852,0.088,0.183,0.541,0.29,0.341,0.243,0.249,0,0.304
"P12","A Patricia Bullrich",0.086,0.89,0.219,0.146,0.276,0.282,0.105,0.659,0.689,0.25
"P12","A Facundo Manes",0.016,0.006,0.494,0.152,0.364,0.339,0.283,0.063,0,0.173
"P12","A Gerardo Morales",0.046,0.016,0.104,0.161,0.07,0.038,0.369,0.029,0.311,0.273
"P13","Lo votaría",0.105,0.026,0.105,0.248,0.51,0.196,0.241,0.02,0.034,0.066
"P13","Puede que lo vote",0.064,0.111,0.152,0.26,0.32,0.414,0.424,0.066,0.064,0.164
"P13","Nunca lo votaría",0.758,0.825,0.644,0.314,0.057,0.218,0.181,0.843,0.683,0.425
"P13","No sabe",0.073,0.038,0.099,0.178,0.113,0.172,0.154,0.071,0.219,0.345
"P14","Lo votaría",0.053,0.016,0.037,0.609,0.193,0.131,0.212,0.02,0.093,0.023
"P14","Puede que lo vote",0.045,0.02,0.135,0.166,0.393,0.344,0.322,0.035,0.07,0.103
"P14","Nunca lo votaría",0.872,0.947,0.784,0.127,0.303,0.35,0.324,0.895,0.76,0.532
"P14","No sabe",0.03,0.017,0.044,0.098,0.111,0.175,0.142,0.05,0.077,0.342
"P15","Lo votaría",0.63,0.193,0.124,0.112,0.047,0.025,0.034,0.03,0.105,0.023
"P15","Puede que lo vote",0.232,0.441,0.397,0.067,0.137,0.064,0.13,0.178,0.049,0.1
"P15","Nunca lo votaría",0.113,0.312,0.419,0.713,0.736,0.897,0.789,0.705,0.776,0.621
"P15","No sabe",0.025,0.054,0.06,0.108,0.08,0.014,0.047,0.087,0.07,0.256
"P16","Lo votaría",0.138,0.083,0.492,0.033,0.055,0.026,0.024,0.04,0.097,0.012
"P16","Puede que lo vote",0.345,0.281,0.308,0.074,0.178,0.065,0.224,0.178,0.075,0.152
"P16","Nunca lo votaría",0.331,0.525,0.167,0.622,0.575,0.828,0.645,0.675,0.678,0.487
"P16","No sabe",0.186,0.111,0.033,0.271,0.192,0.081,0.107,0.107,0.15,0.349
"P17","La votaría",0.21,0.76,0.202,0.072,0.038,0.041,0.023,0.15,0.145,0.024
"P17","Puede que la vote",0.353,0.136,0.277,0.065,0.068,0.008,0.055,0.299,0.092,0.103
"P17","Nunca la votaría",0.35,0.076,0.479,0.688,0.819,0.922,0.88,0.464,0.725,0.62
"P17","No sabe",0.087,0.028,0.042,0.175,0.075,0.029,0.042,0.087,0.038,0.253
"P18","Lo votaría",0.107,0.194,0.073,0.066,0.048,0.037,0.024,0.774,0.003,0.043
"P18","Puede que lo vote",0.273,0.313,0.182,0.074,0.097,0.037,0.086,0.14,0.112,0.179
"P18","Nunca lo votaría",0.538,0.415,0.699,0.644,0.786,0.922,0.841,0.062,0.842,0.55
"P18","No sabe",0.082,0.078,0.046,0.216,0.069,0.004,0.049,0.024,0.043,0.228
"P19","La votaría",0.203,0.226,0.146,0.1,0.058,0.032,0.044,0.118,0.108,0.037
"P19","Puede que la vote",0.299,0.379,0.233,0.063,0.117,0.02,0.047,0.19,0.087,0.109
"P19","Nunca la votaría",0.4,0.313,0.542,0.665,0.779,0.91,0.822,0.627,0.745,0.626
"P19","No sabe",0.098,0.082,0.079,0.172,0.046,0.038,0.087,0.065,0.06,0.228
"P20","Lo votaría",0.03,0.028,0.027,0.084,0.12,0.593,0.181,0.017,0.129,0.031
"P20","Puede que lo vote",0.087,0.059,0.167,0.136,0.286,0.264,0.365,0.033,0.18,0.157
"P20","Nunca lo votaría",0.733,0.853,0.746,0.506,0.439,0.133,0.323,0.841,0.534,0.475
"P20","No sabe",0.15,0.06,0.06,0.274,0.155,0.01,0.131,0.109,0.157,0.337
"P21","Lo votaría",0.043,0.008,0.05,0.208,0.178,0.259,0.567,0.018,0.023,0.03
"P21","Puede que lo vote",0.054,0.026,0.087,0.245,0.394,0.468,0.343,0.055,0.175,0.202
"P21","Nunca lo votaría",0.83,0.931,0.801,0.384,0.288,0.211,0.075,0.875,0.618,0.503
"P21","No sabe",0.073,0.035,0.062,0.163,0.14,0.062,0.015,0.052,0.184,0.265
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.793,0.021,0.053,0.019,0.006,0,0.018,0.007,0,0.015
"P23","Patricia Bullrich por Juntos por el Cambio",0.039,0.849,0.044,0.018,0.009,0.015,0.019,0.035,0.082,0.033
"P23","María Eugenia Vidal por Juntos por el Cambio",0.113,0.084,0.167,0.099,0.009,0.007,0.003,0.021,0.028,0.022
"P23","Facundo Manes por Juntos por el Cambio",0.008,0.007,0.569,0.096,0.007,0.002,0.002,0.005,0.013,0.011
"P23","Sergio Massa por el Frente de Todos",0.002,0.008,0.044,0.227,0.832,0.017,0.075,0,0.003,0.063
"P23","Wado de Pedro por el Frente de Todos",0,0.001,0.021,0.048,0.025,0.878,0.069,0.001,0.033,0.029
"P23","Daniel Scioli por el Frente de Todos",0.014,0,0.009,0.182,0.052,0.054,0.776,0,0.022,0.052
"P23","Javier Milei por los liberales libertarios",0.006,0.019,0.04,0.038,0.016,0.001,0.019,0.911,0.009,0.042
"P23","Al candidato del Frente de Izquierda",0,0.001,0.008,0.037,0,0.014,0,0.001,0.77,0.017
"P23","No sabe",0.025,0.01,0.045,0.236,0.044,0.012,0.019,0.019,0.04,0.716
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.74,0.019,0.082,0.01,0.005,0.002,0.016,0.012,0.111,0.029
"P24","Patricia Bullrich por Juntos por el Cambio",0.054,0.853,0.049,0.018,0.014,0.027,0.006,0.036,0.028,0.031
"P24","María Eugenia Vidal por Juntos por el Cambio",0.11,0.083,0.114,0.061,0.009,0.004,0.02,0.034,0.016,0.03
"P24","Facundo Manes por Juntos por el Cambio",0.017,0.008,0.601,0.025,0.002,0,0.007,0.004,0.003,0.025
"P24","Sergio Massa por el Frente de Todos",0.004,0.006,0.037,0.152,0.77,0.025,0.197,0.001,0.025,0.072
"P24","Wado de Pedro por el Frente de Todos",0,0.002,0.032,0.049,0.046,0.874,0.254,0.001,0.054,0.033
"P24","Alberto Fernández por el Frente de Todos",0.03,0.004,0.018,0.543,0.097,0.034,0.346,0.002,0.017,0.033
"P24","Javier Milei por los liberales libertarios",0.023,0.021,0.048,0.023,0.014,0.004,0.021,0.887,0,0.031
"P24","Al candidato del Frente de Izquierda",0,0.001,0.005,0.039,0,0.003,0.007,0.006,0.677,0.01
"P24","No sabe",0.022,0.003,0.014,0.08,0.043,0.027,0.126,0.017,0.069,0.706
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.612,0.035,0.237,0.06,0.009,0,0.007,0.021,0.041,0.041
"P25","Patricia Bullrich por Juntos por el Cambio",0.061,0.72,0.065,0.049,0.01,0.025,0.005,0.038,0.028,0.042
"P25","Facundo Manes por Juntos por el Cambio",0.035,0.187,0.421,0.014,0.007,0.004,0.011,0.029,0.071,0.012
"P25","Sergio Massa por el Frente de Todos",0.015,0,0.119,0.175,0.648,0.025,0.091,0.002,0.02,0.079
"P25","Wado de Pedro por el Frente de Todos",0,0.005,0.014,0.178,0.175,0.723,0.099,0.009,0.058,0.056
"P25","Daniel Scioli por el Frente de Todos",0.006,0.007,0.035,0.209,0.053,0.193,0.682,0.008,0.053,0.114
"P25","Javier Milei por los liberales libertario",0.214,0.025,0.047,0.069,0.043,0.013,0.087,0.355,0.028,0.05
"P25","Al candidato del Frente de Izquierda",0.007,0.009,0.045,0.027,0.024,0.001,0.009,0.528,0.309,0.036
"P25","No sabe",0.05,0.012,0.017,0.219,0.031,0.016,0.009,0.01,0.392,0.57
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.76,0.065,0.175,0.058,0.018,0.022,0.013,0.012,0,0.041
"P26","Patricia Bulrich por Juntos por el Cambio",0.099,0.843,0.227,0.046,0.094,0.013,0.005,0.045,0.04,0.046
"P26","Alberto Fernández por el Frente de Todos",0.032,0.005,0.1,0.597,0.101,0.137,0.235,0.006,0.019,0.075
"P26","Sergio Massa por el Frente de Todos",0.015,0.006,0.102,0.154,0.626,0.468,0.411,0.017,0.075,0.102
"P26","Javier Milei por los liberales libertarios",0.014,0.06,0.171,0.033,0.083,0.026,0.049,0.841,0.056,0.061
"P26","Al candidato del Frente de Izquierda",0.027,0.007,0.059,0.04,0.015,0.144,0.057,0.007,0.704,0.035
"P26","No sabe",0.053,0.014,0.166,0.072,0.063,0.19,0.23,0.072,0.106,0.64
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.815,0.063,0.212,0.114,0.012,0.013,0.011,0.017,0,0.022
"P27","Patricia Bullrich por Juntos por el Cambio",0.078,0.863,0.232,0.044,0.021,0.025,0.01,0.04,0.041,0.055
"P27","Wado de Pedro por el Frente de Todos",0.002,0.004,0.041,0.151,0.102,0.704,0.313,0.013,0.118,0.074
"P27","Sergio Massa por el Frente de Todos",0.012,0.003,0.135,0.368,0.741,0.127,0.403,0.001,0.014,0.109
"P27","Javier Milei por los liberales libertarios",0.012,0.055,0.123,0.039,0.053,0.019,0.052,0.906,0.057,0.105
"P27","Al candidato del Frente de Izquierda",0,0.001,0.057,0.056,0.01,0.073,0.003,0.009,0.656,0.042
"P27","No sabe",0.081,0.011,0.2,0.228,0.061,0.039,0.208,0.014,0.114,0.593
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.866,0.054,0.258,0.069,0.042,0.018,0.011,0.03,0,0.045
"P28","Patricia Bullrich por Juntos por el Cambio",0.065,0.859,0.282,0.036,0.026,0.01,0.006,0.036,0.039,0.061
"P28","Wado de Pedro por el Frente de Todos",0.018,0.003,0.049,0.194,0.218,0.79,0.144,0.001,0.192,0.061
"P28","Daniel Scioli por el Frente de Todos",0.002,0.003,0.033,0.287,0.378,0.113,0.703,0,0.067,0.065
"P28","Javier Milei por los liberales libertarios",0.013,0.062,0.122,0.061,0.093,0.005,0.049,0.911,0,0.126
"P28","Al candidato del Frente de Izquierda",0,0.002,0.069,0.041,0.015,0.048,0.022,0.007,0.561,0.052
"P28","No sabe",0.036,0.017,0.187,0.312,0.228,0.016,0.065,0.015,0.141,0.59
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.797,0.172,0.273,0.03,0.013,0.017,0.022,0.019,0,0.079
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.109,0.712,0.234,0.048,0.018,0.013,0.028,0.035,0.042,0.044
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.032,0.014,0.083,0.308,0.622,0.093,0.339,0.004,0.113,0.082
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.021,0.005,0.055,0.279,0.144,0.735,0.388,0.007,0.055,0.076
"P29","Javier Milei presidente y su candidato a vice",0.009,0.054,0.115,0.064,0.071,0.023,0.035,0.919,0,0.098
"P29","A los candidatos de la izquierda",0.003,0.001,0.035,0.055,0.025,0.047,0.003,0.003,0.752,0.036
"P29","No sabe",0.029,0.042,0.205,0.216,0.107,0.072,0.185,0.013,0.038,0.585
"P30","Alberto Fernández por el Frente de Todos",0.051,0.024,0.094,0.81,0.553,0.572,0.585,0.001,0.042,0.14
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.875,0.437,0.476,0.012,0.078,0.037,0.021,0.03,0.005,0.057
"P30","Javier Milei por los liberales libertarios",0.022,0.295,0.124,0.043,0.062,0.027,0.053,0.893,0,0.112
"P30","Al candidato del Frente de Izquierda",0.016,0.013,0.056,0.041,0.031,0.104,0.061,0.019,0.904,0.042
"P30","No sabe",0.036,0.231,0.25,0.094,0.276,0.26,0.28,0.057,0.049,0.649
"P31","Sergio Massa por el Frente de Todos",0.011,0.012,0.108,0.498,0.835,0.625,0.659,0.003,0.067,0.157
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.939,0.486,0.452,0.131,0.041,0.019,0.019,0.013,0.039,0.069
"P31","Javier Milei por los liberales libertarios",0.032,0.297,0.119,0.054,0.05,0.034,0.039,0.941,0,0.031
"P31","Al candidato del Frente de Izquierda",0.006,0.018,0.05,0.104,0.009,0.086,0.036,0.006,0.823,0.059
"P31","No sabe",0.012,0.187,0.271,0.213,0.065,0.236,0.247,0.037,0.071,0.684
"P32","Wado de Pedro por el Frente de Todos",0.014,0.003,0.15,0.451,0.53,0.91,0.622,0.002,0.09,0.151
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.933,0.511,0.417,0.088,0.085,0.014,0.042,0.034,0.068,0.07
"P32","Javier Milei por los liberales libertarios",0.024,0.297,0.13,0.068,0.033,0.01,0.03,0.922,0,0.089
"P32","Al candidato del Frente de Izquierda",0.006,0.012,0.036,0.065,0.024,0.006,0.041,0.012,0.762,0.032
"P32","No sabe",0.023,0.177,0.267,0.328,0.328,0.06,0.265,0.03,0.08,0.658
"P33","Daniel Scioli por el Frente de Todos",0.007,0.015,0.1,0.554,0.639,0.74,0.891,0,0.105,0.1
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.958,0.527,0.481,0.061,0.081,0.016,0.015,0.016,0.049,0.069
"P33","Javier Milei por los liberales libertarios",0.015,0.291,0.126,0.049,0.037,0.011,0.028,0.934,0,0.092
"P33","Al candidato del Frente de Izquierda",0.011,0.012,0.042,0.063,0.013,0.068,0.031,0.011,0.84,0.042
"P33","No sabe",0.009,0.155,0.251,0.273,0.23,0.165,0.035,0.039,0.006,0.697
"P34","Sergio Massa por el Frente de Todos",0.067,0.009,0.182,0.519,0.853,0.684,0.674,0,0.093,0.164
"P34","Patricia Bullrich por Juntos por el Cambio",0.648,0.896,0.413,0.055,0.054,0.021,0.01,0.053,0.058,0.081
"P34","Javier Milei por los liberales libertarios",0.066,0.069,0.131,0.067,0.007,0.02,0.038,0.924,0,0.06
"P34","Al candidato del Frente de Izquierda",0.031,0.001,0.059,0.063,0.006,0.089,0.043,0,0.849,0.041
"P34","No sabe",0.188,0.025,0.215,0.296,0.08,0.186,0.235,0.023,0,0.654
"P35","Alberto Fernández por el Frente de Todos",0.022,0.004,0.106,0.834,0.672,0.643,0.656,0,0.094,0.186
"P35","Patricia Bullrich por Juntos por el Cambio",0.679,0.928,0.385,0.032,0.033,0.014,0.017,0.052,0.059,0.065
"P35","Javier Milei por los liberales libertarios",0.084,0.046,0.192,0.008,0.026,0.045,0.033,0.91,0,0.089
"P35","Al candidato del Frente de Izquierda",0.067,0,0.079,0.063,0.047,0.122,0.068,0.01,0.829,0.053
"P35","No sabe",0.148,0.022,0.238,0.063,0.222,0.176,0.226,0.028,0.018,0.607
"P36","Wado de Pedro por el Frente de Todos",0.007,0.006,0.142,0.5,0.539,0.886,0.651,0.001,0.229,0.124
"P36","Patricia Bullrich por Juntos por el Cambio",0.674,0.93,0.408,0.055,0.038,0.008,0.015,0.044,0.06,0.088
"P36","Javier Milei por los liberales libertarios",0.09,0.051,0.177,0.052,0.044,0.033,0.037,0.892,0,0.112
"P36","Al candidato del Frente de Izquierda",0.069,0,0.072,0.067,0.044,0.031,0.043,0.021,0.702,0.034
"P36","No sabe",0.16,0.013,0.201,0.326,0.335,0.042,0.254,0.042,0.009,0.642
"P37","Daniel Scioli por el Frente de Todos",0.015,0.008,0.103,0.592,0.65,0.784,0.809,0.004,0.222,0.144
"P37","Patricia Bullrich por Juntos por el Cambio",0.659,0.929,0.407,0.047,0.034,0.025,0.015,0.045,0.061,0.073
"P37","Javier Milei por los liberales libertarios",0.103,0.05,0.215,0.051,0.036,0.019,0.024,0.907,0,0.096
"P37","Al candidato del Frente de Izquierda",0.061,0,0.06,0.058,0.023,0.05,0.033,0,0.717,0.043
"P37","No sabe",0.162,0.013,0.215,0.252,0.257,0.122,0.119,0.044,0,0.644
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.777,0.424,0.396,0.144,0.08,0.133,0.123,0.014,0.15,0.114
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.112,0.101,0.204,0.476,0.749,0.474,0.568,0.011,0.061,0.121
"P38","Javier Milei presidente y su candidato a vice",0.026,0.271,0.16,0.049,0.045,0.018,0.056,0.919,0,0.064
"P38","A los candidatos de la izquierda",0.044,0.005,0.067,0.072,0.02,0.105,0.046,0.002,0.789,0.059
"P38","No sabe",0.041,0.199,0.173,0.259,0.106,0.27,0.207,0.054,0,0.642
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.657,0.806,0.422,0.117,0.018,0.046,0.021,0.04,0.057,0.085
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.073,0.035,0.147,0.477,0.774,0.56,0.692,0.001,0.017,0.109
"P39","Javier Milei presidente y su candidato a vice",0.064,0.08,0.142,0.022,0.031,0.009,0.023,0.933,0,0.065
"P39","A los candidatos de la izquierda",0.039,0.002,0.07,0.067,0.029,0.103,0.041,0,0.802,0.062
"P39","No sabe",0.167,0.077,0.219,0.317,0.148,0.282,0.223,0.026,0.124,0.679
"P40","Sergio Massa por el Frente de Todos",0.03,0.054,0.139,0.606,0.934,0.802,0.772,0.024,0.369,0.268
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.917,0.698,0.527,0.048,0.021,0.024,0.03,0.375,0.074,0.142
"P40","No sabe",0.053,0.248,0.334,0.346,0.045,0.174,0.198,0.601,0.557,0.59
"P41","Alberto Fernández por el Frente de Todos",0.025,0.038,0.111,0.857,0.706,0.691,0.604,0.047,0.327,0.291
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.965,0.733,0.51,0.032,0.075,0.046,0.089,0.381,0.085,0.153
"P41","No sabe",0.01,0.229,0.379,0.111,0.219,0.263,0.307,0.572,0.588,0.556
"P42","Sergio Massa por el Frente de Todos",0.02,0.009,0.164,0.599,0.915,0.799,0.765,0.04,0.366,0.318
"P42","Patricia Bullrich por Juntos por el Cambio",0.744,0.949,0.529,0.124,0.023,0.043,0.024,0.594,0.077,0.128
"P42","No sabe",0.236,0.042,0.307,0.277,0.062,0.158,0.211,0.366,0.557,0.554
"P43","Alberto Fernández por el Frente de Todos",0.033,0.009,0.101,0.807,0.719,0.749,0.711,0.053,0.341,0.315
"P43","Patricia Bullrich por Juntos por el Cambio",0.71,0.961,0.498,0.073,0.023,0.044,0.021,0.629,0.082,0.131
"P43","No sabe",0.257,0.03,0.401,0.12,0.258,0.207,0.268,0.318,0.577,0.554
"P44","Wado de Pedro por el Frente de Todos",0.017,0.022,0.088,0.537,0.643,0.917,0.688,0.03,0.262,0.188
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.915,0.771,0.534,0.094,0.078,0.019,0.063,0.417,0.108,0.195
"P44","No sabe",0.068,0.207,0.378,0.369,0.279,0.064,0.249,0.553,0.63,0.617
"P45","Daniel Scioli por el Frente de Todos",0.024,0.025,0.082,0.712,0.696,0.812,0.841,0.038,0.231,0.228
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.96,0.749,0.571,0.064,0.055,0.018,0.013,0.404,0.093,0.178
"P45","No sabe",0.016,0.226,0.347,0.224,0.249,0.17,0.146,0.558,0.676,0.594
"P46","Wado de Pedro por el Frente de Todos",0.044,0.005,0.073,0.567,0.604,0.924,0.688,0.04,0.297,0.272
"P46","Patricia Bullrich por Juntos por el Cambio",0.724,0.942,0.54,0.103,0.017,0.029,0.049,0.607,0.097,0.176
"P46","No sabe",0.232,0.053,0.387,0.33,0.379,0.047,0.263,0.353,0.606,0.552
"P47","Daniel Scioli por el Frente de Todos",0.027,0.006,0.074,0.749,0.768,0.828,0.853,0.038,0.311,0.296
"P47","Patricia Bullrich por Juntos por el Cambio",0.688,0.973,0.534,0.089,0.024,0.028,0.025,0.646,0.087,0.157
"P47","No sabe",0.285,0.021,0.392,0.162,0.208,0.144,0.122,0.316,0.602,0.547
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.814,0.481,0.46,0.208,0.239,0.167,0.143,0.011,0.303,0.153
"P48","Javier Milei por los liberales libertarios",0.111,0.39,0.222,0.044,0.058,0.055,0.036,0.92,0,0.13
"P48","No sabe",0.075,0.129,0.318,0.748,0.703,0.778,0.821,0.069,0.697,0.717
"P49","Patricia Bullrich por Juntos por el Cambio",0.603,0.847,0.543,0.126,0.125,0.06,0.038,0.039,0.093,0.138
"P49","Javier Milei por los liberales libertarios",0.184,0.104,0.063,0.057,0.089,0.03,0.075,0.923,0.058,0.102
"P49","No sabe",0.213,0.049,0.394,0.817,0.786,0.91,0.887,0.038,0.849,0.76
"P50","Alberto Fernández por el Frente de Todos",0.132,0.143,0.139,0.771,0.706,0.694,0.632,0.003,0.216,0.272
"P50","Javier Milei por los liberales libertarios",0.498,0.495,0.389,0.035,0.032,0.04,0.068,0.95,0.068,0.169
"P50","No sabe",0.37,0.362,0.472,0.194,0.262,0.266,0.3,0.047,0.716,0.559
"P51","Sergio Massa por el Frente de Todos",0.062,0.029,0.179,0.739,0.882,0.805,0.748,0.006,0.308,0.297
"P51","Javier Milei por los liberales libertarios",0.567,0.609,0.393,0.039,0.004,0.01,0.055,0.966,0.083,0.133
"P51","No sabe",0.371,0.362,0.428,0.222,0.114,0.185,0.197,0.028,0.609,0.57
"P52","Muy buena",0.014,0.006,0.026,0.294,0.178,0.125,0.14,0.002,0.222,0.032
"P52","Buena",0.043,0.092,0.063,0.439,0.276,0.212,0.224,0.108,0.052,0.106
"P52","Ni buena ni mala",0.055,0.055,0.142,0.136,0.386,0.377,0.354,0.08,0.125,0.285
"P52","Mala",0.084,0.072,0.21,0.019,0.129,0.18,0.19,0.049,0.157,0.196
"P52","Muy mala",0.793,0.769,0.559,0.112,0.029,0.106,0.092,0.753,0.399,0.332
"P52","No sabe",0.011,0.006,0,0,0.002,0,0,0.008,0.045,0.049
"P53","Muy buena",0.012,0.003,0.035,0.533,0.45,0.782,0.627,0.006,0.065,0.26
"P53","Buena",0.017,0.013,0.017,0.167,0.171,0.103,0.112,0.025,0.134,0.112
"P53","Ni buena ni mala",0.03,0.013,0.057,0.141,0.178,0.073,0.189,0.053,0.085,0.058
"P53","Mala",0.047,0.054,0.157,0.019,0.146,0.018,0.037,0.057,0.291,0.126
"P53","Muy mala",0.894,0.916,0.734,0.14,0.055,0.024,0.033,0.858,0.425,0.413
"P53","No sabe",0,0.001,0,0,0,0,0.002,0.001,0,0.031
"P54","Muy buena",0.191,0.436,0.122,0.202,0.086,0.099,0.07,0.078,0.074,0.081
"P54","Buena",0.273,0.303,0.093,0.027,0.006,0.022,0.01,0.137,0.039,0.046
"P54","Ni buena ni mala",0.269,0.111,0.255,0.066,0.093,0.002,0.039,0.234,0.01,0.084
