"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P46","Patricia Bullrich por Juntos por el Cambio",0.063,0.91,0.383
"P46","No sabe",0.185,0.07,0.474
"P47","Daniel Scioli por el Frente de Todos",0.825,0.024,0.131
"P47","Patricia Bullrich por Juntos por el Cambio",0.055,0.902,0.432
"P47","No sabe",0.12,0.074,0.437
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.204,0.563,0.05
"P48","Javier Milei por los liberales libertarios",0.09,0.388,0.468
"P48","No sabe",0.706,0.049,0.482
"P49","Patricia Bullrich por Juntos por el Cambio",0.085,0.71,0.193
"P49","Javier Milei por los liberales libertarios",0.092,0.226,0.395
"P49","No sabe",0.823,0.064,0.412
"P50","Alberto Fernández por el Frente de Todos",0.731,0.125,0.105
"P50","Javier Milei por los liberales libertarios",0.079,0.579,0.477
"P50","No sabe",0.19,0.296,0.418
"P51","Sergio Massa por el Frente de Todos",0.886,0.044,0.056
"P51","Javier Milei por los liberales libertarios",0.062,0.662,0.497
"P51","No sabe",0.052,0.294,0.447
"P52","Muy buena",0.165,0.006,0.029
"P52","Buena",0.262,0.089,0.095
"P52","Ni buena ni mala",0.338,0.053,0.167
"P52","Mala",0.15,0.084,0.107
"P52","Muy mala",0.082,0.763,0.585
"P52","No sabe",0.003,0.005,0.017
"P53","Muy buena",0.584,0.007,0.158
"P53","Buena",0.13,0.019,0.049
"P53","Ni buena ni mala",0.124,0.013,0.079
"P53","Mala",0.082,0.062,0.059
"P53","Muy mala",0.08,0.898,0.647
"P53","No sabe",0,0.001,0.008
"P54","Muy buena",0.093,0.338,0.135
"P54","Buena",0.044,0.248,0.116
"P54","Ni buena ni mala",0.038,0.178,0.143
"P54","Mala",0.114,0.074,0.171
"P54","Muy mala",0.71,0.159,0.421
"P54","No sabe",0.001,0.003,0.014
"P55","Muy buena",0.015,0.259,0.044
"P55","Buena",0.031,0.392,0.066
"P55","Ni buena ni mala",0.114,0.232,0.245
"P55","Mala",0.223,0.077,0.196
"P55","Muy mala",0.616,0.035,0.428
"P55","No sabe",0.001,0.005,0.021
"P56","Muy buena",0.166,0.033,0.009
"P56","Buena",0.354,0.057,0.046
"P56","Ni buena ni mala",0.326,0.097,0.178
"P56","Mala",0.081,0.155,0.156
"P56","Muy mala",0.071,0.657,0.583
"P56","No sabe",0.002,0.001,0.028
"P57","Muy buena",0.067,0.515,0.174
"P57","Buena",0.067,0.21,0.149
"P57","Ni buena ni mala",0.09,0.108,0.182
"P57","Mala",0.125,0.063,0.119
"P57","Muy mala",0.645,0.098,0.362
"P57","No sabe",0.006,0.006,0.014
"P58","Muy buena",0.027,0.203,0.339
"P58","Buena",0.018,0.234,0.11
"P58","Ni buena ni mala",0.089,0.325,0.155
"P58","Mala",0.124,0.119,0.12
"P58","Muy mala",0.725,0.106,0.244
"P58","No sabe",0.017,0.013,0.032
"P59","Muy buena",0.298,0.035,0.091
"P59","Buena",0.277,0.03,0.087
"P59","Ni buena ni mala",0.143,0.159,0.165
"P59","Mala",0.05,0.181,0.143
"P59","Muy mala",0.182,0.558,0.44
"P59","No sabe",0.05,0.037,0.074
"P60","Muy buena",0.235,0.013,0.059
"P60","Buena",0.359,0.02,0.105
"P60","Ni buena ni mala",0.296,0.077,0.137
"P60","Mala",0.053,0.175,0.155
"P60","Muy mala",0.051,0.705,0.526
"P60","No sabe",0.006,0.01,0.018
"P61","Muy buena",0.039,0.273,0.05
"P61","Buena",0.074,0.304,0.12
"P61","Ni buena ni mala",0.091,0.215,0.212
"P61","Mala",0.138,0.106,0.132
"P61","Muy mala",0.649,0.1,0.47
"P61","No sabe",0.009,0.002,0.016
"P62","Muy buena",0.039,0.133,0.058
"P62","Buena",0.096,0.269,0.11
"P62","Ni buena ni mala",0.324,0.374,0.331
"P62","Mala",0.226,0.128,0.156
"P62","Muy mala",0.266,0.08,0.278
"P62","No sabe",0.049,0.016,0.067
"P63","Siempre",0.328,0.341,0.284
"P63","Casi siempre",0.422,0.433,0.331
"P63","Casi nunca",0.184,0.161,0.231
"P63","Nunca, pero esta es una excepción",0.066,0.065,0.154
"P64","Si",0.645,0.624,0.576
"P64","No",0.355,0.376,0.424
