"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P22","Patricia Bullrich por Juntos por el Cambio",0.009,0.717,0.084,0.004,0.046
"P22","Facundo Manes por Juntos por el Cambio",0.035,0.065,0.032,0.071,0.077
"P22","Alberto Fernández por el Frente de Todos",0.104,0.009,0.017,0.079,0.11
"P22","Sergio Massa por el Frente de Todos",0.262,0.014,0.003,0.011,0.046
"P22","Wado de Pedro por el Frente de Todos",0.337,0.008,0.012,0.276,0.171
"P22","Daniel Scioli por el Frente de Todos",0.188,0.002,0.013,0.074,0.122
"P22","Javier Milei por los liberales libertarios",0,0.03,0.799,0,0.029
"P22","Al candidato del Frente de Izquierda",0.006,0.003,0,0.37,0
"P22","No sabe",0.042,0.017,0.019,0.066,0.311
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.118,0.027,0.048,0.105
"P23","Patricia Bullrich por Juntos por el Cambio",0.006,0.647,0.077,0.004,0.056
"P23","María Eugenia Vidal por Juntos por el Cambio",0.015,0.109,0.03,0.037,0.05
"P23","Facundo Manes por Juntos por el Cambio",0.023,0.055,0.02,0.069,0.067
"P23","Sergio Massa por el Frente de Todos",0.333,0.008,0.003,0.006,0.077
"P23","Wado de Pedro por el Frente de Todos",0.35,0.008,0.015,0.297,0.167
"P23","Daniel Scioli por el Frente de Todos",0.198,0.008,0.004,0.094,0.147
"P23","Javier Milei por los liberales libertarios",0.008,0.036,0.813,0,0.019
"P23","Al candidato del Frente de Izquierda",0.018,0,0,0.37,0.002
"P23","No sabe",0.026,0.011,0.011,0.075,0.31
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.113,0.022,0.034,0.097
"P24","Patricia Bullrich por Juntos por el Cambio",0.012,0.665,0.077,0.004,0.058
"P24","María Eugenia Vidal por Juntos por el Cambio",0.005,0.105,0.043,0.022,0.037
"P24","Facundo Manes por Juntos por el Cambio",0.025,0.053,0.022,0.079,0.094
"P24","Sergio Massa por el Frente de Todos",0.339,0.003,0.003,0.01,0.073
"P24","Wado de Pedro por el Frente de Todos",0.394,0.008,0.014,0.294,0.195
"P24","Alberto Fernández por el Frente de Todos",0.159,0.012,0.003,0.064,0.126
"P24","Javier Milei por los liberales libertarios",0.004,0.034,0.8,0.032,0.016
"P24","Al candidato del Frente de Izquierda",0.004,0,0.002,0.352,0.002
"P24","No sabe",0.036,0.007,0.014,0.109,0.302
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.145,0.032,0.052,0.086
"P25","Patricia Bullrich por Juntos por el Cambio",0.01,0.578,0.059,0.028,0.044
"P25","Facundo Manes por Juntos por el Cambio",0.015,0.173,0.045,0.027,0.082
"P25","Sergio Massa por el Frente de Todos",0.278,0.012,0.004,0.032,0.069
"P25","Wado de Pedro por el Frente de Todos",0.37,0.015,0.027,0.22,0.169
"P25","Daniel Scioli por el Frente de Todos",0.255,0.008,0.006,0.161,0.161
"P25","Javier Milei por los liberales libertario",0.028,0.04,0.411,0.05,0.072
"P25","Al candidato del Frente de Izquierda",0.005,0.017,0.401,0.248,0.014
"P25","No sabe",0.016,0.012,0.015,0.182,0.303
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.19,0.035,0.075,0.099
"P26","Patricia Bulrich por Juntos por el Cambio",0.039,0.708,0.071,0.007,0.055
"P26","Alberto Fernández por el Frente de Todos",0.204,0.01,0.003,0.075,0.137
"P26","Sergio Massa por el Frente de Todos",0.592,0.017,0.006,0.061,0.107
"P26","Javier Milei por los liberales libertarios",0.028,0.046,0.787,0.011,0.06
"P26","Al candidato del Frente de Izquierda",0.039,0.013,0.009,0.702,0.024
"P26","No sabe",0.065,0.016,0.089,0.069,0.518
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.038,0.191,0.033,0.078,0.113
"P27","Patricia Bullrich por Juntos por el Cambio",0.005,0.722,0.074,0.008,0.072
"P27","Wado de Pedro por el Frente de Todos",0.397,0.009,0.014,0.265,0.191
"P27","Sergio Massa por el Frente de Todos",0.458,0.009,0.013,0.051,0.091
"P27","Javier Milei por los liberales libertarios",0.027,0.05,0.841,0.016,0.044
"P27","Al candidato del Frente de Izquierda",0.031,0.003,0.008,0.497,0.02
"P27","No sabe",0.044,0.016,0.017,0.085,0.469
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.043,0.189,0.055,0.082,0.094
"P28","Patricia Bullrich por Juntos por el Cambio",0.012,0.724,0.065,0.004,0.058
"P28","Wado de Pedro por el Frente de Todos",0.429,0.007,0.011,0.279,0.189
"P28","Daniel Scioli por el Frente de Todos",0.354,0.01,0.003,0.121,0.156
"P28","Javier Milei por los liberales libertarios",0.028,0.052,0.849,0.013,0.065
"P28","Al candidato del Frente de Izquierda",0.037,0,0.008,0.456,0.022
"P28","No sabe",0.097,0.018,0.009,0.045,0.416
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.021,0.269,0.057,0.065,0.129
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.015,0.619,0.057,0.021,0.035
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.373,0.026,0.006,0.07,0.083
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.479,0.005,0.011,0.254,0.213
"P29","Javier Milei presidente y su candidato a vice",0.016,0.047,0.849,0.028,0.072
"P29","A los candidatos de la izquierda",0.027,0.001,0.002,0.5,0
"P29","No sabe",0.069,0.033,0.018,0.062,0.468
"P30","Alberto Fernández por el Frente de Todos",0.695,0.035,0.012,0.113,0.219
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.063,0.544,0.047,0.092,0.115
"P30","Javier Milei por los liberales libertarios",0.027,0.229,0.886,0,0.017
"P30","Al candidato del Frente de Izquierda",0.05,0.012,0.016,0.76,0.003
"P30","No sabe",0.165,0.18,0.039,0.035,0.646
"P31","Sergio Massa por el Frente de Todos",0.873,0.013,0.002,0.059,0.067
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.042,0.592,0.047,0.092,0.135
"P31","Javier Milei por los liberales libertarios",0.009,0.234,0.926,0,0.009
"P31","Al candidato del Frente de Izquierda",0.022,0.014,0.008,0.751,0.029
"P31","No sabe",0.054,0.147,0.017,0.098,0.76
"P32","Wado de Pedro por el Frente de Todos",0.783,0.01,0.002,0.308,0.236
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.054,0.604,0.062,0.076,0.129
"P32","Javier Milei por los liberales libertarios",0.018,0.231,0.9,0.003,0.013
"P32","Al candidato del Frente de Izquierda",0.017,0.011,0.009,0.525,0
"P32","No sabe",0.128,0.144,0.027,0.088,0.622
"P33","Daniel Scioli por el Frente de Todos",0.815,0.014,0.021,0.186,0.217
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.055,0.63,0.03,0.083,0.121
"P33","Javier Milei por los liberales libertarios",0.014,0.215,0.919,0,0.014
"P33","Al candidato del Frente de Izquierda",0.022,0.01,0.013,0.708,0
"P33","No sabe",0.094,0.131,0.017,0.023,0.648
"P35","Alberto Fernández por el Frente de Todos",0.794,0.017,0.002,0.143,0.211
"P35","Patricia Bullrich por Juntos por el Cambio",0.013,0.948,0.055,0.004,0.038
"P35","Javier Milei por los liberales libertarios",0.036,0.013,0.922,0.012,0.019
"P35","Al candidato del Frente de Izquierda",0.055,0.008,0.009,0.824,0.023
"P35","No sabe",0.102,0.014,0.012,0.017,0.709
"P36","Wado de Pedro por el Frente de Todos",0.78,0.013,0,0.274,0.226
"P36","Patricia Bullrich por Juntos por el Cambio",0.019,0.944,0.065,0.004,0.048
"P36","Javier Milei por los liberales libertarios",0.031,0.028,0.904,0.012,0.024
"P36","Al candidato del Frente de Izquierda",0.03,0.002,0.018,0.649,0.017
"P36","No sabe",0.14,0.013,0.013,0.061,0.685
"P37","Daniel Scioli por el Frente de Todos",0.822,0.012,0.015,0.225,0.234
"P37","Patricia Bullrich por Juntos por el Cambio",0.018,0.939,0.078,0.004,0.046
"P37","Javier Milei por los liberales libertarios",0.031,0.039,0.887,0.025,0.02
"P37","Al candidato del Frente de Izquierda",0.025,0,0,0.683,0.013
"P37","No sabe",0.104,0.01,0.02,0.063,0.687
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.149,0.496,0.041,0.135,0.148
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.713,0.11,0.034,0.02,0.098
"P38","Javier Milei presidente y su candidato a vice",0.027,0.21,0.882,0,0.018
"P38","A los candidatos de la izquierda",0.031,0.015,0.007,0.787,0.01
"P38","No sabe",0.08,0.169,0.036,0.058,0.726
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.045,0.82,0.077,0.004,0.073
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.797,0.05,0.005,0.033,0.083
"P39","Javier Milei presidente y su candidato a vice",0.012,0.064,0.889,0.003,0.015
"P39","A los candidatos de la izquierda",0.034,0.002,0.004,0.842,0.014
"P39","No sabe",0.112,0.064,0.025,0.118,0.815
"P40","Sergio Massa por el Frente de Todos",0.948,0.052,0.033,0.32,0.199
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.763,0.37,0.133,0.155
"P40","No sabe",0.027,0.185,0.597,0.547,0.646
"P41","Alberto Fernández por el Frente de Todos",0.783,0.044,0.041,0.311,0.274
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.057,0.791,0.38,0.142,0.185
"P41","No sabe",0.16,0.165,0.579,0.547,0.541
"P42","Sergio Massa por el Frente de Todos",0.942,0.019,0.05,0.365,0.201
"P42","Patricia Bullrich por Juntos por el Cambio",0.029,0.954,0.594,0.026,0.112
"P42","No sabe",0.029,0.027,0.356,0.609,0.687
"P43","Alberto Fernández por el Frente de Todos",0.83,0.016,0.052,0.406,0.289
"P43","Patricia Bullrich por Juntos por el Cambio",0.025,0.955,0.628,0.027,0.087
"P43","No sabe",0.145,0.029,0.32,0.567,0.624
"P44","Wado de Pedro por el Frente de Todos",0.81,0.025,0.025,0.412,0.294
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.057,0.807,0.413,0.143,0.179
"P44","No sabe",0.133,0.168,0.562,0.445,0.527
"P45","Daniel Scioli por el Frente de Todos",0.843,0.028,0.048,0.436,0.284
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.05,0.806,0.391,0.135,0.14
"P45","No sabe",0.107,0.166,0.561,0.429,0.576
"P46","Wado de Pedro por el Frente de Todos",0.818,0.012,0.031,0.482,0.3
"P46","Patricia Bullrich por Juntos por el Cambio",0.027,0.951,0.612,0.089,0.07
"P46","No sabe",0.155,0.037,0.357,0.429,0.63
"P47","Daniel Scioli por el Frente de Todos",0.873,0.015,0.039,0.443,0.35
"P47","Patricia Bullrich por Juntos por el Cambio",0.02,0.964,0.648,0.074,0.068
"P47","No sabe",0.107,0.021,0.313,0.483,0.582
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.222,0.551,0.043,0.266,0.148
"P48","Javier Milei por los liberales libertarios",0.044,0.337,0.888,0.009,0.034
"P48","No sabe",0.734,0.112,0.069,0.725,0.818
"P49","Patricia Bullrich por Juntos por el Cambio",0.065,0.876,0.072,0.07,0.09
"P49","Javier Milei por los liberales libertarios",0.075,0.076,0.887,0.034,0.023
"P49","No sabe",0.86,0.048,0.041,0.896,0.887
"P50","Alberto Fernández por el Frente de Todos",0.759,0.163,0.019,0.345,0.251
"P50","Javier Milei por los liberales libertarios",0.048,0.489,0.94,0.027,0.066
"P50","No sabe",0.193,0.348,0.041,0.628,0.683
"P51","Sergio Massa por el Frente de Todos",0.93,0.049,0.01,0.419,0.225
"P51","Javier Milei por los liberales libertarios",0.018,0.596,0.958,0.027,0.068
"P51","No sabe",0.052,0.355,0.032,0.554,0.707
"P52","Muy buena",0.17,0.009,0.008,0.174,0.044
"P52","Buena",0.302,0.074,0.134,0.036,0.073
"P52","Ni buena ni mala",0.333,0.064,0.074,0.215,0.32
"P52","Mala",0.155,0.074,0.053,0.156,0.205
"P52","Muy mala",0.037,0.774,0.722,0.403,0.336
"P52","No sabe",0.003,0.005,0.009,0.016,0.022
"P53","Muy buena",0.642,0.01,0.015,0.319,0.332
"P53","Buena",0.155,0.013,0.023,0.145,0.042
"P53","Ni buena ni mala",0.102,0.009,0.058,0.074,0.174
"P53","Mala",0.063,0.051,0.067,0.127,0.105
"P53","Muy mala",0.037,0.916,0.836,0.335,0.331
"P53","No sabe",0.001,0.001,0.001,0,0.016
"P54","Muy buena",0.082,0.398,0.105,0.125,0.079
"P54","Buena",0.022,0.286,0.15,0.039,0.036
"P54","Ni buena ni mala",0.024,0.155,0.215,0.029,0.125
"P54","Mala",0.113,0.046,0.183,0.125,0.199
"P54","Muy mala",0.758,0.112,0.343,0.664,0.543
"P54","No sabe",0.001,0.003,0.004,0.018,0.018
"P55","Muy buena",0.007,0.257,0.06,0.054,0.076
"P55","Buena",0.035,0.359,0.129,0.077,0.107
"P55","Ni buena ni mala",0.105,0.244,0.298,0.038,0.163
"P55","Mala",0.229,0.07,0.217,0.206,0.149
"P55","Muy mala",0.621,0.068,0.287,0.569,0.485
"P55","No sabe",0.003,0.002,0.009,0.056,0.02
"P56","Muy buena",0.186,0.038,0.011,0,0.019
"P56","Buena",0.384,0.054,0.045,0.042,0.12
"P56","Ni buena ni mala",0.341,0.084,0.143,0.235,0.256
"P56","Mala",0.042,0.128,0.142,0.343,0.239
"P56","Muy mala",0.045,0.694,0.642,0.38,0.328
"P56","No sabe",0.002,0.002,0.017,0,0.038
"P57","Muy buena",0.04,0.601,0.203,0.063,0.025
"P57","Buena",0.066,0.223,0.219,0.025,0.031
"P57","Ni buena ni mala",0.091,0.069,0.222,0.077,0.205
"P57","Mala",0.105,0.031,0.148,0.128,0.189
"P57","Muy mala",0.689,0.075,0.199,0.707,0.522
"P57","No sabe",0.009,0.001,0.009,0,0.028
"P58","Muy buena",0.011,0.124,0.662,0.004,0.035
"P58","Buena",0.016,0.214,0.218,0.005,0.026
"P58","Ni buena ni mala",0.063,0.39,0.079,0.186,0.154
"P58","Mala",0.124,0.139,0.018,0.029,0.258
"P58","Muy mala",0.763,0.118,0.016,0.776,0.469
"P58","No sabe",0.023,0.015,0.007,0,0.058
"P59","Muy buena",0.308,0.011,0.098,0.137,0.181
"P59","Buena",0.309,0.028,0.059,0.217,0.087
"P59","Ni buena ni mala",0.136,0.157,0.146,0.149,0.211
"P59","Mala",0.053,0.154,0.155,0.044,0.196
"P59","Muy mala",0.152,0.621,0.456,0.36,0.255
"P59","No sabe",0.042,0.029,0.086,0.093,0.07
"P60","Muy buena",0.257,0.005,0.036,0.064,0.129
"P60","Buena",0.412,0.014,0.035,0.185,0.175
"P60","Ni buena ni mala",0.265,0.072,0.098,0.275,0.28
"P60","Mala",0.045,0.166,0.171,0.172,0.131
"P60","Muy mala",0.014,0.732,0.648,0.3,0.264
"P60","No sabe",0.007,0.011,0.012,0.004,0.021
"P61","Muy buena",0.032,0.271,0.089,0.071,0.049
"P61","Buena",0.056,0.335,0.149,0.036,0.078
"P61","Ni buena ni mala",0.093,0.209,0.243,0.03,0.192
"P61","Mala",0.134,0.089,0.156,0.064,0.164
"P61","Muy mala",0.675,0.093,0.363,0.761,0.493
"P61","No sabe",0.01,0.003,0,0.038,0.024
"P62","Muy buena",0.023,0.125,0.082,0.049,0.086
"P62","Buena",0.118,0.237,0.17,0.051,0.106
"P62","Ni buena ni mala",0.33,0.357,0.352,0.326,0.341
"P62","Mala",0.248,0.133,0.124,0.175,0.163
"P62","Muy mala",0.234,0.126,0.223,0.33,0.24
"P62","No sabe",0.047,0.022,0.049,0.069,0.064
"P63","Siempre",0.325,0.34,0.317,0.229,0.29
"P63","Casi siempre",0.417,0.426,0.346,0.418,0.368
"P63","Casi nunca",0.197,0.189,0.162,0.254,0.195
"P63","Nunca, pero esta es una excepción",0.061,0.045,0.175,0.099,0.147
"P64","Si",0.65,0.604,0.625,0.565,0.585
"P64","No",0.35,0.396,0.375,0.435,0.415
