"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P26","Al candidato del Frente de Izquierda",0.073,0.006,0.099
"P26","No sabe",0.095,0.04,0.302
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.143,0.093
"P27","Patricia Bullrich por Juntos por el Cambio",0.012,0.583,0.053
"P27","Wado de Pedro por el Frente de Todos",0.387,0.013,0.13
"P27","Sergio Massa por el Frente de Todos",0.416,0.007,0.064
"P27","Javier Milei por los liberales libertarios",0.047,0.234,0.328
"P27","Al candidato del Frente de Izquierda",0.051,0.007,0.074
"P27","No sabe",0.066,0.013,0.258
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.139,0.093
"P28","Patricia Bullrich por Juntos por el Cambio",0.009,0.58,0.061
"P28","Wado de Pedro por el Frente de Todos",0.421,0.012,0.104
"P28","Daniel Scioli por el Frente de Todos",0.344,0.006,0.113
"P28","Javier Milei por los liberales libertarios",0.056,0.24,0.327
"P28","Al candidato del Frente de Izquierda",0.052,0.003,0.074
"P28","No sabe",0.092,0.02,0.228
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.009,0.216,0.113
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.017,0.488,0.031
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.349,0.017,0.058
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.452,0.008,0.123
"P29","Javier Milei presidente y su candidato a vice",0.044,0.24,0.336
"P29","A los candidatos de la izquierda",0.047,0.001,0.073
"P29","No sabe",0.082,0.03,0.266
"P30","Alberto Fernández por el Frente de Todos",0.652,0.029,0.111
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.411,0.094
"P30","Javier Milei por los liberales libertarios",0.048,0.402,0.325
"P30","Al candidato del Frente de Izquierda",0.072,0.007,0.107
"P30","No sabe",0.187,0.151,0.363
"P31","Sergio Massa por el Frente de Todos",0.787,0.011,0.037
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.445,0.109
"P31","Javier Milei por los liberales libertarios",0.031,0.41,0.325
"P31","Al candidato del Frente de Izquierda",0.053,0.017,0.102
"P31","No sabe",0.11,0.117,0.427
"P32","Wado de Pedro por el Frente de Todos",0.732,0.01,0.158
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.036,0.457,0.117
"P32","Javier Milei por los liberales libertarios",0.04,0.404,0.322
"P32","Al candidato del Frente de Izquierda",0.042,0.011,0.063
"P32","No sabe",0.15,0.118,0.34
"P33","Daniel Scioli por el Frente de Todos",0.759,0.015,0.142
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.48,0.095
"P33","Javier Milei por los liberales libertarios",0.04,0.394,0.329
"P33","Al candidato del Frente de Izquierda",0.051,0.011,0.087
"P33","No sabe",0.124,0.1,0.347
"P34","Sergio Massa por el Frente de Todos",0.817,0.017,0.039
"P34","Patricia Bullrich por Juntos por el Cambio",0.021,0.697,0.044
"P34","Javier Milei por los liberales libertarios",0.03,0.251,0.34
"P34","Al candidato del Frente de Izquierda",0.047,0.002,0.122
"P34","No sabe",0.085,0.033,0.455
"P35","Alberto Fernández por el Frente de Todos",0.724,0.011,0.101
"P35","Patricia Bullrich por Juntos por el Cambio",0.011,0.717,0.05
"P35","Javier Milei por los liberales libertarios",0.048,0.24,0.34
"P35","Al candidato del Frente de Izquierda",0.083,0.003,0.125
"P35","No sabe",0.134,0.029,0.384
"P36","Wado de Pedro por el Frente de Todos",0.721,0.005,0.133
"P36","Patricia Bullrich por Juntos por el Cambio",0.012,0.732,0.054
"P36","Javier Milei por los liberales libertarios",0.053,0.233,0.336
"P36","Al candidato del Frente de Izquierda",0.051,0.008,0.103
"P36","No sabe",0.163,0.022,0.374
"P37","Daniel Scioli por el Frente de Todos",0.773,0.006,0.148
"P37","Patricia Bullrich por Juntos por el Cambio",0.009,0.731,0.045
"P37","Javier Milei por los liberales libertarios",0.038,0.239,0.341
"P37","Al candidato del Frente de Izquierda",0.052,0.002,0.098
"P37","No sabe",0.128,0.022,0.368
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.116,0.385,0.1
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.646,0.088,0.053
"P38","Javier Milei presidente y su candidato a vice",0.049,0.377,0.334
"P38","A los candidatos de la izquierda",0.07,0.014,0.112
"P38","No sabe",0.119,0.136,0.401
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.019,0.651,0.019
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.715,0.038,0.05
"P39","Javier Milei presidente y su candidato a vice",0.039,0.258,0.34
"P39","A los candidatos de la izquierda",0.073,0.003,0.121
"P39","No sabe",0.154,0.05,0.47
"P40","Sergio Massa por el Frente de Todos",0.933,0.041,0.046
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.704,0.138
"P40","No sabe",0.041,0.255,0.816
"P41","Alberto Fernández por el Frente de Todos",0.797,0.034,0.093
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.044,0.746,0.139
"P41","No sabe",0.159,0.22,0.768
"P43","Alberto Fernández por el Frente de Todos",0.838,0.011,0.133
"P43","Patricia Bullrich por Juntos por el Cambio",0.015,0.967,0.076
"P43","No sabe",0.147,0.022,0.791
"P44","Wado de Pedro por el Frente de Todos",0.779,0.02,0.165
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.768,0.155
"P44","No sabe",0.174,0.212,0.68
"P45","Daniel Scioli por el Frente de Todos",0.816,0.034,0.144
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.749,0.137
"P45","No sabe",0.137,0.217,0.719
"P46","Wado de Pedro por el Frente de Todos",0.784,0.019,0.172
"P46","Patricia Bullrich por Juntos por el Cambio",0.027,0.95,0.077
"P46","No sabe",0.189,0.031,0.751
"P47","Daniel Scioli por el Frente de Todos",0.858,0.016,0.171
"P47","Patricia Bullrich por Juntos por el Cambio",0.017,0.966,0.094
"P47","No sabe",0.125,0.018,0.735
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.196,0.43,0.127
"P48","Javier Milei por los liberales libertarios",0.073,0.49,0.284
"P48","No sabe",0.731,0.08,0.589
"P49","Patricia Bullrich por Juntos por el Cambio",0.061,0.669,0.075
"P49","Javier Milei por los liberales libertarios",0.084,0.292,0.329
"P49","No sabe",0.855,0.039,0.596
"P50","Alberto Fernández por el Frente de Todos",0.743,0.118,0.105
"P50","Javier Milei por los liberales libertarios",0.06,0.622,0.348
"P50","No sabe",0.197,0.26,0.547
"P51","Sergio Massa por el Frente de Todos",0.91,0.032,0.061
"P51","Javier Milei por los liberales libertarios",0.044,0.702,0.351
"P51","No sabe",0.046,0.266,0.588
"P52","Muy buena",0.164,0.009,0.037
"P52","Buena",0.27,0.085,0.095
"P52","Ni buena ni mala",0.353,0.048,0.209
"P52","Mala",0.156,0.07,0.142
"P52","Muy mala",0.053,0.784,0.494
"P52","No sabe",0.004,0.004,0.023
"P53","Muy buena",0.604,0.002,0.211
"P53","Buena",0.141,0.012,0.062
"P53","Ni buena ni mala",0.123,0.014,0.109
"P53","Mala",0.082,0.051,0.085
"P53","Muy mala",0.05,0.92,0.522
"P53","No sabe",0,0.001,0.011
"P54","Muy buena",0.087,0.328,0.073
"P54","Buena",0.012,0.276,0.038
"P54","Ni buena ni mala",0.034,0.176,0.137
"P54","Mala",0.115,0.082,0.196
"P54","Muy mala",0.751,0.135,0.537
"P54","No sabe",0.001,0.003,0.019
"P55","Muy buena",0.004,0.212,0.072
"P55","Buena",0.031,0.315,0.095
"P55","Ni buena ni mala",0.1,0.269,0.185
"P55","Mala",0.235,0.118,0.137
"P55","Muy mala",0.63,0.085,0.474
"P55","No sabe",0,0.001,0.037
"P56","Muy buena",0.16,0.03,0.013
"P56","Buena",0.366,0.041,0.065
"P56","Ni buena ni mala",0.328,0.096,0.214
"P56","Mala",0.084,0.146,0.174
"P56","Muy mala",0.053,0.686,0.505
"P56","No sabe",0.009,0.001,0.029
"P57","Muy buena",0.038,0.517,0.056
"P57","Buena",0.056,0.245,0.056
"P57","Ni buena ni mala",0.096,0.093,0.24
"P57","Mala",0.124,0.053,0.172
"P57","Muy mala",0.674,0.088,0.464
"P57","No sabe",0.012,0.004,0.012
"P58","Muy buena",0.037,0.259,0.252
"P58","Buena",0.01,0.221,0.096
"P58","Ni buena ni mala",0.071,0.306,0.146
"P58","Mala",0.116,0.111,0.152
"P58","Muy mala",0.742,0.09,0.322
"P58","No sabe",0.024,0.013,0.032
"P59","Muy buena",0.3,0.036,0.114
"P59","Buena",0.284,0.036,0.091
"P59","Ni buena ni mala",0.152,0.152,0.169
"P59","Mala",0.054,0.165,0.156
"P59","Muy mala",0.149,0.577,0.386
"P59","No sabe",0.061,0.034,0.084
"P60","Muy buena",0.238,0.012,0.082
"P60","Buena",0.388,0.013,0.117
"P60","Ni buena ni mala",0.295,0.071,0.181
"P60","Mala",0.045,0.182,0.14
"P60","Muy mala",0.023,0.715,0.46
"P60","No sabe",0.011,0.007,0.02
"P61","Muy buena",0.031,0.23,0.059
"P61","Buena",0.063,0.291,0.081
"P61","Ni buena ni mala",0.086,0.238,0.164
"P61","Mala",0.138,0.115,0.122
"P61","Muy mala",0.674,0.124,0.551
"P61","No sabe",0.008,0.002,0.023
"P62","Muy buena",0.04,0.112,0.069
"P62","Buena",0.094,0.25,0.083
"P62","Ni buena ni mala",0.324,0.365,0.333
"P62","Mala",0.229,0.128,0.165
"P62","Muy mala",0.25,0.13,0.28
"P62","No sabe",0.063,0.015,0.07
"P63","Siempre",0.311,0.346,0.273
"P63","Casi siempre",0.429,0.394,0.364
"P63","Casi nunca",0.183,0.19,0.198
"P63","Nunca, pero esta es una excepción",0.077,0.07,0.165
"P64","Si",0.641,0.611,0.593
"P64","No",0.359,0.389,0.407
