"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.221,0.5,0.188,0.208
"P33","Javier Milei por los liberales libertarios",0.712,0.182,0.025,0.037
"P33","Al candidato del Frente de Izquierda",0.009,0.032,0.065,0
"P33","No sabe",0.038,0.195,0.196,0.481
"P34","Sergio Massa por el Frente de Todos",0.023,0.086,0.515,0.311
"P34","Patricia Bullrich por Juntos por el Cambio",0.378,0.691,0.194,0.257
"P34","Javier Milei por los liberales libertarios",0.573,0.082,0.015,0.065
"P34","Al candidato del Frente de Izquierda",0.001,0.041,0.075,0
"P34","No sabe",0.025,0.1,0.201,0.367
"P35","Alberto Fernández por el Frente de Todos",0.012,0.089,0.473,0.373
"P35","Patricia Bullrich por Juntos por el Cambio",0.409,0.682,0.19,0.282
"P35","Javier Milei por los liberales libertarios",0.561,0.087,0.023,0.027
"P35","Al candidato del Frente de Izquierda",0.001,0.029,0.102,0
"P35","No sabe",0.017,0.113,0.212,0.318
"P36","Wado de Pedro por el Frente de Todos",0.014,0.048,0.522,0.177
"P36","Patricia Bullrich por Juntos por el Cambio",0.41,0.71,0.194,0.32
"P36","Javier Milei por los liberales libertarios",0.546,0.089,0.02,0.027
"P36","Al candidato del Frente de Izquierda",0.011,0.049,0.061,0
"P36","No sabe",0.019,0.104,0.203,0.476
"P37","Daniel Scioli por el Frente de Todos",0.019,0.078,0.537,0.409
"P37","Patricia Bullrich por Juntos por el Cambio",0.398,0.705,0.19,0.274
"P37","Javier Milei por los liberales libertarios",0.562,0.084,0.02,0.065
"P37","Al candidato del Frente de Izquierda",0.001,0.036,0.066,0
"P37","No sabe",0.02,0.097,0.187,0.252
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.185,0.443,0.203,0.208
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.069,0.148,0.436,0.307
"P38","Javier Milei presidente y su candidato a vice",0.686,0.168,0.037,0.027
"P38","A los candidatos de la izquierda",0.009,0.036,0.081,0.03
"P38","No sabe",0.051,0.205,0.243,0.428
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.363,0.622,0.18,0.268
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.024,0.101,0.469,0.291
"P39","Javier Milei presidente y su candidato a vice",0.578,0.096,0.021,0.027
"P39","A los candidatos de la izquierda",0.004,0.034,0.091,0.02
"P39","No sabe",0.031,0.147,0.239,0.394
"P40","Sergio Massa por el Frente de Todos",0.046,0.145,0.586,0.276
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.53,0.624,0.183,0.254
"P40","No sabe",0.424,0.231,0.231,0.47
"P41","Alberto Fernández por el Frente de Todos",0.039,0.121,0.524,0.373
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.552,0.631,0.212,0.219
"P41","No sabe",0.409,0.248,0.264,0.408
"P42","Sergio Massa por el Frente de Todos",0.047,0.115,0.588,0.381
"P42","Patricia Bullrich por Juntos por el Cambio",0.728,0.735,0.205,0.295
"P42","No sabe",0.225,0.15,0.207,0.324
"P43","Alberto Fernández por el Frente de Todos",0.041,0.085,0.55,0.372
"P43","Patricia Bullrich por Juntos por el Cambio",0.746,0.764,0.199,0.303
"P43","No sabe",0.213,0.151,0.251,0.325
"P44","Wado de Pedro por el Frente de Todos",0.025,0.078,0.572,0.181
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.561,0.674,0.213,0.244
"P44","No sabe",0.414,0.248,0.215,0.575
"P45","Daniel Scioli por el Frente de Todos",0.041,0.112,0.564,0.291
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.553,0.674,0.2,0.257
"P45","No sabe",0.406,0.214,0.236,0.452
"P46","Wado de Pedro por el Frente de Todos",0.026,0.082,0.574,0.161
"P46","Patricia Bullrich por Juntos por el Cambio",0.746,0.767,0.191,0.303
"P46","No sabe",0.228,0.151,0.235,0.536
"P47","Daniel Scioli por el Frente de Todos",0.033,0.112,0.584,0.389
"P47","Patricia Bullrich por Juntos por el Cambio",0.764,0.766,0.197,0.295
"P47","No sabe",0.203,0.122,0.219,0.316
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.183,0.5,0.294,0.204
"P48","Javier Milei por los liberales libertarios",0.739,0.256,0.058,0.086
"P48","No sabe",0.078,0.244,0.648,0.71
"P49","Patricia Bullrich por Juntos por el Cambio",0.361,0.692,0.213,0.276
"P49","Javier Milei por los liberales libertarios",0.584,0.136,0.05,0.115
"P49","No sabe",0.055,0.172,0.737,0.609
"P50","Alberto Fernández por el Frente de Todos",0.07,0.181,0.542,0.321
"P50","Javier Milei por los liberales libertarios",0.836,0.44,0.078,0.097
"P50","No sabe",0.094,0.379,0.38,0.582
"P51","Sergio Massa por el Frente de Todos",0.023,0.119,0.6,0.419
"P51","Javier Milei por los liberales libertarios",0.891,0.498,0.084,0.107
"P51","No sabe",0.086,0.383,0.316,0.474
"P52","Positiva",0.141,0.09,0.304,0.307
"P52","Neutra",0.074,0.106,0.28,0.25
"P52","Negativa",0.778,0.798,0.411,0.338
"P52","No sabe",0.007,0.006,0.005,0.105
"P53","Positiva",0.049,0.076,0.554,0.516
"P53","Neutra",0.046,0.058,0.091,0.008
"P53","Negativa",0.905,0.865,0.354,0.371
"P53","No sabe",0,0.001,0.001,0.105
"P54","Positiva",0.436,0.528,0.203,0.324
"P54","Neutra",0.197,0.145,0.063,0.103
"P54","Negativa",0.364,0.322,0.731,0.46
"P54","No sabe",0.003,0.005,0.003,0.113
"P55","Positiva",0.377,0.493,0.159,0.257
"P55","Neutra",0.259,0.282,0.119,0.274
"P55","Negativa",0.357,0.212,0.719,0.364
