"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P31","Otros",0.013,0.044,0.006,0.01,0.017,0.438,0.045,0.024
"P31","En blanco",0.001,0.023,0,0.014,0.021,0,0.306,0.003
"P31","No sabe",0.003,0.03,0.008,0.023,0,0.044,0.073,0.495
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.915,0.083,0.043,0.391,0.16,0.11,0.2,0.171
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.007,0.831,0.627,0.162,0.317,0.585,0.509,0.372
"P33","En blanco",0.056,0.042,0.235,0.382,0.226,0.167,0.285,0.08
"P33","No sabe",0.022,0.044,0.095,0.065,0.297,0.138,0.006,0.377
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.1,0.79,0.249,0.192,0.472,0.579,0.536,0.438
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.055,0.116,0.689,0.065,0.176,0.065,0.071,0.024
"P34","En blanco",0.616,0.05,0.05,0.623,0.143,0.233,0.34,0.085
"P34","No sabe",0.229,0.044,0.012,0.12,0.209,0.123,0.053,0.453
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.927,0.06,0.047,0.334,0.17,0.164,0.158,0.086
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.017,0.861,0.452,0.196,0.218,0.301,0.127,0.227
"P35","En blanco",0.043,0.053,0.368,0.387,0.212,0.224,0.628,0.1
"P35","No sabe",0.013,0.026,0.133,0.083,0.4,0.311,0.087,0.587
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.19,0.796,0.053,0.292,0.388,0.246,0.158,0.166
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.043,0.137,0.88,0.017,0.134,0.13,0.25,0.115
"P36","En blanco",0.569,0.04,0.042,0.602,0.253,0.318,0.56,0.142
"P36","No sabe",0.198,0.027,0.025,0.089,0.225,0.306,0.032,0.577
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.917,0.075,0.028,0.442,0.254,0.218,0.236,0.163
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.023,0.394,0.906,0.125,0.181,0.135,0.164,0.116
"P37","En blanco",0.034,0.3,0.048,0.357,0.357,0.4,0.593,0.143
"P37","No sabe",0.026,0.231,0.018,0.076,0.208,0.247,0.007,0.578
"P47","Lo votaría",0.896,0.076,0.026,0.183,0.127,0.139,0.147,0.067
"P47","Puede que lo vote",0.05,0.068,0.151,0.285,0.091,0.18,0.043,0.054
"P47","Nunca lo votaría",0.036,0.842,0.808,0.473,0.555,0.6,0.74,0.627
"P47","No sabe",0.018,0.014,0.015,0.059,0.227,0.081,0.07,0.252
"P48","Lo votaría",0.589,0.022,0.029,0.399,0.053,0.159,0.076,0.051
"P48","Puede que lo vote",0.258,0.036,0.031,0.21,0.052,0.043,0.029,0.051
"P48","Nunca lo votaría",0.108,0.937,0.919,0.329,0.663,0.757,0.796,0.639
"P48","No sabe",0.045,0.005,0.021,0.062,0.232,0.041,0.099,0.259
"P49","Lo votaría",0.097,0.659,0.35,0.257,0.295,0.426,0.445,0.364
"P49","Puede que lo vote",0.038,0.144,0.3,0.06,0.154,0.151,0.026,0.083
"P49","Nunca lo votaría",0.84,0.185,0.305,0.635,0.338,0.377,0.497,0.3
"P49","No sabe",0.025,0.012,0.045,0.048,0.213,0.046,0.032,0.253
"P50","Lo votaría",0.033,0.693,0.108,0.201,0.284,0.231,0.158,0.164
"P50","Puede que lo vote",0.047,0.248,0.325,0.107,0.274,0.256,0.159,0.21
"P50","Nunca lo votaría",0.883,0.054,0.532,0.632,0.388,0.472,0.601,0.327
"P50","No sabe",0.037,0.005,0.035,0.06,0.054,0.041,0.082,0.299
"P51","Lo votaría",0.024,0.159,0.682,0.142,0.043,0.159,0.079,0.058
"P51","Puede que lo vote",0.03,0.314,0.19,0.024,0.167,0.114,0.102,0.205
"P51","Nunca lo votaría",0.93,0.485,0.117,0.788,0.748,0.669,0.776,0.427
"P51","No sabe",0.016,0.042,0.011,0.046,0.042,0.058,0.043,0.31
"P52","Lo votaría",0.077,0.016,0.084,0.543,0.042,0.08,0.008,0.053
"P52","Puede que lo vote",0.343,0.076,0.06,0.114,0.022,0.111,0.045,0.055
"P52","Nunca lo votaría",0.511,0.893,0.833,0.334,0.789,0.737,0.928,0.63
"P52","No sabe",0.069,0.015,0.023,0.009,0.147,0.072,0.019,0.262
"P53","Lo votaría",0.042,0.015,0.01,0.138,0.515,0.042,0,0.064
"P53","Puede que lo vote",0.153,0.195,0.122,0.156,0.261,0.135,0.06,0.072
"P53","Nunca lo votaría",0.718,0.753,0.838,0.666,0.19,0.722,0.929,0.615
"P53","No sabe",0.087,0.037,0.03,0.04,0.034,0.101,0.011,0.249
"P57","Si",0.558,0.529,0.492,0.353,0.448,0.553,0.518,0.547
"P57","No",0.442,0.471,0.508,0.647,0.552,0.447,0.482,0.453
