"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.862,0.665,0.057,0.175,0.115,0.332,0.203,0.193,0.175,0.111
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.063,0.149,0.663,0.748,0.442,0.307,0.241,0.165,0.174,0.218
"P35","En blanco",0.059,0.132,0.162,0.063,0.329,0.27,0.192,0.324,0.412,0.145
"P35","No sabe",0.016,0.054,0.118,0.014,0.114,0.091,0.364,0.318,0.239,0.526
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.186,0.222,0.495,0.701,0.205,0.094,0.384,0.196,0.129,0.17
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.153,0.353,0.161,0.708,0.274,0.137,0.201,0.245,0.133
"P36","En blanco",0.545,0.478,0.076,0.087,0.052,0.504,0.418,0.358,0.459,0.257
"P36","No sabe",0.204,0.147,0.076,0.051,0.035,0.128,0.061,0.245,0.167,0.44
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.844,0.677,0.064,0.215,0.112,0.432,0.257,0.319,0.074,0.17
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.196,0.481,0.372,0.778,0.232,0.042,0.21,0.257,0.165
"P37","En blanco",0.063,0.079,0.239,0.263,0.07,0.239,0.45,0.244,0.515,0.126
"P37","No sabe",0.028,0.048,0.216,0.15,0.04,0.097,0.251,0.227,0.154,0.539
"P47","Lo votaría",0.807,0.674,0.073,0.166,0.103,0.13,0.28,0.127,0.111,0.122
"P47","Puede que lo vote",0.096,0.167,0.053,0.053,0.11,0.256,0.012,0.108,0.116,0.081
"P47","Nunca lo votaría",0.077,0.142,0.864,0.728,0.774,0.561,0.561,0.69,0.567,0.48
"P47","No sabe",0.02,0.017,0.01,0.053,0.013,0.053,0.147,0.075,0.206,0.317
"P48","Lo votaría",0.453,0.574,0.037,0.129,0.091,0.333,0.081,0.156,0.059,0.097
"P48","Puede que lo vote",0.263,0.197,0.029,0.047,0.043,0.12,0.105,0.117,0.104,0.033
"P48","Nunca lo votaría",0.221,0.207,0.928,0.805,0.849,0.493,0.499,0.616,0.701,0.552
"P48","No sabe",0.063,0.022,0.006,0.019,0.017,0.054,0.315,0.111,0.136,0.318
"P49","Lo votaría",0.077,0.133,0.638,0.554,0.424,0.337,0.051,0.056,0.127,0.183
"P49","Puede que lo vote",0.05,0.112,0.205,0.142,0.171,0.074,0.163,0.174,0.059,0.202
"P49","Nunca lo votaría",0.846,0.738,0.139,0.285,0.362,0.571,0.408,0.625,0.636,0.28
"P49","No sabe",0.027,0.017,0.018,0.019,0.043,0.018,0.378,0.145,0.178,0.335
"P50","Lo votaría",0.068,0.085,0.435,0.629,0.225,0.097,0.232,0.043,0.075,0.125
"P50","Puede que lo vote",0.052,0.125,0.302,0.185,0.279,0.288,0.178,0.245,0.174,0.092
"P50","Nunca lo votaría",0.845,0.744,0.237,0.178,0.462,0.59,0.59,0.601,0.605,0.451
"P50","No sabe",0.035,0.046,0.026,0.008,0.034,0.025,0,0.111,0.146,0.332
"P51","Lo votaría",0.063,0.1,0.261,0.182,0.595,0.15,0.057,0.178,0.257,0.107
"P51","Puede que lo vote",0.032,0.097,0.259,0.234,0.227,0.152,0.096,0.106,0.055,0.166
"P51","Nunca lo votaría",0.887,0.78,0.447,0.539,0.162,0.626,0.818,0.568,0.537,0.447
"P51","No sabe",0.018,0.023,0.033,0.045,0.016,0.072,0.029,0.148,0.151,0.28
"P52","Lo votaría",0.111,0.099,0.031,0.023,0.068,0.355,0.102,0.072,0.15,0.005
"P52","Puede que lo vote",0.285,0.341,0.053,0.136,0.066,0.283,0.102,0.145,0.015,0.054
"P52","Nunca lo votaría",0.56,0.452,0.9,0.815,0.842,0.344,0.571,0.629,0.794,0.593
"P52","No sabe",0.044,0.108,0.016,0.026,0.024,0.018,0.225,0.154,0.041,0.348
"P53","Lo votaría",0.047,0.016,0.017,0.042,0.028,0.088,0.58,0.021,0.096,0.01
"P53","Puede que lo vote",0.151,0.183,0.145,0.224,0.106,0.132,0.134,0.282,0.153,0.028
"P53","Nunca lo votaría",0.745,0.698,0.811,0.669,0.832,0.681,0.222,0.572,0.677,0.566
"P53","No sabe",0.057,0.103,0.027,0.065,0.034,0.099,0.064,0.125,0.074,0.396
"P57","Si",0.52,0.545,0.514,0.563,0.521,0.443,0.548,0.433,0.566,0.476
"P57","No",0.48,0.455,0.486,0.437,0.479,0.557,0.452,0.567,0.434,0.524
