"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.017,0.007,0.014,0.027
"P32","Otros",0.028,0.019,0.048,0.099
"P32","En blanco",0.008,0.017,0.039,0.005
"P32","No sabe",0.018,0.016,0.021,0.183
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.259,0.07,0.742,0.522
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.655,0.684,0.079,0.177
"P33","En blanco",0.054,0.176,0.161,0.039
"P33","No sabe",0.032,0.07,0.018,0.262
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.733,0.306,0.098,0.244
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.075,0.654,0.039,0.044
"P34","En blanco",0.116,0.027,0.802,0.113
"P34","No sabe",0.076,0.013,0.061,0.599
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.246,0.079,0.741,0.551
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.711,0.472,0.051,0.068
"P35","En blanco",0.028,0.33,0.176,0.047
"P35","No sabe",0.015,0.119,0.032,0.334
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.269,0.074,0.75,0.535
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.314,0.846,0.027,0.042
"P37","En blanco",0.244,0.055,0.208,0.061
"P37","No sabe",0.173,0.025,0.015,0.362
"P47","Lo votaría",0.216,0.06,0.728,0.508
"P47","Puede que lo vote",0.058,0.148,0.088,0.057
"P47","Nunca lo votaría",0.703,0.77,0.174,0.293
"P47","No sabe",0.023,0.022,0.01,0.142
"P48","Lo votaría",0.137,0.049,0.528,0.252
"P48","Puede que lo vote",0.059,0.055,0.219,0.186
"P48","Nunca lo votaría",0.795,0.871,0.198,0.433
"P48","No sabe",0.009,0.025,0.055,0.129
"P49","Lo votaría",0.595,0.376,0.122,0.184
"P49","Puede que lo vote",0.118,0.269,0.046,0.1
"P49","Nunca lo votaría",0.267,0.316,0.811,0.585
"P49","No sabe",0.02,0.039,0.021,0.131
"P50","Lo votaría",0.632,0.163,0.023,0.036
"P50","Puede que lo vote",0.22,0.321,0.045,0.148
"P50","Nunca lo votaría",0.128,0.488,0.904,0.672
"P50","No sabe",0.02,0.028,0.028,0.144
"P51","Lo votaría",0.149,0.61,0.023,0.018
"P51","Puede que lo vote",0.256,0.232,0.016,0.085
"P51","Nunca lo votaría",0.553,0.143,0.947,0.77
"P51","No sabe",0.042,0.015,0.014,0.127
"P52","Lo votaría",0.051,0.076,0.115,0.017
"P52","Puede que lo vote",0.11,0.09,0.304,0.145
"P52","Nunca lo votaría",0.813,0.812,0.527,0.682
"P52","No sabe",0.026,0.022,0.054,0.156
"P53","Lo votaría",0.054,0.018,0.035,0.029
"P53","Puede que lo vote",0.211,0.133,0.11,0.142
"P53","Nunca lo votaría",0.68,0.817,0.797,0.676
"P53","No sabe",0.055,0.032,0.058,0.153
"P57","Si",0.554,0.508,0.501,0.503
"P57","No",0.446,0.492,0.499,0.497
