"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.042,0.092,0.274,0.082,0.908,0.072,0.1,0.093,0.22,0.075
"P36","En blanco",0.571,0.57,0.076,0.045,0.023,0.591,0.234,0.426,0.472,0.181
"P36","No sabe",0.216,0.138,0.075,0.021,0.027,0.184,0.166,0.32,0.082,0.609
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.919,0.811,0.066,0.128,0.02,0.295,0.353,0.323,0.099,0.153
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.017,0.061,0.496,0.248,0.919,0.075,0.07,0.111,0.219,0.116
"P37","En blanco",0.03,0.088,0.262,0.341,0.045,0.485,0.353,0.33,0.592,0.067
"P37","No sabe",0.034,0.04,0.176,0.283,0.016,0.145,0.224,0.236,0.09,0.664
"P47","Lo votaría",0.918,0.617,0.06,0.105,0.043,0.088,0.217,0.19,0.099,0.165
"P47","Puede que lo vote",0.03,0.214,0.068,0.093,0.134,0.317,0.193,0.119,0.14,0.005
"P47","Nunca lo votaría",0.033,0.144,0.863,0.756,0.799,0.547,0.451,0.49,0.588,0.455
"P47","No sabe",0.019,0.025,0.009,0.046,0.024,0.048,0.139,0.201,0.173,0.375
"P48","Lo votaría",0.492,0.846,0.009,0.064,0.023,0.118,0.096,0.155,0.06,0.16
"P48","Puede que lo vote",0.303,0.109,0.018,0.045,0.044,0.295,0.04,0.139,0.087,0.029
"P48","Nunca lo votaría",0.134,0.045,0.969,0.88,0.907,0.531,0.534,0.436,0.821,0.48
"P48","No sabe",0.071,0,0.004,0.011,0.026,0.056,0.33,0.27,0.032,0.331
"P49","Lo votaría",0.087,0.21,0.8,0.373,0.177,0.054,0.112,0.066,0.323,0.159
"P49","Puede que lo vote",0.046,0.034,0.046,0.29,0.39,0.066,0.304,0.142,0.109,0.182
"P49","Nunca lo votaría",0.838,0.74,0.149,0.299,0.389,0.858,0.126,0.531,0.411,0.303
"P49","No sabe",0.029,0.016,0.005,0.038,0.044,0.022,0.458,0.261,0.157,0.356
"P50","Lo votaría",0.024,0.091,0.491,0.823,0.068,0.045,0.186,0.077,0.226,0.048
"P50","Puede que lo vote",0.06,0.031,0.343,0.105,0.282,0.216,0.406,0.169,0.254,0.071
"P50","Nunca lo votaría",0.886,0.83,0.143,0.062,0.613,0.698,0.283,0.564,0.41,0.528
"P50","No sabe",0.03,0.048,0.023,0.01,0.037,0.041,0.125,0.19,0.11,0.353
"P51","Lo votaría",0.018,0.072,0.178,0.195,0.802,0.017,0,0.077,0.285,0.016
"P51","Puede que lo vote",0.027,0.026,0.376,0.178,0.089,0.056,0.175,0.162,0.051,0.151
"P51","Nunca lo votaría",0.94,0.876,0.408,0.585,0.096,0.905,0.732,0.494,0.577,0.473
"P51","No sabe",0.015,0.026,0.038,0.042,0.013,0.022,0.093,0.267,0.087,0.36
"P52","Lo votaría",0.049,0.189,0.019,0.023,0.114,0.766,0,0.084,0.047,0
"P52","Puede que lo vote",0.295,0.411,0.068,0.079,0.068,0.117,0.04,0.157,0,0.048
"P52","Nunca lo votaría",0.589,0.353,0.904,0.867,0.777,0.108,0.685,0.599,0.922,0.583
"P52","No sabe",0.067,0.047,0.009,0.031,0.041,0.009,0.275,0.16,0.031,0.369
"P53","Lo votaría",0.034,0.1,0.008,0.049,0.008,0.095,0.694,0.046,0.071,0.007
"P53","Puede que lo vote",0.165,0.168,0.139,0.252,0.103,0.268,0.068,0.105,0.254,0.023
"P53","Nunca lo votaría",0.724,0.673,0.817,0.656,0.848,0.571,0.053,0.69,0.607,0.567
"P53","No sabe",0.077,0.059,0.036,0.043,0.041,0.066,0.185,0.159,0.068,0.403
"P57","Si",0.552,0.475,0.531,0.537,0.498,0.515,0.528,0.48,0.452,0.492
"P57","No",0.448,0.525,0.469,0.463,0.502,0.485,0.472,0.52,0.548,0.508
