"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P09","En blanco",0.007,0,0.003,0,0.013,0.045,0.061,0.033,0.206,0.007
"P09","No sabe",0.009,0.004,0.001,0.019,0,0,0.019,0.149,0.01,0.585
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.608,0.593,0.055,0.11,0.073,0.353,0.212,0.119,0.093,0.14
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.081,0.102,0.445,0.421,0.402,0,0.119,0.151,0.189,0.238
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.14,0.121,0.248,0.313,0.166,0.1,0.082,0.106,0.163,0.208
"P12","Ramiro Marra por la Libertad Avanza",0.039,0.089,0.169,0.05,0.222,0.013,0.053,0.023,0.048,0
"P12","Vanina Biasi por el Frente de Izquierda",0.08,0.045,0.038,0.049,0.044,0.079,0.19,0.03,0.041,0
"P12","Otros",0.015,0.006,0.02,0.025,0.038,0.203,0.056,0.246,0.117,0.043
"P12","En blanco",0.015,0.02,0.009,0.012,0.037,0.041,0.288,0.027,0.268,0
"P12","No sabe",0.022,0.024,0.016,0.02,0.018,0.211,0,0.298,0.081,0.371
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.518,0.38,0.064,0.104,0.104,0.153,0.082,0.15,0.076,0.079
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.088,0.084,0.465,0.242,0.232,0,0.097,0.077,0.262,0.139
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.156,0.172,0.234,0.409,0.182,0.101,0.346,0.091,0.053,0.154
"P21","Ramiro Marra por la Libertad Avanza",0.061,0.031,0.135,0.066,0.296,0.041,0.138,0.008,0,0
"P21","Vanina Biasi por el Frente de Izquierda",0.069,0.169,0.016,0.076,0.03,0.451,0,0.025,0,0
"P21","Otros",0.047,0.115,0.031,0.036,0.054,0.215,0.033,0.268,0,0.018
"P21","En blanco",0.047,0.033,0.02,0.035,0.039,0.039,0.25,0,0.518,0.043
"P21","No sabe",0.014,0.016,0.035,0.032,0.063,0,0.054,0.381,0.091,0.567
"P25","Totalmente seguro",0.695,0.672,0.722,0.656,0.72,0.555,0.478,0.441,0.816,0.478
"P25","Bastante seguro",0.188,0.21,0.182,0.192,0.099,0.216,0.332,0.193,0.057,0.039
"P25","Algo seguro",0.074,0.059,0.068,0.102,0.115,0.082,0.066,0.152,0.072,0.081
"P25","Para nada seguro",0.043,0.059,0.028,0.05,0.066,0.147,0.124,0.214,0.055,0.402
"P26","Tiene Decidido que va a ir a votar",0.91,0.89,0.917,0.91,0.916,0.845,0.754,0.713,0.867,0.788
"P26","Tiene dudas sobre si va a ir a votar",0.053,0.07,0.063,0.051,0.027,0.155,0.15,0.137,0.012,0.092
"P26","Tiene Decidido que no va a ir a votar",0.037,0.04,0.02,0.039,0.057,0,0.096,0.15,0.121,0.12
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.799,0.666,0.06,0.1,0.044,0.247,0.082,0.216,0.074,0.101
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.074,0.136,0.644,0.629,0.476,0,0.062,0.125,0.273,0.313
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.041,0.017,0.223,0.066,0.396,0.038,0.112,0.049,0.09,0
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.016,0.099,0.012,0.007,0.012,0.351,0.146,0.087,0.078,0.04
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.009,0.008,0.013,0.056,0.018,0.11,0.324,0.019,0.076,0.059
"P27","Otros",0.022,0.039,0.033,0.06,0.02,0.171,0,0.354,0,0.01
"P27","En blanco",0.007,0.002,0.006,0.016,0.008,0.033,0.064,0.111,0.409,0.01
"P27","No sabe",0.032,0.033,0.009,0.066,0.026,0.05,0.21,0.039,0,0.467
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.779,0.709,0.057,0.097,0.056,0.281,0.087,0.226,0.098,0.131
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.095,0.089,0.536,0.735,0.22,0.027,0.066,0.252,0.152,0.308
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.045,0.053,0.275,0.074,0.62,0,0.234,0.113,0.159,0.082
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.102,0.003,0.018,0.014,0.379,0.164,0.017,0.104,0.046
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.018,0.008,0.012,0.02,0.009,0.075,0.338,0.03,0.104,0.059
"P28","Otros",0.011,0.028,0.048,0.026,0.034,0.177,0,0.254,0.063,0.011
"P28","En blanco",0.002,0,0.04,0.003,0.017,0.034,0.069,0.026,0.296,0
"P28","No sabe",0.033,0.011,0.029,0.027,0.03,0.027,0.042,0.082,0.024,0.363
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.73,0.718,0.067,0.109,0.085,0.456,0.099,0.13,0.15,0.15
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.118,0.058,0.612,0.662,0.426,0,0.125,0.257,0.289,0.511
"P29","Ramiro Marra por la Libertad Avanza",0.035,0.084,0.21,0.051,0.331,0,0.077,0.211,0.178,0
"P29","Vanina Biasi por el Frente de Izquierda",0.009,0.022,0.002,0.021,0.008,0.454,0.214,0.041,0.073,0.054
"P29","Otros",0.044,0.093,0.057,0.111,0.091,0.037,0.218,0.149,0.047,0.012
"P29","En blanco",0.017,0.014,0.026,0.007,0.023,0.015,0.17,0.154,0.237,0
"P29","No sabe",0.047,0.011,0.026,0.039,0.036,0.038,0.097,0.058,0.026,0.273
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.702,0.695,0.065,0.107,0.066,0.456,0.074,0.079,0.115,0.144
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.153,0.151,0.507,0.678,0.33,0.131,0.338,0.389,0.214,0.424
"P30","Ramiro Marra por la Libertad Avanza",0.054,0.067,0.211,0.057,0.444,0,0.223,0.11,0.184,0
"P30","Vanina Biasi por el Frente de Izquierda",0.005,0.027,0.001,0.006,0.012,0.23,0.23,0.024,0.074,0
"P30","Otros",0.031,0.032,0.079,0.074,0.075,0.132,0.027,0.147,0.071,0.014
"P30","En blanco",0.013,0.015,0.059,0.032,0.032,0.051,0,0.251,0.29,0.032
"P30","No sabe",0.042,0.013,0.078,0.046,0.041,0,0.108,0,0.052,0.386
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.843,0.849,0.063,0.175,0.086,0.483,0.137,0.506,0.066,0.218
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.076,0.072,0.834,0.684,0.676,0.014,0.198,0.021,0.535,0.42
"P33","En blanco",0.054,0.062,0.058,0.084,0.161,0.211,0.232,0.223,0.399,0.017
"P33","No sabe",0.027,0.017,0.045,0.057,0.077,0.292,0.433,0.25,0,0.345
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.182,0.23,0.675,0.674,0.549,0.048,0.135,0.367,0.501,0.448
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.1,0.062,0.237,0.096,0.366,0.013,0.375,0.129,0.125,0.081
"P34","En blanco",0.54,0.57,0.053,0.171,0.057,0.602,0.195,0.263,0.374,0.222
"P34","No sabe",0.178,0.138,0.035,0.059,0.028,0.337,0.295,0.241,0,0.249
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.81,0.842,0.098,0.173,0.077,0.544,0.082,0.339,0.199,0.214
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.088,0.07,0.613,0.751,0.458,0.073,0.164,0.25,0.343,0.346
"P35","En blanco",0.073,0.062,0.195,0.029,0.328,0.259,0.53,0.136,0.458,0.033
"P35","No sabe",0.029,0.026,0.094,0.047,0.137,0.124,0.224,0.275,0,0.407
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.239,0.253,0.581,0.736,0.167,0.151,0.224,0.308,0.192,0.467
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.102,0.063,0.316,0.171,0.705,0.047,0.243,0.096,0.18,0.047
"P36","En blanco",0.468,0.484,0.053,0.051,0.077,0.538,0.225,0.31,0.563,0.199
"P36","No sabe",0.191,0.2,0.05,0.042,0.051,0.264,0.308,0.286,0.065,0.287
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.833,0.793,0.108,0.198,0.085,0.44,0.129,0.277,0.084,0.185
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.075,0.066,0.476,0.323,0.753,0.013,0.217,0.302,0.277,0.16
"P37","En blanco",0.05,0.094,0.258,0.269,0.07,0.348,0.216,0.191,0.453,0.137
"P37","No sabe",0.042,0.047,0.158,0.21,0.092,0.199,0.438,0.23,0.186,0.518
"P38","Leandro Santoro por Unión por la Patria",0.732,0.819,0.09,0.181,0.057,0.725,0.086,0.372,0.091,0.247
"P38","Jorge Macri por Juntos por el Cambio",0.097,0.08,0.774,0.695,0.736,0,0.243,0.194,0.402,0.473
"P38","En blanco",0.137,0.071,0.108,0.054,0.152,0.275,0.266,0.227,0.477,0.015
"P38","No sabe",0.034,0.03,0.028,0.07,0.055,0,0.405,0.207,0.03,0.265
"P39","Leandro Santoro por Unión por la Patria",0.746,0.78,0.078,0.108,0.052,0.662,0.167,0.245,0.066,0.19
"P39","Martin Lousteau por Juntos por el Cambio",0.169,0.133,0.605,0.774,0.549,0.061,0.216,0.179,0.349,0.506
"P39","En blanco",0.063,0.043,0.223,0.071,0.325,0.277,0.207,0.472,0.479,0
"P39","No sabe",0.022,0.044,0.094,0.047,0.074,0,0.41,0.104,0.106,0.304
"P40","Lo votaría",0.803,0.786,0.071,0.115,0.044,0.389,0.074,0.221,0.071,0.093
"P40","Puede que lo vote",0.092,0.094,0.108,0.2,0.084,0.105,0,0.169,0.051,0.139
"P40","Nunca lo votaría",0.07,0.097,0.792,0.66,0.831,0.395,0.926,0.431,0.848,0.514
"P40","No sabe",0.035,0.023,0.029,0.025,0.041,0.111,0,0.179,0.03,0.254
"P41","Lo votaría",0.568,0.585,0.06,0.077,0.035,0.313,0,0.138,0.023,0.191
"P41","Puede que lo vote",0.144,0.215,0.035,0.076,0.042,0.158,0.087,0.298,0,0.093
"P41","Nunca lo votaría",0.237,0.185,0.894,0.81,0.895,0.469,0.913,0.4,0.947,0.589
"P41","No sabe",0.051,0.015,0.011,0.037,0.028,0.06,0,0.164,0.03,0.127
"P42","Lo votaría",0.145,0.128,0.678,0.597,0.518,0,0.154,0.204,0.267,0.254
"P42","Puede que lo vote",0.069,0.051,0.203,0.084,0.145,0.07,0.065,0.046,0.327,0.262
"P42","Nunca lo votaría",0.74,0.789,0.104,0.289,0.282,0.843,0.781,0.612,0.406,0.355
"P42","No sabe",0.046,0.032,0.015,0.03,0.055,0.087,0,0.138,0,0.129
"P43","Lo votaría",0.136,0.097,0.461,0.61,0.186,0.062,0.242,0.203,0.25,0.036
"P43","Puede que lo vote",0.084,0.092,0.273,0.26,0.337,0.126,0.065,0.147,0.164,0.381
"P43","Nunca lo votaría",0.733,0.783,0.241,0.093,0.425,0.756,0.693,0.452,0.529,0.438
"P43","No sabe",0.047,0.028,0.025,0.037,0.052,0.056,0,0.198,0.057,0.145
"P44","Lo votaría",0.084,0.052,0.267,0.159,0.431,0,0.081,0.13,0.145,0.057
"P44","Puede que lo vote",0.045,0.049,0.255,0.254,0.409,0.037,0,0.173,0.134,0.372
"P44","Nunca lo votaría",0.845,0.89,0.441,0.558,0.151,0.93,0.919,0.408,0.694,0.444
"P44","No sabe",0.026,0.009,0.037,0.029,0.009,0.033,0,0.289,0.027,0.127
"P45","Lo votaría",0.159,0.198,0.052,0.035,0.071,0.442,0.081,0.109,0.112,0.033
"P45","Puede que lo vote",0.383,0.409,0.077,0.089,0.105,0.248,0.34,0.325,0.054,0.074
"P45","Nunca lo votaría",0.42,0.328,0.833,0.834,0.797,0.254,0.579,0.274,0.801,0.767
"P45","No sabe",0.038,0.065,0.038,0.042,0.027,0.056,0,0.292,0.033,0.126
"P46","Lo votaría",0.061,0.079,0.034,0.036,0.063,0.2,0.258,0.195,0,0.057
"P46","Puede que lo vote",0.21,0.173,0.14,0.21,0.108,0.097,0.429,0.133,0.111,0.145
"P46","Nunca lo votaría",0.685,0.712,0.79,0.693,0.812,0.669,0.313,0.403,0.889,0.67
"P46","No sabe",0.044,0.036,0.036,0.061,0.017,0.034,0,0.269,0,0.128
"P54","Lo votaría",0.678,0.615,0.054,0.114,0.083,0.401,0.17,0.217,0.025,0.186
"P54","Puede que lo vote",0.108,0.165,0.063,0.104,0.044,0.157,0.134,0.323,0.058,0.057
"P54","Nunca lo votaría",0.209,0.188,0.861,0.743,0.866,0.369,0.696,0.23,0.917,0.613
"P54","No sabe",0.005,0.032,0.022,0.039,0.007,0.073,0,0.23,0,0.144
"P55","Lo votaría",0.17,0.12,0.549,0.521,0.476,0.026,0.286,0.051,0.26,0.216
"P55","Puede que lo vote",0.088,0.016,0.235,0.174,0.22,0,0.121,0.17,0.142,0.219
"P55","Nunca lo votaría",0.735,0.844,0.199,0.28,0.284,0.974,0.593,0.463,0.598,0.422
"P55","No sabe",0.007,0.02,0.017,0.025,0.02,0,0,0.316,0,0.143
"P56","Lo votaría",0.115,0.119,0.421,0.459,0.272,0.02,0.212,0.179,0.234,0.331
"P56","Puede que lo vote",0.314,0.191,0.256,0.297,0.294,0.02,0.519,0.197,0.199,0.141
"P56","Nunca lo votaría",0.533,0.667,0.302,0.196,0.414,0.886,0.269,0.331,0.567,0.327
"P56","No sabe",0.038,0.023,0.021,0.048,0.02,0.074,0,0.293,0,0.201
"P57","Si",0.514,0.515,0.54,0.536,0.625,0.341,0.301,0.438,0.285,0.272
"P57","No",0.486,0.485,0.46,0.464,0.375,0.659,0.699,0.562,0.715,0.728
