"var","categoria","Leandro Santoro por Unión por la Patria","Martin Lousteau por Juntos por el Cambio","En blanco","No sabe"
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.012,0.007,0.017,0.083
"P28","Otros",0.018,0.027,0.036,0.146
"P28","En blanco",0.005,0.024,0.074,0.023
"P28","No sabe",0.007,0.038,0.028,0.119
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.838,0.061,0.065,0.126
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.033,0.68,0.328,0.501
"P29","Ramiro Marra por la Libertad Avanza",0.049,0.117,0.391,0.072
"P29","Vanina Biasi por el Frente de Izquierda",0.017,0.013,0.051,0.037
"P29","Otros",0.051,0.065,0.05,0.1
"P29","En blanco",0.011,0.017,0.074,0.033
"P29","No sabe",0.001,0.047,0.041,0.131
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.848,0.029,0.053,0.086
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.056,0.733,0.115,0.102
"P30","Ramiro Marra por la Libertad Avanza",0.041,0.119,0.498,0.128
"P30","Vanina Biasi por el Frente de Izquierda",0.008,0.005,0.05,0.037
"P30","Otros",0.033,0.051,0.061,0.297
"P30","En blanco",0.011,0.012,0.163,0.032
"P30","No sabe",0.003,0.051,0.06,0.318
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.875,0.123,0.086,0.07
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.039,0.788,0.586,0.511
"P33","En blanco",0.062,0.048,0.271,0.079
"P33","No sabe",0.024,0.041,0.057,0.34
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.175,0.717,0.394,0.467
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.057,0.163,0.383,0.124
"P34","En blanco",0.628,0.091,0.194,0.034
"P34","No sabe",0.14,0.029,0.029,0.375
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.905,0.112,0.07,0.087
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.022,0.762,0.243,0.355
"P35","En blanco",0.052,0.048,0.597,0.13
"P35","No sabe",0.021,0.078,0.09,0.428
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.241,0.631,0.152,0.31
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.074,0.28,0.558,0.217
"P36","En blanco",0.538,0.042,0.242,0.017
"P36","No sabe",0.147,0.047,0.048,0.456
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.851,0.152,0.067,0.129
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.049,0.461,0.585,0.254
"P37","En blanco",0.073,0.24,0.283,0.052
"P37","No sabe",0.027,0.147,0.065,0.565
"P38","Leandro Santoro por Unión por la Patria",0.902,0.096,0.019,0.099
"P38","Jorge Macri por Juntos por el Cambio",0.026,0.797,0.54,0.503
"P38","En blanco",0.059,0.062,0.413,0.065
"P38","No sabe",0.013,0.045,0.028,0.333
"P40","Lo votaría",0.872,0.059,0.063,0.062
"P40","Puede que lo vote",0.091,0.187,0.006,0.059
"P40","Nunca lo votaría",0.031,0.725,0.898,0.637
"P40","No sabe",0.006,0.029,0.033,0.242
"P41","Lo votaría",0.657,0.041,0.068,0.015
"P41","Puede que lo vote",0.188,0.06,0.051,0.082
"P41","Nunca lo votaría",0.138,0.876,0.863,0.746
"P41","No sabe",0.017,0.023,0.018,0.157
"P42","Lo votaría",0.144,0.626,0.428,0.444
"P42","Puede que lo vote",0.041,0.161,0.214,0.137
"P42","Nunca lo votaría",0.79,0.19,0.319,0.256
"P42","No sabe",0.025,0.023,0.039,0.163
"P43","Lo votaría",0.08,0.541,0.116,0.231
"P43","Puede que lo vote",0.071,0.33,0.156,0.279
"P43","Nunca lo votaría",0.812,0.111,0.688,0.269
"P43","No sabe",0.037,0.018,0.04,0.221
"P44","Lo votaría",0.085,0.21,0.365,0.082
"P44","Puede que lo vote",0.051,0.318,0.171,0.21
"P44","Nunca lo votaría",0.847,0.449,0.435,0.542
"P44","No sabe",0.017,0.023,0.029,0.166
"P45","Lo votaría",0.205,0.022,0.117,0.012
"P45","Puede que lo vote",0.432,0.091,0.049,0.119
"P45","Nunca lo votaría",0.308,0.851,0.8,0.753
"P45","No sabe",0.055,0.036,0.034,0.116
"P46","Lo votaría",0.104,0.029,0.028,0.059
"P46","Puede que lo vote",0.197,0.19,0.081,0.089
"P46","Nunca lo votaría",0.653,0.74,0.866,0.72
"P46","No sabe",0.046,0.041,0.025,0.132
"P54","Lo votaría",0.78,0.031,0.035,0.053
"P54","Puede que lo vote",0.087,0.121,0.054,0.069
"P54","Nunca lo votaría",0.127,0.823,0.87,0.761
"P54","No sabe",0.006,0.025,0.041,0.117
"P55","Lo votaría",0.161,0.531,0.295,0.517
"P55","Puede que lo vote",0.033,0.243,0.204,0.067
"P55","Nunca lo votaría",0.795,0.211,0.45,0.331
"P55","No sabe",0.011,0.015,0.051,0.085
"P56","Lo votaría",0.097,0.547,0.041,0.076
"P56","Puede que lo vote",0.231,0.333,0.123,0.31
"P56","Nunca lo votaría",0.641,0.107,0.766,0.436
"P56","No sabe",0.031,0.013,0.07,0.178
"P57","Si",0.523,0.554,0.492,0.443
"P57","No",0.477,0.446,0.508,0.557
