"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.084,0.533,0.287,0.346,0.066,0.142,0.118,0.157
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.079,0.163,0.294,0.099,0.187,0.097,0.121,0.085
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.067,0.131,0.11,0.375,0.062,0.123,0.113,0.139
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.014,0,0.009,0.007,0.137,0.072,0.016,0
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.007,0.007,0.027,0.023,0,0.01,0.095,0.016
"P18","Otros",0.023,0.01,0.013,0.002,0.012,0.145,0,0.199
"P18","En blanco",0.007,0.021,0.005,0,0,0,0.218,0.029
"P18","No sabe",0.012,0.019,0.022,0,0,0.01,0.03,0.296
"P25","Totalmente seguro",0.707,0.708,0.623,0.76,0.634,0.631,0.726,0.577
"P25","Bastante seguro",0.168,0.172,0.215,0.096,0.269,0.151,0.145,0.136
"P25","Algo seguro",0.069,0.096,0.095,0.097,0.065,0.039,0.068,0.101
"P25","Para nada seguro",0.056,0.024,0.067,0.047,0.032,0.179,0.061,0.186
"P26","Tiene Decidido que va a ir a votar",0.929,0.912,0.906,0.941,0.895,0.796,0.881,0.822
"P26","Tiene dudas sobre si va a ir a votar",0.038,0.053,0.05,0.027,0.094,0.145,0.083,0.064
"P26","Tiene Decidido que no va a ir a votar",0.033,0.035,0.044,0.032,0.011,0.059,0.036,0.114
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.736,0.057,0.192,0.144,0.559,0.339,0.218,0.143
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.075,0.709,0.547,0.366,0.149,0.208,0.338,0.285
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.084,0.156,0.064,0.431,0.039,0.11,0.071,0.217
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.038,0.005,0.022,0.002,0.116,0.143,0.055,0.008
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.006,0.017,0.04,0,0.037,0.039,0.036,0.044
"P27","Otros",0.034,0.03,0.057,0.027,0.057,0.064,0.05,0.038
"P27","En blanco",0.005,0.012,0.011,0.02,0.009,0.046,0.176,0.017
"P27","No sabe",0.022,0.014,0.067,0.01,0.034,0.051,0.056,0.248
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.74,0.059,0.158,0.131,0.545,0.48,0.315,0.107
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.069,0.541,0.593,0.17,0.188,0.146,0.139,0.377
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.101,0.256,0.109,0.553,0.069,0.187,0.236,0.188
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.041,0.018,0.028,0.003,0.125,0.084,0.058,0.01
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.008,0.015,0.03,0.012,0.014,0.035,0.039,0.03
"P28","Otros",0.031,0.048,0.025,0.052,0.035,0.062,0.013,0.052
"P28","En blanco",0.006,0.026,0.01,0.038,0.009,0.006,0.161,0.017
"P28","No sabe",0.004,0.037,0.047,0.041,0.015,0,0.039,0.219
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.777,0.055,0.171,0.129,0.606,0.396,0.2,0.133
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.075,0.677,0.553,0.355,0.147,0.151,0.269,0.309
"P29","Ramiro Marra por la Libertad Avanza",0.07,0.161,0.077,0.441,0.068,0.125,0.124,0.078
"P29","Vanina Biasi por el Frente de Izquierda",0.011,0.003,0.034,0.006,0.101,0.09,0.046,0.01
"P29","Otros",0.044,0.069,0.108,0.029,0.057,0.173,0.059,0.127
"P29","En blanco",0.01,0.007,0.016,0.009,0,0.065,0.245,0.068
"P29","No sabe",0.013,0.028,0.041,0.031,0.021,0,0.057,0.275
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.732,0.046,0.173,0.101,0.584,0.419,0.199,0.138
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.113,0.561,0.694,0.2,0.172,0.097,0.111,0.226
"P30","Ramiro Marra por la Libertad Avanza",0.102,0.164,0.043,0.56,0.079,0.166,0.194,0.1
"P30","Vanina Biasi por el Frente de Izquierda",0.004,0.004,0.017,0.004,0.098,0.037,0.046,0.011
"P30","Otros",0.029,0.093,0.04,0.085,0.026,0.205,0.048,0.014
"P30","En blanco",0.009,0.057,0.005,0.009,0.015,0.063,0.314,0.116
"P30","No sabe",0.011,0.075,0.028,0.041,0.026,0.013,0.088,0.395
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.769,0.103,0.257,0.147,0.642,0.55,0.402,0.197
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.114,0.809,0.627,0.656,0.182,0.191,0.388,0.445
"P33","En blanco",0.081,0.04,0.049,0.166,0.139,0.134,0.21,0.084
"P33","No sabe",0.036,0.048,0.067,0.031,0.037,0.125,0,0.274
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.168,0.755,0.607,0.452,0.193,0.19,0.493,0.441
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.103,0.165,0.133,0.446,0.104,0.187,0.134,0.137
"P34","En blanco",0.55,0.049,0.193,0.057,0.639,0.366,0.326,0.2
"P34","No sabe",0.179,0.031,0.067,0.045,0.064,0.257,0.047,0.222
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.803,0.136,0.22,0.139,0.653,0.601,0.336,0.189
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.085,0.63,0.625,0.424,0.157,0.146,0.23,0.369
"P35","En blanco",0.077,0.173,0.07,0.317,0.117,0.167,0.373,0.109
"P35","No sabe",0.035,0.061,0.085,0.12,0.073,0.086,0.061,0.333
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.225,0.552,0.682,0.229,0.23,0.169,0.195,0.445
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.139,0.308,0.184,0.583,0.12,0.259,0.293,0.131
"P36","En blanco",0.481,0.067,0.084,0.085,0.536,0.317,0.405,0.149
"P36","No sabe",0.155,0.073,0.05,0.103,0.114,0.255,0.107,0.275
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.758,0.156,0.275,0.124,0.632,0.541,0.319,0.138
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.116,0.43,0.344,0.687,0.122,0.264,0.294,0.256
"P37","En blanco",0.085,0.222,0.22,0.087,0.175,0.165,0.32,0.205
"P37","No sabe",0.041,0.192,0.161,0.102,0.071,0.03,0.067,0.401
"P38","Leandro Santoro por Unión por la Patria",0.797,0.078,0.255,0.115,0.53,0.534,0.242,0.175
"P38","Jorge Macri por Juntos por el Cambio",0.096,0.843,0.577,0.644,0.204,0.226,0.42,0.503
"P38","En blanco",0.094,0.049,0.093,0.179,0.233,0.181,0.31,0.105
"P38","No sabe",0.013,0.03,0.075,0.062,0.033,0.059,0.028,0.217
"P39","Leandro Santoro por Unión por la Patria",0.756,0.078,0.178,0.167,0.535,0.53,0.228,0.177
"P39","Martin Lousteau por Juntos por el Cambio",0.138,0.626,0.755,0.435,0.208,0.211,0.247,0.362
"P39","En blanco",0.06,0.215,0.027,0.31,0.219,0.184,0.497,0.205
"P39","No sabe",0.046,0.081,0.04,0.088,0.038,0.075,0.028,0.256
"P40","Lo votaría",0.752,0.096,0.162,0.128,0.586,0.556,0.26,0.14
"P40","Puede que lo vote",0.091,0.099,0.181,0.134,0.201,0.057,0.025,0.061
"P40","Nunca lo votaría",0.13,0.782,0.62,0.713,0.153,0.313,0.707,0.677
"P40","No sabe",0.027,0.023,0.037,0.025,0.06,0.074,0.008,0.122
"P41","Lo votaría",0.546,0.079,0.115,0.097,0.541,0.401,0.152,0.135
"P41","Puede que lo vote",0.153,0.048,0.098,0.077,0.19,0.132,0.053,0.101
"P41","Nunca lo votaría",0.276,0.852,0.764,0.806,0.251,0.383,0.742,0.694
"P41","No sabe",0.025,0.021,0.023,0.02,0.018,0.084,0.053,0.07
"P42","Lo votaría",0.155,0.688,0.543,0.511,0.166,0.126,0.427,0.298
"P42","Puede que lo vote",0.051,0.18,0.112,0.174,0.095,0.082,0.101,0.314
"P42","Nunca lo votaría",0.763,0.113,0.324,0.27,0.733,0.628,0.403,0.327
"P42","No sabe",0.031,0.019,0.021,0.045,0.006,0.164,0.069,0.061
"P43","Lo votaría",0.116,0.487,0.48,0.216,0.122,0.124,0.103,0.239
"P43","Puede que lo vote",0.065,0.248,0.292,0.299,0.213,0.161,0.254,0.203
"P43","Nunca lo votaría",0.781,0.242,0.195,0.41,0.652,0.617,0.605,0.467
"P43","No sabe",0.038,0.023,0.033,0.075,0.013,0.098,0.038,0.091
"P44","Lo votaría",0.105,0.231,0.147,0.477,0.071,0.081,0.148,0.132
"P44","Puede que lo vote",0.057,0.265,0.251,0.27,0.079,0.149,0.224,0.32
"P44","Nunca lo votaría",0.822,0.475,0.571,0.218,0.85,0.732,0.574,0.426
"P44","No sabe",0.016,0.029,0.031,0.035,0,0.038,0.054,0.122
"P45","Lo votaría",0.156,0.042,0.068,0.092,0.265,0.08,0.085,0.052
"P45","Puede que lo vote",0.352,0.043,0.117,0.161,0.432,0.398,0.205,0.175
"P45","Nunca lo votaría",0.443,0.891,0.757,0.719,0.29,0.391,0.693,0.656
"P45","No sabe",0.049,0.024,0.058,0.028,0.013,0.131,0.017,0.117
"P46","Lo votaría",0.078,0.035,0.046,0.075,0.077,0.048,0.049,0.029
"P46","Puede que lo vote",0.187,0.156,0.208,0.125,0.233,0.041,0.113,0.159
"P46","Nunca lo votaría",0.684,0.776,0.692,0.772,0.69,0.807,0.829,0.694
"P46","No sabe",0.051,0.033,0.054,0.028,0,0.104,0.009,0.118
"P54","Lo votaría",0.649,0.064,0.153,0.104,0.505,0.47,0.258,0.162
"P54","Puede que lo vote",0.113,0.069,0.118,0.07,0.126,0.076,0.037,0.136
"P54","Nunca lo votaría",0.22,0.842,0.7,0.804,0.369,0.415,0.696,0.594
"P54","No sabe",0.018,0.025,0.029,0.022,0,0.039,0.009,0.108
"P55","Lo votaría",0.156,0.586,0.448,0.477,0.129,0.111,0.371,0.294
"P55","Puede que lo vote",0.038,0.271,0.149,0.181,0.153,0.079,0.105,0.237
"P55","Nunca lo votaría",0.79,0.135,0.387,0.298,0.691,0.758,0.524,0.361
"P55","No sabe",0.016,0.008,0.016,0.044,0.027,0.052,0,0.108
"P56","Lo votaría",0.133,0.406,0.491,0.25,0.132,0.094,0.081,0.175
"P56","Puede que lo vote",0.209,0.261,0.36,0.266,0.193,0.13,0.226,0.342
"P56","Nunca lo votaría",0.623,0.314,0.122,0.435,0.635,0.744,0.654,0.32
"P56","No sabe",0.035,0.019,0.027,0.049,0.04,0.032,0.039,0.163
"P57","Si",0.532,0.593,0.512,0.518,0.516,0.513,0.528,0.288
"P57","No",0.468,0.407,0.488,0.482,0.484,0.487,0.472,0.712
