"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.037,0.047,0.436,0.449,0.406,0.046,0.11,0,0.073,0.009
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.06,0.048,0.282,0.277,0.067,0.101,0.059,0.044,0,0.09
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.017,0.034,0.191,0.07,0.316,0.116,0.126,0.036,0.138,0
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.016,0.051,0,0.006,0.013,0.186,0.015,0.123,0.077,0
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.007,0.018,0.002,0.011,0.02,0.121,0.198,0.008,0.082,0.01
"P18","Otros",0.004,0.031,0.006,0.008,0.015,0.03,0.149,0.647,0.096,0.162
"P18","En blanco",0.013,0.002,0.018,0.014,0.024,0.092,0.02,0.071,0.404,0.007
"P18","No sabe",0.01,0.018,0.015,0.02,0,0.032,0.166,0.018,0.021,0.657
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.524,0.521,0.052,0.067,0.111,0.112,0.12,0.048,0.022,0.095
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.075,0.031,0.397,0.346,0.257,0,0.16,0.042,0.256,0.163
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.103,0.183,0.3,0.41,0.103,0.206,0.34,0.114,0.027,0.159
"P21","Ramiro Marra por la Libertad Avanza",0.038,0.035,0.122,0.055,0.304,0.036,0.045,0,0.128,0
"P21","Vanina Biasi por el Frente de Izquierda",0.1,0.131,0.018,0.038,0.03,0.37,0.034,0.189,0,0.011
"P21","Otros",0.084,0.063,0.028,0.02,0.072,0.184,0.083,0.247,0.091,0
"P21","En blanco",0.051,0.018,0.047,0.025,0.051,0.078,0.076,0.024,0.336,0.019
"P21","No sabe",0.025,0.018,0.036,0.039,0.072,0.014,0.142,0.336,0.14,0.553
"P25","Totalmente seguro",0.736,0.655,0.748,0.584,0.74,0.533,0.398,0.556,0.308,0.222
"P25","Bastante seguro",0.14,0.275,0.156,0.251,0.146,0.251,0.229,0.018,0,0.133
"P25","Algo seguro",0.077,0.037,0.072,0.125,0.057,0.109,0.15,0.189,0.259,0.12
"P25","Para nada seguro",0.047,0.033,0.024,0.04,0.057,0.107,0.223,0.237,0.433,0.525
"P26","Tiene Decidido que va a ir a votar",0.922,0.918,0.928,0.937,0.873,0.727,0.772,0.847,0.54,0.594
"P26","Tiene dudas sobre si va a ir a votar",0.05,0.039,0.046,0.061,0.065,0.181,0.083,0.01,0.215,0.213
"P26","Tiene Decidido que no va a ir a votar",0.028,0.043,0.026,0.002,0.062,0.092,0.145,0.143,0.245,0.193
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.901,0.709,0.029,0.098,0.055,0.133,0.042,0.19,0,0.093
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.03,0.054,0.908,0.534,0.109,0.132,0.172,0,0.029,0.166
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.012,0.045,0.043,0.019,0.75,0,0,0.052,0,0
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.096,0.006,0.006,0.001,0.627,0.094,0.121,0,0
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.004,0.002,0.002,0.059,0.023,0.047,0.605,0.127,0.078,0.033
"P27","Otros",0.012,0.071,0.002,0.135,0.005,0.042,0.047,0.296,0.205,0.189
"P27","En blanco",0,0.008,0.004,0.033,0.015,0.019,0.04,0.135,0.625,0.011
"P27","No sabe",0.02,0.015,0.006,0.116,0.042,0,0,0.079,0.063,0.508
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.922,0.796,0.034,0.028,0.023,0.165,0,0.111,0.311,0.199
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.021,0.02,0.608,0.87,0.076,0.097,0.19,0.252,0,0.213
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.012,0.019,0.208,0.006,0.834,0,0.034,0.069,0,0.026
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.018,0.094,0.007,0.004,0.016,0.645,0,0.099,0,0
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.007,0.01,0.002,0.02,0.007,0.049,0.687,0.093,0.126,0.026
"P28","Otros",0.014,0.037,0.05,0.034,0.023,0.023,0,0.269,0.101,0.106
"P28","En blanco",0,0.008,0.05,0.004,0.002,0.021,0.042,0.026,0.263,0.011
"P28","No sabe",0.006,0.016,0.041,0.034,0.019,0,0.047,0.081,0.199,0.419
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.832,0.882,0.041,0.099,0.046,0.224,0.147,0.019,0.041,0.066
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.023,0.028,0.772,0.688,0.151,0.11,0.291,0.175,0.113,0.349
"P29","Ramiro Marra por la Libertad Avanza",0.036,0.038,0.099,0.021,0.598,0.027,0,0.193,0,0
"P29","Vanina Biasi por el Frente de Izquierda",0.013,0.02,0.006,0.004,0.009,0.428,0.065,0.265,0,0.031
"P29","Otros",0.051,0.029,0.043,0.122,0.107,0.161,0.361,0.225,0.097,0.034
"P29","En blanco",0.016,0,0.019,0.02,0.036,0.025,0.072,0.079,0.494,0.102
"P29","No sabe",0.029,0.003,0.02,0.046,0.053,0.025,0.064,0.044,0.255,0.418
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.812,0.879,0.049,0.053,0.022,0.217,0.047,0.019,0,0.071
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.081,0.076,0.578,0.8,0.16,0.26,0.505,0.207,0.352,0.368
"P30","Ramiro Marra por la Libertad Avanza",0.035,0.028,0.135,0,0.705,0,0.051,0,0,0
"P30","Vanina Biasi por el Frente de Izquierda",0.004,0.005,0,0.007,0.013,0.319,0.044,0.257,0,0
"P30","Otros",0.029,0.012,0.103,0.071,0.021,0.126,0.092,0.207,0.13,0.016
"P30","En blanco",0.02,0,0.063,0.019,0.015,0.025,0.071,0.31,0.518,0.114
"P30","No sabe",0.019,0,0.072,0.05,0.064,0.053,0.19,0,0,0.431
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.917,0.813,0.059,0.133,0.145,0.423,0.065,0.527,0.389,0.159
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.019,0.035,0.902,0.706,0.537,0.038,0.336,0.071,0,0.272
"P33","En blanco",0.059,0.096,0.026,0.063,0.202,0.274,0.223,0.327,0.611,0.078
"P33","No sabe",0.005,0.056,0.013,0.098,0.116,0.265,0.376,0.075,0,0.491
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.147,0.135,0.903,0.655,0.168,0.113,0.332,0.369,0,0.207
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.025,0.064,0.106,0.76,0.027,0.118,0.075,0.182,0.154
"P34","En blanco",0.62,0.684,0.016,0.17,0.026,0.571,0.242,0.366,0.818,0.107
"P34","No sabe",0.168,0.156,0.017,0.069,0.046,0.289,0.308,0.19,0,0.532
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.933,0.833,0.054,0.128,0.173,0.327,0.191,0.414,0.394,0.083
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.018,0.051,0.717,0.813,0.262,0.028,0.224,0.222,0.116,0.348
"P35","En blanco",0.034,0.079,0.147,0.007,0.416,0.515,0.261,0.239,0.49,0.054
"P35","No sabe",0.015,0.037,0.082,0.052,0.149,0.13,0.324,0.125,0,0.515
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.208,0.258,0.568,0.859,0.133,0.234,0.177,0.326,0.093,0.303
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.052,0.05,0.302,0.117,0.819,0,0.155,0.044,0,0.057
"P36","En blanco",0.507,0.577,0.061,0.017,0.029,0.594,0.262,0.484,0.476,0.07
"P36","No sabe",0.233,0.115,0.069,0.007,0.019,0.172,0.406,0.146,0.431,0.57
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.897,0.835,0.051,0.25,0.124,0.386,0.066,0.202,0.385,0.147
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.02,0.035,0.516,0.187,0.816,0.047,0.296,0.278,0,0.126
"P37","En blanco",0.057,0.083,0.237,0.381,0.016,0.42,0.122,0.229,0.615,0.052
"P37","No sabe",0.026,0.047,0.196,0.182,0.044,0.147,0.516,0.291,0,0.675
"P38","Leandro Santoro por Unión por la Patria",0.851,0.857,0.049,0.163,0.11,0.47,0.229,0.169,0.094,0.091
"P38","Jorge Macri por Juntos por el Cambio",0.03,0.036,0.861,0.673,0.6,0,0.361,0.327,0.214,0.378
"P38","En blanco",0.096,0.089,0.068,0.077,0.234,0.392,0.17,0.394,0.593,0.076
"P38","No sabe",0.023,0.018,0.022,0.087,0.056,0.138,0.24,0.11,0.099,0.455
"P39","Leandro Santoro por Unión por la Patria",0.856,0.864,0.021,0.032,0.141,0.471,0.247,0.17,0.077,0.055
"P39","Martin Lousteau por Juntos por el Cambio",0.078,0.078,0.723,0.847,0.347,0.049,0.283,0.139,0.572,0.478
"P39","En blanco",0.038,0.036,0.171,0.045,0.466,0.376,0.174,0.581,0.099,0.118
"P39","No sabe",0.028,0.022,0.085,0.076,0.046,0.104,0.296,0.11,0.252,0.349
"P40","Lo votaría",0.94,0.761,0.028,0.039,0.142,0.166,0.241,0.2,0,0.055
"P40","Puede que lo vote",0.024,0.151,0.103,0.262,0.074,0.244,0,0.218,0.076,0.238
"P40","Nunca lo votaría",0.025,0.084,0.844,0.648,0.715,0.484,0.601,0.5,0.573,0.491
"P40","No sabe",0.011,0.004,0.025,0.051,0.069,0.106,0.158,0.082,0.351,0.216
"P41","Lo votaría",0.527,0.858,0.014,0.034,0.14,0.24,0.052,0.121,0,0.071
"P41","Puede que lo vote",0.257,0.066,0.033,0.054,0.002,0.27,0.056,0.306,0.253,0.121
"P41","Nunca lo votaría",0.176,0.072,0.941,0.877,0.837,0.462,0.552,0.458,0.395,0.612
"P41","No sabe",0.04,0.004,0.012,0.035,0.021,0.028,0.34,0.115,0.352,0.196
"P42","Lo votaría",0.113,0.062,0.864,0.373,0.333,0.063,0.144,0.262,0,0.12
"P42","Puede que lo vote",0.078,0.043,0.027,0.299,0.316,0.028,0.071,0.112,0,0.349
"P42","Nunca lo votaría",0.765,0.869,0.104,0.296,0.294,0.909,0.47,0.543,0.747,0.299
"P42","No sabe",0.044,0.026,0.005,0.032,0.057,0,0.315,0.083,0.253,0.232
"P43","Lo votaría",0.066,0.035,0.431,0.855,0.176,0.048,0.056,0.261,0,0.029
"P43","Puede que lo vote",0.099,0.118,0.378,0.093,0.182,0.083,0.181,0.165,0.27,0.399
"P43","Nunca lo votaría",0.794,0.809,0.163,0.052,0.583,0.845,0.448,0.49,0.377,0.352
"P43","No sabe",0.041,0.038,0.028,0,0.059,0.024,0.315,0.084,0.353,0.22
"P44","Lo votaría",0.053,0.018,0.175,0.108,0.731,0.049,0.167,0.091,0,0
"P44","Puede que lo vote",0.03,0.056,0.404,0.182,0.084,0,0.275,0.302,0.179,0.352
"P44","Nunca lo votaría",0.901,0.903,0.386,0.686,0.176,0.927,0.379,0.607,0.567,0.33
"P44","No sabe",0.016,0.023,0.035,0.024,0.009,0.024,0.179,0,0.254,0.318
"P45","Lo votaría",0.15,0.17,0.029,0.009,0.146,0.663,0,0.275,0,0.034
"P45","Puede que lo vote",0.409,0.528,0.059,0.102,0.034,0.192,0.302,0.441,0.075,0.079
"P45","Nunca lo votaría",0.381,0.242,0.888,0.851,0.795,0.145,0.518,0.226,0.569,0.529
"P45","No sabe",0.06,0.06,0.024,0.038,0.025,0,0.18,0.058,0.356,0.358
"P46","Lo votaría",0.086,0.037,0.021,0.026,0.095,0.115,0.5,0.233,0,0.029
"P46","Puede que lo vote",0.207,0.212,0.142,0.199,0.083,0.272,0.141,0.197,0.167,0.101
"P46","Nunca lo votaría",0.66,0.723,0.806,0.724,0.788,0.613,0.179,0.57,0.578,0.551
"P46","No sabe",0.047,0.028,0.031,0.051,0.034,0,0.18,0,0.255,0.319
"P54","Lo votaría",0.724,0.778,0.016,0.048,0.144,0.207,0.415,0.133,0,0.064
"P54","Puede que lo vote",0.125,0.077,0.057,0.155,0.044,0.28,0.044,0.294,0.173,0.103
"P54","Nunca lo votaría",0.147,0.128,0.9,0.785,0.793,0.513,0.424,0.501,0.572,0.455
"P54","No sabe",0.004,0.017,0.027,0.012,0.019,0,0.117,0.072,0.255,0.378
"P55","Lo votaría",0.125,0.096,0.669,0.455,0.299,0.033,0.24,0.1,0,0.075
"P55","Puede que lo vote",0.036,0.018,0.193,0.224,0.266,0.081,0.139,0.294,0.209,0.324
"P55","Nunca lo votaría",0.823,0.886,0.131,0.302,0.396,0.886,0.525,0.534,0.536,0.265
"P55","No sabe",0.016,0,0.007,0.019,0.039,0,0.096,0.072,0.255,0.336
"P56","Lo votaría",0.108,0.07,0.392,0.597,0.221,0.048,0.404,0.071,0.177,0.254
"P56","Puede que lo vote",0.198,0.283,0.34,0.237,0.211,0.252,0.141,0.331,0.387,0.163
"P56","Nunca lo votaría",0.663,0.611,0.246,0.126,0.538,0.7,0.348,0.526,0.178,0.212
"P56","No sabe",0.031,0.036,0.022,0.04,0.03,0,0.107,0.072,0.258,0.371
"P57","Si",0.551,0.453,0.549,0.534,0.522,0.521,0.448,0.437,0.254,0.256
"P57","No",0.449,0.547,0.451,0.466,0.478,0.479,0.552,0.563,0.746,0.744
