"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.295,0.045,0.078,0.108,0.111,0.021,0.091,0.064
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.058,0.418,0.337,0.438,0.198,0.149,0.085,0.095
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.067,0.229,0.247,0.075,0.149,0.109,0.068,0.067
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.037,0.183,0.109,0.277,0.111,0.14,0.175,0.051
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.026,0,0.01,0.002,0.029,0.108,0.028,0.085
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.014,0.007,0.007,0.009,0.063,0.027,0.177,0
"P18","Otros",0.016,0.018,0.018,0.008,0.02,0.236,0.033,0.218
"P18","En blanco",0.009,0.016,0.021,0.011,0.02,0.083,0.241,0.044
"P18","No sabe",0.02,0.03,0.037,0,0,0.043,0,0.285
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.502,0.047,0.145,0.152,0.196,0.114,0.142,0.095
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.025,0.374,0.361,0.283,0.129,0.115,0.209,0.116
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.158,0.311,0.286,0.126,0.24,0.1,0.018,0.106
"P21","Ramiro Marra por la Libertad Avanza",0.051,0.143,0.08,0.259,0.092,0.049,0.054,0
"P21","Vanina Biasi por el Frente de Izquierda",0.119,0.011,0.052,0.039,0.212,0.026,0.029,0.081
"P21","Otros",0.084,0.029,0.03,0.057,0.096,0.262,0.035,0.06
"P21","En blanco",0.029,0.046,0.006,0.036,0.025,0.114,0.463,0.059
"P21","No sabe",0.032,0.039,0.04,0.048,0.01,0.22,0.05,0.483
"P25","Totalmente seguro",0.741,0.735,0.576,0.796,0.597,0.596,0.538,0.306
"P25","Bastante seguro",0.189,0.143,0.239,0.092,0.181,0.222,0.174,0.161
"P25","Algo seguro",0.037,0.075,0.124,0.07,0.101,0.087,0.168,0.217
"P25","Para nada seguro",0.033,0.047,0.061,0.042,0.121,0.095,0.12,0.316
"P26","Tiene Decidido que va a ir a votar",0.955,0.913,0.917,0.867,0.869,0.835,0.661,0.767
"P26","Tiene dudas sobre si va a ir a votar",0.032,0.061,0.043,0.056,0.07,0.149,0.187,0.075
"P26","Tiene Decidido que no va a ir a votar",0.013,0.026,0.04,0.077,0.061,0.016,0.152,0.158
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.802,0.063,0.201,0.088,0.24,0.074,0.118,0.196
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.064,0.758,0.519,0.232,0.235,0.232,0.254,0.152
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.023,0.1,0.103,0.617,0.137,0.23,0.011,0.069
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.042,0.002,0.009,0.002,0.229,0.147,0.037,0.085
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.015,0.015,0.032,0,0.042,0.092,0.058,0.066
"P27","Otros",0.035,0.02,0.054,0.006,0.052,0.165,0.056,0.186
"P27","En blanco",0.003,0.016,0.022,0.005,0.012,0.022,0.321,0.008
"P27","No sabe",0.016,0.026,0.06,0.05,0.053,0.038,0.145,0.238
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.828,0.055,0.191,0.095,0.199,0.065,0.223,0.18
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.043,0.58,0.576,0.127,0.221,0.199,0.275,0.221
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.027,0.212,0.152,0.708,0.183,0.301,0.158,0.046
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.038,0.004,0.017,0.005,0.282,0.155,0.03,0.069
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.022,0.005,0.013,0.012,0,0.097,0.151,0.062
"P28","Otros",0.022,0.053,0.01,0.023,0.037,0.135,0,0.195
"P28","En blanco",0.004,0.047,0.013,0.005,0.013,0.01,0.115,0.022
"P28","No sabe",0.016,0.044,0.028,0.025,0.065,0.038,0.048,0.205
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.875,0.057,0.16,0.094,0.262,0.066,0.21,0.056
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.053,0.829,0.452,0.125,0.307,0.072,0.116,0.079
"P29","Ramiro Marra por la Libertad Avanza",0.02,0.074,0.113,0.703,0.107,0.079,0.039,0.079
"P29","Vanina Biasi por el Frente de Izquierda",0.014,0.003,0.017,0.002,0.165,0.174,0.048,0.102
"P29","Otros",0.028,0.028,0.144,0.025,0.134,0.408,0.042,0.292
"P29","En blanco",0.005,0.004,0.028,0.024,0,0.093,0.444,0.095
"P29","No sabe",0.005,0.005,0.086,0.027,0.025,0.108,0.101,0.297
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.873,0.063,0.1,0.106,0.21,0.051,0.046,0.082
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.063,0.536,0.747,0.112,0.425,0.049,0.186,0.213
"P30","Ramiro Marra por la Libertad Avanza",0.026,0.152,0.056,0.722,0.104,0.191,0.212,0
"P30","Vanina Biasi por el Frente de Izquierda",0.005,0.004,0.005,0,0.151,0.07,0.03,0.123
"P30","Otros",0.021,0.096,0.023,0.014,0.062,0.468,0.061,0.164
"P30","En blanco",0.008,0.068,0.013,0.019,0.014,0.1,0.354,0.098
"P30","No sabe",0.004,0.081,0.056,0.027,0.034,0.071,0.111,0.32
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.853,0.086,0.265,0.195,0.411,0.101,0.299,0.366
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.058,0.837,0.588,0.585,0.369,0.311,0.444,0.148
"P33","En blanco",0.067,0.037,0.093,0.163,0.145,0.246,0.19,0.125
"P33","No sabe",0.022,0.04,0.054,0.057,0.075,0.342,0.067,0.361
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.139,0.813,0.6,0.278,0.268,0.294,0.4,0.197
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.117,0.132,0.616,0.274,0.21,0.175,0.118
"P34","En blanco",0.625,0.033,0.2,0.098,0.375,0.287,0.361,0.242
"P34","No sabe",0.182,0.037,0.068,0.008,0.083,0.209,0.064,0.443
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.869,0.107,0.243,0.192,0.386,0.186,0.294,0.278
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.054,0.677,0.585,0.248,0.372,0.313,0.289,0.189
"P35","En blanco",0.044,0.13,0.088,0.481,0.159,0.294,0.308,0.187
"P35","No sabe",0.033,0.086,0.084,0.079,0.083,0.207,0.109,0.346
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.193,0.593,0.614,0.166,0.474,0.198,0.249,0.209
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.066,0.262,0.218,0.755,0.161,0.348,0.402,0.125
"P36","En blanco",0.556,0.067,0.112,0.035,0.271,0.271,0.293,0.201
"P36","No sabe",0.185,0.078,0.056,0.044,0.094,0.183,0.056,0.465
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.85,0.113,0.277,0.106,0.482,0.127,0.426,0.291
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.043,0.473,0.312,0.769,0.177,0.238,0.246,0.205
"P37","En blanco",0.069,0.216,0.249,0.089,0.215,0.438,0.258,0.115
"P37","No sabe",0.038,0.198,0.162,0.036,0.126,0.197,0.07,0.389
"P38","Leandro Santoro por Unión por la Patria",0.891,0.054,0.238,0.162,0.253,0.228,0.309,0.154
"P38","Jorge Macri por Juntos por el Cambio",0.048,0.896,0.541,0.543,0.359,0.191,0.193,0.299
"P38","En blanco",0.054,0.033,0.14,0.259,0.336,0.351,0.307,0.141
"P38","No sabe",0.007,0.017,0.081,0.036,0.052,0.23,0.191,0.406
"P39","Leandro Santoro por Unión por la Patria",0.882,0.066,0.132,0.173,0.221,0.183,0.316,0.155
"P39","Martin Lousteau por Juntos por el Cambio",0.064,0.676,0.795,0.256,0.403,0.202,0.322,0.207
"P39","En blanco",0.025,0.16,0.055,0.52,0.298,0.338,0.362,0.269
"P39","No sabe",0.029,0.098,0.018,0.051,0.078,0.277,0,0.369
"P40","Lo votaría",0.869,0.051,0.159,0.213,0.25,0.159,0.256,0.128
"P40","Puede que lo vote",0.084,0.125,0.163,0.088,0.194,0.103,0,0.109
"P40","Nunca lo votaría",0.042,0.785,0.661,0.655,0.48,0.581,0.653,0.558
"P40","No sabe",0.005,0.039,0.017,0.044,0.076,0.157,0.091,0.205
"P41","Lo votaría",0.636,0.048,0.132,0.147,0.223,0.114,0.182,0.085
"P41","Puede que lo vote",0.205,0.047,0.086,0.033,0.067,0.074,0.157,0.152
"P41","Nunca lo votaría",0.138,0.891,0.761,0.813,0.668,0.622,0.57,0.575
"P41","No sabe",0.021,0.014,0.021,0.007,0.042,0.19,0.091,0.188
"P42","Lo votaría",0.105,0.781,0.483,0.348,0.141,0.247,0.359,0.179
"P42","Puede que lo vote",0.047,0.083,0.19,0.309,0.137,0.193,0.077,0.203
"P42","Nunca lo votaría",0.824,0.125,0.291,0.301,0.67,0.367,0.502,0.425
"P42","No sabe",0.024,0.011,0.036,0.042,0.052,0.193,0.062,0.193
"P43","Lo votaría",0.073,0.44,0.492,0.18,0.371,0.119,0.167,0.182
"P43","Puede que lo vote",0.105,0.348,0.24,0.168,0.07,0.268,0.121,0.048
"P43","Nunca lo votaría",0.795,0.18,0.23,0.632,0.532,0.408,0.621,0.539
"P43","No sabe",0.027,0.032,0.038,0.02,0.027,0.205,0.091,0.231
"P44","Lo votaría",0.066,0.193,0.14,0.579,0.239,0.137,0.023,0.099
"P44","Puede que lo vote",0.044,0.35,0.23,0.154,0.074,0.142,0.263,0.233
"P44","Nunca lo votaría",0.875,0.425,0.608,0.252,0.687,0.563,0.631,0.441
"P44","No sabe",0.015,0.032,0.022,0.015,0,0.158,0.083,0.227
"P45","Lo votaría",0.178,0.037,0.05,0.135,0.123,0.079,0.053,0.162
"P45","Puede que lo vote",0.44,0.073,0.143,0.086,0.196,0.083,0.211,0.156
"P45","Nunca lo votaría",0.326,0.862,0.777,0.747,0.629,0.77,0.645,0.39
"P45","No sabe",0.056,0.028,0.03,0.032,0.052,0.068,0.091,0.292
"P46","Lo votaría",0.069,0.038,0.037,0.078,0.036,0.114,0.133,0.109
"P46","Puede que lo vote",0.157,0.141,0.263,0.102,0.232,0.119,0.028,0.168
"P46","Nunca lo votaría",0.725,0.786,0.664,0.794,0.681,0.7,0.778,0.485
"P46","No sabe",0.049,0.035,0.036,0.026,0.051,0.067,0.061,0.238
"P54","Lo votaría",0.787,0.049,0.117,0.157,0.119,0.015,0.292,0.125
"P54","Puede que lo vote",0.065,0.085,0.153,0.031,0.109,0.214,0.186,0.17
"P54","Nunca lo votaría",0.143,0.846,0.699,0.807,0.72,0.704,0.522,0.407
"P54","No sabe",0.005,0.02,0.031,0.005,0.052,0.067,0,0.298
"P55","Lo votaría",0.12,0.799,0.273,0.255,0.12,0.085,0.052,0.139
"P55","Puede que lo vote",0.028,0.081,0.321,0.293,0.264,0.19,0.21,0.226
"P55","Nunca lo votaría",0.842,0.11,0.375,0.436,0.616,0.674,0.593,0.41
"P55","No sabe",0.01,0.01,0.031,0.016,0,0.051,0.145,0.225
"P56","Lo votaría",0.1,0.303,0.661,0.198,0.157,0.077,0.101,0.067
"P56","Puede que lo vote",0.215,0.387,0.202,0.139,0.279,0.406,0.078,0.287
"P56","Nunca lo votaría",0.648,0.285,0.113,0.663,0.485,0.414,0.676,0.395
"P56","No sabe",0.037,0.025,0.024,0,0.079,0.103,0.145,0.251
"P57","Si",0.546,0.552,0.536,0.561,0.419,0.362,0.522,0.217
"P57","No",0.454,0.448,0.464,0.439,0.581,0.638,0.478,0.783
