"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.525,0.04,0.129,0.253,0.057,0.177,0.057,0.103
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.045,0.425,0.268,0.034,0.181,0.172,0.137,0.072
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.143,0.307,0.103,0.15,0.392,0.308,0.12,0.331
"P21","Ramiro Marra por la Libertad Avanza",0.051,0.098,0.329,0.008,0,0.069,0.102,0.025
"P21","Vanina Biasi por el Frente de Izquierda",0.116,0.023,0.018,0.223,0.099,0.085,0.029,0.047
"P21","Otros",0.062,0.029,0.043,0.242,0.094,0.084,0.123,0.062
"P21","En blanco",0.032,0.038,0.023,0.076,0.071,0.054,0.387,0.055
"P21","No sabe",0.026,0.04,0.087,0.014,0.106,0.051,0.045,0.305
"P25","Totalmente seguro",0.713,0.707,0.749,0.71,0.389,0.463,0.526,0.462
"P25","Bastante seguro",0.157,0.184,0.15,0.233,0.236,0.247,0.059,0.22
"P25","Algo seguro",0.08,0.071,0.084,0.022,0.147,0.186,0.142,0.083
"P25","Para nada seguro",0.05,0.038,0.017,0.035,0.228,0.104,0.273,0.235
"P26","Tiene Decidido que va a ir a votar",0.917,0.921,0.92,0.855,0.824,0.833,0.766,0.746
"P26","Tiene dudas sobre si va a ir a votar",0.039,0.052,0.028,0.089,0.158,0.112,0.078,0.127
"P26","Tiene Decidido que no va a ir a votar",0.044,0.027,0.052,0.056,0.018,0.055,0.156,0.127
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.913,0.016,0.03,0.122,0.025,0.153,0.102,0.088
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.054,0.695,0.068,0.064,0.244,0.361,0.444,0.326
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.01,0.162,0.874,0.039,0.09,0.008,0,0.109
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.006,0.011,0.006,0.741,0.009,0.033,0.024,0
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.005,0.008,0.001,0.028,0.492,0.05,0,0
"P28","Otros",0.009,0.036,0.016,0.006,0.111,0.389,0,0
"P28","En blanco",0,0.037,0,0,0.009,0,0.389,0
"P28","No sabe",0.003,0.035,0.005,0,0.02,0.006,0.041,0.477
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.847,0.032,0.04,0.429,0.104,0.143,0.129,0.119
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.039,0.78,0.169,0.046,0.327,0.319,0.343,0.299
"P29","Ramiro Marra por la Libertad Avanza",0.025,0.092,0.628,0,0.074,0.017,0,0.082
"P29","Vanina Biasi por el Frente de Izquierda",0.006,0.006,0.002,0.438,0.074,0.087,0.023,0.016
"P29","Otros",0.05,0.054,0.103,0.067,0.305,0.358,0.064,0.007
"P29","En blanco",0.011,0.017,0.019,0.02,0.075,0.068,0.331,0.069
"P29","No sabe",0.022,0.019,0.039,0,0.041,0.008,0.11,0.408
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.803,0.031,0.048,0.431,0.045,0.173,0.055,0.094
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.122,0.648,0.147,0.12,0.539,0.421,0.357,0.386
"P30","Ramiro Marra por la Libertad Avanza",0.021,0.112,0.703,0,0.046,0.018,0.044,0.164
"P30","Vanina Biasi por el Frente de Izquierda",0.008,0.001,0.007,0.294,0.08,0.048,0,0
"P30","Otros",0.019,0.084,0.032,0.114,0.129,0.275,0.016,0.017
"P30","En blanco",0.011,0.051,0.02,0.02,0.117,0.065,0.49,0.018
"P30","No sabe",0.016,0.073,0.043,0.021,0.044,0,0.038,0.321
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.912,0.072,0.098,0.344,0.124,0.298,0.288,0.222
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.024,0.892,0.595,0.103,0.212,0.45,0.254,0.213
"P33","En blanco",0.047,0.019,0.206,0.345,0.279,0.12,0.363,0.18
"P33","No sabe",0.017,0.017,0.101,0.208,0.385,0.132,0.095,0.385
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.16,0.908,0.155,0.175,0.205,0.314,0.271,0.256
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.06,0.752,0.066,0.069,0.18,0.092,0.214
"P34","En blanco",0.617,0.013,0.068,0.473,0.307,0.365,0.54,0.273
"P34","No sabe",0.158,0.019,0.025,0.286,0.419,0.141,0.097,0.257
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.885,0.084,0.143,0.406,0.14,0.272,0.229,0.137
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.061,0.739,0.298,0.122,0.421,0.44,0.357,0.405
"P35","En blanco",0.041,0.109,0.414,0.355,0.189,0.099,0.354,0.151
"P35","No sabe",0.013,0.068,0.145,0.117,0.25,0.189,0.06,0.307
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.271,0.657,0.096,0.178,0.324,0.568,0.483,0.395
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.053,0.237,0.868,0.115,0.127,0.055,0.086,0.175
"P36","En blanco",0.5,0.05,0.034,0.49,0.259,0.174,0.378,0.1
"P36","No sabe",0.176,0.056,0.002,0.217,0.29,0.203,0.053,0.33
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.891,0.079,0.108,0.387,0.133,0.312,0.249,0.241
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.043,0.442,0.834,0.104,0.169,0.175,0.119,0.144
"P37","En blanco",0.041,0.273,0.025,0.375,0.188,0.349,0.572,0.234
"P37","No sabe",0.025,0.206,0.033,0.134,0.51,0.164,0.06,0.381
"P38","Leandro Santoro por Unión por la Patria",0.823,0.061,0.075,0.521,0.171,0.356,0.19,0.286
"P38","Jorge Macri por Juntos por el Cambio",0.062,0.848,0.625,0.031,0.417,0.35,0.461,0.304
"P38","En blanco",0.096,0.061,0.249,0.325,0.165,0.087,0.315,0.108
"P38","No sabe",0.019,0.03,0.051,0.123,0.247,0.207,0.034,0.302
"P39","Leandro Santoro por Unión por la Patria",0.835,0.031,0.106,0.425,0.084,0.191,0.126,0.094
"P39","Martin Lousteau por Juntos por el Cambio",0.109,0.738,0.381,0.075,0.524,0.552,0.619,0.689
"P39","En blanco",0.04,0.148,0.453,0.334,0.123,0.16,0.201,0.038
"P39","No sabe",0.016,0.083,0.06,0.166,0.269,0.097,0.054,0.179
"P40","Lo votaría",0.865,0.05,0.083,0.302,0.114,0.104,0,0.086
"P40","Puede que lo vote",0.085,0.095,0.124,0.123,0.114,0.438,0.106,0.269
"P40","Nunca lo votaría",0.033,0.829,0.733,0.504,0.608,0.416,0.788,0.497
"P40","No sabe",0.017,0.026,0.06,0.071,0.164,0.042,0.106,0.148
"P41","Lo votaría",0.589,0.04,0.098,0.367,0,0.107,0.079,0.113
"P41","Puede que lo vote",0.216,0.019,0.021,0.145,0.043,0.211,0.075,0.065
"P41","Nunca lo votaría",0.164,0.931,0.86,0.439,0.84,0.621,0.686,0.624
"P41","No sabe",0.031,0.01,0.021,0.049,0.117,0.061,0.16,0.198
"P42","Lo votaría",0.098,0.82,0.314,0.091,0.184,0.26,0.148,0.094
"P42","Puede que lo vote",0.087,0.071,0.341,0.051,0.094,0.219,0.207,0.23
"P42","Nunca lo votaría",0.787,0.102,0.286,0.805,0.592,0.444,0.518,0.463
"P42","No sabe",0.028,0.007,0.059,0.053,0.13,0.077,0.127,0.213
"P43","Lo votaría",0.071,0.53,0.169,0.098,0.342,0.565,0.42,0.509
"P43","Puede que lo vote",0.115,0.312,0.246,0.049,0.197,0.097,0.144,0.139
"P43","Nunca lo votaría",0.774,0.14,0.527,0.785,0.331,0.277,0.324,0.227
"P43","No sabe",0.04,0.018,0.058,0.068,0.13,0.061,0.112,0.125
"P44","Lo votaría",0.033,0.163,0.719,0.035,0.083,0.169,0.126,0.135
"P44","Puede que lo vote",0.063,0.354,0.122,0.057,0.167,0.121,0.145,0.225
"P44","Nunca lo votaría",0.887,0.451,0.15,0.869,0.75,0.582,0.652,0.48
"P44","No sabe",0.017,0.032,0.009,0.039,0,0.128,0.077,0.16
"P45","Lo votaría",0.143,0.038,0.145,0.427,0,0.069,0.057,0
"P45","Puede que lo vote",0.438,0.039,0.044,0.407,0.295,0.23,0.223,0.043
"P45","Nunca lo votaría",0.368,0.902,0.787,0.112,0.672,0.504,0.608,0.718
"P45","No sabe",0.051,0.021,0.024,0.054,0.033,0.197,0.112,0.239
"P46","Lo votaría",0.061,0.036,0.062,0.097,0.381,0.074,0,0
"P46","Puede que lo vote",0.23,0.123,0.132,0.183,0.283,0.204,0.282,0.063
"P46","Nunca lo votaría",0.662,0.81,0.764,0.695,0.336,0.593,0.606,0.799
"P46","No sabe",0.047,0.031,0.042,0.025,0,0.129,0.112,0.138
"P54","Lo votaría",0.688,0.033,0.128,0.266,0.2,0.223,0.168,0.149
"P54","Puede que lo vote",0.143,0.053,0.062,0.189,0.074,0.202,0.226,0.052
"P54","Nunca lo votaría",0.164,0.889,0.799,0.478,0.675,0.437,0.606,0.646
"P54","No sabe",0.005,0.025,0.011,0.067,0.051,0.138,0,0.153
"P55","Lo votaría",0.126,0.662,0.268,0.041,0.377,0.244,0.093,0.172
"P55","Puede que lo vote",0.069,0.186,0.337,0.063,0.14,0.06,0.286,0.074
"P55","Nunca lo votaría",0.794,0.146,0.355,0.884,0.432,0.558,0.544,0.586
"P55","No sabe",0.011,0.006,0.04,0.012,0.051,0.138,0.077,0.168
"P56","Lo votaría",0.1,0.461,0.228,0.033,0.453,0.358,0.37,0.287
"P56","Puede que lo vote",0.267,0.293,0.241,0.192,0.251,0.147,0.24,0.205
"P56","Nunca lo votaría",0.6,0.219,0.504,0.738,0.246,0.386,0.309,0.34
"P56","No sabe",0.033,0.027,0.027,0.037,0.05,0.109,0.081,0.168
"P57","Si",0.523,0.54,0.526,0.413,0.491,0.556,0.326,0.538
"P57","No",0.477,0.46,0.474,0.587,0.509,0.444,0.674,0.462
