"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.007,0.01,0,0.037,0.068,0.039,0.023
"P09","Otros",0.001,0.007,0.022,0.17,0.047,0.048,0.017
"P09","En blanco",0.001,0.002,0,0,0.01,0.14,0.047
"P09","No sabe",0.004,0.018,0,0.025,0.009,0.078,0.209
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.742,0.036,0.037,0.147,0.098,0.05,0.03
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.056,0.643,0.161,0.037,0.11,0.048,0.039
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.104,0.232,0.164,0.134,0.384,0.216,0.437
"P12","Ramiro Marra por la Libertad Avanza",0.034,0.035,0.562,0.011,0.037,0.1,0.077
"P12","Vanina Biasi por el Frente de Izquierda",0.038,0.036,0.035,0.301,0.08,0,0.028
"P12","Otros",0.006,0.005,0.015,0.184,0.143,0.094,0.072
"P12","En blanco",0.014,0.006,0.006,0.041,0.012,0.363,0.054
"P12","No sabe",0.006,0.007,0.02,0.145,0.136,0.129,0.263
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.474,0.06,0.051,0.072,0.117,0.128,0.24
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.312,0.02,0.081,0.122,0.165,0.072,0.036
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.061,0.443,0.427,0.025,0.212,0.275,0.185
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.056,0.267,0.059,0.136,0.232,0.042,0.153
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.037,0.149,0.325,0.042,0.165,0.122,0.123
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.027,0,0,0.336,0.009,0.011,0.017
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.005,0.005,0.009,0.14,0.047,0.106,0.04
"P18","Otros",0.009,0.014,0.031,0.034,0.041,0.122,0.03
"P18","En blanco",0.007,0.01,0.017,0.04,0.008,0.122,0.009
"P18","No sabe",0.012,0.032,0,0.053,0.004,0,0.167
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.547,0.041,0.11,0.097,0.125,0.085,0.073
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.043,0.423,0.284,0.026,0.222,0.069,0.175
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.128,0.327,0.128,0.313,0.332,0.146,0.236
"P21","Ramiro Marra por la Libertad Avanza",0.044,0.096,0.335,0.025,0.04,0.035,0.082
"P21","Vanina Biasi por el Frente de Izquierda",0.123,0.024,0.031,0.254,0.048,0,0.033
"P21","Otros",0.066,0.02,0.046,0.184,0.117,0.127,0
"P21","En blanco",0.028,0.03,0.039,0.081,0.034,0.411,0.062
"P21","No sabe",0.021,0.039,0.027,0.02,0.082,0.127,0.339
"P25","Totalmente seguro",0.715,0.705,0.774,0.691,0.492,0.662,0.361
"P25","Bastante seguro",0.2,0.174,0.094,0.157,0.266,0.154,0.286
"P25","Algo seguro",0.057,0.076,0.112,0.071,0.189,0.05,0.111
"P25","Para nada seguro",0.028,0.045,0.02,0.081,0.053,0.134,0.242
"P26","Tiene Decidido que va a ir a votar",0.955,0.915,0.872,0.79,0.922,0.763,0.714
"P26","Tiene dudas sobre si va a ir a votar",0.035,0.059,0.056,0.154,0.041,0.138,0.063
"P26","Tiene Decidido que no va a ir a votar",0.01,0.026,0.072,0.056,0.037,0.099,0.223
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.847,0.031,0.055,0.082,0.204,0.128,0.172
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.042,0.809,0.268,0.096,0.29,0.264,0.198
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.018,0.061,0.637,0.014,0.192,0.101,0.139
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.045,0.004,0,0.569,0.029,0.024,0
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.008,0.018,0.012,0.066,0.089,0.063,0.023
"P27","Otros",0.017,0.031,0.004,0.132,0.178,0.098,0.007
"P27","En blanco",0.007,0.015,0,0.016,0.014,0.216,0.047
"P27","No sabe",0.016,0.031,0.024,0.025,0.004,0.106,0.414
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.857,0.017,0.046,0.059,0.199,0.186,0.166
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.048,0.714,0.124,0.042,0.294,0.222,0.216
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.022,0.141,0.792,0.064,0.221,0.231,0.134
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.038,0.005,0.002,0.628,0.057,0.024,0
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.008,0.007,0.009,0.112,0.093,0.063,0.023
"P28","Otros",0.014,0.038,0.021,0.07,0.103,0.122,0.031
"P28","En blanco",0.006,0.036,0.006,0,0.013,0.137,0.03
"P28","No sabe",0.007,0.042,0,0.025,0.02,0.015,0.4
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.877,0.018,0.049,0.056,0.096,0.024,0.007
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.085,0.71,0.131,0.211,0.447,0.172,0.253
"P30","Ramiro Marra por la Libertad Avanza",0.017,0.072,0.789,0.097,0.062,0.189,0.021
"P30","Vanina Biasi por el Frente de Izquierda",0.001,0.001,0.01,0.508,0.026,0,0.017
"P30","Otros",0.015,0.071,0.018,0.128,0.323,0.049,0
"P30","En blanco",0.004,0.061,0.003,0,0,0.566,0.025
"P30","No sabe",0.001,0.067,0,0,0.046,0,0.677
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.848,0.082,0.13,0.196,0.386,0.248,0.235
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.052,0.848,0.64,0.172,0.339,0.391,0.381
"P33","En blanco",0.073,0.035,0.167,0.347,0.117,0.28,0.088
"P33","No sabe",0.027,0.035,0.063,0.285,0.158,0.081,0.296
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.155,0.837,0.353,0.122,0.329,0.327,0.266
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.104,0.574,0.139,0.171,0.258,0.199
"P34","En blanco",0.611,0.033,0.067,0.439,0.369,0.337,0.151
"P34","No sabe",0.169,0.026,0.006,0.3,0.131,0.078,0.384
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.875,0.081,0.146,0.275,0.348,0.304,0.132
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.051,0.748,0.36,0.171,0.338,0.204,0.212
"P35","En blanco",0.048,0.099,0.403,0.331,0.15,0.418,0.255
"P35","No sabe",0.026,0.072,0.091,0.223,0.164,0.074,0.401
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.222,0.664,0.182,0.185,0.454,0.245,0.323
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.069,0.233,0.754,0.071,0.221,0.303,0.242
"P36","En blanco",0.531,0.043,0.044,0.531,0.172,0.317,0.097
"P36","No sabe",0.178,0.06,0.02,0.213,0.153,0.135,0.338
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.834,0.097,0.125,0.274,0.404,0.259,0.259
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.048,0.425,0.793,0.122,0.242,0.323,0.211
"P37","En blanco",0.079,0.266,0.06,0.443,0.166,0.337,0.17
"P37","No sabe",0.039,0.212,0.022,0.161,0.188,0.081,0.36
"P38","Leandro Santoro por Unión por la Patria",0.861,0.05,0.091,0.309,0.439,0.169,0.053
"P38","Jorge Macri por Juntos por el Cambio",0.027,0.876,0.702,0.127,0.229,0.159,0.292
"P38","En blanco",0.089,0.048,0.17,0.416,0.204,0.561,0.255
"P38","No sabe",0.023,0.026,0.037,0.148,0.128,0.111,0.4
"P39","Leandro Santoro por Unión por la Patria",0.854,0.026,0.117,0.25,0.271,0.143,0.009
"P39","Martin Lousteau por Juntos por el Cambio",0.087,0.759,0.388,0.265,0.482,0.298,0.57
"P39","En blanco",0.032,0.13,0.459,0.369,0.133,0.468,0.179
"P39","No sabe",0.027,0.085,0.036,0.116,0.114,0.091,0.242
"P40","Lo votaría",0.848,0.025,0.141,0.214,0.234,0.161,0.108
"P40","Puede que lo vote",0.082,0.143,0.098,0.109,0.222,0.036,0.126
"P40","Nunca lo votaría",0.046,0.8,0.737,0.651,0.454,0.739,0.629
"P40","No sabe",0.024,0.032,0.024,0.026,0.09,0.064,0.137
"P41","Lo votaría",0.614,0.034,0.133,0.26,0.181,0.033,0.032
"P41","Puede que lo vote",0.208,0.031,0.028,0.037,0.159,0.133,0.166
"P41","Nunca lo votaría",0.157,0.911,0.839,0.666,0.594,0.742,0.645
"P41","No sabe",0.021,0.024,0,0.037,0.066,0.092,0.157
"P42","Lo votaría",0.095,0.741,0.503,0.116,0.208,0.263,0.14
"P42","Puede que lo vote",0.056,0.101,0.252,0.082,0.273,0.1,0.412
"P42","Nunca lo votaría",0.821,0.146,0.19,0.743,0.419,0.562,0.29
"P42","No sabe",0.028,0.012,0.055,0.059,0.1,0.075,0.158
"P43","Lo votaría",0.047,0.556,0.233,0.132,0.261,0.116,0.238
"P43","Puede que lo vote",0.112,0.293,0.231,0.152,0.229,0.139,0.224
"P43","Nunca lo votaría",0.808,0.128,0.501,0.626,0.391,0.678,0.367
"P43","No sabe",0.033,0.023,0.035,0.09,0.119,0.067,0.171
"P44","Lo votaría",0.031,0.164,0.637,0.081,0.203,0.135,0.164
"P44","Puede que lo vote",0.057,0.336,0.187,0.068,0.14,0.208,0.154
"P44","Nunca lo votaría",0.901,0.465,0.165,0.796,0.629,0.51,0.515
"P44","No sabe",0.011,0.035,0.011,0.055,0.028,0.147,0.167
"P45","Lo votaría",0.154,0.038,0.123,0.358,0.118,0.032,0
"P45","Puede que lo vote",0.454,0.042,0.089,0.258,0.187,0.159,0.093
"P45","Nunca lo votaría",0.34,0.894,0.762,0.325,0.595,0.642,0.756
"P45","No sabe",0.052,0.026,0.026,0.059,0.1,0.167,0.151
"P46","Lo votaría",0.059,0.032,0.076,0.198,0.103,0.089,0.023
"P46","Puede que lo vote",0.196,0.161,0.127,0.271,0.182,0.085,0.136
"P46","Nunca lo votaría",0.695,0.769,0.773,0.531,0.659,0.676,0.714
"P46","No sabe",0.05,0.038,0.024,0,0.056,0.15,0.127
"P54","Lo votaría",0.749,0.037,0.1,0.108,0.125,0.089,0.01
"P54","Puede que lo vote",0.088,0.076,0.053,0.169,0.313,0.156,0.109
"P54","Nunca lo votaría",0.16,0.86,0.837,0.663,0.501,0.607,0.73
"P54","No sabe",0.003,0.027,0.01,0.06,0.061,0.148,0.151
"P55","Lo votaría",0.107,0.726,0.245,0.062,0.066,0.081,0.046
"P55","Puede que lo vote",0.051,0.146,0.359,0.072,0.262,0.156,0.335
"P55","Nunca lo votaría",0.831,0.117,0.36,0.866,0.616,0.615,0.492
"P55","No sabe",0.011,0.011,0.036,0,0.056,0.148,0.127
"P56","Lo votaría",0.092,0.45,0.256,0.217,0.347,0.244,0.281
"P56","Puede que lo vote",0.244,0.324,0.162,0.197,0.301,0.142,0.222
"P56","Nunca lo votaría",0.634,0.198,0.557,0.526,0.3,0.465,0.335
"P56","No sabe",0.03,0.028,0.025,0.06,0.052,0.149,0.162
"P57","Si",0.55,0.538,0.506,0.377,0.512,0.583,0.379
"P57","No",0.45,0.462,0.494,0.623,0.488,0.417,0.621
