"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P12","Otros",0.013,0.02,0.052,0.066
"P12","En blanco",0.018,0.016,0.046,0.029
"P12","No sabe",0.022,0.014,0.037,0.124
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.45,0.044,0.102,0.074
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.294,0.022,0.054,0.04
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.077,0.431,0.38,0.331
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.079,0.309,0.033,0.098
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.026,0.142,0.283,0.215
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.032,0.004,0.038,0.033
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.002,0.005,0.04,0.031
"P18","Otros",0.019,0.013,0.019,0.07
"P18","En blanco",0.008,0.012,0.046,0
"P18","No sabe",0.013,0.018,0.005,0.108
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.473,0.046,0.114,0.092
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.091,0.387,0.288,0.184
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.131,0.34,0.105,0.227
"P21","Ramiro Marra por la Libertad Avanza",0.04,0.112,0.228,0.155
"P21","Vanina Biasi por el Frente de Izquierda",0.112,0.025,0.051,0.057
"P21","Otros",0.086,0.019,0.059,0.055
"P21","En blanco",0.043,0.027,0.12,0.036
"P21","No sabe",0.024,0.044,0.035,0.194
"P25","Totalmente seguro",0.713,0.677,0.789,0.506
"P25","Bastante seguro",0.186,0.193,0.11,0.215
"P25","Algo seguro",0.055,0.098,0.069,0.107
"P25","Para nada seguro",0.046,0.032,0.032,0.172
"P26","Tiene Decidido que va a ir a votar",0.908,0.925,0.881,0.875
"P26","Tiene dudas sobre si va a ir a votar",0.059,0.054,0.042,0.043
"P26","Tiene Decidido que no va a ir a votar",0.033,0.021,0.077,0.082
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.753,0.047,0.087,0.05
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.091,0.726,0.298,0.334
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.054,0.102,0.392,0.25
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.044,0.012,0.096,0.058
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.01,0.028,0.034,0.082
"P27","Otros",0.026,0.038,0.024,0.082
"P27","En blanco",0.009,0.012,0.033,0.01
"P27","No sabe",0.013,0.035,0.036,0.134
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.774,0.018,0.082,0.059
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.081,0.723,0.068,0.207
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.059,0.176,0.535,0.278
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.041,0.007,0.105,0.058
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.014,0.012,0.033,0.048
"P28","Otros",0.02,0.031,0.044,0.124
"P28","En blanco",0.003,0.012,0.089,0.043
"P28","No sabe",0.008,0.021,0.044,0.183
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.744,0.04,0.102,0.101
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.087,0.739,0.266,0.35
"P29","Ramiro Marra por la Libertad Avanza",0.054,0.123,0.373,0.153
"P29","Vanina Biasi por el Frente de Izquierda",0.017,0.009,0.05,0.06
"P29","Otros",0.062,0.056,0.067,0.133
"P29","En blanco",0.023,0.014,0.079,0.025
"P29","No sabe",0.013,0.019,0.063,0.178
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.711,0.03,0.111,0.086
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.149,0.67,0.153,0.302
"P30","Ramiro Marra por la Libertad Avanza",0.061,0.129,0.44,0.198
"P30","Vanina Biasi por el Frente de Izquierda",0.009,0.004,0.05,0.043
"P30","Otros",0.036,0.081,0.062,0.12
"P30","En blanco",0.021,0.032,0.105,0.025
"P30","No sabe",0.013,0.054,0.079,0.226
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.855,0.065,0.118,0.095
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.074,0.865,0.5,0.418
"P33","En blanco",0.052,0.039,0.345,0.021
"P33","No sabe",0.019,0.031,0.037,0.466
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.223,0.771,0.347,0.311
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.072,0.151,0.402,0.252
"P34","En blanco",0.557,0.055,0.232,0.088
"P34","No sabe",0.148,0.023,0.019,0.349
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.305,0.682,0.088,0.158
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.078,0.287,0.543,0.342
"P36","En blanco",0.47,0.01,0.308,0.064
"P36","No sabe",0.147,0.021,0.061,0.436
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.85,0.09,0.094,0.082
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.051,0.497,0.588,0.319
"P37","En blanco",0.066,0.254,0.285,0.054
"P37","No sabe",0.033,0.159,0.033,0.545
"P38","Leandro Santoro por Unión por la Patria",0.805,0.061,0.123,0.129
"P38","Jorge Macri por Juntos por el Cambio",0.091,0.848,0.497,0.43
"P38","En blanco",0.091,0.057,0.373,0.074
"P38","No sabe",0.013,0.034,0.007,0.367
"P39","Leandro Santoro por Unión por la Patria",0.812,0.018,0.118,0.079
"P39","Martin Lousteau por Juntos por el Cambio",0.14,0.829,0.152,0.409
"P39","En blanco",0.031,0.094,0.668,0.169
"P39","No sabe",0.017,0.059,0.062,0.343
"P40","Lo votaría",0.846,0.019,0.057,0.084
"P40","Puede que lo vote",0.089,0.147,0.07,0.144
"P40","Nunca lo votaría",0.052,0.804,0.829,0.587
"P40","No sabe",0.013,0.03,0.044,0.185
"P41","Lo votaría",0.605,0.011,0.068,0.106
"P41","Puede que lo vote",0.165,0.051,0.088,0.041
"P41","Nunca lo votaría",0.198,0.925,0.829,0.688
"P41","No sabe",0.032,0.013,0.015,0.165
"P42","Lo votaría",0.163,0.674,0.382,0.355
"P42","Puede que lo vote",0.057,0.157,0.194,0.133
"P42","Nunca lo votaría",0.749,0.153,0.382,0.352
"P42","No sabe",0.031,0.016,0.042,0.16
"P43","Lo votaría",0.116,0.595,0.076,0.135
"P43","Puede que lo vote",0.111,0.323,0.121,0.24
"P43","Nunca lo votaría",0.739,0.066,0.759,0.433
"P43","No sabe",0.034,0.016,0.044,0.192
"P44","Lo votaría",0.093,0.202,0.389,0.188
"P44","Puede que lo vote",0.06,0.326,0.154,0.226
"P44","Nunca lo votaría",0.832,0.44,0.43,0.467
"P44","No sabe",0.015,0.032,0.027,0.119
"P45","Lo votaría",0.197,0.017,0.154,0.033
"P45","Puede que lo vote",0.399,0.092,0.082,0.053
"P45","Nunca lo votaría",0.353,0.867,0.729,0.738
"P45","No sabe",0.051,0.024,0.035,0.176
"P46","Lo votaría",0.092,0.03,0.065,0.038
"P46","Puede que lo vote",0.208,0.174,0.085,0.099
"P46","Nunca lo votaría",0.658,0.755,0.842,0.724
"P46","No sabe",0.042,0.041,0.008,0.139
"P54","Lo votaría",0.7,0.023,0.098,0.091
"P54","Puede que lo vote",0.115,0.099,0.046,0.085
"P54","Nunca lo votaría",0.177,0.861,0.826,0.675
"P54","No sabe",0.008,0.017,0.03,0.149
"P55","Lo votaría",0.154,0.592,0.289,0.325
"P55","Puede que lo vote",0.049,0.234,0.214,0.123
"P55","Nunca lo votaría",0.791,0.156,0.47,0.425
"P55","No sabe",0.006,0.018,0.027,0.127
"P56","Lo votaría",0.12,0.493,0.1,0.296
"P56","Puede que lo vote",0.244,0.329,0.153,0.217
"P56","Nunca lo votaría",0.606,0.151,0.706,0.366
"P56","No sabe",0.03,0.027,0.041,0.121
"P57","Si",0.533,0.532,0.506,0.469
"P57","No",0.467,0.468,0.494,0.531
