"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a votar","Tiene Decidido que no va a ir a votar"
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.035,0.055,0.027
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.02,0.059,0.031
"P28","Otros",0.037,0.064,0.054
"P28","En blanco",0.021,0.018,0.031
"P28","No sabe",0.032,0.059,0.115
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.324,0.198,0.078
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.392,0.423,0.261
"P29","Ramiro Marra por la Libertad Avanza",0.133,0.142,0.258
"P29","Vanina Biasi por el Frente de Izquierda",0.022,0.07,0.036
"P29","Otros",0.076,0.056,0.072
"P29","En blanco",0.022,0.065,0.067
"P29","No sabe",0.031,0.046,0.228
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.304,0.253,0.095
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.375,0.366,0.337
"P30","Ramiro Marra por la Libertad Avanza",0.16,0.107,0.174
"P30","Vanina Biasi por el Frente de Izquierda",0.016,0.017,0.05
"P30","Otros",0.061,0.123,0.007
"P30","En blanco",0.039,0.054,0.068
"P30","No sabe",0.045,0.08,0.269
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.367,0.275,0.402
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.49,0.512,0.396
"P33","En blanco",0.087,0.086,0.076
"P33","No sabe",0.056,0.127,0.126
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.472,0.466,0.424
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.167,0.181,0.255
"P34","En blanco",0.269,0.185,0.198
"P34","No sabe",0.092,0.168,0.123
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.367,0.407,0.313
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.413,0.411,0.22
"P35","En blanco",0.142,0.116,0.295
"P35","No sabe",0.078,0.066,0.172
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.421,0.336,0.441
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.247,0.31,0.182
"P36","En blanco",0.228,0.165,0.154
"P36","No sabe",0.104,0.189,0.223
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.368,0.347,0.271
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.328,0.274,0.441
"P37","En blanco",0.176,0.209,0.066
"P37","No sabe",0.128,0.17,0.222
"P38","Leandro Santoro por Unión por la Patria",0.355,0.27,0.167
"P38","Jorge Macri por Juntos por el Cambio",0.489,0.532,0.445
"P38","En blanco",0.11,0.132,0.232
"P38","No sabe",0.046,0.066,0.156
"P39","Leandro Santoro por Unión por la Patria",0.326,0.331,0.226
"P39","Martin Lousteau por Juntos por el Cambio",0.45,0.461,0.396
"P39","En blanco",0.159,0.088,0.296
"P39","No sabe",0.065,0.12,0.082
"P40","Lo votaría",0.332,0.29,0.19
"P40","Puede que lo vote",0.102,0.252,0.244
"P40","Nunca lo votaría",0.529,0.369,0.55
"P40","No sabe",0.037,0.089,0.016
"P41","Lo votaría",0.241,0.242,0.165
"P41","Puede que lo vote",0.087,0.119,0.296
"P41","Nunca lo votaría",0.644,0.57,0.427
"P41","No sabe",0.028,0.069,0.112
"P42","Lo votaría",0.433,0.362,0.234
"P42","Puede que lo vote",0.116,0.228,0.218
"P42","Nunca lo votaría",0.423,0.284,0.411
"P42","No sabe",0.028,0.126,0.137
"P43","Lo votaría",0.311,0.315,0.286
"P43","Puede que lo vote",0.208,0.297,0.18
"P43","Nunca lo votaría",0.445,0.305,0.403
"P43","No sabe",0.036,0.083,0.131
"P44","Lo votaría",0.19,0.172,0.204
"P44","Puede que lo vote",0.191,0.278,0.263
"P44","Nunca lo votaría",0.598,0.467,0.282
"P44","No sabe",0.021,0.083,0.251
"P45","Lo votaría",0.092,0.188,0.244
"P45","Puede que lo vote",0.194,0.21,0.237
"P45","Nunca lo votaría",0.673,0.516,0.355
"P45","No sabe",0.041,0.086,0.164
"P46","Lo votaría",0.054,0.054,0.163
"P46","Puede que lo vote",0.157,0.298,0.236
"P46","Nunca lo votaría",0.751,0.566,0.438
"P46","No sabe",0.038,0.082,0.163
"P54","Lo votaría",0.284,0.276,0.157
"P54","Puede que lo vote",0.081,0.264,0.237
"P54","Nunca lo votaría",0.615,0.407,0.431
"P54","No sabe",0.02,0.053,0.175
"P55","Lo votaría",0.38,0.337,0.145
"P55","Puede que lo vote",0.146,0.252,0.283
"P55","Nunca lo votaría",0.456,0.351,0.428
"P55","No sabe",0.018,0.06,0.144
"P56","Lo votaría",0.297,0.147,0.244
"P56","Puede que lo vote",0.255,0.436,0.261
"P56","Nunca lo votaría",0.415,0.33,0.376
"P56","No sabe",0.033,0.087,0.119
"P57","Si",0.534,0.381,0.487
"P57","No",0.466,0.619,0.513
