"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Alberto Fernandez","Ni buena ni mala",0.168,0.142,0.192,0.338,0.126,0.152,0.076,0.161,0.178,0.162,0.187,0.291,0.104,0.222,0.043,0.177,0.141,0.116,0.062,0.419,0.143,0.05,0,0.11,0.197,0.343
"Alberto Fernandez","Mala",0.147,0.149,0.145,0.187,0.126,0.15,0.145,0.107,0.149,0.189,0.187,0.072,0.137,0.072,0.203,0.309,0.034,0.217,0.185,0.093,0.121,0.11,0.249,0.421,0.283,0.14
"Alberto Fernandez","Muy mala",0.338,0.39,0.291,0.255,0.349,0.321,0.455,0.39,0.241,0.427,0.322,0.277,0.377,0.129,0.646,0.248,0.039,0.598,0.64,0.387,0.491,0.806,0.751,0.215,0.345,0.302
"Alberto Fernandez","No sabe",0.007,0.016,0,0,0.011,0.012,0,0.007,0.012,0.001,0.003,0.003,0.013,0.004,0.002,0.051,0.017,0,0.004,0,0.065,0.002,0,0,0,0
"Malena Galmarini","Muy buena",0.116,0.095,0.136,0.156,0.115,0.099,0.071,0.149,0.118,0.074,0.087,0.147,0.13,0.158,0.108,0.026,0.245,0.093,0.035,0,0.034,0,0,0,0.063,0.067
"Malena Galmarini","Buena",0.142,0.147,0.137,0.113,0.144,0.147,0.182,0.143,0.155,0.119,0.138,0.088,0.169,0.24,0.028,0.098,0.293,0.08,0.061,0,0.012,0,0.392,0,0,0.082
"Malena Galmarini","Ni buena ni mala",0.253,0.263,0.243,0.271,0.226,0.258,0.298,0.188,0.305,0.241,0.293,0.247,0.217,0.272,0.176,0.275,0.286,0.117,0.206,0.178,0.264,0.317,0.302,0.082,0.379,0.42
"Malena Galmarini","Mala",0.12,0.137,0.104,0.119,0.101,0.172,0.097,0.078,0.139,0.139,0.149,0.085,0.107,0.107,0.153,0.197,0.074,0.219,0.155,0.211,0.018,0.145,0.025,0.031,0.014,0.123
"Malena Galmarini","Muy mala",0.307,0.296,0.318,0.243,0.351,0.295,0.301,0.396,0.228,0.335,0.281,0.341,0.318,0.187,0.455,0.222,0.096,0.436,0.514,0.611,0.672,0.42,0.281,0.41,0.373,0.234
"Malena Galmarini","No sabe",0.062,0.062,0.062,0.098,0.063,0.029,0.051,0.046,0.055,0.092,0.052,0.092,0.059,0.036,0.08,0.182,0.006,0.055,0.029,0,0,0.118,0,0.477,0.171,0.074
"Sergio Massa","Muy buena",0.101,0.103,0.099,0.116,0.1,0.107,0.074,0.124,0.124,0.041,0.078,0.147,0.106,0.158,0.048,0.051,0.214,0.062,0.056,0,0.113,0,0,0,0,0.061
"Sergio Massa","Buena",0.168,0.153,0.181,0.2,0.162,0.144,0.177,0.129,0.236,0.107,0.212,0.072,0.161,0.245,0.056,0.153,0.306,0.093,0.04,0.09,0,0,0,0,0.224,0.191
"Sergio Massa","Ni buena ni mala",0.203,0.205,0.202,0.215,0.206,0.213,0.162,0.198,0.216,0.191,0.171,0.266,0.211,0.291,0.064,0.226,0.301,0.084,0.044,0.25,0.127,0.026,0.646,0.112,0.173,0.239
"Sergio Massa","Mala",0.127,0.115,0.139,0.128,0.115,0.14,0.146,0.137,0.089,0.176,0.116,0.067,0.161,0.09,0.173,0.128,0.104,0.144,0.236,0.086,0.573,0.178,0,0.054,0,0.105
"Sergio Massa","Muy mala",0.384,0.412,0.357,0.341,0.399,0.376,0.409,0.4,0.313,0.472,0.415,0.378,0.356,0.212,0.641,0.422,0.071,0.617,0.605,0.574,0.187,0.796,0.354,0.741,0.426,0.393
"Sergio Massa","No sabe",0.017,0.012,0.022,0,0.018,0.02,0.032,0.012,0.022,0.013,0.008,0.07,0.005,0.004,0.018,0.02,0.004,0,0.019,0,0,0,0,0.093,0.177,0.011
"Mauricio Macri","Muy buena",0.121,0.096,0.145,0.145,0.112,0.123,0.114,0.188,0.092,0.091,0.133,0.14,0.103,0.045,0.212,0.168,0.063,0.226,0.131,0.431,0.415,0.031,0,0,0,0.074
"Mauricio Macri","Buena",0.111,0.091,0.129,0.092,0.059,0.139,0.25,0.145,0.061,0.148,0.125,0.091,0.104,0.04,0.284,0,0.027,0.256,0.215,0.23,0,0.187,0.149,0.097,0,0.026
"Mauricio Macri","Ni buena ni mala",0.207,0.214,0.2,0.344,0.179,0.15,0.183,0.173,0.175,0.293,0.263,0.174,0.166,0.171,0.264,0.231,0.051,0.294,0.363,0.051,0.044,0.318,0.217,0.32,0.04,0.358
"Mauricio Macri","Mala",0.172,0.174,0.17,0.213,0.188,0.131,0.132,0.179,0.195,0.13,0.16,0.147,0.193,0.197,0.096,0.33,0.184,0.051,0.179,0.198,0.088,0.325,0,0.179,0.172,0.326
"Mauricio Macri","Muy mala",0.364,0.412,0.321,0.206,0.441,0.389,0.321,0.285,0.444,0.332,0.296,0.384,0.421,0.538,0.135,0.215,0.655,0.171,0.077,0.09,0.388,0.139,0.634,0.404,0.469,0.216
"Mauricio Macri","No sabe",0.025,0.013,0.035,0,0.021,0.068,0,0.03,0.033,0.006,0.023,0.064,0.013,0.009,0.009,0.056,0.02,0.002,0.035,0,0.065,0,0,0,0.319,0
