"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Sergio Massa","Negativa",0.511,0.527,0.496,0.469,0.514,0.516,0.555,0.537,0.402,0.648,0.531,0.445,0.517,0.302,0.814,0.55,0.175,0.761,0.841,0.66,0.76,0.974,0.354,0.795,0.426,0.498
"Sergio Massa","No sabe",0.017,0.012,0.022,0,0.018,0.02,0.032,0.012,0.022,0.013,0.008,0.07,0.005,0.004,0.018,0.02,0.004,0,0.019,0,0,0,0,0.093,0.177,0.011
"CFK","Positiva",0.378,0.393,0.366,0.382,0.403,0.359,0.332,0.357,0.449,0.296,0.312,0.45,0.414,0.629,0.09,0.34,0.822,0.127,0.07,0.231,0.215,0.032,0.053,0.272,0.091,0.259
"CFK","Neutra",0.093,0.069,0.114,0.089,0.089,0.107,0.088,0.131,0.095,0.047,0.117,0.077,0.077,0.132,0.03,0.023,0.091,0,0.081,0,0.151,0,0.328,0.047,0.057,0.231
"CFK","Negativa",0.516,0.525,0.507,0.529,0.487,0.515,0.58,0.5,0.437,0.651,0.564,0.41,0.509,0.239,0.862,0.637,0.087,0.87,0.843,0.769,0.568,0.944,0.619,0.607,0.695,0.51
"CFK","No sabe",0.013,0.013,0.013,0,0.021,0.019,0,0.012,0.019,0.006,0.007,0.063,0,0,0.018,0,0,0.003,0.006,0,0.066,0.024,0,0.074,0.157,0
"Mauricio Macri","Positiva",0.232,0.187,0.274,0.237,0.171,0.262,0.364,0.333,0.153,0.239,0.258,0.231,0.207,0.085,0.496,0.168,0.09,0.482,0.346,0.661,0.415,0.218,0.149,0.097,0,0.1
"Mauricio Macri","Neutra",0.207,0.214,0.2,0.344,0.179,0.15,0.183,0.173,0.175,0.293,0.263,0.174,0.166,0.171,0.264,0.231,0.051,0.294,0.363,0.051,0.044,0.318,0.217,0.32,0.04,0.358
"Mauricio Macri","Negativa",0.536,0.586,0.491,0.419,0.629,0.52,0.453,0.464,0.639,0.462,0.456,0.531,0.614,0.735,0.231,0.545,0.839,0.222,0.256,0.288,0.476,0.464,0.634,0.583,0.641,0.542
"Mauricio Macri","No sabe",0.025,0.013,0.035,0,0.021,0.068,0,0.03,0.033,0.006,0.023,0.064,0.013,0.009,0.009,0.056,0.02,0.002,0.035,0,0.065,0,0,0,0.319,0
