"var","categoria","A Gustavo Menéndez","A Karina Menéndez","A Florencia Lizaraso","No sabe"
"P24","A Sergio Massa",0.118,0.113,0.257,0.235
"P24","A algún candidato del peronismo",0.118,0.126,0.021,0.061
"P24","A algún candidato del kirchnerismo",0.245,0.535,0.666,0.402
"P25","Seguro la votaria",0.881,0.777,0.968,0.683
"P25","Quizás la votaría",0.113,0.138,0.032,0.294
"P25","Nunca la votaría",0.006,0.085,0,0.023
"P26","A Horacio Rodriguez Larreta",0.675,1,0,0.344
"P26","A Mauricio Macri",0,0,0,0.656
"P26","A Patricia Bullrich",0,0,0,0
"P26","A Facundo Manes",0.318,0,0,0
"P26","A Martín Lousteau",0.007,0,0,0
"P27","Seguro lo votaria",0.453,0,0,0
"P27","Quizás lo votaría",0,0,0,0
"P27","Nunca lo votaría",0.547,1,0,1
"P28","Muy buena",0.307,0.178,0.138,0.055
"P28","Buena",0.268,0.357,0.283,0.3
"P28","Ni buena ni mala",0.309,0.148,0.333,0.293
"P28","Mala",0.096,0.213,0.235,0.185
"P28","Muy mala",0.02,0.104,0.011,0.167
"P28","No sabe",0,0,0,0
"P29","Muy buena",0.105,0.005,0,0.084
"P29","Buena",0.002,0.006,0.029,0.005
"P29","Ni buena ni mala",0.092,0.051,0,0.192
"P29","Mala",0.151,0.186,0.265,0.181
"P29","Muy mala",0.636,0.752,0.706,0.538
"P29","No sabe",0.014,0,0,0
"P30","Muy buena",0.702,0.755,0.881,0.71
"P30","Buena",0.122,0.097,0.096,0.035
"P30","Ni buena ni mala",0.109,0.133,0,0.176
"P30","Mala",0.022,0,0,0.022
"P30","Muy mala",0.045,0.015,0.023,0.057
"P30","No sabe",0,0,0,0
"P31","Muy buena",0.215,0.026,0.166,0
"P31","Buena",0.037,0.033,0.033,0.015
"P31","Ni buena ni mala",0.209,0.268,0.067,0.358
"P31","Mala",0.164,0.28,0.22,0.114
"P31","Muy mala",0.369,0.378,0.499,0.489
"P31","No sabe",0.006,0.015,0.015,0.024
"P32","Muy buena",0.244,0.056,0.124,0.178
"P32","Buena",0.333,0.379,0.263,0.212
"P32","Ni buena ni mala",0.281,0.181,0.377,0.379
"P32","Mala",0.042,0.252,0.209,0.045
"P32","Muy mala",0.066,0.089,0.027,0.153
"P32","No sabe",0.034,0.043,0,0.033
"P33","Muy buena",0.078,0.017,0.124,0.101
"P33","Buena",0.008,0.022,0.027,0
"P33","Ni buena ni mala",0.165,0.13,0,0.212
"P33","Mala",0.159,0.307,0.116,0.178
"P33","Muy mala",0.581,0.509,0.733,0.509
"P33","No sabe",0.009,0.015,0,0
"P34","Muy buena",0.075,0,0.019,0.106
"P34","Buena",0.029,0.021,0.028,0.04
"P34","Ni buena ni mala",0.08,0.089,0.119,0.142
"P34","Mala",0.196,0.103,0.103,0.184
"P34","Muy mala",0.575,0.631,0.731,0.505
"P34","No sabe",0.045,0.156,0,0.023
