"var","categoria","Gustavo Menéndez a intendente por Unión por la Patria","Zencich a intendente por Juntos por el Cambio","Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","El candidato a intendente de la Izquierda","En blanco"
"P12_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.009,0,0.009,0.066,0.532,0.09
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.023,0.005,0,0.006,0,0.109
"P12_imputada","En blanco",0.005,0,0.013,0.045,0,0.498
"P15","Si",0.358,0.53,0.295,0.988,0.678,0.596
"P15","No",0.642,0.47,0.705,0.012,0.322,0.404
"P16_imputada","Sergio Massa a presidente por Unión por la Patria",0.534,0.203,0.115,0.518,0.549,0.462
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.197,0.496,0.158,0.152,0.068,0.112
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.149,0.295,0.629,0.168,0.085,0.01
"P16_imputada","Los candidatos a presidente de la Izquierda",0.035,0,0.095,0.074,0.29,0.152
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.073,0.006,0.003,0.068,0.008,0
"P16_imputada","En blanco",0.012,0,0,0.02,0,0.264
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.514,0.172,0.193,0.468,0.631,0.533
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.242,0.501,0.249,0.269,0.015,0.039
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.161,0.314,0.507,0.102,0.053,0.221
"P19_imputada","El candidato a gobernador de la Izquierda",0.032,0,0,0.126,0.121,0.164
"P19_imputada","En blanco",0.051,0.013,0.051,0.035,0.18,0.043
"P22_imputada","Gustavo Menéndez a intendente por Unión por la Patria",1,0,0,0,0,0
"P22_imputada","Zencich a intendente por Juntos por el Cambio",0,1,0,0,0,0
"P22_imputada","Eduardo Varela a intendente por la Libertad Avanza",0,0,1,0,0,0
"P22_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0,0,0,1,0,0
"P22_imputada","El candidato a intendente de la Izquierda",0,0,0,0,1,0
"P22_imputada","En blanco",0,0,0,0,0,1
"P25","Totalmente seguro",0.635,0.647,0.666,0.53,0.486,0.296
"P25","Bastante seguro",0.182,0.195,0.209,0.126,0.203,0.138
"P25","Algo seguro",0.099,0.099,0.058,0.092,0.129,0.026
"P25","Para nada seguro",0.084,0.059,0.067,0.252,0.182,0.54
"P26","Tiene Decidido que va a ir a votar",0.859,0.861,0.903,0.905,0.828,0.524
"P26","Tiene dudas sobre si va a ir a  votar",0.1,0.08,0.041,0.029,0.132,0.209
"P26","Tiene Decidido que no va a ir a votar",0.041,0.059,0.056,0.066,0.04,0.267
"P27","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.265,0.603,0.648,0.469,0.286,0.203
"P27","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.102,0.157,0.135,0.038,0.133,0
"P27","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.411,0.125,0.111,0.277,0.285,0.25
"P27","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.118,0.054,0.02,0.136,0.147,0.062
"P27","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.026,0.001,0.029,0.019,0.09,0.098
"P27","No sabe",0.078,0.06,0.057,0.061,0.059,0.387
"P28","Lo votaría",0.715,0.114,0.138,0.303,0.172,0.168
"P28","Puede que lo vote",0.08,0.116,0.031,0.166,0.548,0.214
"P28","Nunca lo votaría",0.135,0.713,0.816,0.306,0.219,0.483
"P28","No sabe",0.07,0.057,0.015,0.225,0.061,0.135
"P29","Lo votaría",0.156,0.649,0.076,0.196,0,0.047
"P29","Puede que lo vote",0.058,0.115,0.23,0.172,0.297,0
"P29","Nunca lo votaría",0.708,0.195,0.59,0.494,0.63,0.774
"P29","No sabe",0.078,0.041,0.104,0.138,0.073,0.179
"P30","Lo votaría",0.106,0.191,0.764,0.184,0.025,0.019
"P30","Puede que lo vote",0.052,0.229,0.096,0.184,0.302,0
"P30","Nunca lo votaría",0.749,0.55,0.135,0.515,0.631,0.816
"P30","No sabe",0.093,0.03,0.005,0.117,0.042,0.165
"P31","Lo votaría",0.073,0.198,0.194,0.715,0.021,0.029
"P31","Puede que lo vote",0.079,0.173,0.089,0.116,0.23,0.053
"P31","Nunca lo votaría",0.741,0.534,0.668,0.091,0.622,0.768
"P31","No sabe",0.107,0.095,0.049,0.078,0.127,0.15
"P32","Si",0.405,0.383,0.349,0.403,0.432,0.27
"P32","No",0.595,0.617,0.651,0.597,0.568,0.73
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria",0.837,0.111,0.033,0.445,0.392,0.28
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.07,0.727,0.049,0.135,0.037,0.073
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.05,0.157,0.895,0.16,0.068,0.003
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.013,0,0.022,0.069,0.5,0.073
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.025,0.005,0.001,0.058,0.003,0.109
"PRESIDENTE_imputada","En blanco",0.005,0,0,0.133,0,0.462
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.83,0.097,0.051,0.399,0.456,0.324
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.082,0.722,0.073,0.229,0.01,0.023
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.06,0.174,0.863,0.097,0.027,0.138
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.011,0,0,0.12,0.402,0.083
"GOBERNADOR_imputada","En blanco",0.017,0.007,0.013,0.155,0.105,0.432
