"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","Los candidatos a presidente, gobernador e intendente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0.132,0.06,0.973,0.027,0
"P16","En blanco",0.006,0,0,0.018,0,0,0.412,0
"P16","No sabe",0.014,0.03,0,0.162,0,0,0.2,0.256
"P19","Axel Kicillof a gobernador por Unión por la Patria",0.747,0.063,0.125,0.704,0.212,0.372,0.073,0.309
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.098,0.639,0.319,0.022,0.239,0.039,0.027,0.087
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.1,0.27,0.488,0.022,0,0,0,0.222
"P19","El candidato a gobernador de la Izquierda",0.011,0,0.025,0.164,0.25,0,0.033,0.116
"P19","En blanco",0,0.012,0.005,0.081,0.248,0.507,0.432,0
"P19","No sabe",0.044,0.016,0.038,0.007,0.051,0.082,0.435,0.266
"P22","Gustavo Menéndez a intendente por Unión por la Patria",0.516,0.138,0.186,0.167,0.19,0.362,0.174,0.136
"P22","Zencich a intendente por Juntos por el Cambio",0.117,0.685,0.274,0.029,0,0.086,0,0.148
"P22","Eduardo Varela a intendente por la Libertad Avanza",0.049,0.08,0.31,0.039,0.126,0,0,0.16
"P22","Raul Othacehé a intendente por el frente vecinal crecer",0.143,0.058,0.099,0.688,0.279,0.05,0.037,0.104
"P22","El candidato a intendente de la Izquierda",0.069,0.011,0.015,0.005,0.18,0,0,0.09
"P22","En blanco",0.066,0.006,0,0,0.01,0,0.152,0.069
"P22","No sabe",0.04,0.022,0.116,0.072,0.215,0.502,0.637,0.293
"P25","Totalmente seguro",0.647,0.659,0.727,0.573,0.246,0.177,0.188,0.305
"P25","Bastante seguro",0.185,0.188,0.207,0.053,0.336,0.485,0.018,0.074
"P25","Algo seguro",0.113,0.101,0.044,0.081,0.176,0,0.041,0.079
"P25","Para nada seguro",0.055,0.052,0.022,0.293,0.242,0.338,0.753,0.542
"P26","Tiene Decidido que va a ir a votar",0.882,0.873,0.921,0.909,0.772,0.63,0.29,0.706
"P26","Tiene dudas sobre si va a ir a  votar",0.071,0.08,0.06,0.019,0.149,0.37,0.282,0.084
"P26","Tiene Decidido que no va a ir a votar",0.047,0.047,0.019,0.072,0.079,0,0.428,0.21
"P27","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.234,0.575,0.722,0.342,0.481,0.221,0.303,0.247
"P27","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.092,0.189,0.103,0.002,0.121,0.069,0,0.178
"P27","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.48,0.142,0.077,0.319,0.085,0.048,0.132,0.179
"P27","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.094,0.053,0.023,0.318,0.087,0.585,0.06,0.09
"P27","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.018,0,0.026,0.009,0.175,0,0.059,0.073
"P27","No sabe",0.082,0.041,0.049,0.01,0.051,0.077,0.446,0.233
"P28","Lo votaría",0.778,0.113,0.113,0.182,0.192,0.256,0.15,0.238
"P28","Puede que lo vote",0.119,0.083,0.025,0.237,0.652,0.064,0.089,0.135
"P28","Nunca lo votaría",0.055,0.755,0.843,0.335,0.082,0.603,0.638,0.231
"P28","No sabe",0.048,0.049,0.019,0.246,0.074,0.077,0.123,0.396
"P29","Lo votaría",0.107,0.776,0.111,0.172,0.208,0,0,0.016
"P29","Puede que lo vote",0.029,0.088,0.256,0.203,0.354,0.036,0,0.202
"P29","Nunca lo votaría",0.805,0.123,0.53,0.52,0.343,0.945,0.73,0.436
"P29","No sabe",0.059,0.013,0.103,0.105,0.095,0.019,0.27,0.346
"P30","Lo votaría",0.046,0.112,0.803,0.213,0.239,0,0,0.117
"P30","Puede que lo vote",0.053,0.244,0.089,0.194,0.295,0,0,0.213
"P30","Nunca lo votaría",0.831,0.614,0.106,0.518,0.442,1,0.704,0.325
"P30","No sabe",0.07,0.03,0.002,0.075,0.024,0,0.296,0.345
"P31","Lo votaría",0.097,0.221,0.211,0.791,0.235,0,0.024,0.097
"P31","Puede que lo vote",0.069,0.191,0.105,0.165,0.215,0.036,0.045,0.053
"P31","Nunca lo votaría",0.758,0.501,0.612,0.044,0.453,0.964,0.841,0.459
"P31","No sabe",0.076,0.087,0.072,0,0.097,0,0.09,0.391
"P32","Si",0.431,0.364,0.374,0.379,0.519,0.137,0.117,0.305
"P32","No",0.569,0.636,0.626,0.621,0.481,0.863,0.883,0.695
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria",0.941,0.073,0.036,0.377,0.247,0.018,0.097,0.301
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.027,0.835,0.079,0.022,0.008,0,0,0.1
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.022,0.076,0.885,0.038,0.036,0,0.034,0.118
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.003,0,0,0.079,0.677,0,0.101,0.048
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0.109,0.032,0.982,0.02,0
"PRESIDENTE","En blanco",0.003,0,0,0.245,0,0,0.607,0
"PRESIDENTE","No sabe",0.004,0.016,0,0.13,0,0,0.141,0.433
"CORTA_PRESIDENTE","Si",0.08,0.182,0.157,0.972,0.346,0.017,0.394,0.583
"CORTA_PRESIDENTE","No",0.92,0.818,0.843,0.028,0.654,0.983,0.606,0.417
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria",0.91,0.031,0.048,0.52,0.126,0.267,0.037,0.219
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.033,0.818,0.13,0.016,0.164,0.035,0.017,0.05
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.036,0.138,0.787,0.02,0,0,0,0.166
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.004,0,0.013,0.129,0.528,0,0.023,0.079
"GOBERNADOR","En blanco",0,0.006,0.001,0.31,0.149,0.636,0.657,0
"GOBERNADOR","No sabe",0.017,0.007,0.021,0.005,0.033,0.062,0.266,0.486
"CORTA_GOBERNADOR","Si",0.112,0.201,0.253,0.972,0.509,0.761,0.405,0.592
"CORTA_GOBERNADOR","No",0.888,0.799,0.747,0.028,0.491,0.239,0.595,0.408
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria",0.823,0.06,0.073,0.128,0.102,0.268,0.086,0.098
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.045,0.853,0.111,0.023,0,0.092,0,0.099
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.016,0.043,0.71,0.029,0.066,0,0,0.119
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.05,0.028,0.046,0.775,0.186,0.043,0.021,0.076
"INTENDENTE","El candidato a intendente de la Izquierda",0.028,0.004,0.005,0.002,0.502,0,0,0.064
"INTENDENTE","En blanco",0.022,0.003,0,0,0.008,0.241,0.543,0.036
"INTENDENTE","No sabe",0.016,0.009,0.055,0.043,0.136,0.356,0.35,0.508
"CORTA_INTENDENTE","Si",0.199,0.188,0.333,0.296,0.532,0.761,0.586,0.575
"CORTA_INTENDENTE","No",0.801,0.812,0.667,0.704,0.468,0.239,0.414,0.425
