"var","categoria","No, ninguna dificultad","Alguna dificultad ocasional","Sí, dificultades frecuentes"
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.362,0.198,0.204
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.135,0.11,0.208
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.134,0.414,0.228
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.005,0,0.014
"P23","En blanco",0.075,0.076,0.13
"P23","No sabe",0.11,0.102,0.186
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.764,0.482,0.377
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.184,0.251,0.274
"P27","En blanco",0.042,0.14,0.273
"P27","No sabe",0.01,0.127,0.076
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.328,0.215,0.184
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.185,0.37,0.447
"P28","En blanco",0.327,0.257,0.182
"P28","No sabe",0.16,0.158,0.187
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.728,0.501,0.295
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.214,0.398,0.572
"P29","En blanco",0.046,0.062,0.076
"P29","No sabe",0.012,0.039,0.057
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.278,0.398,0.368
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.154,0.129,0.118
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.479,0.277,0.282
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.048,0.106,0.153
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.017,0.014,0.068
"P30","No sabe",0.024,0.076,0.011
"P31","No estaba enterado del tema",0.155,0.176,0.026
"P31","Un tema de la vida privada de él",0.158,0.126,0.125
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.465,0.312,0.18
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.105,0.121,0.177
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.078,0.24,0.487
"P31","No sabe",0.039,0.025,0.005
"P32","Si",0.848,0.823,0.661
"P32","No",0.152,0.177,0.339
"P33","Sergio Massa",0.705,0.439,0.296
"P33","Patria Bullrich",0.069,0.116,0.141
"P33","Javier Milei",0.112,0.31,0.477
"P33","Myriam Bregman",0.065,0.096,0.056
"P33","Juan Schiaretti",0.049,0.039,0.03
"P34","Ha aumentado significativamente",0.322,0.04,0.022
"P34","Ha aumentado ligeramente",0.263,0.218,0.101
"P34","Se mantiene igual",0.252,0.387,0.292
"P34","Ha disminuido ligeramente",0.125,0.186,0.209
"P34","Ha disminuido significativamente",0.038,0.169,0.376
"P36","Sí, absolutamente",0.626,0.545,0.459
"P36","Sí, en cierta medida",0.284,0.303,0.309
"P36","No, en absoluto",0.09,0.152,0.232
"P37","Reducir la inflación",0.5,0.259,0.398
"P37","Implementar reformas fiscales",0.111,0.074,0.115
"P37","Establecer políticas de control de precios",0.189,0.318,0.089
"P37","Reducir el gasto público",0.097,0.316,0.331
"P37","Estimular la inversión extranjera",0.066,0.028,0.063
"P37","Aumentar los subsidios a los servicios públicos",0.037,0.005,0.004
"P38","Muy positiva",0.309,0.21,0.162
"P38","Positiva",0.324,0.207,0.132
"P38","Neutral",0.209,0.34,0.286
"P38","Algo negativa",0.019,0.032,0.063
"P38","Negativa",0.033,0.022,0.09
"P38","No sabe",0.106,0.189,0.267
"P39","Muy positiva",0.615,0.278,0.273
"P39","Positiva",0.198,0.308,0.117
"P39","Neutral",0.09,0.177,0.315
"P39","Algo negativa",0.031,0.052,0.134
"P39","Negativa",0.038,0.144,0.114
"P39","No sabe",0.028,0.041,0.047
"P40","Muy positiva",0.452,0.22,0.151
"P40","Positiva",0.263,0.197,0.17
"P40","Neutral",0.128,0.211,0.172
"P40","Algo negativa",0.061,0.138,0.093
"P40","Negativa",0.069,0.189,0.161
"P40","No sabe",0.027,0.045,0.253
"P41","Muy positiva",0.668,0.468,0.253
"P41","Positiva",0.187,0.263,0.221
"P41","Neutral",0.068,0.113,0.219
"P41","Algo negativa",0.034,0.053,0.102
"P41","Negativa",0.032,0.089,0.108
"P41","No sabe",0.011,0.014,0.097
"P42","Muy positiva",0.647,0.367,0.263
"P42","Positiva",0.19,0.242,0.219
"P42","Neutral",0.067,0.233,0.267
"P42","Algo negativa",0.009,0.064,0.077
"P42","Negativa",0.042,0.069,0.103
"P42","No sabe",0.045,0.025,0.071
"P43","Lo votaría",0.673,0.482,0.307
"P43","Puede que lo vote",0.141,0.021,0.027
"P43","Nunca lo votaría",0.147,0.448,0.605
"P43","No sabe",0.039,0.049,0.061
"P44","Lo votaría",0.089,0.157,0.108
"P44","Puede que lo vote",0.121,0.139,0.161
"P44","Nunca lo votaría",0.724,0.64,0.58
"P44","No sabe",0.066,0.064,0.151
"P45","Lo votaría",0.083,0.077,0.048
"P45","Puede que lo vote",0.23,0.132,0.119
"P45","Nunca lo votaría",0.535,0.568,0.649
"P45","No sabe",0.152,0.223,0.184
"P46","Lo votaría",0.087,0.37,0.501
"P46","Puede que lo vote",0.155,0.068,0.02
"P46","Nunca lo votaría",0.711,0.512,0.414
"P46","No sabe",0.047,0.05,0.065
"P47","Lo votaría",0.028,0.105,0.049
"P47","Puede que lo vote",0.217,0.149,0.081
"P47","Nunca lo votaría",0.558,0.559,0.708
"P47","No sabe",0.197,0.187,0.162
"P48","Si",0.337,0.484,0.449
"P48","No",0.663,0.516,0.551
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.754,0.447,0.291
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.066,0.131,0.158
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.166,0.347,0.503
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.004,0.009,0.003
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.005,0.001,0.037
"PRESIDENTE","En blanco",0.004,0.012,0.002
"PRESIDENTE","No sabe",0.001,0.053,0.006
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.665,0.456,0.195
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.132,0.103,0.172
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.082,0.085,0.171
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.056,0.231,0.19
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.003,0.009,0.011
"DIPUTADOS","En blanco",0.027,0.058,0.113
"DIPUTADOS","No sabe",0.035,0.058,0.148
"P14_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.702,0.442,0.286
"P14_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.063,0.149,0.15
"P14_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.06,0.053,0.029
"P14_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.166,0.345,0.509
"P14_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0.009,0.003
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.005,0.001,0.021
"P14_imputada","En blanco",0,0.001,0.002
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.754,0.469,0.291
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.068,0.162,0.158
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.166,0.347,0.509
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.004,0.009,0.003
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.005,0.001,0.037
"PRESIDENTE_imputada","En blanco",0.003,0.012,0.002
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.666,0.469,0.237
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.142,0.123,0.173
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.086,0.085,0.213
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.076,0.255,0.253
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.003,0.009,0.011
"DIPUTADOS_imputada","En blanco",0.027,0.059,0.113
