"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P60","Ha disminuido significativamente",0.079,0.291,0.258,0.171,0.139,0.173,0.297
"P61","Muy baja",0.047,0.026,0.072,0.044,0.065,0.074,0.01
"P61","Baja",0.075,0.033,0.087,0,0.086,0.11,0.097
"P61","Moderada",0.136,0.056,0.041,0.134,0.126,0.119,0.017
"P61","Alta",0.379,0.15,0.148,0.5,0.25,0.253,0.181
"P61","Muy alta",0.363,0.735,0.652,0.322,0.473,0.444,0.695
"P62","Muy bajas",0.044,0.07,0.105,0.126,0,0.025,0
"P62","Bajas",0.123,0.206,0.164,0,0.155,0.054,0.16
"P62","Adecuadas",0.431,0.228,0.201,0.241,0.226,0.153,0.397
"P62","Altas",0.263,0.268,0.211,0.314,0.407,0.474,0.303
"P62","Muy altas",0.139,0.228,0.319,0.319,0.212,0.294,0.14
"P63","No, ninguna dificultad",0.551,0.375,0.369,0.329,0.276,0.233,0.216
"P63","Alguna dificultad ocasional",0.256,0.339,0.35,0.405,0.483,0.383,0.599
"P63","Sí, dificultades frecuentes",0.193,0.286,0.281,0.266,0.241,0.384,0.185
"P64","Sí, absolutamente",0.671,0.229,0.328,0.36,0.606,0.296,0.31
"P64","Sí, en cierta medida",0.271,0.417,0.315,0.506,0.265,0.532,0.529
"P64","No, en absoluto",0.058,0.354,0.357,0.134,0.129,0.172,0.161
"P65","Reducir la inflación",0.511,0.332,0.333,0.556,0.415,0.659,0.437
"P65","Implementar reformas fiscales",0.161,0.124,0.175,0,0.177,0,0.174
"P65","Establecer políticas de control de precios",0.257,0.087,0.062,0.164,0.296,0.209,0
"P65","Reducir el gasto público",0.032,0.412,0.372,0.243,0.022,0.113,0.297
"P65","Estimular la inversión extranjera",0.025,0.041,0.035,0.016,0.027,0.019,0.092
"P65","Aumentar los subsidios a los servicios públicos",0.014,0.004,0.023,0.021,0.063,0,0
"P66","Fomentar la competencia entre proveedores",0.228,0.415,0.527,0.452,0.32,0.464,0.412
"P66","Incrementar la inversión en infraestructura",0.306,0.295,0.168,0.098,0.196,0.14,0.397
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.172,0.083,0.077,0.042,0.235,0.333,0
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.294,0.207,0.228,0.408,0.249,0.063,0.191
"P67","Muy positiva",0.362,0.083,0.225,0.033,0.261,0.107,0.21
"P67","Positiva",0.364,0.126,0.144,0.307,0.407,0.363,0.149
"P67","Neutral",0.161,0.303,0.282,0.249,0.237,0.122,0.145
"P67","Algo negativa",0.067,0.206,0.166,0.238,0.049,0.203,0.178
"P67","Negativa",0.02,0.205,0.148,0.043,0.029,0.029,0.072
"P67","No sabe",0.026,0.077,0.035,0.13,0.017,0.176,0.246
"P68","Muy positivo",0.318,0.052,0.157,0.049,0.143,0.106,0.038
"P68","Positivo",0.378,0.077,0.158,0.224,0.412,0.364,0.119
"P68","Neutral",0.214,0.347,0.284,0.387,0.273,0.225,0.302
"P68","Algo negativo",0.03,0.195,0.157,0.135,0.054,0,0.129
"P68","Negativo",0.021,0.25,0.173,0.089,0.051,0.046,0.02
"P68","No sabe",0.039,0.079,0.071,0.116,0.067,0.259,0.392
"P69","Muy positivo",0.198,0.033,0.061,0.039,0.175,0,0
"P69","Positivo",0.299,0.054,0.151,0.265,0.232,0.247,0.048
"P69","Neutral",0.413,0.534,0.47,0.472,0.447,0.43,0.499
"P69","Algo negativo",0.027,0.13,0.096,0.026,0.08,0,0
"P69","Negativo",0.02,0.15,0.155,0.079,0.024,0.046,0
"P69","No sabe",0.043,0.099,0.067,0.119,0.042,0.277,0.453
"P70","Muy positiva",0.638,0.111,0.176,0.24,0.415,0.249,0.182
"P70","Positiva",0.193,0.173,0.163,0.066,0.186,0.161,0.114
"P70","Neutral",0.126,0.306,0.328,0.295,0.373,0.186,0.228
"P70","Algo negativa",0.022,0.153,0.124,0.178,0,0.183,0
"P70","Negativa",0.016,0.228,0.161,0.09,0.026,0.016,0.258
"P70","No sabe",0.005,0.029,0.048,0.131,0,0.205,0.218
"P71","Muy positivo",0.602,0.114,0.173,0.416,0.446,0.37,0.156
"P71","Positivo",0.225,0.157,0.227,0.357,0.181,0.071,0.15
"P71","Neutral",0.107,0.299,0.248,0.112,0.347,0.181,0.27
"P71","Algo negativo",0.028,0.169,0.139,0.016,0,0.177,0.061
"P71","Negativo",0.029,0.236,0.189,0.085,0.026,0.016,0.156
"P71","No sabe",0.009,0.025,0.024,0.014,0,0.185,0.207
"P72","Muy positivo",0.501,0.106,0.188,0.228,0.236,0.314,0.092
"P72","Positivo",0.282,0.167,0.226,0.341,0.255,0.178,0.213
"P72","Neutral",0.18,0.4,0.299,0.127,0.509,0.337,0.312
"P72","Algo negativo",0.018,0.095,0.085,0.191,0,0,0.06
"P72","Negativo",0.015,0.199,0.187,0.068,0,0.016,0.024
"P72","No sabe",0.004,0.033,0.015,0.045,0,0.155,0.299
"P73","Muy positiva",0.45,0.061,0.156,0.234,0.24,0.192,0.11
"P73","Positiva",0.343,0.062,0.161,0.447,0.288,0.202,0.319
"P73","Neutral",0.138,0.305,0.241,0.15,0.413,0.039,0.118
"P73","Algo negativa",0.016,0.219,0.099,0.052,0.059,0.064,0.124
"P73","Negativa",0.026,0.273,0.248,0.086,0,0.046,0.124
"P73","No sabe",0.027,0.08,0.095,0.031,0,0.457,0.205
"P74","Muy positivo",0.425,0.038,0.129,0.245,0.155,0.067,0.044
"P74","Positivo",0.345,0.06,0.133,0.272,0.389,0.202,0.277
"P74","Neutral",0.143,0.305,0.259,0.159,0.379,0.175,0.119
"P74","Algo negativo",0.035,0.197,0.138,0.227,0.061,0.037,0.168
"P74","Negativo",0.023,0.323,0.253,0.083,0.016,0.045,0.196
"P74","No sabe",0.029,0.077,0.088,0.014,0,0.474,0.196
"P75","Muy positivo",0.289,0.039,0.114,0.227,0.046,0.063,0.049
"P75","Positivo",0.326,0.066,0.112,0.342,0.287,0.165,0
"P75","Neutral",0.289,0.381,0.32,0.284,0.608,0.189,0.31
"P75","Algo negativo",0.036,0.174,0.147,0.019,0.059,0.054,0.054
"P75","Negativo",0.029,0.265,0.218,0.097,0,0.032,0.259
"P75","No sabe",0.031,0.075,0.089,0.031,0,0.497,0.328
"P76","Muy positiva",0.578,0.14,0.316,0.267,0.515,0.271,0.415
"P76","Positiva",0.203,0.163,0.217,0.343,0.232,0.407,0.197
"P76","Neutral",0.159,0.227,0.192,0.274,0.136,0.091,0.169
"P76","Algo negativa",0.033,0.164,0.141,0,0.086,0,0
"P76","Negativa",0.02,0.253,0.095,0.1,0.031,0,0
"P76","No sabe",0.007,0.053,0.039,0.016,0,0.231,0.219
"P77","Muy positivo",0.516,0.123,0.304,0.46,0.424,0.287,0.42
"P77","Positivo",0.265,0.152,0.23,0.136,0.397,0.285,0.152
"P77","Neutral",0.154,0.227,0.17,0.169,0.056,0.087,0.122
"P77","Algo negativo",0.03,0.161,0.097,0.134,0.067,0.026,0.033
"P77","Negativo",0.026,0.286,0.163,0.085,0.032,0,0.039
"P77","No sabe",0.009,0.051,0.036,0.016,0.024,0.315,0.234
"P78","Muy positivo",0.489,0.117,0.268,0.165,0.351,0.283,0.207
"P78","Positivo",0.169,0.145,0.281,0.047,0.345,0.291,0.351
"P78","Neutral",0.286,0.361,0.272,0.543,0.229,0.083,0.268
"P78","Algo negativo",0.028,0.128,0.064,0.132,0.075,0.025,0
"P78","Negativo",0.019,0.193,0.096,0.099,0,0,0
"P78","No sabe",0.009,0.056,0.019,0.014,0,0.318,0.174
"P79","Si",0.548,0.44,0.564,0.442,0.402,0.607,0.303
"P79","No",0.452,0.56,0.436,0.558,0.598,0.393,0.697
