"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.284,0.289,0.241
"P10_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.189,0.167,0.304
"P10_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.432,0.357,0.346
"P10_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.019,0.079,0
"P10_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.042,0.011,0.05
"P10_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.008,0.007,0.059
"P10_imputada","En blanco",0.026,0.09,0
"P18_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.174,0.106,0.084
"P18_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.203,0.251,0.069
"P18_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.222,0.268,0.163
"P18_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.17,0.297,0.284
"P18_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.055,0,0.284
"P18_imputada","En blanco",0.176,0.078,0.116
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.286,0.289,0.241
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.193,0.209,0.304
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.435,0.376,0.346
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.049,0.011,0.05
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.011,0.025,0.059
"PRESIDENTE_imputada","En blanco",0.026,0.09,0
"DIPUTADOS_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.235,0.284,0.207
"DIPUTADOS_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.182,0.141,0.122
"DIPUTADOS_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.317,0.318,0.183
"DIPUTADOS_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.104,0.201,0.197
"DIPUTADOS_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.049,0,0.23
"DIPUTADOS_imputada","En blanco",0.113,0.056,0.061
