"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco","No sabe"
"P23","Muy buena",0.156,0.085,0.134,0.105,0.105,0.059,0.133
"P23","Buena",0.198,0.191,0.094,0.115,0.161,0.201,0.012
"P23","Ni buena ni mala",0.305,0.221,0.29,0.058,0.678,0.452,0.333
"P23","Mala",0.218,0.348,0.31,0.451,0.056,0.145,0.274
"P23","Muy mala",0.12,0.149,0.154,0.271,0,0.143,0.124
"P23","No sabe",0.003,0.006,0.018,0,0,0,0.124
"P24","Muy buena",0.209,0.187,0.149,0.059,0.181,0.115,0.133
"P24","Buena",0.277,0.199,0.206,0.117,0.194,0.124,0.117
"P24","Ni buena ni mala",0.302,0.26,0.251,0.193,0.604,0.451,0.264
"P24","Mala",0.125,0.256,0.24,0.419,0.021,0.148,0.086
"P24","Muy mala",0.075,0.055,0.115,0.173,0,0.056,0.279
"P24","No sabe",0.012,0.043,0.039,0.039,0,0.106,0.121
"P25","Muy buena",0.115,0.086,0.066,0.028,0,0,0.052
"P25","Buena",0.113,0.031,0.04,0.022,0.177,0.034,0.067
"P25","Ni buena ni mala",0.393,0.292,0.348,0.123,0.251,0.554,0.261
"P25","Mala",0.225,0.358,0.296,0.525,0.323,0.152,0.21
"P25","Muy mala",0.118,0.199,0.206,0.281,0.188,0.155,0.267
"P25","No sabe",0.036,0.034,0.044,0.021,0.061,0.105,0.143
"P26","Muy buena",0.116,0.087,0.039,0.063,0,0,0.02
"P26","Buena",0.175,0.042,0.078,0.072,0,0,0.007
"P26","Ni buena ni mala",0.41,0.296,0.34,0.18,0.572,0.453,0.24
"P26","Mala",0.179,0.297,0.233,0.435,0.179,0.198,0.161
"P26","Muy mala",0.08,0.232,0.233,0.25,0.188,0.21,0.346
"P26","No sabe",0.04,0.046,0.077,0,0.061,0.139,0.226
"P27","Si",0.505,0.403,0.361,0.517,0.466,0.252,0.163
"P27","No",0.495,0.597,0.639,0.483,0.534,0.748,0.837
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",0.679,0.073,0.031,0.043,0.033,0,0.007
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.029,0.571,0.08,0.034,0.032,0.095,0.011
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.09,0.031,0.628,0.058,0.119,0.052,0.068
"DIPUTADOS","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.084,0.14,0.063,0.072,0.385,0.348,0.099
"DIPUTADOS","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.037,0.037,0.008,0.75,0,0,0.013
"DIPUTADOS","En blanco",0.049,0.059,0.082,0.007,0.274,0.505,0.027
"DIPUTADOS","No sabe",0.032,0.089,0.108,0.036,0.157,0,0.775
"CORTA_DIPUTADOS","Si",0.341,0.408,0.414,0.324,0.52,0.298,0.245
"CORTA_DIPUTADOS","No",0.659,0.592,0.586,0.676,0.48,0.702,0.755
