"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.641,0.709,0.564,0.316,0.04,0.212
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.069,0.061,0.074,0.164,0.372,0.112
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.051,0.077,0.061,0.105,0.108,0.19
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.043,0.027,0.026,0.084,0.076,0.091
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.004,0.005,0.03,0.042,0.036,0
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.008,0,0.004,0.02,0.022,0
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.036,0.015,0.035,0.064,0.213,0.172
"P26","A los candidatos del Frente de Izquierda",0.063,0.01,0.061,0.074,0.096,0.093
"P26","No sabe",0.085,0.096,0.145,0.131,0.037,0.13
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.668,0.775,0.607,0.367,0.046,0.227
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.074,0.031,0.079,0.142,0.408,0.108
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.023,0.073,0.041,0.123,0.125,0.078
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.039,0.02,0.053,0.079,0.038,0.034
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.002,0,0,0.016,0.034,0
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.043,0.006,0.026,0.106,0.23,0.187
"P27","A los candidatos del Frente de Izquierda",0.033,0.024,0.045,0.064,0.043,0.12
"P27","No sabe",0.118,0.071,0.149,0.103,0.076,0.246
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.763,0.808,0.569,0.265,0.015,0.086
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.077,0.025,0.056,0.156,0.411,0.182
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.014,0.028,0.053,0.123,0.122,0.046
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.022,0.024,0.025,0.068,0.058,0.062
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.008,0.02,0.009,0.018,0.029,0.034
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.045,0.004,0.026,0.091,0.264,0.308
"P28","A los candidatos del Frente de Izquierda",0.031,0.019,0.06,0.098,0.031,0
"P28","No sabe",0.04,0.072,0.202,0.181,0.07,0.282
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.718,0.767,0.594,0.339,0.047,0.134
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.074,0.019,0.053,0.146,0.415,0.145
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.03,0.046,0.057,0.108,0.112,0.033
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.004,0.009,0.035,0.045,0.047,0.011
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.008,0.002,0.003,0.013,0.028,0.034
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.052,0.041,0.04,0.099,0.27,0.308
"P29","A los candidatos del Frente de Izquierda",0.042,0.028,0.054,0.092,0.028,0.064
"P29","No sabe",0.072,0.088,0.164,0.158,0.053,0.271
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.521,0.6,0.499,0.324,0.159,0.23
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.272,0.246,0.234,0.266,0.266,0.089
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.054,0.023,0.049,0.157,0.407,0.325
"P30","A los candidatos del Frente de Izquierda",0.04,0.048,0.052,0.08,0.021,0
"P30","No sabe",0.113,0.083,0.166,0.173,0.147,0.356
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.53,0.602,0.517,0.36,0.215,0.243
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.263,0.259,0.219,0.265,0.328,0.099
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.054,0.02,0.056,0.145,0.345,0.311
"P31","A los candidatos del Frente de Izquierda",0.046,0.052,0.049,0.08,0.022,0
"P31","No sabe",0.107,0.067,0.159,0.15,0.09,0.347
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.581,0.605,0.428,0.254,0.154,0.181
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.291,0.271,0.206,0.235,0.264,0.144
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.057,0.009,0.05,0.15,0.422,0.325
"P32","A los candidatos del Frente de Izquierda",0.035,0.035,0.084,0.112,0.026,0
"P32","No sabe",0.036,0.08,0.232,0.249,0.134,0.35
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.563,0.622,0.448,0.264,0.197,0.146
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.326,0.286,0.188,0.203,0.325,0.134
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.046,0.011,0.051,0.163,0.358,0.374
"P33","A los candidatos del Frente de Izquierda",0.026,0.024,0.094,0.118,0.021,0
"P33","No sabe",0.039,0.057,0.219,0.252,0.099,0.346
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.581,0.634,0.441,0.319,0.18,0.253
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.243,0.274,0.218,0.251,0.27,0.101
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.033,0.009,0.054,0.164,0.408,0.308
"P34","A los candidatos del Frente de Izquierda",0.038,0.021,0.08,0.115,0.022,0
"P34","No sabe",0.105,0.062,0.207,0.151,0.12,0.338
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.711,0.799,0.622,0.384,0.053,0.198
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.121,0.071,0.084,0.206,0.493,0.147
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.033,0.009,0.04,0.138,0.358,0.322
"P35","A los candidatos del Frente de Izquierda",0.043,0.021,0.068,0.107,0.019,0
"P35","No sabe",0.092,0.1,0.186,0.165,0.077,0.333
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.689,0.868,0.653,0.413,0.042,0.137
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.095,0.031,0.081,0.221,0.411,0.223
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.045,0.013,0.046,0.159,0.428,0.308
"P36","A los candidatos del Frente de Izquierda",0.047,0.017,0.042,0.073,0.009,0
"P36","No sabe",0.124,0.071,0.178,0.134,0.11,0.332
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.7,0.849,0.683,0.417,0.039,0.086
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.061,0.034,0.078,0.222,0.506,0.179
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.053,0.013,0.048,0.154,0.364,0.373
"P37","A los candidatos del Frente de Izquierda",0.048,0.015,0.039,0.072,0.01,0
