"var","categoria","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.47,0.05,0.085,0.108,0.064,0.028,0.186,0.176
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.088,0.76,0.184,0.139,0.128,0.114,0.064,0.048
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.059,0.056,0.571,0.169,0.105,0.055,0.048,0.063
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.008,0.045,0.059,0.071,0.114,0.016,0.021,0.064
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.021,0.02,0.031,0.381,0.077,0.03,0.024,0.014
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0,0.009,0.005,0.01,0.27,0.023,0.058,0.009
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.009,0.016,0.015,0.02,0.112,0.702,0.251,0.201
"P24","A los candidatos del Frente de Izquierda",0.006,0.001,0.002,0.003,0.003,0.001,0.28,0.017
"P24","No sabe",0.02,0.03,0.027,0.057,0.036,0.013,0.054,0.378
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.232,0.017,0.034,0.035,0.145,0.013,0.039,0.085
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.612,0.019,0.051,0.189,0.021,0.001,0.164,0.166
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.03,0.803,0.13,0.091,0.081,0.047,0.06,0.034
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.021,0.045,0.619,0.169,0.066,0.023,0.001,0.017
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.011,0.028,0.035,0.065,0.134,0.032,0.019,0.06
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.025,0.021,0.066,0.358,0.091,0.027,0.046,0.013
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.016,0.004,0.003,0.388,0.021,0.045,0.01
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.019,0.025,0.029,0.031,0.042,0.814,0.262,0.228
"P25","A los candidatos del Frente de Izquierda",0.01,0,0.001,0.009,0,0.006,0.332,0.035
"P25","No sabe",0.039,0.026,0.031,0.05,0.032,0.016,0.032,0.352
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.702,0.045,0.117,0.286,0.056,0.021,0.048,0.137
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.076,0.768,0.101,0.021,0.075,0.048,0.023,0.029
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.071,0.069,0.498,0.051,0.054,0.012,0.018,0.028
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.01,0.059,0.202,0.083,0.176,0.019,0,0.063
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.008,0.006,0.045,0.463,0.192,0.005,0.016,0.032
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.006,0.011,0.045,0.368,0.022,0.04,0.004
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.014,0.019,0.011,0.009,0.061,0.707,0.31,0.023
"P26","A los candidatos del Frente de Izquierda",0.023,0.01,0.005,0.019,0.005,0.146,0.367,0.233
"P26","No sabe",0.095,0.018,0.01,0.023,0.013,0.02,0.178,0.451
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.781,0.019,0.057,0.16,0.104,0.012,0.043,0.14
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.036,0.879,0.076,0.071,0.053,0.023,0.031,0.029
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.019,0.036,0.706,0.161,0.019,0.008,0.008,0.012
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.013,0.012,0.098,0.44,0.181,0.069,0.005,0.006
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.006,0.016,0.033,0.535,0.041,0.042,0.004
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.011,0.019,0.02,0.058,0.073,0.817,0.287,0.06
"P28","A los candidatos del Frente de Izquierda",0.027,0.007,0.004,0.008,0.011,0.013,0.528,0.026
"P28","No sabe",0.108,0.022,0.023,0.069,0.024,0.017,0.056,0.723
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.784,0.054,0.089,0.235,0.114,0.032,0.062,0.153
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.017,0.841,0.114,0.114,0.119,0.068,0.031,0.049
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.037,0.039,0.68,0.079,0.019,0.003,0.005,0.022
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.008,0.009,0.071,0.457,0.142,0.048,0.001,0.013
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.003,0.005,0.01,0.031,0.444,0.026,0.011,0.01
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.031,0.028,0.02,0.027,0.124,0.809,0.3,0.084
"P29","A los candidatos del Frente de Izquierda",0.031,0.005,0.003,0.024,0.008,0.004,0.55,0.036
"P29","No sabe",0.089,0.019,0.013,0.033,0.03,0.01,0.04,0.633
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.643,0.185,0.347,0.145,0.13,0.018,0.041,0.141
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.259,0.381,0.518,0.392,0.224,0.012,0.101,0.091
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.022,0.208,0.049,0.131,0.281,0.925,0.318,0.215
"P30","A los candidatos del Frente de Izquierda",0.027,0.01,0.017,0.028,0,0.001,0.507,0.027
"P30","No sabe",0.049,0.216,0.069,0.304,0.365,0.044,0.033,0.526
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.66,0.308,0.268,0.22,0.224,0.022,0.034,0.169
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.264,0.552,0.386,0.378,0.283,0.034,0.075,0.085
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.018,0.081,0.089,0.123,0.243,0.916,0.358,0.22
"P31","A los candidatos del Frente de Izquierda",0.02,0.004,0.038,0.042,0,0.001,0.459,0.045
"P31","No sabe",0.038,0.055,0.219,0.237,0.25,0.027,0.074,0.481
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.564,0.201,0.375,0.144,0.135,0.007,0.041,0.149
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.245,0.378,0.497,0.434,0.208,0.024,0.056,0.101
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.026,0.223,0.068,0.124,0.393,0.942,0.355,0.209
"P32","A los candidatos del Frente de Izquierda",0.043,0.006,0.001,0.041,0.05,0.002,0.507,0.048
"P32","No sabe",0.122,0.192,0.059,0.257,0.214,0.025,0.041,0.493
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.58,0.311,0.288,0.251,0.21,0.009,0.067,0.144
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.241,0.549,0.346,0.366,0.243,0.04,0.093,0.099
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.023,0.092,0.142,0.089,0.301,0.917,0.367,0.208
"P33","A los candidatos del Frente de Izquierda",0.045,0.003,0.021,0.041,0,0.004,0.454,0.047
"P33","No sabe",0.111,0.045,0.203,0.253,0.246,0.03,0.019,0.502
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.609,0.225,0.351,0.259,0.17,0.025,0.065,0.172
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.258,0.394,0.506,0.437,0.218,0.029,0.04,0.079
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.021,0.216,0.077,0.081,0.332,0.9,0.362,0.211
"P34","A los candidatos del Frente de Izquierda",0.035,0.005,0,0.037,0.003,0.011,0.503,0.061
"P34","No sabe",0.077,0.16,0.066,0.186,0.277,0.035,0.03,0.477
