"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P13","A Gerardo Morales",0.089,0.047,0.049,0.065
"P14","Lo votaría",0.127,0.144,0.31,0.236
"P14","Puede que lo vote",0.06,0.11,0.07,0.092
"P14","Nunca lo votaría",0.778,0.705,0.572,0.532
"P14","No sabe",0.035,0.041,0.048,0.14
"P15","Lo votaría",0.131,0.073,0.097,0.072
"P15","Puede que lo vote",0.086,0.164,0.198,0.195
"P15","Nunca lo votaría",0.72,0.709,0.641,0.487
"P15","No sabe",0.063,0.054,0.064,0.246
"P16","Lo votaría",0.36,0.212,0.139,0.143
"P16","Puede que lo vote",0.262,0.412,0.195,0.227
"P16","Nunca lo votaría",0.326,0.346,0.614,0.379
"P16","No sabe",0.052,0.03,0.052,0.251
"P17","Lo votaría",0.401,0.2,0.112,0.089
"P17","Puede que lo vote",0.284,0.434,0.174,0.202
"P17","Nunca lo votaría",0.257,0.319,0.654,0.37
"P17","No sabe",0.058,0.047,0.06,0.339
"P18","Lo votaría",0.175,0.098,0.11,0.105
"P18","Puede que lo vote",0.102,0.196,0.192,0.193
"P18","Nunca lo votaría",0.684,0.681,0.657,0.517
"P18","No sabe",0.039,0.025,0.041,0.185
"P19","Lo votaría",0.144,0.084,0.068,0.096
"P19","Puede que lo vote",0.167,0.197,0.136,0.161
"P19","Nunca lo votaría",0.662,0.685,0.765,0.532
"P19","No sabe",0.027,0.034,0.031,0.211
"P20","Lo votaría",0.325,0.214,0.164,0.134
"P20","Puede que lo vote",0.302,0.403,0.174,0.209
"P20","Nunca lo votaría",0.304,0.343,0.629,0.375
"P20","No sabe",0.069,0.04,0.033,0.282
"P21","Lo votaría",0.165,0.056,0.037,0.018
"P21","Puede que lo vote",0.158,0.288,0.082,0.052
"P21","Nunca lo votaría",0.454,0.494,0.782,0.226
"P21","No sabe",0.223,0.162,0.099,0.704
"P22","Lo votaría",0.201,0.048,0.069,0.065
"P22","Puede que lo vote",0.061,0.249,0.153,0.152
"P22","Nunca lo votaría",0.682,0.657,0.744,0.474
"P22","No sabe",0.056,0.046,0.034,0.309
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.106,0.08,0.106,0.088
