"var","categoria","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.014,0.881,0.101,0.08,0.162
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.016,0.036,0.803,0.013,0.021
"P33","A los candidatos del Frente de Izquierda",0.012,0.005,0.004,0.782,0.014
"P33","No sabe",0.046,0.053,0.019,0.067,0.639
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.911,0.03,0.04,0.143,0.179
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.014,0.89,0.027,0.089,0.119
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.012,0.025,0.897,0.004,0.027
"P34","A los candidatos del Frente de Izquierda",0.017,0.006,0.008,0.697,0.018
"P34","No sabe",0.046,0.049,0.028,0.067,0.657
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.678,0.246,0.022,0.259,0.205
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.231,0.632,0.188,0.083,0.295
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.011,0.036,0.77,0.005,0.025
"P35","A los candidatos del Frente de Izquierda",0.013,0.007,0.004,0.645,0.016
"P35","No sabe",0.067,0.079,0.016,0.008,0.459
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.631,0.272,0.009,0.427,0.254
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.295,0.621,0.046,0.057,0.116
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.008,0.035,0.93,0.036,0.055
"P36","A los candidatos del Frente de Izquierda",0.007,0.007,0.003,0.431,0.014
"P36","No sabe",0.059,0.065,0.012,0.049,0.561
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.624,0.273,0.009,0.481,0.249
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.278,0.589,0.176,0.017,0.315
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.022,0.043,0.805,0.034,0.033
"P37","A los candidatos del Frente de Izquierda",0.006,0.011,0.003,0.399,0.01
"P37","No sabe",0.07,0.084,0.007,0.069,0.393
"P38","Muy buena",0.421,0.247,0.014,0.2,0.223
"P38","Buena",0.192,0.123,0.022,0.229,0.132
"P38","Ni buena ni mala",0.07,0.047,0.148,0.167,0.097
"P38","Mala",0.051,0.126,0.086,0.264,0.1
"P38","Muy mala",0.254,0.453,0.722,0.138,0.431
"P38","No sabe",0.012,0.004,0.008,0.002,0.017
"P39","Muy buena",0.495,0.244,0.013,0.274,0.242
"P39","Buena",0.121,0.078,0.01,0.19,0.097
"P39","Ni buena ni mala",0.054,0.034,0.067,0.257,0.117
"P39","Mala",0.047,0.089,0.097,0.132,0.09
"P39","Muy mala",0.274,0.549,0.801,0.147,0.433
"P39","No sabe",0.009,0.006,0.012,0,0.021
"P40","Muy buena",0.23,0.103,0.008,0.136,0.079
"P40","Buena",0.203,0.114,0.012,0.107,0.109
"P40","Ni buena ni mala",0.222,0.177,0.138,0.388,0.22
"P40","Mala",0.073,0.116,0.13,0.135,0.149
"P40","Muy mala",0.125,0.33,0.515,0.086,0.261
"P40","No sabe",0.147,0.16,0.197,0.148,0.182
"P41","Muy buena",0.137,0.214,0.039,0.068,0.067
"P41","Buena",0.171,0.231,0.152,0.035,0.156
"P41","Ni buena ni mala",0.189,0.174,0.343,0.132,0.299
"P41","Mala",0.2,0.134,0.178,0.303,0.163
"P41","Muy mala",0.258,0.189,0.218,0.407,0.23
"P41","No sabe",0.045,0.058,0.07,0.055,0.085
"P42","Muy buena",0.115,0.235,0.066,0,0.087
"P42","Buena",0.136,0.232,0.197,0.027,0.169
"P42","Ni buena ni mala",0.17,0.184,0.329,0.093,0.234
"P42","Mala",0.182,0.093,0.146,0.273,0.129
"P42","Muy mala",0.349,0.198,0.184,0.555,0.282
"P42","No sabe",0.048,0.058,0.078,0.052,0.099
"P43","Muy buena",0.068,0.148,0.059,0.004,0.067
"P43","Buena",0.105,0.19,0.133,0.052,0.129
"P43","Ni buena ni mala",0.247,0.246,0.371,0.125,0.255
"P43","Mala",0.125,0.091,0.081,0.211,0.119
"P43","Muy mala",0.296,0.154,0.172,0.44,0.213
"P43","No sabe",0.159,0.171,0.184,0.168,0.217
"P44","Muy buena",0.021,0.071,0.091,0,0.033
"P44","Buena",0.073,0.145,0.17,0.023,0.07
"P44","Ni buena ni mala",0.23,0.321,0.385,0.149,0.259
"P44","Mala",0.177,0.131,0.085,0.201,0.129
"P44","Muy mala",0.4,0.233,0.158,0.574,0.343
"P44","No sabe",0.099,0.099,0.111,0.053,0.166
"P45","Muy buena",0.056,0.157,0.291,0.014,0.072
"P45","Buena",0.11,0.208,0.287,0.012,0.149
"P45","Ni buena ni mala",0.18,0.226,0.243,0.109,0.215
"P45","Mala",0.152,0.105,0.067,0.218,0.143
"P45","Muy mala",0.444,0.246,0.068,0.632,0.311
"P45","No sabe",0.058,0.058,0.044,0.015,0.11
"P46","Muy buena",0.054,0.071,0.084,0.026,0.04
"P46","Buena",0.098,0.117,0.199,0.059,0.099
"P46","Ni buena ni mala",0.267,0.313,0.313,0.164,0.291
"P46","Mala",0.209,0.2,0.171,0.166,0.153
"P46","Muy mala",0.331,0.245,0.182,0.579,0.359
"P46","No sabe",0.041,0.054,0.051,0.006,0.058
"P47","Muy buena",0.16,0.081,0.015,0.037,0.043
"P47","Buena",0.212,0.14,0.03,0.158,0.103
"P47","Ni buena ni mala",0.196,0.142,0.105,0.238,0.262
"P47","Mala",0.113,0.134,0.103,0.227,0.141
"P47","Muy mala",0.275,0.461,0.708,0.328,0.377
"P47","No sabe",0.044,0.042,0.039,0.012,0.074
"P48","Muy buena",0.086,0.067,0.005,0.002,0.02
"P48","Buena",0.301,0.137,0.008,0.143,0.063
"P48","Ni buena ni mala",0.218,0.096,0.03,0.321,0.252
"P48","Mala",0.096,0.116,0.085,0.319,0.165
"P48","Muy mala",0.288,0.572,0.857,0.215,0.474
"P48","No sabe",0.011,0.012,0.015,0,0.026
"P49","Muy buena",0.115,0.064,0.012,0.043,0.013
"P49","Buena",0.25,0.125,0.004,0.088,0.061
"P49","Ni buena ni mala",0.214,0.114,0.026,0.257,0.214
"P49","Mala",0.113,0.116,0.071,0.304,0.205
"P49","Muy mala",0.303,0.576,0.877,0.308,0.488
"P49","No sabe",0.005,0.005,0.01,0,0.019
"P50","Muy buena",0.508,0.237,0.012,0.331,0.305
"P50","Buena",0.086,0.047,0.011,0.094,0.057
"P50","Ni buena ni mala",0.056,0.037,0.037,0.163,0.075
"P50","Mala",0.042,0.048,0.042,0.147,0.073
"P50","Muy mala",0.307,0.623,0.891,0.234,0.463
"P50","No sabe",0.001,0.008,0.007,0.031,0.027
"P51","Muy buena",0.194,0.282,0.189,0.027,0.184
"P51","Buena",0.116,0.173,0.173,0.026,0.095
"P51","Ni buena ni mala",0.07,0.091,0.212,0.055,0.121
"P51","Mala",0.111,0.1,0.146,0.133,0.135
"P51","Muy mala",0.497,0.352,0.276,0.759,0.446
"P51","No sabe",0.012,0.002,0.004,0,0.019
"P52","Muy buena",0.117,0.227,0.052,0.003,0.041
"P52","Buena",0.166,0.293,0.166,0.026,0.134
"P52","Ni buena ni mala",0.1,0.182,0.256,0.107,0.278
"P52","Mala",0.16,0.081,0.181,0.273,0.15
"P52","Muy mala",0.45,0.208,0.334,0.591,0.379
"P52","No sabe",0.007,0.009,0.011,0,0.018
"P53","Muy buena",0.109,0.105,0.01,0.025,0.043
"P53","Buena",0.265,0.201,0.05,0.116,0.143
"P53","Ni buena ni mala",0.221,0.128,0.086,0.241,0.246
"P53","Mala",0.101,0.089,0.128,0.259,0.146
"P53","Muy mala",0.292,0.456,0.719,0.346,0.403
"P53","No sabe",0.012,0.021,0.007,0.013,0.019
"P54","Muy buena",0.186,0.373,0.323,0.036,0.207
"P54","Buena",0.119,0.176,0.217,0.047,0.152
"P54","Ni buena ni mala",0.08,0.076,0.153,0.107,0.102
"P54","Mala",0.073,0.077,0.089,0.101,0.136
"P54","Muy mala",0.521,0.291,0.213,0.709,0.383
"P54","No sabe",0.021,0.007,0.005,0,0.02
"P55","Muy buena",0.058,0.128,0.616,0.026,0.04
"P55","Buena",0.059,0.117,0.244,0.028,0.083
"P55","Ni buena ni mala",0.168,0.241,0.091,0.093,0.222
"P55","Mala",0.117,0.151,0.021,0.065,0.134
"P55","Muy mala",0.568,0.34,0.022,0.773,0.467
"P55","No sabe",0.03,0.023,0.006,0.015,0.054
"P56","Muy buena",0.126,0.224,0.15,0.012,0.098
"P56","Buena",0.13,0.26,0.228,0.049,0.19
"P56","Ni buena ni mala",0.081,0.138,0.236,0.054,0.169
"P56","Mala",0.108,0.099,0.165,0.115,0.145
"P56","Muy mala",0.545,0.267,0.211,0.767,0.38
"P56","No sabe",0.01,0.012,0.01,0.003,0.018
"P57","Muy buena",0.12,0.132,0.024,0.076,0.051
"P57","Buena",0.323,0.191,0.054,0.114,0.164
"P57","Ni buena ni mala",0.178,0.151,0.116,0.281,0.232
"P57","Mala",0.096,0.12,0.164,0.177,0.136
"P57","Muy mala",0.275,0.403,0.627,0.352,0.403
"P57","No sabe",0.008,0.003,0.015,0,0.014
"P58","Muy buena",0.074,0.076,0.067,0.08,0.07
"P58","Buena",0.176,0.183,0.12,0.108,0.138
"P58","Ni buena ni mala",0.378,0.393,0.259,0.337,0.333
"P58","Mala",0.175,0.153,0.163,0.172,0.18
"P58","Muy mala",0.156,0.157,0.322,0.255,0.2
"P58","No sabe",0.041,0.038,0.069,0.048,0.079
"P59","Siempre",0.311,0.354,0.265,0.328,0.252
"P59","Casi siempre",0.421,0.392,0.36,0.326,0.401
"P59","Casi nunca",0.196,0.195,0.262,0.258,0.213
"P59","Nunca, pero esta es una excepción",0.072,0.059,0.113,0.088,0.134
"P60","Si",0.602,0.616,0.572,0.623,0.499
"P60","No",0.398,0.384,0.428,0.377,0.501
