"var","categoria","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P07","8",0.032,0.062,0.072,0.048,0.055,0.1,0.028,0.047
"P07","9",0.088,0.307,0.222,0.189,0.276,0.375,0.13,0.166
"P08","1",0.633,0.194,0.353,0.288,0.244,0.208,0.619,0.413
"P08","2",0.034,0.037,0.059,0.016,0.028,0.028,0.06,0.027
"P08","3",0.029,0.029,0.019,0.032,0.018,0.021,0.02,0.037
"P08","4",0.013,0.03,0.033,0.026,0.004,0.035,0.044,0.038
"P08","5",0.071,0.138,0.112,0.156,0.195,0.157,0.105,0.14
"P08","6",0.005,0.027,0.022,0.061,0.015,0.02,0,0.035
"P08","7",0.017,0.061,0.046,0.045,0.056,0.034,0.014,0.023
"P08","8",0.019,0.053,0.034,0.058,0.013,0.073,0.015,0.028
"P08","9",0.179,0.431,0.322,0.318,0.427,0.424,0.123,0.259
"P10","Del Frente de Todos y el peronismo",0.829,0.049,0.123,0.068,0.096,0.047,0.253,0.394
"P10","De Cambiemos",0.082,0.754,0.704,0.453,0.302,0.06,0.07,0.08
"P10","De los Liberales libertarios",0.026,0.136,0.041,0.194,0.444,0.822,0.096,0.164
"P10","De la Izquierda",0.012,0.007,0.015,0.016,0.026,0.019,0.486,0.04
"P10","No sabe",0.051,0.054,0.117,0.269,0.132,0.052,0.095,0.322
"P11","A Alberto Fernández",0.149,0.299,0.26,0,0.286,0.208,0.124,0.087
"P11","A Sergio Massa",0.215,0.098,0.299,0.431,0,0.213,0.177,0.104
"P11","A algún candidato del peronismo",0.124,0.521,0.132,0.262,0.413,0.123,0.106,0.203
"P11","A algún candidato del kirchnerismo",0.512,0.082,0.309,0.307,0.301,0.456,0.593,0.606
"P12","A Alberto Fernández",0.066,0.205,0.094,0,0.201,0.04,0.052,0.065
"P12","A Sergio Massa",0.142,0.171,0.158,0.306,0.085,0.125,0.012,0.038
"P12","A algún candidato del peronismo",0.073,0.506,0.077,0.304,0.413,0.178,0.087,0.142
"P12","A Cristina Fernández de Kirchner",0.719,0.118,0.671,0.39,0.301,0.657,0.849,0.755
"P13","A Horacio Rodriguez Larreta",0.213,0.105,0.651,0.285,0.432,0.024,0,0.183
"P13","A Patricia Bullrich",0.424,0.864,0.276,0.169,0.48,0.716,0.759,0.473
"P13","A Facundo Manes",0.284,0.008,0.043,0.425,0.066,0.153,0.241,0.199
"P13","A Gerardo Morales",0.079,0.023,0.03,0.121,0.022,0.107,0,0.145
"P14","Lo votaría",0.749,0.026,0.086,0.067,0.131,0.037,0.294,0.317
"P14","Puede que lo vote",0.081,0.075,0.041,0.06,0.053,0.038,0.213,0.1
"P14","Nunca lo votaría",0.1,0.881,0.8,0.817,0.77,0.9,0.313,0.424
"P14","No sabe",0.07,0.018,0.073,0.056,0.046,0.025,0.18,0.159
"P15","Lo votaría",0.226,0.013,0.051,0.053,0.035,0.02,0.065,0.086
"P15","Puede que lo vote",0.446,0.035,0.146,0.088,0.072,0.071,0.228,0.221
"P15","Nunca lo votaría",0.217,0.906,0.713,0.786,0.854,0.83,0.56,0.494
"P15","No sabe",0.111,0.046,0.09,0.073,0.039,0.079,0.147,0.199
"P16","Lo votaría",0.053,0.302,0.504,0.16,0.136,0.08,0.027,0.024
"P16","Puede que lo vote",0.121,0.407,0.259,0.307,0.347,0.192,0.078,0.129
"P16","Nunca lo votaría",0.761,0.228,0.163,0.438,0.427,0.64,0.799,0.675
"P16","No sabe",0.065,0.063,0.074,0.095,0.09,0.088,0.096,0.172
"P17","Lo votaría",0.041,0.346,0.239,0.104,0.101,0.073,0.008,0.037
"P17","Puede que lo vote",0.071,0.399,0.361,0.278,0.36,0.216,0.028,0.087
"P17","Nunca lo votaría",0.815,0.165,0.268,0.498,0.44,0.59,0.838,0.673
"P17","No sabe",0.073,0.09,0.132,0.12,0.099,0.121,0.126,0.203
"P18","Lo votaría",0.283,0.052,0.071,0.064,0.04,0.028,0.063,0.068
"P18","Puede que lo vote",0.427,0.062,0.117,0.141,0.137,0.095,0.134,0.2
"P18","Nunca lo votaría",0.241,0.854,0.749,0.752,0.769,0.849,0.693,0.546
"P18","No sabe",0.049,0.032,0.063,0.043,0.054,0.028,0.11,0.186
"P19","Lo votaría",0.08,0.047,0.059,0.132,0.025,0.085,0.027,0.083
"P19","Puede que lo vote",0.106,0.146,0.205,0.131,0.241,0.24,0.078,0.12
"P19","Nunca lo votaría",0.768,0.759,0.636,0.691,0.692,0.601,0.796,0.642
"P19","No sabe",0.046,0.048,0.1,0.046,0.042,0.074,0.099,0.155
"P20","Lo votaría",0.03,0.252,0.12,0.156,0.561,0.394,0.117,0.103
"P20","Puede que lo vote",0.071,0.395,0.272,0.241,0.208,0.282,0.053,0.106
"P20","Nunca lo votaría",0.856,0.279,0.484,0.503,0.183,0.262,0.759,0.616
"P20","No sabe",0.043,0.074,0.124,0.1,0.048,0.062,0.071,0.175
"P21","Lo votaría",0.018,0.074,0.039,0.181,0.046,0.04,0.021,0.006
"P21","Puede que lo vote",0.05,0.184,0.14,0.136,0.144,0.128,0.022,0.031
"P21","Nunca lo votaría",0.751,0.481,0.549,0.476,0.574,0.528,0.629,0.664
"P21","No sabe",0.181,0.261,0.272,0.207,0.236,0.304,0.328,0.299
"P22","Lo votaría",0.201,0.015,0.043,0.034,0.046,0.016,0.046,0.039
"P22","Puede que lo vote",0.394,0.049,0.053,0.073,0.048,0.047,0.176,0.171
"P22","Nunca lo votaría",0.319,0.887,0.802,0.832,0.841,0.841,0.582,0.61
"P22","No sabe",0.086,0.049,0.102,0.061,0.065,0.096,0.196,0.18
"P23","Lo votaría",0.032,0.121,0.057,0.048,0.006,0.025,0.015,0.015
"P23","Puede que lo vote",0.084,0.227,0.116,0.161,0.22,0.094,0.09,0.067
"P23","Nunca lo votaría",0.666,0.475,0.589,0.59,0.558,0.637,0.606,0.592
"P23","No sabe",0.218,0.177,0.238,0.201,0.216,0.244,0.289,0.326
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.286,0.019,0.029,0.036,0.03,0.025,0.077,0.071
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.45,0.048,0.048,0.068,0.019,0.039,0.286,0.266
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.108,0.74,0.187,0.124,0.167,0.129,0.028,0.051
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.051,0.052,0.581,0.242,0.102,0.053,0.057,0.06
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.009,0.047,0.078,0.021,0.127,0.016,0.032,0.036
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.034,0.033,0.034,0.36,0.01,0.02,0.021,0.015
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.002,0.004,0.003,0.026,0.312,0.024,0.051,0.013
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.011,0.037,0.014,0.083,0.126,0.677,0.076,0.162
"P24","A los candidatos del Frente de Izquierda",0.005,0.001,0.001,0.005,0,0.001,0.295,0.006
"P24","No sabe",0.044,0.019,0.025,0.035,0.107,0.016,0.077,0.32
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.241,0.007,0.06,0.042,0.004,0.017,0.062,0.101
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.582,0.008,0.058,0.04,0.031,0.034,0.346,0.258
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.047,0.796,0.107,0.051,0.114,0.047,0.007,0.039
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.015,0.048,0.629,0.233,0.042,0.015,0.003,0.01
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.009,0.032,0.054,0.026,0.146,0.026,0.001,0.054
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.034,0.029,0.032,0.423,0.019,0.019,0.032,0.017
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.01,0.006,0.002,0.412,0.028,0.088,0.003
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.011,0.051,0.023,0.133,0.154,0.801,0.047,0.176
"P25","A los candidatos del Frente de Izquierda",0.008,0.001,0.001,0.01,0,0.001,0.35,0.021
"P25","No sabe",0.052,0.018,0.03,0.04,0.078,0.012,0.064,0.321
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.764,0.047,0.06,0.071,0.078,0.023,0.118,0.144
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.074,0.732,0.089,0.057,0.044,0.08,0.033,0.04
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.047,0.078,0.543,0.096,0.032,0.013,0.038,0.042
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.019,0.061,0.227,0.077,0.159,0.016,0.007,0.048
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.018,0.009,0.031,0.5,0.07,0.012,0.005,0.014
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.002,0.009,0.008,0.024,0.417,0.014,0.024,0.002
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.007,0.041,0.013,0.14,0.144,0.634,0.045,0.021
"P26","A los candidatos del Frente de Izquierda",0.009,0.009,0.003,0.018,0.009,0.191,0.466,0.207
"P26","No sabe",0.06,0.014,0.026,0.017,0.047,0.017,0.264,0.482
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.776,0.019,0.098,0.046,0.041,0.053,0.22,0.223
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.048,0.831,0.096,0.05,0.06,0.042,0.032,0.042
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.035,0.05,0.731,0.165,0.052,0.014,0.01,0.013
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.042,0.022,0.038,0.48,0.073,0.008,0.03,0.015
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.01,0.011,0.005,0.074,0.517,0.019,0.005,0.007
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.016,0.039,0.005,0.15,0.182,0.726,0.013,0.012
"P27","A los candidatos del Frente de Izquierda",0.009,0.005,0.002,0.001,0.021,0.077,0.581,0.015
"P27","No sabe",0.064,0.023,0.025,0.034,0.054,0.061,0.109,0.673
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.766,0.016,0.09,0.031,0.027,0.051,0.128,0.166
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.046,0.877,0.07,0.008,0.045,0.031,0.004,0.016
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.015,0.03,0.752,0.231,0.04,0.011,0.007,0.008
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.038,0.015,0.03,0.644,0.045,0.029,0.004,0.008
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.01,0.005,0.014,0.013,0.718,0.032,0.025,0.003
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.012,0.041,0.011,0.047,0.077,0.817,0.031,0.015
"P28","A los candidatos del Frente de Izquierda",0.019,0.004,0.001,0.001,0.01,0.008,0.684,0.017
"P28","No sabe",0.094,0.012,0.032,0.025,0.038,0.021,0.117,0.767
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.637,0.147,0.394,0.167,0.082,0.027,0.133,0.182
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.234,0.403,0.508,0.363,0.246,0.034,0.131,0.134
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.024,0.232,0.026,0.169,0.396,0.878,0.047,0.15
"P30","A los candidatos del Frente de Izquierda",0.02,0.009,0.007,0.02,0.04,0.02,0.541,0.029
"P30","No sabe",0.085,0.209,0.065,0.281,0.236,0.041,0.148,0.505
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.642,0.286,0.305,0.198,0.114,0.038,0.155,0.218
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.244,0.567,0.374,0.333,0.273,0.046,0.143,0.135
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.02,0.087,0.079,0.196,0.318,0.878,0.077,0.168
"P31","A los candidatos del Frente de Izquierda",0.019,0.004,0.028,0.036,0.049,0.005,0.552,0.031
"P31","No sabe",0.075,0.056,0.214,0.237,0.246,0.033,0.073,0.448
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.596,0.165,0.385,0.151,0.104,0.022,0.102,0.127
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.227,0.413,0.515,0.34,0.247,0.033,0.092,0.121
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.036,0.232,0.022,0.204,0.453,0.907,0.059,0.149
"P32","A los candidatos del Frente de Izquierda",0.024,0.006,0.019,0.084,0.007,0.007,0.664,0.023
"P32","No sabe",0.117,0.184,0.059,0.221,0.189,0.031,0.083,0.58
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.61,0.289,0.311,0.172,0.116,0.03,0.122,0.135
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.225,0.566,0.361,0.31,0.329,0.044,0.129,0.133
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.029,0.1,0.1,0.188,0.321,0.897,0.057,0.127
"P33","A los candidatos del Frente de Izquierda",0.026,0.002,0.034,0.035,0.02,0.004,0.641,0.031
"P33","No sabe",0.11,0.043,0.194,0.295,0.214,0.025,0.051,0.574
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.673,0.194,0.392,0.215,0.075,0.037,0.072,0.105
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.259,0.417,0.501,0.34,0.259,0.037,0.047,0.11
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.01,0.225,0.034,0.188,0.462,0.875,0.067,0.136
"P34","A los candidatos del Frente de Izquierda",0.009,0.005,0.013,0.047,0.047,0.011,0.72,0.043
"P34","No sabe",0.049,0.159,0.06,0.21,0.157,0.04,0.094,0.606
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.875,0.045,0.115,0.165,0.05,0.037,0.14,0.166
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.072,0.815,0.594,0.393,0.388,0.043,0.08,0.045
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.007,0.099,0.076,0.158,0.356,0.888,0.051,0.131
"P35","A los candidatos del Frente de Izquierda",0.011,0.002,0.018,0.053,0.024,0.003,0.651,0.043
"P35","No sabe",0.035,0.039,0.197,0.231,0.182,0.029,0.078,0.615
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.833,0.029,0.072,0.062,0.025,0.046,0.391,0.348
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.059,0.559,0.88,0.438,0.343,0.021,0.007,0.053
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.017,0.261,0.015,0.224,0.454,0.9,0.051,0.139
"P36","A los candidatos del Frente de Izquierda",0.011,0.003,0.008,0.036,0.016,0.001,0.45,0.015
"P36","No sabe",0.08,0.148,0.025,0.24,0.162,0.032,0.101,0.445
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.83,0.019,0.079,0.08,0.027,0.046,0.462,0.344
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.061,0.813,0.66,0.456,0.434,0.025,0.034,0.06
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.018,0.121,0.073,0.216,0.366,0.896,0.053,0.153
"P37","A los candidatos del Frente de Izquierda",0.009,0.005,0.017,0.036,0.006,0.002,0.406,0.015
"P37","No sabe",0.082,0.042,0.171,0.212,0.167,0.031,0.045,0.428
"P38","Muy buena",0.573,0.063,0.092,0.062,0.034,0.034,0.207,0.273
"P38","Buena",0.268,0.047,0.039,0.116,0.082,0.017,0.193,0.154
"P38","Ni buena ni mala",0.072,0.031,0.067,0.144,0.037,0.171,0.141,0.174
"P38","Mala",0.039,0.107,0.172,0.183,0.071,0.089,0.232,0.096
"P38","Muy mala",0.044,0.739,0.618,0.49,0.776,0.683,0.224,0.273
"P38","No sabe",0.004,0.013,0.012,0.005,0,0.006,0.003,0.03
"P39","Muy buena",0.692,0.025,0.063,0.052,0.036,0.042,0.229,0.309
"P39","Buena",0.183,0.011,0.026,0.048,0.042,0.007,0.181,0.133
"P39","Ni buena ni mala",0.04,0.022,0.108,0.123,0.015,0.077,0.252,0.17
"P39","Mala",0.028,0.102,0.127,0.157,0.061,0.091,0.08,0.098
"P39","Muy mala",0.054,0.826,0.667,0.618,0.81,0.771,0.255,0.265
"P39","No sabe",0.003,0.014,0.009,0.002,0.036,0.012,0.003,0.025
"P40","Muy buena",0.309,0.015,0.035,0.084,0.017,0.017,0.073,0.082
"P40","Buena",0.291,0.023,0.022,0.039,0,0.021,0.11,0.124
"P40","Ni buena ni mala",0.209,0.135,0.258,0.229,0.124,0.144,0.357,0.297
"P40","Mala",0.045,0.168,0.155,0.153,0.172,0.12,0.11,0.09
"P40","Muy mala",0.041,0.5,0.284,0.307,0.529,0.474,0.192,0.196
"P40","No sabe",0.105,0.159,0.246,0.188,0.158,0.224,0.158,0.211
"P41","Muy buena",0.044,0.215,0.383,0.129,0.1,0.022,0.02,0.024
"P41","Buena",0.062,0.32,0.294,0.212,0.191,0.13,0.095,0.069
"P41","Ni buena ni mala",0.209,0.262,0.148,0.324,0.372,0.308,0.075,0.245
"P41","Mala",0.279,0.071,0.057,0.123,0.184,0.195,0.275,0.223
"P41","Muy mala",0.353,0.094,0.068,0.166,0.129,0.26,0.475,0.305
"P41","No sabe",0.053,0.038,0.05,0.046,0.024,0.085,0.06,0.134
"P42","Muy buena",0.025,0.316,0.227,0.067,0.063,0.031,0.005,0.035
"P42","Buena",0.038,0.349,0.273,0.231,0.345,0.158,0.006,0.071
"P42","Ni buena ni mala",0.151,0.224,0.262,0.296,0.313,0.335,0.098,0.181
"P42","Mala",0.238,0.038,0.072,0.187,0.08,0.178,0.191,0.159
"P42","Muy mala",0.502,0.048,0.089,0.137,0.139,0.208,0.636,0.365
"P42","No sabe",0.046,0.025,0.077,0.082,0.06,0.09,0.064,0.189
"P43","Muy buena",0.028,0.224,0.093,0.051,0.01,0.021,0.005,0.022
"P43","Buena",0.027,0.311,0.13,0.207,0.304,0.094,0.082,0.016
"P43","Ni buena ni mala",0.193,0.277,0.413,0.327,0.373,0.365,0.088,0.253
"P43","Mala",0.178,0.021,0.073,0.13,0.093,0.106,0.146,0.15
"P43","Muy mala",0.41,0.049,0.078,0.117,0.045,0.193,0.492,0.282
"P43","No sabe",0.164,0.118,0.213,0.168,0.175,0.221,0.187,0.277
"P44","Muy buena",0.015,0.098,0.05,0.02,0.029,0.086,0.034,0.008
"P44","Buena",0.024,0.236,0.12,0.1,0.138,0.132,0.033,0.035
"P44","Ni buena ni mala",0.131,0.436,0.409,0.368,0.468,0.35,0.082,0.204
"P44","Mala",0.195,0.081,0.122,0.239,0.059,0.11,0.099,0.152
"P44","Muy mala",0.542,0.079,0.129,0.188,0.254,0.185,0.66,0.396
"P44","No sabe",0.093,0.07,0.17,0.085,0.052,0.137,0.092,0.205
"P45","Muy buena",0.025,0.256,0.095,0.082,0.578,0.23,0.082,0.043
"P45","Buena",0.027,0.353,0.214,0.193,0.199,0.266,0.025,0.05
"P45","Ni buena ni mala",0.09,0.278,0.38,0.328,0.067,0.27,0.033,0.165
"P45","Mala",0.192,0.046,0.097,0.237,0.027,0.079,0.14,0.166
"P45","Muy mala",0.613,0.033,0.128,0.122,0.12,0.092,0.691,0.416
"P45","No sabe",0.053,0.034,0.086,0.038,0.009,0.063,0.029,0.16
"P46","Muy buena",0.044,0.087,0.068,0.022,0.034,0.077,0.018,0.06
"P46","Buena",0.072,0.13,0.201,0.13,0.127,0.235,0.037,0.057
"P46","Ni buena ni mala",0.234,0.32,0.343,0.352,0.451,0.318,0.176,0.26
"P46","Mala",0.226,0.185,0.161,0.203,0.123,0.166,0.121,0.163
"P46","Muy mala",0.385,0.237,0.178,0.266,0.227,0.147,0.641,0.35
"P46","No sabe",0.039,0.041,0.049,0.027,0.038,0.057,0.007,0.11
"P47","Muy buena",0.216,0.02,0.036,0.007,0.019,0.005,0.079,0.041
"P47","Buena",0.309,0.028,0.039,0.088,0.06,0.051,0.099,0.119
"P47","Ni buena ni mala",0.263,0.094,0.147,0.171,0.055,0.103,0.188,0.272
"P47","Mala",0.088,0.144,0.149,0.18,0.082,0.103,0.209,0.156
"P47","Muy mala",0.096,0.692,0.554,0.534,0.746,0.677,0.39,0.289
"P47","No sabe",0.028,0.022,0.075,0.02,0.038,0.061,0.035,0.123
"P48","Muy buena",0.122,0.015,0.022,0.006,0,0.002,0.017,0.045
"P48","Buena",0.375,0.011,0.057,0.052,0.049,0.019,0.158,0.127
"P48","Ni buena ni mala",0.306,0.02,0.082,0.113,0.026,0.049,0.232,0.281
"P48","Mala",0.128,0.085,0.124,0.113,0.076,0.086,0.305,0.178
"P48","Muy mala",0.059,0.861,0.701,0.71,0.834,0.826,0.269,0.331
"P48","No sabe",0.01,0.008,0.014,0.006,0.015,0.018,0.019,0.038
"P49","Muy buena",0.142,0.016,0.018,0.006,0.026,0.016,0.057,0.045
"P49","Buena",0.316,0.008,0.059,0.028,0.016,0.027,0.08,0.115
"P49","Ni buena ni mala",0.296,0.028,0.088,0.13,0.025,0.032,0.185,0.259
"P49","Mala",0.151,0.07,0.149,0.151,0.089,0.07,0.281,0.223
"P49","Muy mala",0.091,0.873,0.683,0.682,0.829,0.841,0.384,0.333
"P49","No sabe",0.004,0.005,0.003,0.003,0.015,0.014,0.013,0.025
"P50","Muy buena",0.718,0.019,0.078,0.021,0.019,0.039,0.284,0.378
"P50","Buena",0.106,0.005,0.03,0.05,0.017,0.023,0.072,0.101
"P50","Ni buena ni mala",0.065,0.015,0.054,0.093,0.058,0.04,0.123,0.112
"P50","Mala",0.033,0.047,0.081,0.095,0.029,0.039,0.167,0.072
"P50","Muy mala",0.073,0.912,0.757,0.727,0.843,0.85,0.319,0.296
"P50","No sabe",0.005,0.002,0,0.014,0.034,0.009,0.035,0.041
"P51","Muy buena",0.112,0.395,0.335,0.09,0.129,0.123,0.095,0.091
"P51","Buena",0.021,0.246,0.196,0.169,0.253,0.189,0.015,0.051
"P51","Ni buena ni mala",0.022,0.143,0.169,0.207,0.293,0.209,0.031,0.103
"P51","Mala",0.132,0.051,0.133,0.191,0.119,0.178,0.092,0.163
"P51","Muy mala",0.701,0.162,0.158,0.339,0.206,0.296,0.767,0.57
"P51","No sabe",0.012,0.003,0.009,0.004,0,0.005,0,0.022
"P52","Muy buena",0.02,0.176,0.456,0.088,0.109,0.053,0.003,0.023
"P52","Buena",0.047,0.364,0.341,0.303,0.288,0.136,0.049,0.036
"P52","Ni buena ni mala",0.093,0.298,0.101,0.26,0.332,0.223,0.071,0.201
"P52","Mala",0.215,0.069,0.058,0.134,0.173,0.19,0.222,0.161
"P52","Muy mala",0.617,0.089,0.044,0.206,0.085,0.383,0.65,0.543
"P52","No sabe",0.008,0.004,0,0.009,0.013,0.015,0.005,0.036
"P53","Muy buena",0.16,0.042,0.068,0.044,0,0.013,0.003,0.011
"P53","Buena",0.394,0.079,0.098,0.079,0.03,0.055,0.07,0.104
"P53","Ni buena ni mala",0.261,0.069,0.119,0.19,0.188,0.097,0.17,0.321
"P53","Mala",0.081,0.097,0.166,0.109,0.087,0.133,0.269,0.176
"P53","Muy mala",0.089,0.708,0.539,0.564,0.664,0.691,0.488,0.336
"P53","No sabe",0.015,0.005,0.01,0.014,0.031,0.011,0,0.052
"P54","Muy buena",0.054,0.659,0.274,0.131,0.186,0.205,0.042,0.058
"P54","Buena",0.073,0.181,0.265,0.251,0.288,0.26,0.026,0.071
"P54","Ni buena ni mala",0.047,0.044,0.208,0.237,0.207,0.178,0.045,0.141
"P54","Mala",0.113,0.013,0.097,0.132,0.136,0.111,0.086,0.164
"P54","Muy mala",0.702,0.101,0.126,0.246,0.183,0.238,0.798,0.52
"P54","No sabe",0.011,0.002,0.03,0.003,0,0.008,0.003,0.046
"P55","Muy buena",0.025,0.251,0.069,0.125,0.128,0.684,0.017,0.13
"P55","Buena",0.039,0.219,0.131,0.105,0.289,0.163,0.035,0.055
