"var","categoria","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.203,0.023,0.004,0.054,0.106
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.582,0.038,0.008,0.33,0.237
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.039,0.626,0.107,0.013,0.09
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.046,0.152,0.04,0.05,0.151
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.008,0.047,0.019,0,0.06
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.042,0.044,0.032,0.086,0.057
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.026,0.042,0.004,0.017
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.016,0.024,0.732,0.031,0.039
"P25","A los candidatos del Frente de Izquierda",0.008,0.001,0.001,0.383,0.026
"P25","No sabe",0.055,0.019,0.015,0.049,0.217
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.736,0.047,0.023,0.103,0.131
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.065,0.593,0.118,0.023,0.077
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.063,0.146,0.039,0.031,0.157
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.032,0.098,0.023,0.046,0.107
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.017,0.042,0.017,0.039,0.078
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.02,0.028,0,0.015
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.012,0.026,0.535,0.02,0.033
"P26","A los candidatos del Frente de Izquierda",0.015,0.013,0.203,0.47,0.034
"P26","No sabe",0.054,0.015,0.014,0.268,0.368
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.76,0.056,0.021,0.264,0.181
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.043,0.647,0.111,0.022,0.103
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.049,0.176,0.048,0.037,0.152
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.043,0.05,0.015,0.06,0.075
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.016,0.023,0.03,0.002,0.032
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.014,0.017,0.614,0.012,0.027
"P27","A los candidatos del Frente de Izquierda",0.015,0.006,0.068,0.502,0.019
"P27","No sabe",0.06,0.025,0.093,0.101,0.411
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.724,0.042,0.01,0.134,0.161
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.045,0.669,0.095,0.013,0.08
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.031,0.162,0.053,0.03,0.178
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.037,0.053,0.05,0.066,0.067
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.02,0.043,0.004,0.044
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.02,0.023,0.665,0.009,0.042
"P28","A los candidatos del Frente de Izquierda",0.031,0.005,0.014,0.615,0.032
"P28","No sabe",0.107,0.026,0.07,0.129,0.396
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.811,0.062,0.009,0.081,0.085
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.039,0.655,0.119,0.013,0.089
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.036,0.169,0.032,0.045,0.158
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.021,0.047,0.028,0.055,0.078
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.003,0.021,0.029,0.011,0.029
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.022,0.023,0.719,0.014,0.046
"P29","A los candidatos del Frente de Izquierda",0.018,0.01,0.009,0.676,0.026
"P29","No sabe",0.05,0.013,0.055,0.105,0.489
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.66,0.191,0.015,0.183,0.211
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.225,0.482,0.053,0.115,0.166
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.023,0.151,0.887,0.029,0.048
"P30","A los candidatos del Frente de Izquierda",0.018,0.013,0.01,0.6,0.023
"P30","No sabe",0.074,0.163,0.035,0.073,0.552
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.673,0.306,0.025,0.178,0.178
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.229,0.614,0.037,0.094,0.112
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.018,0.029,0.907,0.031,0.056
"P31","A los candidatos del Frente de Izquierda",0.021,0.008,0.005,0.645,0.013
"P31","No sabe",0.059,0.043,0.026,0.052,0.641
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.627,0.198,0.014,0.097,0.162
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.21,0.498,0.042,0.052,0.175
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.019,0.151,0.926,0.03,0.036
"P32","A los candidatos del Frente de Izquierda",0.037,0.011,0.001,0.752,0.003
"P32","No sabe",0.107,0.142,0.017,0.069,0.624
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.634,0.289,0.023,0.09,0.132
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.209,0.628,0.024,0.037,0.124
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.022,0.044,0.936,0.009,0.019
"P33","A los candidatos del Frente de Izquierda",0.028,0.005,0.001,0.838,0.01
"P33","No sabe",0.107,0.034,0.016,0.026,0.715
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.724,0.218,0.016,0.055,0.109
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.234,0.525,0.026,0.041,0.106
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.004,0.131,0.944,0.009,0.029
"P34","A los candidatos del Frente de Izquierda",0.01,0.009,0.001,0.868,0.018
"P34","No sabe",0.028,0.117,0.013,0.027,0.738
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.829,0.055,0.005,0.362,0.211
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.063,0.692,0.036,0.061,0.173
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.022,0.14,0.955,0.02,0.026
"P36","A los candidatos del Frente de Izquierda",0.01,0.003,0,0.543,0.008
"P36","No sabe",0.076,0.11,0.004,0.014,0.582
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.835,0.055,0.002,0.411,0.203
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.057,0.884,0.041,0.022,0.104
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.025,0.031,0.95,0.017,0.032
"P37","A los candidatos del Frente de Izquierda",0.009,0.002,0.001,0.531,0.009
"P37","No sabe",0.074,0.028,0.006,0.019,0.652
"P38","Muy buena",0.555,0.092,0.012,0.154,0.212
"P38","Buena",0.258,0.055,0.016,0.269,0.116
"P38","Ni buena ni mala",0.08,0.031,0.163,0.173,0.137
"P38","Mala",0.05,0.107,0.097,0.26,0.134
"P38","Muy mala",0.053,0.702,0.706,0.134,0.38
"P38","No sabe",0.004,0.013,0.006,0.01,0.021
"P39","Muy buena",0.676,0.048,0.01,0.255,0.218
"P39","Buena",0.177,0.021,0.005,0.205,0.1
"P39","Ni buena ni mala",0.053,0.028,0.07,0.237,0.187
"P39","Mala",0.039,0.093,0.1,0.123,0.112
"P39","Muy mala",0.049,0.8,0.805,0.17,0.358
"P39","No sabe",0.006,0.01,0.01,0.01,0.025
"P40","Muy buena",0.305,0.025,0.009,0.079,0.064
"P40","Buena",0.279,0.031,0.007,0.102,0.105
"P40","Ni buena ni mala",0.225,0.153,0.147,0.412,0.262
"P40","Mala",0.038,0.164,0.129,0.152,0.127
"P40","Muy mala",0.038,0.452,0.513,0.095,0.198
"P40","No sabe",0.115,0.175,0.195,0.16,0.244
"P41","Muy buena",0.047,0.256,0.045,0.017,0.078
"P41","Buena",0.06,0.334,0.131,0.062,0.126
"P41","Ni buena ni mala",0.206,0.226,0.31,0.15,0.263
"P41","Mala",0.281,0.061,0.181,0.293,0.185
"P41","Muy mala",0.361,0.079,0.253,0.405,0.233
"P41","No sabe",0.045,0.044,0.08,0.073,0.115
"P42","Muy buena",0.023,0.3,0.052,0.007,0.06
"P42","Buena",0.037,0.346,0.17,0.033,0.119
"P42","Ni buena ni mala",0.153,0.215,0.335,0.081,0.247
"P42","Mala",0.246,0.037,0.155,0.253,0.139
"P42","Muy mala",0.5,0.062,0.202,0.541,0.268
"P42","No sabe",0.041,0.04,0.086,0.085,0.167
"P43","Muy buena",0.021,0.202,0.034,0.002,0.029
"P43","Buena",0.031,0.305,0.097,0.03,0.037
"P43","Ni buena ni mala",0.208,0.267,0.386,0.105,0.314
"P43","Mala",0.181,0.031,0.096,0.213,0.121
"P43","Muy mala",0.399,0.053,0.186,0.467,0.218
"P43","No sabe",0.16,0.142,0.201,0.183,0.281
"P44","Muy buena",0.013,0.087,0.089,0,0.01
"P44","Buena",0.022,0.217,0.141,0.006,0.042
"P44","Ni buena ni mala",0.141,0.397,0.383,0.14,0.286
"P44","Mala",0.197,0.11,0.086,0.165,0.128
"P44","Muy mala",0.543,0.104,0.171,0.598,0.31
"P44","No sabe",0.084,0.085,0.13,0.091,0.224
"P45","Muy buena",0.017,0.242,0.259,0.009,0.017
"P45","Buena",0.027,0.314,0.275,0.007,0.095
"P45","Ni buena ni mala",0.105,0.278,0.262,0.073,0.238
"P45","Mala",0.192,0.061,0.079,0.218,0.145
"P45","Muy mala",0.61,0.069,0.067,0.678,0.323
"P45","No sabe",0.049,0.036,0.058,0.015,0.182
"P46","Muy buena",0.051,0.065,0.09,0.021,0.049
"P46","Buena",0.069,0.13,0.23,0.067,0.096
"P46","Ni buena ni mala",0.241,0.326,0.315,0.12,0.324
"P46","Mala",0.227,0.191,0.16,0.194,0.11
"P46","Muy mala",0.381,0.244,0.152,0.595,0.309
"P46","No sabe",0.031,0.044,0.053,0.003,0.112
"P47","Muy buena",0.199,0.029,0.015,0.008,0.046
"P47","Buena",0.303,0.027,0.044,0.151,0.102
"P47","Ni buena ni mala",0.278,0.096,0.098,0.241,0.22
"P47","Mala",0.085,0.151,0.106,0.26,0.149
"P47","Muy mala",0.11,0.668,0.69,0.323,0.327
"P47","No sabe",0.025,0.029,0.047,0.017,0.156
"P48","Muy buena",0.11,0.022,0.002,0.01,0.044
"P48","Buena",0.371,0.025,0.007,0.145,0.107
"P48","Ni buena ni mala",0.303,0.04,0.027,0.31,0.23
"P48","Mala",0.133,0.08,0.084,0.355,0.186
"P48","Muy mala",0.075,0.824,0.865,0.18,0.384
"P48","No sabe",0.008,0.009,0.015,0,0.049
"P49","Muy buena",0.133,0.021,0.008,0.062,0.047
"P49","Buena",0.311,0.025,0.005,0.063,0.107
"P49","Ni buena ni mala",0.292,0.036,0.025,0.25,0.24
"P49","Mala",0.161,0.079,0.076,0.35,0.19
"P49","Muy mala",0.098,0.835,0.874,0.275,0.391
"P49","No sabe",0.005,0.004,0.012,0,0.025
"P50","Muy buena",0.687,0.046,0.009,0.344,0.298
"P50","Buena",0.117,0.008,0.008,0.105,0.081
"P50","Ni buena ni mala",0.067,0.027,0.035,0.122,0.117
"P50","Mala",0.039,0.046,0.045,0.16,0.09
"P50","Muy mala",0.083,0.871,0.895,0.231,0.381
"P50","No sabe",0.007,0.002,0.008,0.038,0.033
"P51","Muy buena",0.1,0.406,0.129,0.028,0.118
"P51","Buena",0.022,0.253,0.175,0.057,0.066
"P51","Ni buena ni mala",0.029,0.133,0.218,0.044,0.151
"P51","Mala",0.143,0.052,0.159,0.133,0.192
"P51","Muy mala",0.695,0.15,0.315,0.738,0.454
"P51","No sabe",0.011,0.006,0.004,0,0.019
"P52","Muy buena",0.031,0.226,0.073,0.014,0.097
"P52","Buena",0.041,0.391,0.147,0.038,0.106
"P52","Ni buena ni mala",0.098,0.245,0.222,0.077,0.252
"P52","Mala",0.217,0.06,0.174,0.247,0.147
"P52","Muy mala",0.606,0.074,0.372,0.621,0.364
"P52","No sabe",0.007,0.004,0.012,0.003,0.034
"P53","Muy buena",0.151,0.052,0.009,0.003,0.031
"P53","Buena",0.386,0.083,0.055,0.033,0.092
"P53","Ni buena ni mala",0.272,0.072,0.09,0.274,0.274
"P53","Mala",0.074,0.103,0.132,0.281,0.212
"P53","Muy mala",0.102,0.682,0.705,0.409,0.345
"P53","No sabe",0.015,0.008,0.009,0,0.046
"P54","Muy buena",0.046,0.585,0.235,0.003,0.069
"P54","Buena",0.06,0.242,0.234,0.026,0.092
"P54","Ni buena ni mala",0.072,0.049,0.179,0.107,0.191
"P54","Mala",0.117,0.015,0.102,0.084,0.214
"P54","Muy mala",0.693,0.1,0.244,0.777,0.395
"P54","No sabe",0.012,0.009,0.006,0.003,0.039
"P55","Muy buena",0.027,0.168,0.672,0.011,0.04
"P55","Buena",0.028,0.198,0.2,0.011,0.058
"P55","Ni buena ni mala",0.075,0.311,0.075,0.084,0.237
"P55","Mala",0.125,0.127,0.022,0.084,0.122
"P55","Muy mala",0.729,0.171,0.022,0.81,0.453
"P55","No sabe",0.016,0.025,0.009,0,0.09
"P56","Muy buena",0.017,0.305,0.15,0.007,0.077
"P56","Buena",0.03,0.366,0.207,0.028,0.162
"P56","Ni buena ni mala",0.057,0.185,0.216,0.043,0.187
"P56","Mala",0.167,0.057,0.167,0.131,0.14
"P56","Muy mala",0.72,0.084,0.248,0.791,0.387
"P56","No sabe",0.009,0.003,0.012,0,0.047
"P57","Muy buena",0.167,0.074,0.019,0.068,0.037
"P57","Buena",0.428,0.065,0.056,0.082,0.173
"P57","Ni buena ni mala",0.204,0.111,0.121,0.265,0.299
"P57","Mala",0.072,0.159,0.147,0.229,0.132
"P57","Muy mala",0.126,0.585,0.64,0.356,0.338
"P57","No sabe",0.003,0.006,0.017,0,0.021
"P58","Muy buena",0.051,0.1,0.071,0.045,0.059
"P58","Buena",0.157,0.191,0.118,0.135,0.116
"P58","Ni buena ni mala",0.36,0.38,0.258,0.323,0.357
"P58","Mala",0.208,0.145,0.146,0.208,0.15
"P58","Muy mala",0.177,0.16,0.327,0.216,0.22
"P58","No sabe",0.047,0.024,0.08,0.073,0.098
"P59","Siempre",0.305,0.337,0.254,0.276,0.29
"P59","Casi siempre",0.426,0.394,0.358,0.335,0.364
"P59","Casi nunca",0.189,0.197,0.273,0.288,0.23
"P59","Nunca, pero esta es una excepción",0.08,0.072,0.115,0.101,0.116
"P60","Si",0.598,0.577,0.597,0.651,0.504
"P60","No",0.402,0.423,0.403,0.349,0.496
