"var","categoria","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.035,0.035,0.028,0.038,0.048
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.028,0.058,0.027,0.048,0.081
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0.011,0.03,0.004,0.023
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.011,0.009,0.618,0.037,0.043
"P24","A los candidatos del Frente de Izquierda",0.003,0.003,0.001,0.319,0.004
"P24","No sabe",0.022,0.02,0.015,0.091,0.312
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.169,0.063,0.018,0.034,0.073
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.403,0.204,0.011,0.285,0.153
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.221,0.466,0.088,0.036,0.113
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.079,0.12,0.045,0.079,0.157
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.017,0.041,0.021,0.003,0.054
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.05,0.04,0.029,0.079,0.074
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.007,0.016,0.043,0.004,0.03
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.016,0.02,0.729,0.027,0.043
"P25","A los candidatos del Frente de Izquierda",0.008,0.001,0.002,0.366,0.022
"P25","No sabe",0.03,0.029,0.014,0.087,0.281
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.509,0.221,0.037,0.171,0.128
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.22,0.446,0.098,0.047,0.131
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.083,0.134,0.038,0.076,0.171
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.066,0.062,0.028,0.021,0.085
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.021,0.042,0.022,0.029,0.087
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.01,0.013,0.026,0,0.023
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.013,0.025,0.523,0.006,0.034
"P26","A los candidatos del Frente de Izquierda",0.017,0.018,0.215,0.376,0.023
"P26","No sabe",0.061,0.039,0.013,0.274,0.318
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.56,0.248,0.023,0.158,0.086
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.239,0.475,0.095,0.031,0.115
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.086,0.137,0.044,0.111,0.188
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.031,0.058,0.026,0.053,0.089
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.017,0.024,0.028,0,0.051
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.009,0.017,0.609,0.002,0.032
"P27","A los candidatos del Frente de Izquierda",0.004,0.01,0.067,0.512,0.024
"P27","No sabe",0.054,0.031,0.108,0.133,0.415
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.516,0.216,0.018,0.141,0.14
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.249,0.479,0.081,0.018,0.116
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.071,0.136,0.049,0.081,0.169
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.038,0.055,0.055,0.051,0.08
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.01,0.018,0.048,0.026,0.058
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.017,0.019,0.651,0.004,0.025
"P28","A los candidatos del Frente de Izquierda",0.018,0.021,0.01,0.515,0.034
"P28","No sabe",0.081,0.056,0.088,0.164,0.378
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.554,0.234,0.026,0.147,0.172
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.223,0.49,0.103,0.029,0.118
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.09,0.123,0.036,0.074,0.17
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.025,0.047,0.038,0.042,0.082
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.007,0.018,0.03,0.027,0.04
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.019,0.026,0.679,0.025,0.044
"P29","A los candidatos del Frente de Izquierda",0.018,0.018,0.013,0.573,0.022
"P29","No sabe",0.064,0.044,0.075,0.083,0.352
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.821,0.019,0.017,0.064,0.099
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.021,0.776,0.045,0.075,0.127
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.052,0.102,0.908,0.03,0.025
"P30","A los candidatos del Frente de Izquierda",0.007,0.01,0.008,0.763,0.013
"P30","No sabe",0.099,0.093,0.022,0.068,0.736
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.75,0.014,0.017,0.154,0.129
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.025,0.733,0.038,0.076,0.189
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.062,0.113,0.912,0.038,0.056
"P32","A los candidatos del Frente de Izquierda",0.023,0.023,0.001,0.717,0.016
"P32","No sabe",0.14,0.117,0.032,0.015,0.61
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.843,0.012,0.029,0.181,0.088
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.02,0.876,0.031,0.064,0.115
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.029,0.044,0.904,0.045,0.055
"P33","A los candidatos del Frente de Izquierda",0.024,0.014,0.006,0.683,0.027
"P33","No sabe",0.084,0.054,0.03,0.027,0.715
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.795,0.019,0.029,0.179,0.19
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.02,0.766,0.037,0.073,0.176
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.051,0.103,0.897,0.049,0.05
"P34","A los candidatos del Frente de Izquierda",0.026,0.015,0.008,0.652,0.024
"P34","No sabe",0.108,0.097,0.029,0.047,0.56
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.606,0.235,0.024,0.179,0.156
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.297,0.681,0.043,0.073,0.124
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.016,0.028,0.898,0.033,0.05
"P35","A los candidatos del Frente de Izquierda",0.02,0.012,0.006,0.672,0.017
"P35","No sabe",0.061,0.044,0.029,0.043,0.653
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.58,0.275,0.01,0.332,0.149
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.242,0.52,0.047,0.097,0.241
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.065,0.113,0.919,0.026,0.056
"P36","A los candidatos del Frente de Izquierda",0.007,0.007,0.003,0.5,0.022
"P36","No sabe",0.106,0.085,0.021,0.045,0.532
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.578,0.279,0.008,0.387,0.139
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.316,0.64,0.059,0.042,0.161
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.036,0.038,0.907,0.04,0.063
"P37","A los candidatos del Frente de Izquierda",0.01,0.003,0.004,0.483,0.015
"P37","No sabe",0.06,0.04,0.022,0.048,0.622
"P38","Muy buena",0.399,0.244,0.011,0.145,0.136
"P38","Buena",0.182,0.117,0.019,0.236,0.121
"P38","Ni buena ni mala",0.07,0.037,0.164,0.126,0.156
"P38","Mala",0.056,0.089,0.099,0.291,0.17
"P38","Muy mala",0.282,0.509,0.698,0.179,0.4
"P38","No sabe",0.011,0.004,0.009,0.023,0.017
"P39","Muy buena",0.46,0.237,0.018,0.236,0.16
"P39","Buena",0.114,0.07,0.011,0.194,0.101
"P39","Ni buena ni mala",0.056,0.039,0.074,0.209,0.151
"P39","Mala",0.052,0.07,0.099,0.114,0.157
"P39","Muy mala",0.31,0.576,0.784,0.224,0.416
"P39","No sabe",0.008,0.008,0.014,0.023,0.015
"P40","Muy buena",0.209,0.1,0.012,0.07,0.055
"P40","Buena",0.192,0.106,0.008,0.125,0.079
"P40","Ni buena ni mala",0.212,0.171,0.154,0.41,0.221
"P40","Mala",0.08,0.124,0.128,0.159,0.149
"P40","Muy mala",0.171,0.346,0.493,0.125,0.238
"P40","No sabe",0.136,0.153,0.205,0.111,0.258
"P41","Muy buena",0.127,0.177,0.045,0.028,0.101
"P41","Buena",0.172,0.23,0.129,0.069,0.15
"P41","Ni buena ni mala",0.213,0.211,0.32,0.167,0.263
"P41","Mala",0.194,0.134,0.173,0.299,0.202
"P41","Muy mala",0.252,0.192,0.252,0.398,0.18
"P41","No sabe",0.042,0.056,0.081,0.039,0.104
"P42","Muy buena",0.115,0.231,0.038,0.02,0.071
"P42","Buena",0.157,0.235,0.173,0.02,0.139
"P42","Ni buena ni mala",0.171,0.185,0.342,0.109,0.271
"P42","Mala",0.18,0.084,0.147,0.244,0.17
"P42","Muy mala",0.33,0.211,0.213,0.591,0.212
"P42","No sabe",0.047,0.054,0.087,0.016,0.137
"P43","Muy buena",0.075,0.159,0.032,0,0.039
"P43","Buena",0.135,0.206,0.104,0.032,0.051
"P43","Ni buena ni mala",0.238,0.247,0.383,0.108,0.299
"P43","Mala",0.123,0.084,0.083,0.238,0.13
"P43","Muy mala",0.274,0.149,0.194,0.469,0.216
"P43","No sabe",0.155,0.155,0.204,0.153,0.265
"P44","Muy buena",0.023,0.075,0.09,0.009,0.025
"P44","Buena",0.079,0.161,0.141,0.049,0.064
"P44","Ni buena ni mala",0.245,0.313,0.373,0.148,0.292
"P44","Mala",0.164,0.137,0.082,0.14,0.147
"P44","Muy mala",0.397,0.226,0.176,0.569,0.294
"P44","No sabe",0.092,0.088,0.138,0.085,0.178
"P45","Muy buena",0.078,0.187,0.26,0.003,0.048
"P45","Buena",0.126,0.233,0.261,0.035,0.121
"P45","Ni buena ni mala",0.172,0.222,0.264,0.1,0.227
"P45","Mala",0.152,0.09,0.079,0.186,0.156
"P45","Muy mala",0.422,0.233,0.076,0.625,0.287
"P45","No sabe",0.05,0.035,0.06,0.051,0.161
"P46","Muy buena",0.051,0.06,0.086,0.052,0.063
"P46","Buena",0.102,0.104,0.219,0.053,0.115
"P46","Ni buena ni mala",0.261,0.303,0.332,0.129,0.311
"P46","Mala",0.201,0.204,0.161,0.179,0.143
"P46","Muy mala",0.347,0.283,0.155,0.564,0.274
"P46","No sabe",0.038,0.046,0.047,0.023,0.094
"P47","Muy buena",0.133,0.077,0.019,0.041,0.042
"P47","Buena",0.192,0.129,0.037,0.107,0.106
"P47","Ni buena ni mala",0.218,0.149,0.109,0.147,0.212
"P47","Mala",0.119,0.124,0.108,0.251,0.138
"P47","Muy mala",0.301,0.497,0.679,0.396,0.382
"P47","No sabe",0.037,0.024,0.048,0.058,0.12
"P48","Muy buena",0.069,0.052,0.005,0.018,0.049
"P48","Buena",0.253,0.12,0.014,0.186,0.07
"P48","Ni buena ni mala",0.228,0.105,0.034,0.256,0.204
"P48","Mala",0.115,0.104,0.092,0.316,0.159
"P48","Muy mala",0.328,0.609,0.841,0.21,0.472
"P48","No sabe",0.007,0.01,0.014,0.014,0.046
"P49","Muy buena",0.087,0.05,0.014,0.068,0.056
"P49","Buena",0.207,0.104,0.01,0.162,0.072
"P49","Ni buena ni mala",0.215,0.106,0.035,0.186,0.208
"P49","Mala",0.133,0.114,0.081,0.269,0.175
"P49","Muy mala",0.352,0.623,0.849,0.315,0.463
"P49","No sabe",0.006,0.003,0.011,0,0.026
"P50","Muy buena",0.477,0.237,0.019,0.29,0.207
"P50","Buena",0.073,0.039,0.014,0.09,0.088
"P50","Ni buena ni mala",0.055,0.04,0.041,0.123,0.093
"P50","Mala",0.041,0.037,0.048,0.17,0.106
"P50","Muy mala",0.352,0.645,0.87,0.288,0.457
"P50","No sabe",0.002,0.002,0.008,0.039,0.049
"P51","Muy buena",0.206,0.3,0.141,0.053,0.136
"P51","Buena",0.114,0.182,0.161,0.024,0.086
"P51","Ni buena ni mala",0.069,0.095,0.229,0.063,0.141
"P51","Mala",0.11,0.074,0.159,0.15,0.205
"P51","Muy mala",0.491,0.346,0.306,0.71,0.406
"P51","No sabe",0.01,0.003,0.004,0,0.026
"P52","Muy buena",0.087,0.166,0.074,0.035,0.135
"P52","Buena",0.164,0.279,0.143,0.055,0.144
"P52","Ni buena ni mala",0.142,0.209,0.229,0.115,0.234
"P52","Mala",0.159,0.107,0.185,0.213,0.138
"P52","Muy mala",0.443,0.232,0.354,0.579,0.325
"P52","No sabe",0.005,0.007,0.015,0.003,0.024
"P53","Muy buena",0.086,0.097,0.013,0.022,0.062
"P53","Buena",0.252,0.174,0.054,0.148,0.117
"P53","Ni buena ni mala",0.223,0.123,0.104,0.165,0.235
"P53","Mala",0.102,0.098,0.136,0.242,0.157
"P53","Muy mala",0.326,0.494,0.684,0.423,0.392
"P53","No sabe",0.011,0.014,0.009,0,0.037
"P54","Muy buena",0.232,0.431,0.228,0.018,0.088
"P54","Buena",0.114,0.172,0.236,0.072,0.151
"P54","Ni buena ni mala",0.068,0.056,0.18,0.054,0.196
"P54","Mala",0.081,0.058,0.107,0.077,0.166
"P54","Muy mala",0.489,0.278,0.244,0.776,0.361
"P54","No sabe",0.016,0.005,0.005,0.003,0.038
"P55","Muy buena",0.069,0.143,0.65,0.03,0.069
"P55","Buena",0.085,0.14,0.201,0.055,0.077
"P55","Ni buena ni mala",0.157,0.228,0.094,0.043,0.261
"P55","Mala",0.118,0.136,0.022,0.067,0.126
"P55","Muy mala",0.544,0.336,0.025,0.786,0.39
"P55","No sabe",0.027,0.017,0.008,0.019,0.077
"P56","Muy buena",0.118,0.214,0.145,0.03,0.109
"P56","Buena",0.157,0.255,0.213,0.063,0.152
"P56","Ni buena ni mala",0.083,0.151,0.238,0.042,0.202
"P56","Mala",0.124,0.104,0.161,0.086,0.139
"P56","Muy mala",0.507,0.273,0.232,0.779,0.36
"P56","No sabe",0.011,0.003,0.011,0,0.038
"P57","Muy buena",0.116,0.123,0.025,0.027,0.031
"P57","Buena",0.298,0.178,0.068,0.092,0.119
"P57","Ni buena ni mala",0.175,0.131,0.129,0.24,0.296
"P57","Mala",0.102,0.119,0.152,0.224,0.17
"P57","Muy mala",0.302,0.447,0.609,0.417,0.362
"P57","No sabe",0.007,0.002,0.017,0,0.022
"P58","Muy buena",0.075,0.071,0.07,0.045,0.081
"P58","Buena",0.169,0.175,0.119,0.118,0.136
"P58","Ni buena ni mala",0.369,0.378,0.268,0.366,0.302
"P58","Mala",0.186,0.159,0.145,0.197,0.164
"P58","Muy mala",0.159,0.181,0.315,0.248,0.232
"P58","No sabe",0.042,0.036,0.083,0.026,0.085
"P59","Siempre",0.307,0.35,0.259,0.246,0.261
"P59","Casi siempre",0.406,0.394,0.366,0.318,0.401
"P59","Casi nunca",0.199,0.192,0.264,0.32,0.225
"P59","Nunca, pero esta es una excepción",0.088,0.064,0.111,0.116,0.113
"P60","Si",0.578,0.611,0.589,0.573,0.511
"P60","No",0.422,0.389,0.411,0.427,0.489
