"var","categoria","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P14","No sabe",0.069,0.039,0.015,0.168,0.117
"P15","Lo votaría",0.192,0.078,0.017,0.065,0.052
"P15","Puede que lo vote",0.323,0.211,0.054,0.218,0.167
"P15","Nunca lo votaría",0.382,0.645,0.879,0.54,0.627
"P15","No sabe",0.103,0.066,0.05,0.177,0.154
"P16","Lo votaría",0.148,0.32,0.099,0.014,0.105
"P16","Puede que lo vote",0.177,0.248,0.262,0.086,0.281
"P16","Nunca lo votaría",0.619,0.369,0.57,0.797,0.459
"P16","No sabe",0.056,0.063,0.069,0.103,0.155
"P17","Lo votaría",0.107,0.241,0.12,0.05,0.127
"P17","Puede que lo vote",0.149,0.273,0.263,0.037,0.255
"P17","Nunca lo votaría",0.682,0.372,0.517,0.824,0.436
"P17","No sabe",0.062,0.114,0.1,0.089,0.182
"P18","Lo votaría",0.201,0.105,0.042,0.086,0.103
"P18","Puede que lo vote",0.331,0.204,0.073,0.176,0.156
"P18","Nunca lo votaría",0.411,0.642,0.857,0.664,0.627
"P18","No sabe",0.057,0.049,0.028,0.074,0.114
"P19","Lo votaría",0.059,0.055,0.084,0.05,0.08
"P19","Puede que lo vote",0.117,0.138,0.237,0.105,0.127
"P19","Nunca lo votaría",0.76,0.762,0.615,0.796,0.665
"P19","No sabe",0.064,0.045,0.064,0.049,0.128
"P20","Lo votaría",0.061,0.134,0.419,0.045,0.115
"P20","Puede que lo vote",0.144,0.242,0.301,0.083,0.237
"P20","Nunca lo votaría",0.742,0.545,0.221,0.795,0.492
"P20","No sabe",0.053,0.079,0.059,0.077,0.156
"P21","Lo votaría",0.022,0.048,0.066,0.03,0.041
"P21","Puede que lo vote",0.08,0.144,0.124,0.069,0.104
"P21","Nunca lo votaría",0.7,0.565,0.532,0.653,0.529
"P21","No sabe",0.198,0.243,0.278,0.248,0.326
"P22","Lo votaría",0.157,0.061,0.018,0.068,0.038
"P22","Puede que lo vote",0.297,0.167,0.041,0.157,0.13
"P22","Nunca lo votaría",0.47,0.69,0.859,0.579,0.698
"P22","No sabe",0.076,0.082,0.082,0.196,0.134
"P23","Lo votaría",0.047,0.056,0.055,0.025,0.045
"P23","Puede que lo vote",0.124,0.153,0.134,0.14,0.114
"P23","Nunca lo votaría",0.622,0.566,0.602,0.573,0.54
"P23","No sabe",0.207,0.225,0.209,0.262,0.301
"P24","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.215,0.125,0.021,0.037,0.031
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.381,0.157,0.032,0.326,0.133
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.175,0.388,0.263,0.071,0.31
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.132,0.187,0.057,0.054,0.071
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.035,0.039,0.02,0.028,0.052
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.024,0.057,0.023,0.065,0.085
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.002,0.005,0.029,0,0.031
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.009,0.014,0.54,0.023,0.036
"P24","A los candidatos del Frente de Izquierda",0.003,0.006,0.002,0.299,0.002
"P24","No sabe",0.024,0.022,0.013,0.097,0.249
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.193,0.065,0.009,0.036,0.087
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.445,0.222,0.01,0.304,0.122
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.129,0.368,0.225,0.05,0.314
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.116,0.195,0.019,0.027,0.026
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.011,0.049,0.015,0.021,0.056
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.051,0.043,0.024,0.06,0.071
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.003,0.016,0.039,0,0.031
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.012,0.012,0.639,0.074,0.048
"P25","A los candidatos del Frente de Izquierda",0.007,0.003,0.003,0.355,0.02
"P25","No sabe",0.033,0.027,0.017,0.073,0.225
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.566,0.239,0.038,0.163,0.129
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.144,0.352,0.21,0.116,0.305
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.117,0.193,0.024,0.035,0.049
"P26","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.063,0.079,0.02,0.008,0.075
"P26","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.019,0.049,0.016,0.036,0.075
"P26","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.01,0.024,0,0.032
"P26","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.005,0.02,0.466,0.006,0.039
"P26","A los candidatos del Frente de Izquierda",0.014,0.019,0.185,0.399,0.034
"P26","No sabe",0.066,0.039,0.017,0.237,0.262
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.616,0.277,0.026,0.206,0.084
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.158,0.364,0.214,0.071,0.334
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.126,0.211,0.022,0.05,0.045
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.023,0.068,0.025,0.035,0.086
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.011,0.021,0.028,0,0.055
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.009,0.006,0.538,0.004,0.038
"P27","A los candidatos del Frente de Izquierda",0.005,0.015,0.052,0.553,0.008
"P27","No sabe",0.052,0.038,0.095,0.081,0.35
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.579,0.234,0.014,0.196,0.129
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.155,0.375,0.221,0.062,0.322
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.113,0.204,0.025,0.016,0.038
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.033,0.068,0.044,0.037,0.075
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.008,0.022,0.047,0.035,0.035
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.013,0.012,0.564,0.003,0.044
"P28","A los candidatos del Frente de Izquierda",0.02,0.015,0.012,0.538,0.027
"P28","No sabe",0.079,0.07,0.073,0.113,0.33
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.617,0.253,0.028,0.156,0.148
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.127,0.387,0.241,0.063,0.324
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.133,0.192,0.011,0.019,0.04
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.024,0.059,0.029,0.023,0.073
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.018,0.032,0.022,0.028
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.015,0.021,0.59,0.09,0.042
"P29","A los candidatos del Frente de Izquierda",0.017,0.019,0.007,0.549,0.034
"P29","No sabe",0.062,0.051,0.062,0.078,0.311
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.92,0.026,0.07,0.068,0.206
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.019,0.868,0.122,0.083,0.176
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.012,0.037,0.792,0.047,0.03
"P31","A los candidatos del Frente de Izquierda",0.008,0.01,0.004,0.758,0.016
"P31","No sabe",0.041,0.059,0.012,0.044,0.572
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.829,0.027,0.019,0.132,0.103
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.022,0.856,0.038,0.027,0.112
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.03,0.031,0.919,0.098,0.065
"P32","A los candidatos del Frente de Izquierda",0.021,0.021,0.001,0.667,0.035
"P32","No sabe",0.098,0.065,0.023,0.076,0.685
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.817,0.026,0.069,0.219,0.222
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.024,0.808,0.126,0.07,0.229
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.021,0.054,0.778,0.076,0.053
"P33","A los candidatos del Frente de Izquierda",0.022,0.019,0.004,0.622,0.035
"P33","No sabe",0.116,0.093,0.023,0.013,0.461
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.869,0.035,0.038,0.145,0.165
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.024,0.86,0.043,0.046,0.123
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.009,0.041,0.882,0.085,0.062
"P34","A los candidatos del Frente de Izquierda",0.022,0.014,0.007,0.658,0.034
"P34","No sabe",0.076,0.05,0.03,0.066,0.616
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.673,0.261,0.028,0.147,0.15
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.21,0.605,0.192,0.111,0.356
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.011,0.044,0.755,0.061,0.051
"P35","A los candidatos del Frente de Izquierda",0.023,0.017,0.004,0.608,0.018
"P35","No sabe",0.083,0.073,0.021,0.073,0.425
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.65,0.307,0.012,0.313,0.134
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.268,0.602,0.051,0.033,0.167
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.017,0.034,0.914,0.106,0.079
"P36","A los candidatos del Frente de Izquierda",0.008,0.007,0.002,0.484,0.019
"P36","No sabe",0.057,0.05,0.021,0.064,0.601
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.638,0.311,0.013,0.364,0.133
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.247,0.565,0.178,0.071,0.385
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.03,0.046,0.786,0.082,0.056
"P37","A los candidatos del Frente de Izquierda",0.007,0.006,0.004,0.439,0.025
"P37","No sabe",0.078,0.072,0.019,0.044,0.401
"P38","Muy buena",0.444,0.261,0.018,0.12,0.129
"P38","Buena",0.203,0.118,0.027,0.239,0.099
"P38","Ni buena ni mala",0.073,0.046,0.142,0.16,0.114
"P38","Mala",0.045,0.105,0.09,0.265,0.155
"P38","Muy mala",0.229,0.464,0.716,0.186,0.48
"P38","No sabe",0.006,0.006,0.007,0.03,0.023
"P39","Muy buena",0.518,0.264,0.018,0.237,0.12
"P39","Buena",0.126,0.086,0.007,0.147,0.086
"P39","Ni buena ni mala",0.062,0.034,0.063,0.269,0.119
"P39","Mala",0.04,0.076,0.096,0.105,0.143
"P39","Muy mala",0.252,0.533,0.801,0.219,0.507
"P39","No sabe",0.002,0.007,0.015,0.023,0.025
"P40","Muy buena",0.236,0.109,0.011,0.062,0.05
"P40","Buena",0.215,0.116,0.007,0.128,0.066
"P40","Ni buena ni mala",0.219,0.197,0.138,0.382,0.199
"P40","Mala",0.074,0.123,0.13,0.17,0.135
"P40","Muy mala",0.122,0.296,0.528,0.114,0.314
"P40","No sabe",0.134,0.159,0.186,0.144,0.236
"P41","Muy buena",0.135,0.219,0.038,0.042,0.057
"P41","Buena",0.159,0.224,0.155,0.065,0.17
"P41","Ni buena ni mala",0.179,0.168,0.338,0.189,0.333
"P41","Mala",0.208,0.137,0.175,0.253,0.166
"P41","Muy mala",0.279,0.189,0.228,0.424,0.169
"P41","No sabe",0.04,0.063,0.066,0.027,0.105
"P42","Muy buena",0.099,0.232,0.061,0.029,0.114
"P42","Buena",0.126,0.231,0.202,0.04,0.175
"P42","Ni buena ni mala",0.158,0.174,0.332,0.09,0.277
"P42","Mala",0.201,0.089,0.147,0.216,0.113
"P42","Muy mala",0.37,0.216,0.187,0.601,0.192
"P42","No sabe",0.046,0.058,0.071,0.024,0.129
"P43","Muy buena",0.055,0.145,0.068,0,0.078
"P43","Buena",0.104,0.183,0.132,0.046,0.146
"P43","Ni buena ni mala",0.235,0.234,0.371,0.135,0.296
"P43","Mala",0.147,0.097,0.083,0.159,0.076
"P43","Muy mala",0.309,0.164,0.172,0.468,0.163
"P43","No sabe",0.15,0.177,0.174,0.192,0.241
"P44","Muy buena",0.015,0.073,0.093,0.009,0.038
"P44","Buena",0.054,0.141,0.172,0.039,0.105
"P44","Ni buena ni mala",0.211,0.302,0.391,0.167,0.317
"P44","Mala",0.191,0.14,0.078,0.094,0.122
"P44","Muy mala",0.44,0.236,0.157,0.611,0.248
"P44","No sabe",0.089,0.108,0.109,0.08,0.17
"P45","Muy buena",0.05,0.151,0.293,0.034,0.095
"P45","Buena",0.097,0.208,0.291,0.024,0.169
"P45","Ni buena ni mala",0.162,0.223,0.245,0.097,0.256
"P45","Mala",0.172,0.109,0.06,0.163,0.125
"P45","Muy mala",0.468,0.255,0.065,0.641,0.237
"P45","No sabe",0.051,0.054,0.046,0.041,0.118
"P46","Muy buena",0.043,0.063,0.096,0.007,0.058
"P46","Buena",0.109,0.105,0.2,0.064,0.095
"P46","Ni buena ni mala",0.27,0.314,0.305,0.105,0.309
"P46","Mala",0.2,0.21,0.171,0.164,0.148
"P46","Muy mala",0.344,0.259,0.182,0.636,0.306
"P46","No sabe",0.034,0.049,0.046,0.024,0.084
"P47","Muy buena",0.155,0.096,0.008,0.035,0.024
"P47","Buena",0.217,0.137,0.034,0.065,0.101
"P47","Ni buena ni mala",0.219,0.16,0.108,0.142,0.205
"P47","Mala",0.123,0.129,0.101,0.245,0.137
"P47","Muy mala",0.255,0.441,0.708,0.427,0.447
"P47","No sabe",0.031,0.037,0.041,0.086,0.086
"P48","Muy buena",0.081,0.06,0.005,0.01,0.029
"P48","Buena",0.286,0.132,0.013,0.168,0.057
"P48","Ni buena ni mala",0.243,0.12,0.029,0.248,0.183
"P48","Mala",0.119,0.121,0.086,0.285,0.133
"P48","Muy mala",0.266,0.554,0.854,0.275,0.562
"P48","No sabe",0.005,0.013,0.013,0.014,0.036
"P49","Muy buena",0.097,0.059,0.012,0.061,0.043
"P49","Buena",0.233,0.111,0.01,0.153,0.067
"P49","Ni buena ni mala",0.234,0.127,0.027,0.197,0.161
"P49","Mala",0.136,0.13,0.076,0.271,0.15
"P49","Muy mala",0.294,0.57,0.865,0.318,0.559
"P49","No sabe",0.006,0.003,0.01,0,0.02
"P50","Muy buena",0.534,0.257,0.021,0.285,0.175
"P50","Buena",0.079,0.045,0.009,0.088,0.079
"P50","Ni buena ni mala",0.058,0.044,0.037,0.145,0.069
"P50","Mala",0.041,0.044,0.044,0.177,0.08
"P50","Muy mala",0.287,0.607,0.88,0.266,0.561
"P50","No sabe",0.001,0.003,0.009,0.039,0.036
"P51","Muy buena",0.175,0.265,0.188,0.1,0.224
"P51","Buena",0.104,0.182,0.165,0.028,0.111
"P51","Ni buena ni mala",0.051,0.094,0.215,0.043,0.157
"P51","Mala",0.121,0.093,0.144,0.128,0.135
"P51","Muy mala",0.537,0.363,0.285,0.701,0.356
"P51","No sabe",0.012,0.003,0.003,0,0.017
"P52","Muy buena",0.106,0.216,0.058,0.007,0.051
"P52","Buena",0.16,0.286,0.155,0.054,0.154
"P52","Ni buena ni mala",0.092,0.175,0.258,0.075,0.327
"P52","Mala",0.158,0.086,0.18,0.268,0.162
"P52","Muy mala",0.479,0.229,0.337,0.59,0.286
"P52","No sabe",0.005,0.008,0.012,0.006,0.02
"P53","Muy buena",0.102,0.111,0.011,0.018,0.033
"P53","Buena",0.281,0.188,0.049,0.093,0.119
"P53","Ni buena ni mala",0.236,0.136,0.091,0.166,0.211
"P53","Mala",0.107,0.093,0.131,0.297,0.126
"P53","Muy mala",0.264,0.455,0.711,0.426,0.477
"P53","No sabe",0.01,0.017,0.007,0,0.034
"P54","Muy buena",0.16,0.356,0.332,0.053,0.258
"P54","Buena",0.113,0.18,0.208,0.054,0.169
"P54","Ni buena ni mala",0.076,0.074,0.156,0.025,0.132
"P54","Mala",0.081,0.072,0.089,0.098,0.137
"P54","Muy mala",0.554,0.311,0.211,0.766,0.275
"P54","No sabe",0.016,0.007,0.004,0.004,0.029
"P55","Muy buena",0.045,0.118,0.632,0.042,0.064
"P55","Buena",0.066,0.115,0.226,0.015,0.109
"P55","Ni buena ni mala",0.155,0.243,0.094,0.028,0.248
"P55","Mala",0.12,0.148,0.021,0.037,0.138
"P55","Muy mala",0.589,0.36,0.021,0.857,0.367
"P55","No sabe",0.025,0.016,0.006,0.021,0.074
"P56","Muy buena",0.11,0.224,0.147,0.038,0.119
"P56","Buena",0.121,0.252,0.217,0.065,0.235
"P56","Ni buena ni mala",0.062,0.124,0.251,0.019,0.22
"P56","Mala",0.125,0.102,0.162,0.059,0.128
"P56","Muy mala",0.57,0.294,0.213,0.819,0.269
"P56","No sabe",0.012,0.004,0.01,0,0.029
"P57","Muy buena",0.135,0.138,0.02,0.006,0.026
"P57","Buena",0.334,0.203,0.054,0.063,0.106
"P57","Ni buena ni mala",0.181,0.142,0.126,0.205,0.249
"P57","Mala",0.093,0.118,0.16,0.232,0.147
"P57","Muy mala",0.25,0.396,0.624,0.494,0.456
"P57","No sabe",0.007,0.003,0.016,0,0.016
"P58","Muy buena",0.082,0.068,0.067,0.019,0.079
"P58","Buena",0.166,0.187,0.118,0.097,0.151
"P58","Ni buena ni mala",0.371,0.403,0.267,0.305,0.314
"P58","Mala",0.183,0.161,0.163,0.185,0.148
"P58","Muy mala",0.159,0.147,0.315,0.355,0.214
"P58","No sabe",0.039,0.034,0.07,0.039,0.094
"P59","Siempre",0.317,0.347,0.259,0.289,0.269
"P59","Casi siempre",0.419,0.394,0.354,0.354,0.396
"P59","Casi nunca",0.196,0.197,0.266,0.195,0.224
"P59","Nunca, pero esta es una excepción",0.068,0.062,0.121,0.162,0.111
"P60","Si",0.613,0.618,0.564,0.568,0.498
"P60","No",0.387,0.382,0.436,0.432,0.502
