"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Facundo Manes","No sabe",0.054,0.041,0.066,0.049,0.065,0.044,0.047,0.081,0.054,0.021,0.056,0.049,0.067,0.025,0.001
"Horacio Rodriguez Larreta","Positiva",0.297,0.261,0.333,0.209,0.228,0.346,0.46,0.298,0.287,0.311,0.288,0.314,0.113,0.496,0.232
"Horacio Rodriguez Larreta","Neutra",0.19,0.185,0.196,0.151,0.197,0.197,0.203,0.221,0.18,0.171,0.175,0.222,0.126,0.214,0.315
"Horacio Rodriguez Larreta","Negativa",0.503,0.546,0.459,0.64,0.56,0.449,0.327,0.463,0.525,0.514,0.529,0.45,0.75,0.283,0.453
"Horacio Rodriguez Larreta","No sabe",0.01,0.008,0.012,0,0.015,0.008,0.01,0.018,0.008,0.004,0.008,0.014,0.011,0.007,0
"Axel Kicillof","Positiva",0.334,0.313,0.355,0.227,0.367,0.367,0.315,0.325,0.323,0.36,0.348,0.304,0.692,0.12,0.113
"Axel Kicillof","Neutra",0.071,0.064,0.078,0.093,0.085,0.053,0.047,0.079,0.08,0.049,0.069,0.076,0.089,0.031,0.071
"Axel Kicillof","Negativa",0.584,0.613,0.555,0.672,0.536,0.571,0.625,0.58,0.588,0.583,0.577,0.6,0.212,0.839,0.806
"Axel Kicillof","No sabe",0.011,0.01,0.012,0.008,0.012,0.009,0.013,0.016,0.009,0.008,0.006,0.02,0.007,0.01,0.01
"Gabriel Katopodis","Positiva",0.222,0.219,0.223,0.147,0.224,0.261,0.231,0.207,0.209,0.256,0.228,0.208,0.451,0.09,0.14
"Gabriel Katopodis","Neutra",0.195,0.179,0.212,0.181,0.224,0.177,0.173,0.195,0.211,0.172,0.193,0.2,0.242,0.173,0.094
"Gabriel Katopodis","Negativa",0.414,0.474,0.354,0.522,0.375,0.405,0.41,0.425,0.411,0.407,0.409,0.425,0.175,0.553,0.533
"Gabriel Katopodis","No sabe",0.169,0.128,0.211,0.15,0.177,0.157,0.186,0.173,0.169,0.165,0.17,0.167,0.132,0.184,0.233
"CFK","Positiva",0.32,0.298,0.343,0.251,0.347,0.353,0.284,0.315,0.312,0.34,0.34,0.281,0.693,0.098,0.06
"CFK","Neutra",0.054,0.046,0.061,0.077,0.058,0.038,0.045,0.051,0.059,0.049,0.053,0.056,0.082,0.023,0.037
"CFK","Negativa",0.616,0.648,0.584,0.655,0.582,0.606,0.665,0.613,0.623,0.608,0.6,0.647,0.212,0.876,0.903
"CFK","No sabe",0.01,0.008,0.012,0.017,0.013,0.003,0.006,0.021,0.006,0.003,0.007,0.016,0.013,0.003,0
"Daniel Scioli","Positiva",0.269,0.252,0.286,0.161,0.254,0.34,0.304,0.291,0.256,0.264,0.285,0.237,0.492,0.118,0.122
"Daniel Scioli","Neutra",0.167,0.158,0.177,0.189,0.186,0.129,0.158,0.166,0.177,0.152,0.173,0.154,0.229,0.104,0.16
"Daniel Scioli","Negativa",0.555,0.583,0.526,0.65,0.546,0.52,0.533,0.527,0.559,0.58,0.538,0.589,0.271,0.771,0.718
"Daniel Scioli","No sabe",0.009,0.007,0.011,0,0.014,0.011,0.005,0.016,0.008,0.004,0.004,0.02,0.008,0.007,0
"Fernando Burlando","Positiva",0.191,0.19,0.193,0.238,0.17,0.194,0.19,0.254,0.183,0.132,0.19,0.194,0.162,0.192,0.224
"Fernando Burlando","Neutra",0.29,0.273,0.306,0.22,0.287,0.284,0.368,0.276,0.332,0.24,0.285,0.3,0.236,0.323,0.277
"Fernando Burlando","Negativa",0.471,0.497,0.445,0.484,0.494,0.48,0.397,0.405,0.445,0.587,0.484,0.444,0.561,0.443,0.475
"Fernando Burlando","No sabe",0.048,0.04,0.056,0.058,0.049,0.042,0.045,0.065,0.04,0.041,0.041,0.062,0.041,0.042,0.024
"Sergio Massa","Positiva",0.234,0.225,0.242,0.173,0.23,0.254,0.269,0.281,0.211,0.214,0.248,0.203,0.424,0.102,0.098
"Sergio Massa","Neutra",0.166,0.155,0.177,0.137,0.193,0.149,0.157,0.159,0.179,0.154,0.169,0.159,0.271,0.079,0.141
"Sergio Massa","Negativa",0.586,0.611,0.562,0.685,0.555,0.589,0.56,0.539,0.596,0.627,0.571,0.619,0.288,0.81,0.733
"Sergio Massa","No sabe",0.014,0.009,0.019,0.005,0.022,0.008,0.014,0.021,0.014,0.005,0.012,0.019,0.017,0.009,0.028
"Carolina Píparo","Positiva",0.167,0.164,0.171,0.154,0.151,0.17,0.209,0.19,0.147,0.172,0.171,0.159,0.051,0.26,0.172
"Carolina Píparo","Neutra",0.295,0.291,0.299,0.29,0.258,0.318,0.347,0.276,0.329,0.265,0.275,0.337,0.169,0.367,0.323
"Carolina Píparo","Negativa",0.427,0.445,0.409,0.416,0.472,0.432,0.335,0.398,0.429,0.457,0.448,0.384,0.674,0.26,0.426
"Carolina Píparo","No sabe",0.111,0.1,0.121,0.14,0.119,0.08,0.109,0.136,0.095,0.106,0.106,0.12,0.106,0.113,0.079
"Victoria Tolosa Paz","Positiva",0.205,0.185,0.223,0.136,0.217,0.24,0.192,0.228,0.196,0.19,0.213,0.185,0.416,0.068,0.031
"Victoria Tolosa Paz","Neutra",0.17,0.169,0.171,0.149,0.176,0.168,0.181,0.175,0.171,0.162,0.179,0.152,0.251,0.094,0.257
"Victoria Tolosa Paz","Negativa",0.58,0.605,0.556,0.659,0.553,0.57,0.579,0.535,0.595,0.611,0.574,0.594,0.296,0.803,0.692
"Victoria Tolosa Paz","No sabe",0.045,0.041,0.05,0.056,0.054,0.022,0.048,0.062,0.038,0.037,0.034,0.069,0.037,0.035,0.02
"Alberto Fernandez","Positiva",0.172,0.143,0.202,0.118,0.177,0.19,0.187,0.223,0.155,0.14,0.181,0.155,0.358,0.065,0.035
"Alberto Fernandez","Neutra",0.141,0.124,0.158,0.11,0.159,0.148,0.12,0.101,0.161,0.155,0.146,0.13,0.263,0.055,0.109
"Alberto Fernandez","Negativa",0.679,0.726,0.631,0.772,0.651,0.655,0.685,0.662,0.677,0.702,0.669,0.699,0.372,0.876,0.837
"Alberto Fernandez","No sabe",0.008,0.007,0.009,0,0.013,0.007,0.008,0.014,0.007,0.003,0.004,0.016,0.007,0.004,0.019
