"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.078,0.158,0.311,0.254
"P37","A los candidatos del Frente de Izquierda",0.014,0.027,0.029,0.015
"P37","No sabe",0.075,0.138,0.085,0.341
"P38","Positiva",0.805,0.503,0.153,0.245
"P38","Neutra",0.058,0.175,0.068,0.254
"P38","Negativa",0.136,0.314,0.774,0.402
"P38","No sabe",0.001,0.008,0.005,0.099
"P39","Positiva",0.843,0.538,0.1,0.303
"P39","Neutra",0.053,0.147,0.043,0.184
"P39","Negativa",0.103,0.31,0.849,0.407
"P39","No sabe",0.001,0.005,0.008,0.106
"P40","Positiva",0.614,0.324,0.069,0.065
"P40","Neutra",0.188,0.318,0.154,0.274
"P40","Negativa",0.087,0.204,0.61,0.179
"P40","No sabe",0.111,0.154,0.167,0.482
"P41","Positiva",0.121,0.153,0.401,0.192
"P41","Neutra",0.172,0.304,0.246,0.174
"P41","Negativa",0.658,0.495,0.315,0.163
"P41","No sabe",0.049,0.048,0.038,0.471
"P42","Positiva",0.1,0.176,0.419,0.135
"P42","Neutra",0.153,0.281,0.23,0.181
"P42","Negativa",0.706,0.485,0.308,0.19
"P42","No sabe",0.041,0.058,0.043,0.494
"P43","Positiva",0.092,0.112,0.306,0.049
"P43","Neutra",0.224,0.304,0.295,0.178
"P43","Negativa",0.532,0.411,0.247,0.163
"P43","No sabe",0.152,0.173,0.152,0.61
"P44","Positiva",0.092,0.097,0.224,0.042
"P44","Neutra",0.135,0.321,0.355,0.158
"P44","Negativa",0.688,0.491,0.341,0.125
"P44","No sabe",0.085,0.091,0.08,0.675
"P45","Positiva",0.097,0.136,0.483,0.126
"P45","Neutra",0.1,0.275,0.235,0.121
"P45","Negativa",0.77,0.522,0.256,0.181
"P45","No sabe",0.033,0.067,0.026,0.572
"P46","Positiva",0.238,0.127,0.195,0.176
"P46","Neutra",0.243,0.434,0.269,0.232
"P46","Negativa",0.492,0.424,0.504,0.143
"P46","No sabe",0.027,0.015,0.032,0.449
"P48","Positiva",0.616,0.178,0.036,0.151
"P48","Neutra",0.211,0.385,0.051,0.199
"P48","Negativa",0.168,0.432,0.909,0.426
"P48","No sabe",0.005,0.005,0.004,0.224
"P49","Positiva",0.522,0.202,0.036,0.233
"P49","Neutra",0.283,0.283,0.045,0.192
"P49","Negativa",0.192,0.511,0.915,0.472
"P49","No sabe",0.003,0.004,0.004,0.103
"P50","Positiva",0.817,0.515,0.091,0.295
"P50","Neutra",0.047,0.115,0.035,0.103
"P50","Negativa",0.136,0.359,0.868,0.514
"P50","No sabe",0,0.011,0.006,0.088
"P51","Positiva",0.124,0.147,0.488,0.232
"P51","Neutra",0.03,0.096,0.15,0.224
"P51","Negativa",0.838,0.751,0.358,0.475
"P51","No sabe",0.008,0.006,0.004,0.069
"P52","Positiva",0.105,0.191,0.399,0.247
"P52","Neutra",0.101,0.206,0.214,0.218
"P52","Negativa",0.785,0.598,0.382,0.442
"P52","No sabe",0.009,0.005,0.005,0.093
"P53","Positiva",0.596,0.322,0.086,0.173
"P53","Neutra",0.24,0.36,0.078,0.241
"P53","Negativa",0.156,0.307,0.83,0.437
"P53","No sabe",0.008,0.011,0.006,0.149
"P54","Positiva",0.136,0.24,0.597,0.233
"P54","Neutra",0.066,0.13,0.107,0.109
"P54","Negativa",0.784,0.624,0.293,0.508
"P54","No sabe",0.014,0.006,0.003,0.15
"P55","Positiva",0.107,0.234,0.469,0.255
"P55","Neutra",0.064,0.168,0.207,0.174
"P55","Negativa",0.815,0.562,0.311,0.391
"P55","No sabe",0.014,0.036,0.013,0.18
"P56","Positiva",0.087,0.226,0.475,0.222
"P56","Neutra",0.048,0.14,0.182,0.203
"P56","Negativa",0.856,0.627,0.34,0.434
"P56","No sabe",0.009,0.007,0.003,0.141
"P57","Positiva",0.652,0.385,0.112,0.144
"P57","Neutra",0.195,0.335,0.1,0.277
"P57","Negativa",0.146,0.277,0.783,0.472
"P57","No sabe",0.007,0.003,0.005,0.107
"P58","Positiva",0.213,0.219,0.235,0.207
"P58","Neutra",0.34,0.443,0.319,0.247
"P58","Negativa",0.392,0.281,0.419,0.155
"P58","No sabe",0.055,0.057,0.027,0.391
"P59","Siempre",0.349,0.227,0.315,0.197
"P59","Casi siempre",0.413,0.375,0.391,0.33
"P59","Casi nunca",0.177,0.285,0.204,0.349
"P59","Nunca, pero esta es una excepción",0.061,0.113,0.09,0.124
"P60","Si",0.612,0.587,0.581,0.462
"P60","No",0.388,0.413,0.419,0.538
