"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P19_imputada","El candidato a gobernador de la Izquierda",0.041,0.011,0.027,0.439,0.145,0
"P19_imputada","En blanco",0.013,0.012,0.026,0.033,0,0.026
"P22_imputada","Fernando Moreira a intendente por Unión por la Patria",0.49,0.189,0.5,0.55,0.292,0.697
"P22_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.377,0.637,0.324,0.088,0.417,0.123
"P22_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.095,0.129,0.146,0,0.028,0.18
"P22_imputada","El candidato del Frente de Izquierda",0.022,0.008,0.003,0.362,0.021,0
"P22_imputada","En blanco",0.016,0.037,0.027,0,0.242,0
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.243,0.562,0.412,0.093,0.866,0.326
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.199,0.295,0.171,0.081,0.031,0.144
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.415,0.088,0.292,0.506,0.037,0.173
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.088,0.009,0.065,0.018,0.016,0.015
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.022,0.003,0.011,0.289,0.018,0.117
"P25","No sabe",0.033,0.043,0.049,0.013,0.032,0.225
"P26","Totalmente seguro",0.658,0.704,0.79,0.585,0.756,0.445
"P26","Bastante seguro",0.182,0.17,0.12,0.102,0,0.127
"P26","Algo seguro",0.109,0.077,0.07,0.09,0.146,0.018
"P26","Para nada seguro",0.051,0.049,0.02,0.223,0.098,0.41
"P27","Tiene Decidido que va a ir a votar",0.907,0.926,0.948,0.811,0.715,0.629
"P27","Tiene dudas sobre si va a ir a  votar",0.072,0.03,0.041,0,0.142,0.371
"P27","Tiene Decidido que no va a ir a votar",0.021,0.044,0.011,0.189,0.143,0
"P28","Lo votaría",0.673,0.165,0.543,0.03,0.1,0.208
"P28","Puede que lo vote",0.073,0.055,0.045,0.388,0.265,0.489
"P28","Nunca lo votaría",0.229,0.776,0.377,0.43,0.494,0.058
"P28","No sabe",0.025,0.004,0.035,0.152,0.141,0.245
"P29","Lo votaría",0.302,0.565,0.123,0,0.146,0.186
"P29","Puede que lo vote",0.087,0.166,0.157,0.225,0.5,0.041
"P29","Nunca lo votaría",0.576,0.248,0.678,0.761,0.354,0.698
"P29","No sabe",0.035,0.021,0.042,0.014,0,0.075
"P30","Lo votaría",0.096,0.351,0.356,0,0.145,0.198
"P30","Puede que lo vote",0.092,0.199,0.078,0.091,0.391,0.047
"P30","Nunca lo votaría",0.758,0.409,0.534,0.894,0.464,0.679
"P30","No sabe",0.054,0.041,0.032,0.015,0,0.076
"P31","Si",0.389,0.425,0.391,0.322,0.363,0.471
"P31","No",0.611,0.575,0.609,0.678,0.637,0.529
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria",0.824,0.029,0.2,0.021,0,0.245
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.104,0.857,0.044,0.031,0.09,0.033
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.055,0.109,0.74,0.118,0.205,0.175
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.015,0.005,0.002,0.83,0.01,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.002,0,0.013,0,0.695,0.012
"PRESIDENTE_imputada","En blanco",0,0,0.001,0,0,0.535
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.834,0.035,0.165,0.137,0.017,0.502
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.101,0.854,0.106,0.031,0.216,0.025
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.049,0.101,0.708,0.121,0.232,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.012,0.005,0.009,0.688,0.083,0
"GOBERNADOR_imputada","En blanco",0.004,0.005,0.012,0.023,0.452,0.473
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria",0.847,0.076,0.193,0.31,0.184,0.391
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.111,0.852,0.127,0.055,0.191,0.058
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.029,0.055,0.669,0,0.018,0.077
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.008,0.003,0.001,0.635,0.012,0
"INTENDENTE_imputada","En blanco",0.005,0.014,0.01,0,0.595,0.474
