"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.052,0.008,0.059
"P38","Otro candidato",0.199,0.112,0.286
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.916,0.05,0.078
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.037,0.795,0.288
"P39","No sabe",0.047,0.155,0.634
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.731,0.021,0.1
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.025,0.883,0.101
"P40","No sabe",0.244,0.096,0.799
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.769,0.027,0.059
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.009,0.87,0.305
"P41","No sabe",0.222,0.103,0.636
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.775,0.019,0.051
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.019,0.918,0.077
"P43","No sabe",0.206,0.063,0.872
"P44","Mauricio Macri – María Eugenia Vidal",0.11,0.739,0.259
"P44","Sergio Massa – Wado de Pedro",0.674,0.148,0.087
"P44","No sabe",0.216,0.113,0.654
"P45","Sergio Massa – Wado de Pedro",0.701,0.112,0.076
"P45","Javier Milei – José Luis Espert",0.111,0.543,0.433
"P45","No sabe",0.188,0.345,0.491
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.15,0.543,0.067
"P46","Javier Milei – José Luis Espert",0.058,0.365,0.456
"P46","No sabe",0.792,0.092,0.477
"P47","Muy buena",0.126,0.066,0.034
"P47","Buena",0.322,0.051,0.063
"P47","Ni buena ni mala",0.386,0.023,0.16
"P47","Mala",0.122,0.109,0.132
"P47","Muy mala",0.033,0.748,0.58
"P47","No sabe",0.011,0.003,0.031
"P48","Muy buena",0.178,0.021,0.042
"P48","Buena",0.346,0.009,0.03
"P48","Ni buena ni mala",0.296,0.026,0.134
"P48","Mala",0.137,0.113,0.142
"P48","Muy mala",0.035,0.828,0.63
"P48","No sabe",0.008,0.003,0.022
"P49","Muy buena",0.683,0.01,0.046
"P49","Buena",0.199,0.006,0.037
"P49","Ni buena ni mala",0.077,0.013,0.11
"P49","Mala",0.022,0.051,0.117
"P49","Muy mala",0.015,0.917,0.674
"P49","No sabe",0.004,0.003,0.016
"P50","Muy buena",0.071,0.248,0.118
"P50","Buena",0.034,0.302,0.14
"P50","Ni buena ni mala",0.051,0.199,0.239
"P50","Mala",0.187,0.075,0.176
"P50","Muy mala",0.646,0.175,0.314
"P50","No sabe",0.011,0.001,0.013
"P51","Muy buena",0.025,0.28,0.038
"P51","Buena",0.018,0.399,0.129
"P51","Ni buena ni mala",0.13,0.218,0.316
"P51","Mala",0.211,0.061,0.161
"P51","Muy mala",0.581,0.035,0.318
"P51","No sabe",0.035,0.007,0.038
"P52","Muy buena",0.17,0.044,0.028
"P52","Buena",0.313,0.064,0.067
"P52","Ni buena ni mala",0.331,0.113,0.204
"P52","Mala",0.104,0.187,0.139
"P52","Muy mala",0.069,0.584,0.525
"P52","No sabe",0.013,0.008,0.037
"P53","Muy buena",0.026,0.461,0.22
"P53","Buena",0.052,0.24,0.168
"P53","Ni buena ni mala",0.105,0.139,0.238
"P53","Mala",0.14,0.06,0.109
"P53","Muy mala",0.649,0.097,0.224
"P53","No sabe",0.028,0.003,0.041
"P54","Muy buena",0.017,0.212,0.315
"P54","Buena",0.03,0.227,0.128
"P54","Ni buena ni mala",0.109,0.343,0.243
"P54","Mala",0.145,0.131,0.091
"P54","Muy mala",0.672,0.074,0.19
"P54","No sabe",0.027,0.013,0.033
"P55","Muy buena",0.007,0.309,0.122
"P55","Buena",0.022,0.359,0.161
"P55","Ni buena ni mala",0.093,0.218,0.268
"P55","Mala",0.171,0.063,0.146
"P55","Muy mala",0.685,0.042,0.265
"P55","No sabe",0.022,0.009,0.038
"P56","Muy buena",0.149,0.042,0.043
"P56","Buena",0.358,0.055,0.057
"P56","Ni buena ni mala",0.314,0.099,0.184
"P56","Mala",0.064,0.216,0.17
"P56","Muy mala",0.1,0.583,0.511
"P56","No sabe",0.015,0.005,0.035
"P57","Muy buena",0.055,0.088,0.068
"P57","Buena",0.131,0.15,0.084
"P57","Ni buena ni mala",0.412,0.296,0.289
"P57","Mala",0.159,0.184,0.168
"P57","Muy mala",0.166,0.248,0.312
"P57","No sabe",0.077,0.034,0.079
"P58","Muy buena",0.012,0.109,0.031
"P58","Buena",0.034,0.231,0.061
"P58","Ni buena ni mala",0.255,0.394,0.377
"P58","Mala",0.178,0.106,0.124
"P58","Muy mala",0.43,0.101,0.305
"P58","No sabe",0.091,0.059,0.102
"P59","Siempre",0.354,0.318,0.264
"P59","Casi siempre",0.359,0.416,0.344
"P59","Casi nunca",0.186,0.195,0.256
"P59","Nunca, pero esta es una excepción",0.101,0.071,0.136
"P60","Si",0.62,0.553,0.525
"P60","No",0.38,0.447,0.475
