"var","categoria","Horacio Rodríguez Larreta – Gerardo Morales","Javier Milei – José Luis Espert","No sabe"
"P15","Nunca lo votaría",0.709,0.767,0.41
"P15","No sabe",0.047,0.044,0.112
"P16","Lo votaría",0.072,0.035,0.203
"P16","Puede que lo vote",0.1,0.048,0.285
"P16","Nunca lo votaría",0.805,0.89,0.419
"P16","No sabe",0.023,0.027,0.093
"P17","La votaría",0.134,0.047,0.528
"P17","Puede que la vote",0.046,0.033,0.109
"P17","Nunca la votaría",0.814,0.898,0.324
"P17","No sabe",0.006,0.022,0.039
"P18","Lo votaría",0.359,0.072,0.091
"P18","Puede que lo vote",0.369,0.307,0.12
"P18","Nunca lo votaría",0.231,0.552,0.708
"P18","No sabe",0.041,0.069,0.081
"P19","Lo votaría",0.108,0.071,0.051
"P19","Puede que lo vote",0.318,0.224,0.172
"P19","Nunca lo votaría",0.487,0.589,0.617
"P19","No sabe",0.087,0.116,0.16
"P20","La votaría",0.426,0.363,0.109
"P20","Puede que la vote",0.248,0.293,0.098
"P20","Nunca la votaría",0.281,0.288,0.718
"P20","No sabe",0.045,0.056,0.075
"P21","Lo votaría",0.097,0.564,0.055
"P21","Puede que lo vote",0.237,0.306,0.091
"P21","Nunca lo votaría",0.612,0.112,0.777
"P21","No sabe",0.054,0.018,0.077
"P22","La votaría",0.257,0.168,0.049
"P22","Puede que la vote",0.333,0.276,0.12
"P22","Nunca la votaría",0.334,0.477,0.736
"P22","No sabe",0.076,0.079,0.095
"P23","Lo votaría",0.063,0.053,0.13
"P23","Puede que lo vote",0.118,0.083,0.324
"P23","Nunca lo votaría",0.789,0.823,0.45
"P23","No sabe",0.03,0.041,0.096
"P24","Lo votaría",0.133,0.029,0.028
"P24","Puede que lo vote",0.308,0.145,0.108
"P24","Nunca lo votaría",0.476,0.715,0.721
"P24","No sabe",0.083,0.111,0.143
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.407,0.189,0.115
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.301,0.043,0.051
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.026,0.018,0.067
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.147,0.045,0.547
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.026,0.626,0.035
"P25","Nicolás del Caño – Myriam Bregman",0.011,0.012,0.039
"P25","Otros candidatos",0.082,0.067,0.146
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.166,0.053,0.593
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.604,0.192,0.134
"P29","Javier Milei – José Luis Espert por los liberales",0.047,0.677,0.054
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.023,0.017,0.047
"P29","Otro candidato",0.16,0.061,0.172
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.666,0.089,0.125
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.141,0.06,0.42
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.044,0.737,0.054
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.027,0.019,0.066
"P31","Otro candidato",0.122,0.095,0.335
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.182,0.052,0.405
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.631,0.274,0.164
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.044,0.608,0.048
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.019,0.011,0.067
"P33","Otro candidato",0.124,0.055,0.316
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.168,0.075,0.414
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.674,0.09,0.095
"P35","Javier Milei – José Luis Espert por los liberales",0.032,0.745,0.053
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.02,0.01,0.071
"P35","Otro candidato",0.106,0.08,0.367
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.182,0.053,0.559
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.672,0.091,0.095
"P37","Javier Milei – José Luis Espert por los liberales",0.039,0.779,0.051
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.014,0.006,0.045
"P37","Otro candidato",0.093,0.071,0.25
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.174,0.056,0.428
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.622,0.209,0.129
"P38","Javier Milei – José Luis Espert por los liberales",0.045,0.675,0.046
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.022,0.012,0.065
"P38","Otro candidato",0.137,0.048,0.332
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.18,0.078,0.597
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.695,0.515,0.159
"P39","No sabe",0.125,0.407,0.244
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.15,0.069,0.477
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.765,0.458,0.095
"P40","No sabe",0.085,0.473,0.428
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.19,0.074,0.46
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.696,0.614,0.148
"P41","No sabe",0.114,0.312,0.392
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.166,0.062,0.59
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.766,0.495,0.087
"P42","No sabe",0.068,0.443,0.323
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.174,0.073,0.465
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.772,0.478,0.085
"P43","No sabe",0.054,0.449,0.45
"P44","Mauricio Macri – María Eugenia Vidal",0.71,0.493,0.141
"P44","Sergio Massa – Wado de Pedro",0.186,0.167,0.458
"P44","No sabe",0.104,0.34,0.401
"P45","Sergio Massa – Wado de Pedro",0.278,0.098,0.424
"P45","Javier Milei – José Luis Espert",0.312,0.847,0.089
"P45","No sabe",0.41,0.055,0.487
"P47","Muy buena",0.135,0.017,0.077
"P47","Buena",0.074,0.118,0.199
"P47","Ni buena ni mala",0.058,0.047,0.345
"P47","Mala",0.139,0.092,0.126
"P47","Muy mala",0.589,0.717,0.23
"P47","No sabe",0.005,0.009,0.023
"P48","Muy buena",0.049,0.022,0.133
"P48","Buena",0.071,0.031,0.218
"P48","Ni buena ni mala",0.085,0.048,0.246
"P48","Mala",0.142,0.093,0.144
"P48","Muy mala",0.65,0.798,0.242
"P48","No sabe",0.003,0.008,0.017
"P49","Muy buena",0.111,0.034,0.453
"P49","Buena",0.059,0.024,0.123
"P49","Ni buena ni mala",0.03,0.045,0.093
"P49","Mala",0.059,0.053,0.068
"P49","Muy mala",0.737,0.84,0.253
"P49","No sabe",0.004,0.004,0.01
"P50","Muy buena",0.286,0.13,0.083
"P50","Buena",0.285,0.2,0.074
"P50","Ni buena ni mala",0.161,0.245,0.11
"P50","Mala",0.089,0.146,0.168
"P50","Muy mala",0.175,0.277,0.551
"P50","No sabe",0.004,0.002,0.014
"P51","Muy buena",0.317,0.073,0.043
"P51","Buena",0.36,0.208,0.091
"P51","Ni buena ni mala",0.153,0.319,0.192
"P51","Mala",0.065,0.15,0.176
"P51","Muy mala",0.103,0.236,0.45
"P51","No sabe",0.002,0.014,0.048
"P52","Muy buena",0.074,0.028,0.118
"P52","Buena",0.111,0.072,0.216
"P52","Ni buena ni mala",0.146,0.139,0.298
"P52","Mala",0.175,0.159,0.12
"P52","Muy mala",0.491,0.588,0.217
"P52","No sabe",0.003,0.014,0.031
"P53","Muy buena",0.398,0.337,0.1
"P53","Buena",0.225,0.204,0.085
"P53","Ni buena ni mala",0.136,0.189,0.149
"P53","Mala",0.067,0.091,0.127
"P53","Muy mala",0.172,0.168,0.497
"P53","No sabe",0.002,0.011,0.042
"P54","Muy buena",0.07,0.462,0.057
"P54","Buena",0.118,0.286,0.043
"P54","Ni buena ni mala",0.375,0.166,0.202
"P54","Mala",0.198,0.04,0.134
"P54","Muy mala",0.225,0.04,0.523
"P54","No sabe",0.014,0.006,0.041
"P55","Muy buena",0.298,0.167,0.063
"P55","Buena",0.321,0.232,0.087
"P55","Ni buena ni mala",0.154,0.271,0.163
"P55","Mala",0.075,0.125,0.149
"P55","Muy mala",0.145,0.188,0.503
"P55","No sabe",0.007,0.017,0.035
"P56","Muy buena",0.057,0.043,0.112
"P56","Buena",0.097,0.072,0.244
"P56","Ni buena ni mala",0.135,0.121,0.278
"P56","Mala",0.222,0.161,0.105
"P56","Muy mala",0.482,0.588,0.236
"P56","No sabe",0.007,0.015,0.025
"P57","Muy buena",0.107,0.068,0.052
"P57","Buena",0.174,0.117,0.098
"P57","Ni buena ni mala",0.32,0.265,0.384
"P57","Mala",0.181,0.163,0.171
"P57","Muy mala",0.191,0.325,0.213
"P57","No sabe",0.027,0.062,0.082
"P58","Muy buena",0.123,0.051,0.015
"P58","Buena",0.244,0.102,0.049
"P58","Ni buena ni mala",0.371,0.37,0.31
"P58","Mala",0.1,0.131,0.159
"P58","Muy mala",0.105,0.269,0.367
"P58","No sabe",0.057,0.077,0.1
"P59","Siempre",0.331,0.28,0.326
"P59","Casi siempre",0.396,0.403,0.347
"P59","Casi nunca",0.183,0.226,0.216
"P59","Nunca, pero esta es una excepción",0.09,0.091,0.111
"P60","Si",0.575,0.562,0.563
"P60","No",0.425,0.438,0.437
