"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Nicolás del Caño – Myriam Bregman","Otros candidatos"
"P09","De Cambiemos",0.787,0.642,0.107,0.06,0.094,0.086,0.242
"P09","De los Liberales libertarios",0.06,0.094,0.05,0.012,0.707,0.047,0.071
"P09","De la Izquierda",0.006,0.024,0.012,0.019,0.017,0.634,0.065
"P09","No sabe",0.08,0.16,0.236,0.117,0.133,0.155,0.529
"P10","A Alberto Fernández",0.229,0.259,0.617,0.196,0.114,0.196,0.159
"P10","A Sergio Massa",0.079,0.145,0.197,0.184,0.323,0.134,0.181
"P10","A algún candidato del peronismo",0.61,0.415,0.132,0.126,0.396,0.455,0.43
"P10","A algún candidato del kirchnerismo",0.082,0.181,0.054,0.494,0.167,0.215,0.23
"P11","A Alberto Fernández",0.229,0.09,0.599,0.098,0.027,0.127,0.032
"P11","A Sergio Massa",0.085,0.313,0.144,0.118,0.171,0.305,0.164
"P11","A algún candidato del peronismo",0.611,0.467,0.097,0.064,0.7,0.2,0.576
"P11","A Cristina Fernández de Kirchner",0.075,0.13,0.16,0.72,0.102,0.368,0.228
"P12","A Horacio Rodriguez Larreta",0.111,0.559,0.402,0.307,0.197,0.425,0.053
"P12","A Mauricio Macri",0.548,0.121,0.018,0.217,0.218,0.087,0.136
"P12","A Patricia Bullrich",0.32,0.173,0.128,0.038,0.477,0.124,0.566
"P12","A Facundo Manes",0.018,0.065,0.304,0.333,0.079,0.364,0.164
"P12","A Gerardo Morales",0.003,0.082,0.148,0.105,0.029,0,0.081
"P13","Seguro lo votaria",0.184,0.212,0.352,0.092,0.441,0.168,0.102
"P13","Quizás lo votaría",0.366,0.262,0.11,0.234,0.278,0.38,0.312
"P13","Nunca lo votaría",0.45,0.526,0.538,0.674,0.281,0.452,0.586
"P14","Lo votaría",0.711,0.232,0.088,0.032,0.126,0.103,0.08
"P14","Puede que lo vote",0.189,0.403,0.077,0.04,0.333,0.075,0.219
"P14","Nunca lo votaría",0.075,0.282,0.698,0.849,0.438,0.67,0.465
"P14","No sabe",0.025,0.083,0.137,0.079,0.103,0.152,0.236
"P15","Lo votaría",0.1,0.074,0.307,0.24,0.042,0.036,0.051
"P15","Puede que lo vote",0.059,0.149,0.274,0.403,0.114,0.134,0.132
"P15","Nunca lo votaría",0.802,0.714,0.281,0.253,0.784,0.695,0.613
"P15","No sabe",0.039,0.063,0.138,0.104,0.06,0.135,0.204
"P16","Lo votaría",0.02,0.039,0.586,0.273,0.015,0.062,0.025
"P16","Puede que lo vote",0.02,0.06,0.194,0.39,0.047,0.193,0.077
"P16","Nunca lo votaría",0.941,0.874,0.094,0.23,0.905,0.618,0.744
"P16","No sabe",0.019,0.027,0.126,0.107,0.033,0.127,0.154
"P17","La votaría",0.022,0.025,0.552,0.804,0.018,0.136,0.051
"P17","Puede que la vote",0.01,0.041,0.164,0.13,0.031,0.212,0.073
"P17","Nunca la votaría",0.955,0.917,0.176,0.043,0.931,0.549,0.726
"P17","No sabe",0.013,0.017,0.108,0.023,0.02,0.103,0.15
"P18","Lo votaría",0.25,0.48,0.133,0.074,0.049,0.067,0.063
"P18","Puede que lo vote",0.46,0.322,0.153,0.059,0.243,0.067,0.238
"P18","Nunca lo votaría",0.247,0.148,0.571,0.793,0.622,0.768,0.462
"P18","No sabe",0.043,0.05,0.143,0.074,0.086,0.098,0.237
"P19","Lo votaría",0.071,0.168,0.064,0.036,0.05,0.039,0.11
"P19","Puede que lo vote",0.232,0.396,0.191,0.155,0.216,0.184,0.195
"P19","Nunca lo votaría",0.614,0.328,0.522,0.655,0.591,0.642,0.436
"P19","No sabe",0.083,0.108,0.223,0.154,0.143,0.135,0.259
"P20","La votaría",0.571,0.321,0.059,0.023,0.249,0.095,0.231
"P20","Puede que la vote",0.239,0.355,0.123,0.042,0.325,0.134,0.131
"P20","Nunca la votaría",0.137,0.261,0.678,0.877,0.353,0.726,0.443
"P20","No sabe",0.053,0.063,0.14,0.058,0.073,0.045,0.195
"P21","Lo votaría",0.142,0.134,0.067,0.022,0.731,0.059,0.061
"P21","Puede que lo vote",0.347,0.262,0.118,0.043,0.192,0.115,0.183
"P21","Nunca lo votaría",0.442,0.535,0.657,0.87,0.064,0.771,0.555
"P21","No sabe",0.069,0.069,0.158,0.065,0.013,0.055,0.201
"P22","La votaría",0.294,0.21,0.036,0.026,0.154,0.078,0.06
"P22","Puede que la vote",0.411,0.363,0.098,0.037,0.213,0.074,0.205
"P22","Nunca la votaría",0.219,0.312,0.663,0.854,0.538,0.777,0.511
"P22","No sabe",0.076,0.115,0.203,0.083,0.095,0.071,0.224
"P23","Lo votaría",0.034,0.034,0.284,0.151,0.034,0.032,0.043
"P23","Puede que lo vote",0.066,0.108,0.275,0.431,0.065,0.137,0.095
"P23","Nunca lo votaría",0.863,0.805,0.316,0.324,0.849,0.701,0.681
"P23","No sabe",0.037,0.053,0.125,0.094,0.052,0.13,0.181
"P24","Lo votaría",0.063,0.183,0.076,0.026,0.021,0.048,0.04
"P24","Puede que lo vote",0.247,0.325,0.138,0.093,0.107,0.045,0.156
"P24","Nunca lo votaría",0.611,0.393,0.565,0.747,0.737,0.763,0.551
"P24","No sabe",0.079,0.099,0.221,0.134,0.135,0.144,0.253
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.029,0.036,0.654,0.929,0.008,0.063,0.041
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.891,0.49,0.053,0.019,0.032,0.046,0.115
"P29","Javier Milei – José Luis Espert por los liberales",0.054,0.143,0.04,0.014,0.91,0.083,0.054
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.002,0.032,0.023,0.017,0.013,0.754,0.021
"P29","Otro candidato",0.024,0.299,0.23,0.021,0.037,0.054,0.769
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.586,0.756,0.15,0.086,0.019,0.023,0.102
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.095,0.055,0.681,0.577,0.009,0.074,0.039
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.15,0.089,0.057,0.033,0.924,0.051,0.083
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.005,0.016,0.02,0.05,0.008,0.777,0.025
"P31","Otro candidato",0.164,0.084,0.092,0.254,0.04,0.075,0.751
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.05,0.108,0.51,0.632,0.008,0.037,0.091
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.794,0.58,0.104,0.038,0.131,0.124,0.28
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.07,0.108,0.065,0.032,0.828,0.021,0.039
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.006,0.028,0.037,0.036,0.004,0.758,0.02
"P33","Otro candidato",0.08,0.176,0.284,0.262,0.029,0.06,0.57
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.086,0.074,0.468,0.611,0.027,0.043,0.116
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.554,0.735,0.086,0.067,0.026,0.017,0.121
"P35","Javier Milei – José Luis Espert por los liberales",0.174,0.087,0.082,0.024,0.887,0.048,0.065
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.007,0.02,0.04,0.04,0.003,0.779,0.014
"P35","Otro candidato",0.179,0.084,0.324,0.258,0.057,0.113,0.684
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.05,0.071,0.59,0.889,0.004,0.056,0.053
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.573,0.797,0.071,0.044,0.029,0.056,0.137
"P37","Javier Milei – José Luis Espert por los liberales",0.182,0.078,0.059,0.011,0.916,0.04,0.083
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.007,0.003,0.034,0.006,0.004,0.753,0.016
"P37","Otro candidato",0.188,0.051,0.246,0.05,0.047,0.095,0.711
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.025,0.056,0.502,0.7,0.01,0.066,0.101
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.859,0.586,0.043,0.024,0.047,0.056,0.135
"P38","Javier Milei – José Luis Espert por los liberales",0.052,0.136,0.075,0.02,0.897,0.048,0.061
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.006,0.018,0.081,0.039,0.012,0.734,0.014
"P38","Otro candidato",0.058,0.204,0.299,0.217,0.034,0.096,0.689
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.06,0.063,0.651,0.909,0.035,0.32,0.073
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.89,0.644,0.052,0.048,0.407,0.126,0.293
"P39","No sabe",0.05,0.293,0.297,0.043,0.558,0.554,0.634
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.033,0.027,0.765,0.716,0.03,0.285,0.06
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.747,0.844,0.051,0.03,0.377,0.154,0.26
"P40","No sabe",0.22,0.129,0.184,0.254,0.593,0.561,0.68
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.021,0.063,0.534,0.729,0.025,0.333,0.128
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.861,0.677,0.045,0.015,0.551,0.118,0.394
"P41","No sabe",0.118,0.26,0.421,0.256,0.424,0.549,0.478
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.021,0.042,0.564,0.917,0.012,0.343,0.083
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.733,0.838,0.052,0.022,0.445,0.147,0.29
"P42","No sabe",0.246,0.12,0.384,0.061,0.543,0.51,0.627
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.022,0.023,0.507,0.743,0.029,0.292,0.124
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.738,0.867,0.058,0.027,0.413,0.121,0.267
"P43","No sabe",0.24,0.11,0.435,0.23,0.558,0.587,0.609
"P44","Mauricio Macri – María Eugenia Vidal",0.837,0.558,0.125,0.097,0.434,0.124,0.269
"P44","Sergio Massa – Wado de Pedro",0.096,0.185,0.459,0.658,0.101,0.342,0.16
"P44","No sabe",0.067,0.257,0.416,0.245,0.465,0.534,0.571
"P45","Sergio Massa – Wado de Pedro",0.11,0.127,0.451,0.676,0.068,0.372,0.123
"P45","Javier Milei – José Luis Espert",0.436,0.316,0.136,0.116,0.829,0.197,0.263
"P45","No sabe",0.454,0.557,0.413,0.208,0.103,0.431,0.614
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.525,0.714,0.181,0.145,0.036,0.133,0.222
"P46","Javier Milei – José Luis Espert",0.254,0.105,0.131,0.046,0.892,0.157,0.189
"P46","No sabe",0.221,0.181,0.688,0.809,0.072,0.71,0.589
"P47","Muy buena",0.059,0.1,0.217,0.13,0.008,0.026,0.027
"P47","Buena",0.032,0.024,0.246,0.325,0.102,0.075,0.038
"P47","Ni buena ni mala",0.039,0.073,0.307,0.388,0.057,0.228,0.176
"P47","Mala",0.079,0.198,0.134,0.114,0.083,0.349,0.145
"P47","Muy mala",0.777,0.604,0.085,0.031,0.74,0.308,0.577
"P47","No sabe",0.014,0.001,0.011,0.012,0.01,0.014,0.037
"P48","Muy buena",0.022,0.027,0.423,0.162,0.004,0.081,0.021
"P48","Buena",0.009,0.011,0.317,0.346,0.013,0.046,0.028
"P48","Ni buena ni mala",0.034,0.089,0.149,0.304,0.047,0.178,0.163
"P48","Mala",0.081,0.199,0.036,0.143,0.087,0.278,0.199
"P48","Muy mala",0.839,0.673,0.064,0.039,0.838,0.417,0.569
"P48","No sabe",0.015,0.001,0.011,0.006,0.011,0,0.02
"P49","Muy buena",0.017,0.023,0.376,0.703,0.009,0.179,0.038
"P49","Buena",0.008,0.014,0.236,0.192,0.006,0.082,0.042
"P49","Ni buena ni mala",0.021,0.045,0.194,0.073,0.039,0.171,0.099
"P49","Mala",0.043,0.102,0.085,0.016,0.06,0.282,0.113
"P49","Muy mala",0.903,0.814,0.103,0.013,0.88,0.282,0.683
"P49","No sabe",0.008,0.002,0.006,0.003,0.006,0.004,0.025
"P50","Muy buena",0.44,0.11,0.147,0.071,0.06,0.089,0.046
"P50","Buena",0.337,0.277,0.05,0.034,0.171,0.061,0.15
"P50","Ni buena ni mala",0.096,0.304,0.112,0.049,0.291,0.089,0.244
"P50","Mala",0.019,0.124,0.297,0.179,0.174,0.137,0.168
"P50","Muy mala",0.103,0.182,0.385,0.656,0.303,0.624,0.368
"P50","No sabe",0.005,0.003,0.009,0.011,0.001,0,0.024
"P51","Muy buena",0.239,0.434,0.121,0.016,0.051,0.036,0.053
"P51","Buena",0.446,0.357,0.083,0.018,0.174,0.051,0.15
"P51","Ni buena ni mala",0.229,0.149,0.183,0.13,0.316,0.116,0.356
"P51","Mala",0.042,0.035,0.331,0.192,0.165,0.229,0.147
"P51","Muy mala",0.029,0.018,0.265,0.605,0.274,0.566,0.248
"P51","No sabe",0.015,0.007,0.017,0.039,0.02,0.002,0.046
"P52","Muy buena",0.038,0.082,0.249,0.157,0.009,0.022,0.035
"P52","Buena",0.065,0.119,0.272,0.307,0.036,0.066,0.073
"P52","Ni buena ni mala",0.118,0.176,0.287,0.325,0.153,0.193,0.194
"P52","Mala",0.147,0.183,0.1,0.103,0.165,0.316,0.168
"P52","Muy mala",0.626,0.433,0.083,0.087,0.622,0.401,0.471
"P52","No sabe",0.006,0.007,0.009,0.021,0.015,0.002,0.059
"P53","Muy buena",0.567,0.281,0.096,0.027,0.287,0.126,0.22
"P53","Buena",0.229,0.264,0.08,0.048,0.217,0.05,0.149
"P53","Ni buena ni mala",0.089,0.246,0.239,0.093,0.233,0.138,0.189
"P53","Mala",0.03,0.079,0.17,0.15,0.107,0.053,0.097
"P53","Muy mala",0.076,0.123,0.384,0.65,0.139,0.631,0.298
"P53","No sabe",0.009,0.007,0.031,0.032,0.017,0.002,0.047
"P54","Muy buena",0.132,0.082,0.115,0.017,0.608,0.055,0.04
"P54","Buena",0.215,0.144,0.128,0.01,0.247,0.069,0.103
"P54","Ni buena ni mala",0.433,0.439,0.188,0.107,0.1,0.084,0.314
"P54","Mala",0.134,0.195,0.145,0.145,0.02,0.075,0.178
"P54","Muy mala",0.073,0.128,0.386,0.69,0.021,0.692,0.298
"P54","No sabe",0.013,0.012,0.038,0.031,0.004,0.025,0.067
"P55","Muy buena",0.374,0.262,0.065,0.013,0.148,0.054,0.087
"P55","Buena",0.389,0.316,0.116,0.016,0.208,0.073,0.187
"P55","Ni buena ni mala",0.186,0.258,0.117,0.086,0.271,0.116,0.31
"P55","Mala",0.024,0.088,0.285,0.151,0.145,0.217,0.145
"P55","Muy mala",0.016,0.059,0.39,0.707,0.216,0.515,0.221
"P55","No sabe",0.011,0.017,0.027,0.027,0.012,0.025,0.05
"P56","Muy buena",0.051,0.04,0.32,0.134,0.024,0.033,0.03
"P56","Buena",0.053,0.06,0.315,0.354,0.053,0.07,0.058
"P56","Ni buena ni mala",0.118,0.161,0.17,0.304,0.127,0.193,0.205
"P56","Mala",0.175,0.267,0.083,0.063,0.164,0.267,0.219
"P56","Muy mala",0.597,0.464,0.101,0.119,0.615,0.43,0.46
"P56","No sabe",0.006,0.008,0.011,0.026,0.017,0.007,0.028
"P57","Muy buena",0.05,0.148,0.159,0.047,0.061,0.053,0.094
"P57","Buena",0.083,0.197,0.16,0.128,0.11,0.075,0.152
"P57","Ni buena ni mala",0.294,0.326,0.367,0.408,0.292,0.243,0.285
"P57","Mala",0.211,0.13,0.117,0.166,0.158,0.248,0.183
"P57","Muy mala",0.331,0.155,0.134,0.169,0.3,0.372,0.234
"P57","No sabe",0.031,0.044,0.063,0.082,0.079,0.009,0.052
"P58","Muy buena",0.06,0.221,0.089,0.012,0.035,0,0.026
"P58","Buena",0.199,0.275,0.052,0.032,0.084,0.029,0.139
"P58","Ni buena ni mala",0.435,0.359,0.396,0.246,0.372,0.191,0.377
"P58","Mala",0.13,0.058,0.168,0.174,0.117,0.13,0.14
"P58","Muy mala",0.124,0.03,0.207,0.443,0.289,0.601,0.22
"P58","No sabe",0.052,0.057,0.088,0.093,0.103,0.049,0.098
"P59","Siempre",0.332,0.324,0.329,0.346,0.264,0.316,0.269
"P59","Casi siempre",0.413,0.37,0.262,0.376,0.387,0.29,0.358
"P59","Casi nunca",0.185,0.225,0.243,0.176,0.236,0.304,0.249
"P59","Nunca, pero esta es una excepción",0.07,0.081,0.166,0.102,0.113,0.09,0.124
"P60","Si",0.587,0.544,0.637,0.606,0.536,0.631,0.458
"P60","No",0.413,0.456,0.363,0.394,0.464,0.369,0.542
