"var","categoria","Sergio Massa – Wado de Pedro","Javier Milei – José Luis Espert","No sabe"
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.532,0.087,0.161
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.068,0.546,0.08
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.072,0.014,0.043
"P31","Otro candidato",0.188,0.103,0.326
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.655,0.076,0.073
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.115,0.393,0.436
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.049,0.45,0.083
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.053,0.009,0.055
"P33","Otro candidato",0.128,0.072,0.353
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.634,0.095,0.084
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.136,0.24,0.38
"P35","Javier Milei – José Luis Espert por los liberales",0.056,0.548,0.081
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.06,0.012,0.05
"P35","Otro candidato",0.114,0.105,0.405
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.72,0.076,0.215
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.109,0.26,0.378
"P37","Javier Milei – José Luis Espert por los liberales",0.066,0.568,0.084
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.032,0.009,0.035
"P37","Otro candidato",0.073,0.087,0.288
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.685,0.08,0.066
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.11,0.332,0.407
"P38","Javier Milei – José Luis Espert por los liberales",0.058,0.502,0.075
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.05,0.015,0.051
"P38","Otro candidato",0.097,0.071,0.401
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.756,0.108,0.214
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.16,0.582,0.438
"P39","No sabe",0.084,0.31,0.348
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.65,0.098,0.134
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.159,0.542,0.41
"P40","No sabe",0.191,0.36,0.456
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.769,0.09,0.054
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.144,0.647,0.454
"P41","No sabe",0.087,0.263,0.492
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.773,0.095,0.178
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.153,0.574,0.405
"P42","No sabe",0.074,0.331,0.417
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.756,0.096,0.053
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.149,0.567,0.405
"P43","No sabe",0.095,0.337,0.542
"P44","Mauricio Macri – María Eugenia Vidal",0.271,0.531,0.373
"P44","Sergio Massa – Wado de Pedro",0.676,0.197,0.089
"P44","No sabe",0.053,0.272,0.538
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.274,0.235,0.344
"P46","Javier Milei – José Luis Espert",0.101,0.665,0.048
"P46","No sabe",0.625,0.1,0.608
"P47","Muy buena",0.165,0.033,0.047
"P47","Buena",0.317,0.066,0.071
"P47","Ni buena ni mala",0.277,0.085,0.192
"P47","Mala",0.13,0.088,0.146
"P47","Muy mala",0.099,0.72,0.522
"P47","No sabe",0.012,0.008,0.022
"P48","Muy buena",0.146,0.029,0.07
"P48","Buena",0.311,0.04,0.05
"P48","Ni buena ni mala",0.236,0.058,0.154
"P48","Mala",0.141,0.098,0.152
"P48","Muy mala",0.159,0.767,0.559
"P48","No sabe",0.007,0.008,0.015
"P49","Muy buena",0.575,0.049,0.143
"P49","Buena",0.15,0.037,0.055
"P49","Ni buena ni mala",0.055,0.039,0.091
"P49","Mala",0.045,0.049,0.088
"P49","Muy mala",0.169,0.823,0.611
"P49","No sabe",0.006,0.003,0.012
"P50","Muy buena",0.091,0.177,0.185
"P50","Buena",0.081,0.226,0.187
"P50","Ni buena ni mala",0.069,0.228,0.173
"P50","Mala",0.169,0.117,0.138
"P50","Muy mala",0.583,0.251,0.302
"P50","No sabe",0.007,0.001,0.015
"P51","Muy buena",0.072,0.131,0.179
"P51","Buena",0.084,0.254,0.244
"P51","Ni buena ni mala",0.144,0.262,0.234
"P51","Mala",0.191,0.123,0.105
"P51","Muy mala",0.498,0.216,0.19
"P51","No sabe",0.011,0.014,0.048
"P52","Muy buena",0.181,0.031,0.045
"P52","Buena",0.316,0.075,0.073
"P52","Ni buena ni mala",0.275,0.133,0.233
"P52","Mala",0.109,0.157,0.168
"P52","Muy mala",0.118,0.592,0.442
"P52","No sabe",0.001,0.012,0.039
"P53","Muy buena",0.078,0.377,0.269
"P53","Buena",0.082,0.213,0.169
"P53","Ni buena ni mala",0.092,0.185,0.181
"P53","Mala",0.117,0.077,0.109
"P53","Muy mala",0.615,0.142,0.229
"P53","No sabe",0.016,0.006,0.043
"P54","Muy buena",0.055,0.368,0.078
"P54","Buena",0.067,0.252,0.065
"P54","Ni buena ni mala",0.125,0.222,0.36
"P54","Mala",0.136,0.072,0.172
"P54","Muy mala",0.598,0.08,0.279
"P54","No sabe",0.019,0.006,0.046
"P55","Muy buena",0.048,0.211,0.199
"P55","Buena",0.087,0.26,0.219
"P55","Ni buena ni mala",0.107,0.233,0.221
"P55","Mala",0.162,0.102,0.107
"P55","Muy mala",0.585,0.183,0.212
"P55","No sabe",0.011,0.011,0.042
"P56","Muy buena",0.155,0.044,0.044
"P56","Buena",0.35,0.063,0.08
"P56","Ni buena ni mala",0.255,0.122,0.214
"P56","Mala",0.093,0.17,0.19
"P56","Muy mala",0.136,0.592,0.441
"P56","No sabe",0.011,0.009,0.031
"P57","Muy buena",0.076,0.075,0.067
"P57","Buena",0.135,0.132,0.11
"P57","Ni buena ni mala",0.378,0.287,0.339
"P57","Mala",0.178,0.172,0.165
"P57","Muy mala",0.179,0.287,0.239
"P57","No sabe",0.054,0.047,0.08
"P58","Muy buena",0.026,0.066,0.071
"P58","Buena",0.059,0.137,0.153
"P58","Ni buena ni mala",0.286,0.368,0.37
"P58","Mala",0.176,0.123,0.111
"P58","Muy mala",0.388,0.225,0.199
"P58","No sabe",0.065,0.081,0.096
"P59","Siempre",0.35,0.296,0.303
"P59","Casi siempre",0.382,0.404,0.344
"P59","Casi nunca",0.183,0.217,0.224
"P59","Nunca, pero esta es una excepción",0.085,0.083,0.129
"P60","Si",0.615,0.558,0.534
"P60","No",0.385,0.442,0.466
