"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P41","No sabe",0.253,0.106,0.424,0.488,0.542
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.91,0.019,0.027,0.336,0.064
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.021,0.797,0.452,0.123,0.366
"P42","No sabe",0.069,0.184,0.521,0.541,0.57
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.744,0.019,0.033,0.31,0.081
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.025,0.792,0.432,0.146,0.379
"P43","No sabe",0.231,0.189,0.535,0.544,0.54
"P44","Mauricio Macri – María Eugenia Vidal",0.109,0.811,0.44,0.1,0.227
"P44","Sergio Massa – Wado de Pedro",0.649,0.123,0.101,0.373,0.162
"P44","No sabe",0.242,0.066,0.459,0.527,0.611
"P45","Sergio Massa – Wado de Pedro",0.671,0.109,0.077,0.377,0.119
"P45","Javier Milei – José Luis Espert",0.11,0.41,0.807,0.173,0.209
"P45","No sabe",0.219,0.481,0.116,0.45,0.672
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.15,0.602,0.057,0.204,0.333
"P46","Javier Milei – José Luis Espert",0.05,0.199,0.846,0.162,0.132
"P46","No sabe",0.8,0.199,0.097,0.634,0.535
"P47","Muy buena",0.132,0.076,0.025,0.054,0.042
"P47","Buena",0.325,0.024,0.095,0.097,0.041
"P47","Ni buena ni mala",0.382,0.029,0.072,0.273,0.169
"P47","Mala",0.113,0.103,0.091,0.322,0.173
"P47","Muy mala",0.034,0.758,0.709,0.244,0.546
"P47","No sabe",0.014,0.01,0.008,0.01,0.029
"P48","Muy buena",0.193,0.021,0.019,0.061,0.029
"P48","Buena",0.348,0.01,0.011,0.03,0.047
"P48","Ni buena ni mala",0.284,0.027,0.062,0.294,0.159
"P48","Mala",0.13,0.099,0.103,0.253,0.202
"P48","Muy mala",0.036,0.833,0.796,0.362,0.547
"P48","No sabe",0.009,0.01,0.009,0,0.016
"P49","Muy buena",0.69,0.016,0.01,0.144,0.038
"P49","Buena",0.193,0.006,0.016,0.148,0.038
"P49","Ni buena ni mala",0.079,0.014,0.046,0.19,0.116
"P49","Mala",0.017,0.053,0.074,0.219,0.117
"P49","Muy mala",0.015,0.906,0.849,0.296,0.672
"P49","No sabe",0.006,0.005,0.005,0.003,0.019
"P50","Muy buena",0.076,0.377,0.062,0.046,0.058
"P50","Buena",0.038,0.347,0.184,0.065,0.11
"P50","Ni buena ni mala",0.06,0.128,0.298,0.098,0.259
"P50","Mala",0.188,0.031,0.16,0.164,0.211
"P50","Muy mala",0.627,0.113,0.294,0.627,0.342
"P50","No sabe",0.011,0.004,0.002,0,0.02
"P51","Muy buena",0.024,0.306,0.068,0.061,0.131
"P51","Buena",0.025,0.423,0.189,0.052,0.2
"P51","Ni buena ni mala",0.127,0.197,0.318,0.159,0.311
"P51","Mala",0.21,0.042,0.144,0.237,0.129
"P51","Muy mala",0.572,0.024,0.262,0.487,0.191
"P51","No sabe",0.042,0.008,0.019,0.004,0.038
"P52","Muy buena",0.167,0.048,0.027,0.006,0.051
"P52","Buena",0.309,0.067,0.051,0.11,0.096
"P52","Ni buena ni mala",0.331,0.103,0.159,0.285,0.21
"P52","Mala",0.093,0.154,0.172,0.259,0.186
"P52","Muy mala",0.081,0.622,0.576,0.338,0.409
"P52","No sabe",0.019,0.006,0.015,0.002,0.048
"P53","Muy buena",0.028,0.522,0.293,0.038,0.196
"P53","Buena",0.054,0.235,0.212,0.104,0.168
"P53","Ni buena ni mala",0.115,0.106,0.245,0.178,0.202
"P53","Mala",0.142,0.038,0.094,0.09,0.141
"P53","Muy mala",0.628,0.092,0.139,0.588,0.253
"P53","No sabe",0.033,0.007,0.017,0.002,0.04
"P54","Muy buena",0.015,0.109,0.579,0.018,0.05
"P54","Buena",0.029,0.192,0.25,0.069,0.081
"P54","Ni buena ni mala",0.125,0.445,0.12,0.187,0.301
"P54","Mala",0.138,0.153,0.024,0.098,0.215
"P54","Muy mala",0.663,0.085,0.024,0.618,0.294
"P54","No sabe",0.03,0.016,0.003,0.01,0.059
"P55","Muy buena",0.01,0.373,0.161,0.018,0.092
"P55","Buena",0.023,0.378,0.221,0.11,0.192
"P55","Ni buena ni mala",0.1,0.186,0.266,0.141,0.303
"P55","Mala",0.161,0.028,0.138,0.22,0.169
"P55","Muy mala",0.677,0.024,0.205,0.47,0.203
"P55","No sabe",0.029,0.011,0.009,0.041,0.041
"P56","Muy buena",0.145,0.052,0.035,0.04,0.048
"P56","Buena",0.353,0.054,0.056,0.114,0.068
"P56","Ni buena ni mala",0.307,0.098,0.139,0.216,0.204
"P56","Mala",0.058,0.191,0.168,0.25,0.257
"P56","Muy mala",0.113,0.598,0.587,0.343,0.402
"P56","No sabe",0.024,0.007,0.015,0.037,0.021
"P57","Muy buena",0.051,0.069,0.068,0.137,0.119
"P57","Buena",0.13,0.114,0.121,0.076,0.155
"P57","Ni buena ni mala",0.417,0.3,0.295,0.212,0.288
"P57","Mala",0.152,0.206,0.155,0.23,0.16
"P57","Muy mala",0.162,0.284,0.293,0.294,0.221
"P57","No sabe",0.088,0.027,0.068,0.051,0.057
"P58","Muy buena",0.009,0.1,0.052,0.072,0.075
"P58","Buena",0.036,0.225,0.095,0.021,0.161
"P58","Ni buena ni mala",0.266,0.401,0.383,0.201,0.376
"P58","Mala",0.171,0.123,0.113,0.148,0.106
"P58","Muy mala",0.422,0.097,0.272,0.455,0.189
"P58","No sabe",0.096,0.054,0.085,0.103,0.093
"P59","Siempre",0.342,0.349,0.272,0.283,0.256
"P59","Casi siempre",0.369,0.401,0.372,0.329,0.366
"P59","Casi nunca",0.185,0.176,0.257,0.238,0.248
"P59","Nunca, pero esta es una excepción",0.104,0.074,0.099,0.15,0.13
"P60","Si",0.61,0.586,0.521,0.637,0.487
"P60","No",0.39,0.414,0.479,0.363,0.513
