"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P44","Ni buena ni mala",0.275,0.309,0.145,0.333
"P44","Mala",0.16,0.186,0.14,0.168
"P44","Muy mala",0.303,0.236,0.476,0.15
"P44","No sabe",0.028,0.015,0.024,0.154
"P45","Muy buena",0.594,0.171,0.053,0.063
"P45","Buena",0.194,0.45,0.079,0.154
"P45","Ni buena ni mala",0.077,0.259,0.156,0.381
"P45","Mala",0.034,0.061,0.162,0.118
"P45","Muy mala",0.1,0.044,0.54,0.157
"P45","No sabe",0.001,0.015,0.01,0.127
"P46","Muy buena",0.098,0.039,0.075,0.092
"P46","Buena",0.079,0.08,0.234,0.094
"P46","Ni buena ni mala",0.105,0.115,0.237,0.287
"P46","Mala",0.127,0.178,0.118,0.123
"P46","Muy mala",0.574,0.571,0.324,0.283
"P46","No sabe",0.017,0.017,0.012,0.121
"P47","Muy buena",0.094,0.06,0.031,0.035
"P47","Buena",0.183,0.177,0.061,0.077
"P47","Ni buena ni mala",0.356,0.372,0.243,0.365
"P47","Mala",0.121,0.132,0.174,0.089
"P47","Muy mala",0.181,0.187,0.41,0.131
"P47","No sabe",0.065,0.072,0.081,0.303
