"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.107,0.618,0.116,0.12,0.167
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.554,0.073,0.046,0.125,0.081
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.018,0.099,0.76,0.117,0.148
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.042,0.012,0.008,0.424,0.014
"P31","Otro candidato",0.279,0.198,0.07,0.214,0.59
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.638,0.071,0.076,0.176,0.061
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.074,0.75,0.16,0.191,0.209
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.02,0.057,0.672,0.071,0.165
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.026,0.012,0.006,0.346,0.01
"P33","Otro candidato",0.242,0.11,0.086,0.216,0.555
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.856,0.082,0.102,0.376,0.087
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.091,0.852,0.467,0.301,0.258
"P35","No sabe",0.053,0.066,0.431,0.323,0.655
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.706,0.048,0.101,0.313,0.098
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.066,0.739,0.396,0.277,0.356
"P36","No sabe",0.228,0.213,0.503,0.41,0.546
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.721,0.036,0.089,0.354,0.092
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.056,0.836,0.52,0.219,0.356
"P37","No sabe",0.223,0.128,0.391,0.427,0.552
"P38","Muy buena",0.131,0.022,0.036,0.121,0.018
"P38","Buena",0.322,0.104,0.076,0.167,0.115
"P38","Ni buena ni mala",0.352,0.07,0.063,0.274,0.185
"P38","Mala",0.122,0.084,0.137,0.191,0.137
"P38","Muy mala",0.061,0.719,0.68,0.247,0.519
"P38","No sabe",0.012,0.001,0.008,0,0.026
"P39","Muy buena",0.106,0.013,0.021,0.064,0.028
"P39","Buena",0.329,0.017,0.047,0.122,0.057
"P39","Ni buena ni mala",0.352,0.055,0.085,0.279,0.132
"P39","Mala",0.121,0.095,0.134,0.22,0.142
"P39","Muy mala",0.085,0.817,0.708,0.313,0.605
"P39","No sabe",0.007,0.003,0.005,0.002,0.036
"P40","Muy buena",0.628,0.025,0.051,0.15,0.034
"P40","Buena",0.185,0.014,0.03,0.104,0.036
"P40","Ni buena ni mala",0.09,0.026,0.057,0.164,0.081
"P40","Mala",0.032,0.056,0.076,0.197,0.106
"P40","Muy mala",0.062,0.875,0.781,0.35,0.71
"P40","No sabe",0.003,0.004,0.005,0.035,0.033
"P41","Muy buena",0.069,0.37,0.078,0.105,0.032
"P41","Buena",0.029,0.316,0.174,0.116,0.103
"P41","Ni buena ni mala",0.072,0.161,0.267,0.167,0.236
"P41","Mala",0.187,0.053,0.242,0.16,0.228
"P41","Muy mala",0.633,0.095,0.235,0.436,0.365
"P41","No sabe",0.01,0.005,0.004,0.016,0.036
"P42","Muy buena",0.033,0.323,0.105,0.113,0.075
"P42","Buena",0.056,0.4,0.174,0.087,0.214
"P42","Ni buena ni mala",0.15,0.171,0.267,0.261,0.304
"P42","Mala",0.205,0.052,0.158,0.161,0.149
"P42","Muy mala",0.537,0.04,0.274,0.338,0.2
"P42","No sabe",0.019,0.014,0.022,0.04,0.058
"P43","Muy buena",0.128,0.035,0.029,0.083,0.021
"P43","Buena",0.316,0.052,0.056,0.151,0.072
"P43","Ni buena ni mala",0.377,0.086,0.126,0.307,0.22
"P43","Mala",0.081,0.165,0.177,0.178,0.169
"P43","Muy mala",0.081,0.648,0.598,0.264,0.455
"P43","No sabe",0.017,0.014,0.014,0.017,0.063
"P44","Muy buena",0.032,0.037,0.354,0.079,0.066
"P44","Buena",0.04,0.137,0.307,0.098,0.078
"P44","Ni buena ni mala",0.115,0.325,0.159,0.209,0.28
"P44","Mala",0.156,0.202,0.073,0.139,0.171
"P44","Muy mala",0.622,0.269,0.1,0.453,0.332
"P44","No sabe",0.035,0.03,0.007,0.022,0.073
"P45","Muy buena",0.022,0.371,0.136,0.117,0.102
"P45","Buena",0.031,0.339,0.207,0.13,0.194
"P45","Ni buena ni mala",0.103,0.182,0.236,0.2,0.283
"P45","Mala",0.151,0.041,0.145,0.133,0.141
"P45","Muy mala",0.68,0.058,0.268,0.391,0.22
"P45","No sabe",0.013,0.009,0.008,0.029,0.06
"P46","Muy buena",0.143,0.042,0.029,0.079,0.043
"P46","Buena",0.361,0.058,0.081,0.16,0.094
"P46","Ni buena ni mala",0.334,0.11,0.102,0.221,0.186
"P46","Mala",0.066,0.135,0.169,0.229,0.169
"P46","Muy mala",0.081,0.635,0.613,0.299,0.444
"P46","No sabe",0.015,0.02,0.006,0.012,0.064
"P47","Muy buena",0.025,0.07,0.044,0.081,0.039
"P47","Buena",0.05,0.188,0.089,0.077,0.099
"P47","Ni buena ni mala",0.213,0.368,0.29,0.324,0.336
"P47","Mala",0.168,0.119,0.141,0.206,0.152
"P47","Muy mala",0.451,0.182,0.312,0.28,0.238
"P47","No sabe",0.093,0.073,0.124,0.032,0.136
