"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Mauricio Macri presidente – María Eugenia Vidal vice","No sabe"
"P18","Puede que lo vote",0.065,0.369,0.221
"P18","Nunca lo votaría",0.821,0.275,0.492
"P18","No sabe",0.062,0.047,0.164
"P19","Lo votaría",0.035,0.158,0.1
"P19","Puede que lo vote",0.105,0.295,0.198
"P19","Nunca lo votaría",0.7,0.448,0.486
"P19","No sabe",0.16,0.099,0.216
"P20","La votaría",0.059,0.485,0.122
"P20","Puede que la vote",0.031,0.276,0.22
"P20","Nunca la votaría",0.862,0.2,0.519
"P20","No sabe",0.048,0.039,0.139
"P21","Lo votaría",0.04,0.201,0.266
"P21","Puede que lo vote",0.038,0.239,0.167
"P21","Nunca lo votaría",0.835,0.502,0.435
"P21","No sabe",0.087,0.058,0.132
"P22","La votaría",0.061,0.269,0.064
"P22","Puede que la vote",0.055,0.351,0.194
"P22","Nunca la votaría",0.806,0.313,0.558
"P22","No sabe",0.078,0.067,0.184
"P23","Lo votaría",0.209,0.04,0.054
"P23","Puede que lo vote",0.402,0.043,0.086
"P23","Nunca lo votaría",0.259,0.883,0.709
"P23","No sabe",0.13,0.034,0.151
"P24","Lo votaría",0.025,0.102,0.036
"P24","Puede que lo vote",0.077,0.227,0.157
"P24","Nunca lo votaría",0.744,0.554,0.542
"P24","No sabe",0.154,0.117,0.265
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.035,0.471,0.046
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.02,0.198,0.149
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.108,0.008,0.059
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.762,0.028,0.033
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.015,0.192,0.318
"P25","Otros candidatos",0.06,0.103,0.395
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.761,0.066,0.061
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.067,0.567,0.071
"P29","Javier Milei – José Luis Espert por los liberales",0.054,0.202,0.299
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.068,0.044,0.075
"P29","Otro candidato",0.05,0.121,0.494
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.072,0.473,0.163
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.545,0.041,0.079
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.026,0.265,0.335
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.075,0.013,0.058
"P31","Otro candidato",0.282,0.208,0.365
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.591,0.077,0.069
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.081,0.592,0.15
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.024,0.205,0.33
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.054,0.007,0.054
"P33","Otro candidato",0.25,0.119,0.397
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.748,0.034,0.062
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.056,0.742,0.207
"P36","No sabe",0.196,0.224,0.731
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.736,0.035,0.076
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.051,0.84,0.219
"P37","No sabe",0.213,0.125,0.705
"P38","Muy buena",0.161,0.006,0.023
"P38","Buena",0.3,0.135,0.056
"P38","Ni buena ni mala",0.341,0.046,0.213
"P38","Mala",0.116,0.077,0.198
"P38","Muy mala",0.073,0.727,0.495
"P38","No sabe",0.009,0.009,0.015
"P39","Muy buena",0.123,0.005,0.02
"P39","Buena",0.328,0.015,0.053
"P39","Ni buena ni mala",0.34,0.056,0.159
"P39","Mala",0.127,0.096,0.173
"P39","Muy mala",0.08,0.822,0.564
"P39","No sabe",0.002,0.006,0.031
"P40","Muy buena",0.604,0.016,0.039
"P40","Buena",0.191,0.011,0.035
"P40","Ni buena ni mala",0.101,0.024,0.101
"P40","Mala",0.039,0.054,0.139
"P40","Muy mala",0.06,0.89,0.655
"P40","No sabe",0.005,0.005,0.031
"P41","Muy buena",0.068,0.282,0.033
"P41","Buena",0.029,0.306,0.065
"P41","Ni buena ni mala",0.061,0.217,0.231
"P41","Mala",0.192,0.092,0.254
"P41","Muy mala",0.644,0.101,0.377
"P41","No sabe",0.006,0.002,0.04
"P42","Muy buena",0.035,0.256,0.083
"P42","Buena",0.041,0.368,0.149
"P42","Ni buena ni mala",0.148,0.218,0.289
"P42","Mala",0.22,0.067,0.159
"P42","Muy mala",0.54,0.082,0.25
"P42","No sabe",0.016,0.009,0.07
"P43","Muy buena",0.12,0.035,0.029
"P43","Buena",0.314,0.049,0.064
"P43","Ni buena ni mala",0.367,0.092,0.23
"P43","Mala",0.097,0.164,0.174
"P43","Muy mala",0.09,0.656,0.43
"P43","No sabe",0.012,0.004,0.073
"P44","Muy buena",0.038,0.119,0.147
"P44","Buena",0.048,0.167,0.155
"P44","Ni buena ni mala",0.104,0.281,0.263
"P44","Mala",0.14,0.179,0.139
"P44","Muy mala",0.636,0.235,0.231
"P44","No sabe",0.034,0.019,0.065
"P45","Muy buena",0.027,0.308,0.09
"P45","Buena",0.026,0.339,0.139
"P45","Ni buena ni mala",0.088,0.199,0.302
"P45","Mala",0.153,0.069,0.146
"P45","Muy mala",0.695,0.079,0.265
"P45","No sabe",0.011,0.006,0.058
"P46","Muy buena",0.124,0.052,0.038
"P46","Buena",0.363,0.071,0.058
"P46","Ni buena ni mala",0.304,0.105,0.202
"P46","Mala",0.082,0.139,0.188
"P46","Muy mala",0.112,0.625,0.452
"P46","No sabe",0.015,0.008,0.062
"P47","Muy buena",0.028,0.067,0.039
"P47","Buena",0.053,0.167,0.075
"P47","Ni buena ni mala",0.204,0.378,0.295
"P47","Mala",0.177,0.127,0.147
"P47","Muy mala",0.457,0.192,0.277
"P47","No sabe",0.081,0.069,0.167
