"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Mauricio Macri","Neutra",0.169,0.168,0.169,0.201,0.166,0.148,0.16,0.164,0.187,0.149,0.167,0.2,0.195,0.153,0.096,0.238,0.066
"Mauricio Macri","Negativa",0.518,0.541,0.498,0.531,0.536,0.523,0.451,0.524,0.509,0.524,0.503,0.461,0.588,0.547,0.774,0.201,0.692
"Mauricio Macri","No sabe",0.013,0.007,0.018,0.021,0.01,0.008,0.017,0.013,0.017,0.007,0.009,0.014,0.007,0.017,0.027,0.001,0
"Javier Milei","Positiva",0.225,0.275,0.177,0.369,0.223,0.15,0.138,0.226,0.242,0.198,0.237,0.27,0.211,0.195,0.105,0.26,0.2
"Javier Milei","Neutra",0.218,0.195,0.239,0.184,0.218,0.247,0.222,0.237,0.214,0.203,0.214,0.235,0.201,0.216,0.114,0.265,0.181
"Javier Milei","Negativa",0.522,0.502,0.541,0.415,0.52,0.578,0.593,0.479,0.509,0.587,0.532,0.429,0.534,0.554,0.734,0.446,0.619
"Javier Milei","No sabe",0.035,0.028,0.043,0.032,0.039,0.025,0.047,0.058,0.035,0.012,0.017,0.066,0.054,0.035,0.047,0.029,0
"Daniel Scioli","Positiva",0.236,0.245,0.229,0.17,0.233,0.269,0.286,0.287,0.22,0.207,0.209,0.241,0.242,0.255,0.441,0.146,0.129
"Daniel Scioli","Neutra",0.196,0.187,0.203,0.212,0.197,0.191,0.175,0.231,0.191,0.165,0.18,0.235,0.242,0.186,0.253,0.129,0.194
"Daniel Scioli","Negativa",0.544,0.549,0.539,0.574,0.548,0.525,0.523,0.449,0.564,0.615,0.597,0.479,0.505,0.535,0.253,0.717,0.677
"Daniel Scioli","No sabe",0.024,0.019,0.029,0.044,0.022,0.015,0.016,0.033,0.025,0.013,0.014,0.045,0.011,0.024,0.053,0.008,0
"Sergio Massa","Positiva",0.202,0.203,0.201,0.139,0.185,0.234,0.282,0.232,0.192,0.184,0.185,0.203,0.257,0.208,0.409,0.081,0.058
"Sergio Massa","Neutra",0.218,0.189,0.245,0.26,0.226,0.202,0.164,0.232,0.219,0.203,0.195,0.271,0.262,0.209,0.293,0.118,0.226
"Sergio Massa","Negativa",0.556,0.587,0.526,0.577,0.56,0.546,0.53,0.495,0.565,0.605,0.604,0.481,0.454,0.561,0.249,0.794,0.716
"Sergio Massa","No sabe",0.024,0.021,0.028,0.024,0.029,0.018,0.024,0.041,0.024,0.008,0.016,0.045,0.027,0.022,0.049,0.007,0
"CFK","Positiva",0.294,0.266,0.319,0.231,0.295,0.329,0.325,0.303,0.287,0.292,0.28,0.245,0.341,0.32,0.646,0.034,0.126
"CFK","Neutra",0.069,0.072,0.067,0.073,0.076,0.062,0.056,0.089,0.073,0.044,0.052,0.098,0.099,0.067,0.123,0.008,0.02
"CFK","Negativa",0.626,0.652,0.602,0.67,0.621,0.603,0.611,0.594,0.629,0.655,0.66,0.645,0.559,0.598,0.219,0.944,0.854
"CFK","No sabe",0.011,0.01,0.012,0.026,0.008,0.006,0.008,0.014,0.011,0.009,0.008,0.012,0.001,0.015,0.012,0.014,0
"Alberto Fernandez","Positiva",0.177,0.161,0.191,0.115,0.185,0.194,0.214,0.19,0.18,0.157,0.162,0.153,0.209,0.195,0.39,0.03,0.16
"Alberto Fernandez","Neutra",0.176,0.151,0.2,0.173,0.172,0.19,0.17,0.212,0.166,0.153,0.159,0.199,0.155,0.183,0.309,0.046,0.126
"Alberto Fernandez","Negativa",0.636,0.682,0.594,0.69,0.633,0.612,0.609,0.586,0.64,0.684,0.671,0.626,0.636,0.612,0.286,0.923,0.714
"Alberto Fernandez","No sabe",0.011,0.006,0.015,0.022,0.01,0.004,0.007,0.012,0.014,0.006,0.008,0.022,0,0.01,0.015,0.001,0
