"fecha","t1 A Tolosa Paz por el Frente de todos","t1 A Santilli y Manes por Juntos","t1 A Del Caño por el Frente de Izquierda","t1 A Espert por Avanza libertad","t1 A Randazo por “Vamos con vos""","t1 A Hotton por “+Valores”","t1 Votaría en blanco o anularía","s1 A Tolosa Paz por el Frente de todos","s1 A Santilli y Manes por Juntos","s1 A Del Caño por el Frente de Izquierda","s1 A Espert por Avanza libertad","s1 A Randazo por “Vamos con vos""","s1 A Hotton por “+Valores”","s1 Votaría en blanco o anularía","s2 A Tolosa Paz por el Frente de todos","s2 A Santilli y Manes por Juntos","s2 A Del Caño por el Frente de Izquierda","s2 A Espert por Avanza libertad","s2 A Randazo por “Vamos con vos""","s2 A Hotton por “+Valores”","s2 Votaría en blanco o anularía","e1 A Tolosa Paz por el Frente de todos","e1 A Santilli y Manes por Juntos","e1 A Del Caño por el Frente de Izquierda","e1 A Espert por Avanza libertad","e1 A Randazo por “Vamos con vos""","e1 A Hotton por “+Valores”","e1 Votaría en blanco o anularía","e2 A Tolosa Paz por el Frente de todos","e2 A Santilli y Manes por Juntos","e2 A Del Caño por el Frente de Izquierda","e2 A Espert por Avanza libertad","e2 A Randazo por “Vamos con vos""","e2 A Hotton por “+Valores”","e2 Votaría en blanco o anularía","e3 A Tolosa Paz por el Frente de todos","e3 A Santilli y Manes por Juntos","e3 A Del Caño por el Frente de Izquierda","e3 A Espert por Avanza libertad","e3 A Randazo por “Vamos con vos""","e3 A Hotton por “+Valores”","e3 Votaría en blanco o anularía","e4 A Tolosa Paz por el Frente de todos","e4 A Santilli y Manes por Juntos","e4 A Del Caño por el Frente de Izquierda","e4 A Espert por Avanza libertad","e4 A Randazo por “Vamos con vos""","e4 A Hotton por “+Valores”","e4 Votaría en blanco o anularía","ed1 A Tolosa Paz por el Frente de todos","ed1 A Santilli y Manes por Juntos","ed1 A Del Caño por el Frente de Izquierda","ed1 A Espert por Avanza libertad","ed1 A Randazo por “Vamos con vos""","ed1 A Hotton por “+Valores”","ed1 Votaría en blanco o anularía","ed2 A Tolosa Paz por el Frente de todos","ed2 A Santilli y Manes por Juntos","ed2 A Del Caño por el Frente de Izquierda","ed2 A Espert por Avanza libertad","ed2 A Randazo por “Vamos con vos""","ed2 A Hotton por “+Valores”","ed2 Votaría en blanco o anularía","ed3 A Tolosa Paz por el Frente de todos","ed3 A Santilli y Manes por Juntos","ed3 A Del Caño por el Frente de Izquierda","ed3 A Espert por Avanza libertad","ed3 A Randazo por “Vamos con vos""","ed3 A Hotton por “+Valores”","ed3 Votaría en blanco o anularía","v1 A Tolosa Paz por el Frente de todos","v1 A Santilli y Manes por Juntos","v1 A Del Caño por el Frente de Izquierda","v1 A Espert por Avanza libertad","v1 A Randazo por “Vamos con vos""","v1 A Hotton por “+Valores”","v1 Votaría en blanco o anularía","v2 A Tolosa Paz por el Frente de todos","v2 A Santilli y Manes por Juntos","v2 A Del Caño por el Frente de Izquierda","v2 A Espert por Avanza libertad","v2 A Randazo por “Vamos con vos""","v2 A Hotton por “+Valores”","v2 Votaría en blanco o anularía","v3 A Tolosa Paz por el Frente de todos","v3 A Santilli y Manes por Juntos","v3 A Del Caño por el Frente de Izquierda","v3 A Espert por Avanza libertad","v3 A Randazo por “Vamos con vos""","v3 A Hotton por “+Valores”","v3 Votaría en blanco o anularía"
2021-10-02,0.398,0.332,0.073,0.064,0.028,NA,0.105,0.342,0.354,0.082,0.095,0.049,NA,0.078,0.449,0.312,0.065,0.036,0.008,NA,0.13,0.273,0.323,0.167,0.063,0.032,NA,0.142,0.449,0.284,0.049,0.079,0.034,NA,0.105,0.351,0.415,0.042,0.079,0.027,NA,0.086,0.541,0.359,0.024,0.002,0.005,NA,0.069,0.434,0.293,0.074,0.035,0.031,NA,0.133,0.418,0.301,0.077,0.057,0.032,NA,0.115,0.293,0.466,0.064,0.129,0.015,NA,0.033,0.595,0.139,0.099,0.017,0.031,NA,0.119,0.164,0.722,0.001,0.069,0.021,NA,0.023,0.107,0.444,0,0.341,0.045,NA,0.063
2021-10-03,0.399,0.359,0.052,0.05,0.027,NA,0.113,0.371,0.391,0.026,0.075,0.045,NA,0.092,0.426,0.329,0.076,0.027,0.01,NA,0.132,0.283,0.361,0.102,0.054,0.034,NA,0.166,0.46,0.278,0.045,0.057,0.035,NA,0.125,0.38,0.45,0.031,0.062,0.016,NA,0.061,0.473,0.448,0.014,0.001,0.006,NA,0.058,0.441,0.342,0.047,0.017,0.029,NA,0.124,0.421,0.301,0.06,0.055,0.03,NA,0.133,0.277,0.519,0.044,0.095,0.016,NA,0.049,0.612,0.153,0.077,0.006,0.019,NA,0.133,0.116,0.802,0,0.039,0.021,NA,0.022,0.023,0.325,0,0.364,0.138,NA,0.15
2021-10-04,0.421,0.352,0.035,0.056,0.023,NA,0.113,0.392,0.386,0.019,0.08,0.031,NA,0.092,0.448,0.32,0.05,0.033,0.017,NA,0.132,0.411,0.284,0.07,0.076,0.03,NA,0.129,0.474,0.292,0.025,0.062,0.026,NA,0.121,0.356,0.476,0.014,0.029,0.023,NA,0.102,0.388,0.461,0.027,0.041,0.005,NA,0.078,0.411,0.386,0.048,0.012,0.013,NA,0.13,0.479,0.272,0.027,0.074,0.038,NA,0.11,0.309,0.47,0.028,0.096,0.01,NA,0.087,0.672,0.156,0.025,0.019,0.007,NA,0.121,0.074,0.763,0.038,0.061,0.025,NA,0.039,0,0.466,0,0.175,0.141,NA,0.218
2021-10-05,0.441,0.311,0.035,0.059,0.024,NA,0.13,0.424,0.321,0.021,0.076,0.037,NA,0.121,0.455,0.303,0.047,0.045,0.012,NA,0.138,0.514,0.199,0.066,0.088,0.048,NA,0.085,0.482,0.276,0.022,0.063,0.015,NA,0.142,0.322,0.429,0.015,0.014,0.021,NA,0.199,0.344,0.477,0.033,0.055,0,NA,0.091,0.445,0.324,0.058,0.015,0,NA,0.158,0.472,0.247,0.019,0.088,0.054,NA,0.12,0.357,0.439,0.024,0.084,0,NA,0.096,0.703,0.119,0.01,0.025,0.006,NA,0.137,0.051,0.739,0.062,0.076,0.007,NA,0.065,0,0.411,0,0.08,0.238,NA,0.271
2021-10-06,0.415,0.326,0.033,0.067,0.007,NA,0.152,0.412,0.358,0.019,0.073,0.001,NA,0.137,0.418,0.297,0.047,0.061,0.012,NA,0.165,0.406,0.231,0.091,0.073,0,NA,0.199,0.521,0.311,0.011,0.082,0.007,NA,0.068,0.271,0.45,0,0.032,0.023,NA,0.224,0.351,0.381,0.028,0.062,0,NA,0.178,0.427,0.338,0.044,0.031,0.005,NA,0.155,0.4,0.29,0.024,0.084,0.011,NA,0.191,0.426,0.383,0.035,0.101,0.004,NA,0.051,0.672,0.125,0.007,0.037,0,NA,0.159,0.047,0.707,0.058,0.1,0.006,NA,0.082,0,0.68,0,0,0,NA,0.32
2021-10-07,0.409,0.362,0.027,0.074,0.012,NA,0.116,0.377,0.373,0.032,0.099,0.003,NA,0.116,0.436,0.352,0.023,0.053,0.02,NA,0.116,0.305,0.274,0.065,0.138,0,NA,0.218,0.49,0.346,0.014,0.073,0.014,NA,0.063,0.419,0.432,0,0.02,0.035,NA,0.094,0.381,0.484,0.025,0.027,0,NA,0.083,0.522,0.283,0.031,0.026,0.016,NA,0.122,0.343,0.411,0.026,0.088,0.012,NA,0.12,0.342,0.399,0.02,0.139,0.006,NA,0.094,0.657,0.132,0.029,0.034,0.015,NA,0.133,0.024,0.812,0,0.104,0,NA,0.06,0.144,0.556,0,0.206,0,NA,0.094
2021-10-08,0.408,0.357,0.022,0.079,0.03,NA,0.104,0.378,0.373,0.03,0.092,0.031,NA,0.096,0.434,0.344,0.015,0.067,0.03,NA,0.11,0.331,0.295,0.052,0.147,0,NA,0.175,0.444,0.349,0.012,0.081,0.03,NA,0.084,0.418,0.401,0.007,0.017,0.089,NA,0.068,0.445,0.439,0.016,0.027,0.005,NA,0.068,0.508,0.291,0.025,0.024,0.044,NA,0.108,0.367,0.388,0.021,0.101,0.018,NA,0.105,0.322,0.407,0.019,0.124,0.035,NA,0.093,0.67,0.145,0.024,0.026,0.02,NA,0.115,0.03,0.796,0,0.133,0.003,NA,0.038,0.1,0.412,0,0.167,0.244,NA,0.077
2021-10-09,0.406,0.329,0.03,0.097,0.05,NA,0.088,0.431,0.316,0.034,0.112,0.026,NA,0.081,0.385,0.339,0.027,0.086,0.07,NA,0.093,0.377,0.184,0.04,0.193,0.06,NA,0.146,0.401,0.343,0.034,0.113,0.025,NA,0.084,0.429,0.395,0.02,0.006,0.077,NA,0.073,0.435,0.441,0.019,0.025,0.062,NA,0.018,0.457,0.268,0.039,0.08,0.068,NA,0.088,0.416,0.33,0.02,0.103,0.046,NA,0.085,0.3,0.426,0.037,0.115,0.029,NA,0.093,0.651,0.142,0.035,0.04,0.042,NA,0.09,0.06,0.75,0.003,0.162,0.011,NA,0.014,0.06,0.334,0.021,0.133,0.246,NA,0.206
2021-10-10,0.411,0.319,0.026,0.093,0.053,NA,0.098,0.461,0.312,0.021,0.096,0.031,NA,0.079,0.369,0.324,0.03,0.091,0.072,NA,0.114,0.36,0.264,0.024,0.144,0.067,NA,0.141,0.39,0.313,0.033,0.125,0.027,NA,0.112,0.441,0.354,0.027,0.029,0.064,NA,0.085,0.515,0.383,0.007,0.009,0.086,NA,0,0.399,0.344,0.021,0.104,0.055,NA,0.077,0.45,0.267,0.012,0.081,0.057,NA,0.133,0.342,0.391,0.067,0.102,0.041,NA,0.057,0.646,0.157,0.03,0.035,0.041,NA,0.091,0.1,0.676,0.007,0.173,0.033,NA,0.011,0,0.264,0.019,0.264,0.201,NA,0.252
2021-10-11,0.43,0.297,0.037,0.079,0.043,0.003,0.111,0.484,0.289,0.035,0.1,0.018,0,0.074,0.381,0.304,0.039,0.061,0.064,0.007,0.144,0.392,0.221,0.034,0.112,0.047,0,0.194,0.473,0.273,0.039,0.097,0.027,0,0.091,0.419,0.387,0.024,0.043,0.042,0.004,0.081,0.417,0.417,0.057,0.003,0.075,0.02,0.011,0.424,0.322,0.028,0.091,0.033,0,0.102,0.46,0.238,0.031,0.061,0.057,0.006,0.147,0.367,0.387,0.073,0.098,0.028,0.005,0.042,0.629,0.136,0.031,0.031,0.036,0.006,0.131,0.169,0.64,0.006,0.138,0.047,0,0,0,0.222,0.111,0.295,0.056,0,0.316
2021-10-12,0.445,0.279,0.045,0.063,0.043,0.009,0.116,0.48,0.253,0.052,0.072,0.05,0,0.093,0.411,0.303,0.039,0.055,0.036,0.018,0.138,0.49,0.222,0.04,0.057,0.018,0,0.173,0.467,0.25,0.037,0.078,0.054,0.001,0.113,0.399,0.333,0.044,0.059,0.071,0.004,0.09,0.359,0.397,0.084,0.036,0.019,0.057,0.048,0.441,0.291,0.036,0.038,0.049,0.013,0.132,0.47,0.234,0.05,0.077,0.039,0.007,0.123,0.394,0.36,0.053,0.078,0.039,0.006,0.07,0.691,0.112,0.031,0.018,0.027,0.007,0.114,0.135,0.652,0.013,0.099,0.029,0.016,0.056,0,0.068,0.299,0.32,0.24,0,0.073
2021-10-13,0.436,0.246,0.065,0.05,0.058,0.012,0.133,0.492,0.206,0.073,0.056,0.069,0,0.104,0.383,0.284,0.057,0.044,0.048,0.024,0.16,0.552,0.132,0.047,0.019,0.032,0,0.218,0.449,0.235,0.055,0.076,0.068,0.002,0.115,0.356,0.327,0.064,0.044,0.114,0.005,0.09,0.276,0.399,0.134,0.047,0,0.079,0.065,0.445,0.199,0.056,0.033,0.078,0.017,0.172,0.46,0.226,0.082,0.048,0.049,0.01,0.125,0.364,0.386,0.042,0.085,0.04,0.008,0.075,0.682,0.083,0.035,0.015,0.032,0.009,0.144,0.147,0.621,0.016,0.102,0.013,0.021,0.08,0,0.048,0.447,0.085,0.42,0,0
2021-10-14,0.39,0.262,0.086,0.077,0.05,0.026,0.109,0.399,0.241,0.109,0.069,0.05,0.029,0.103,0.382,0.282,0.063,0.085,0.05,0.023,0.115,0.503,0.122,0.119,0.059,0.037,0.048,0.112,0.332,0.298,0.072,0.109,0.06,0.003,0.126,0.363,0.338,0.101,0.035,0.07,0,0.093,0.373,0.322,0.036,0.083,0.019,0.085,0.082,0.373,0.229,0.071,0.065,0.074,0.019,0.169,0.427,0.233,0.112,0.082,0.025,0.039,0.082,0.344,0.387,0.059,0.089,0.057,0.01,0.054,0.621,0.115,0.095,0.03,0.035,0.032,0.072,0.109,0.606,0.035,0.131,0,0.027,0.092,0,0.101,0.285,0.048,0.345,0,0.221
2021-10-15,0.377,0.356,0.063,0.06,0.019,0.023,0.102,0.329,0.385,0.085,0.063,0.022,0.028,0.088,0.424,0.327,0.041,0.058,0.017,0.018,0.115,0.321,0.319,0.093,0.106,0.014,0.044,0.103,0.368,0.355,0.053,0.052,0.032,0.016,0.124,0.442,0.391,0.054,0.019,0,0,0.094,0.417,0.375,0.045,0.053,0.024,0.035,0.051,0.397,0.302,0.066,0.032,0.029,0.008,0.166,0.363,0.37,0.072,0.074,0.007,0.037,0.077,0.369,0.429,0.036,0.085,0.028,0.019,0.034,0.591,0.164,0.076,0.023,0.026,0.032,0.088,0.1,0.772,0.016,0.07,0,0.005,0.037,0,0.425,0.21,0,0.031,0,0.334
2021-10-16,0.366,0.354,0.059,0.062,0.026,0.019,0.114,0.344,0.362,0.077,0.066,0.026,0.025,0.1,0.387,0.346,0.043,0.058,0.026,0.012,0.128,0.354,0.311,0.071,0.097,0.012,0.034,0.121,0.346,0.347,0.043,0.063,0.05,0.017,0.134,0.385,0.421,0.082,0.026,0.01,0,0.076,0.416,0.359,0.049,0.045,0.014,0.022,0.095,0.38,0.294,0.064,0.042,0.033,0.005,0.182,0.352,0.377,0.067,0.074,0.021,0.032,0.077,0.367,0.419,0.035,0.077,0.025,0.016,0.061,0.575,0.161,0.071,0.023,0.041,0.027,0.102,0.096,0.764,0.017,0.085,0,0.005,0.033,0,0.498,0.191,0,0.025,0,0.286
2021-10-17,0.377,0.371,0.04,0.047,0.018,0.02,0.127,0.377,0.383,0.021,0.051,0.017,0.016,0.135,0.377,0.359,0.059,0.043,0.018,0.024,0.12,0.392,0.342,0.015,0.1,0,0.014,0.137,0.4,0.315,0.038,0.031,0.039,0.038,0.139,0.35,0.41,0.076,0.023,0.012,0.009,0.12,0.323,0.521,0.04,0.03,0,0,0.086,0.359,0.318,0.056,0.021,0.016,0.026,0.204,0.388,0.401,0.025,0.06,0.025,0.019,0.082,0.388,0.404,0.041,0.07,0.006,0.012,0.079,0.59,0.17,0.056,0.009,0.031,0.023,0.121,0.105,0.786,0.011,0.072,0,0.004,0.022,0,0.613,0.033,0,0,0,0.354
