"var","categoria","Martín Lousteau por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","No sabe"
"P16","A Mariano Recalde",0.022,0.172,0
"P17","A Soledad Acuña",0.053,0.127,0.014
"P17","A Jorge Macri",0.3,0.049,0.351
"P17","A Martín Lousteau",0.255,0.442,0.045
"P17","A Fernan Quirós",0.201,0.182,0.225
"P17","A Ricardo López Murphy",0.191,0.2,0.365
"P18","Lo votaría",0.351,0.055,0.034
"P18","Puede que lo vote",0.384,0.083,0.111
"P18","Nunca lo votaría",0.185,0.801,0.722
"P18","No sabe",0.08,0.061,0.133
"P19","Lo votaría",0.051,0.661,0.028
"P19","Puede que lo vote",0.103,0.179,0.05
"P19","Nunca lo votaría",0.75,0.131,0.809
"P19","No sabe",0.096,0.029,0.113
"P20","Lo votaría",0.137,0.066,0.059
"P20","Puede que lo vote",0.363,0.068,0.205
"P20","Nunca lo votaría",0.376,0.809,0.588
"P20","No sabe",0.124,0.057,0.148
"P21","Lo votaría",0.031,0.273,0.026
"P21","Puede que lo vote",0.069,0.421,0.051
"P21","Nunca lo votaría",0.802,0.236,0.819
"P21","No sabe",0.098,0.07,0.104
"P22","Lo votaría",0.367,0.069,0.166
"P22","Puede que lo vote",0.345,0.147,0.23
"P22","Nunca lo votaría",0.195,0.728,0.497
"P22","No sabe",0.093,0.056,0.107
"P23","Lo votaría",0.424,0.016,0.331
"P23","Puede que lo vote",0.347,0.054,0.226
"P23","Nunca lo votaría",0.162,0.917,0.363
"P23","No sabe",0.067,0.013,0.08
"P24","Lo votaría",0.365,0.015,0.193
"P24","Puede que lo vote",0.344,0.029,0.232
"P24","Nunca lo votaría",0.239,0.942,0.54
"P24","No sabe",0.052,0.014,0.035
"P25","Lo votaría",0.39,0.022,0.374
"P25","Puede que lo vote",0.33,0.053,0.276
"P25","Nunca lo votaría",0.215,0.908,0.284
"P25","No sabe",0.065,0.017,0.066
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.27,0.013,0.221
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.256,0.013,0.269
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.045,0.012,0.024
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.133,0.016,0.043
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.183,0.014,0.026
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.016,0.643,0.031
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.011,0.231,0.023
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.085,0.017,0.278
"P26","A los candidatos de la izquierda",0.001,0.041,0.085
"P26","No sabe",0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.283,0.003,0.199
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.271,0.014,0.3
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.034,0.014,0.022
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.12,0.017,0.042
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.185,0.001,0.027
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.019,0.618,0.027
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.01,0.223,0.012
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.077,0.02,0.285
"P27","A los candidatos de la izquierda",0.001,0.09,0.086
"P27","No sabe",0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.336,0.019,0.289
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.09,0.007,0.065
"P28","A Martín Lousteau como Jefe de Gobierno",0.279,0.031,0.018
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.168,0.014,0.188
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.009,0.709,0.032
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.012,0.118,0.018
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.071,0.04,0.251
"P28","A los candidatos de izquierda",0.017,0.041,0.101
"P28","No sabe",0.018,0.021,0.038
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.331,0.009,0.273
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.158,0.012,0.042
"P29","A Martín Lousteau como Jefe de Gobierno",0.225,0.031,0.081
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.112,0.16,0.14
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.013,0.549,0.011
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.06,0.117,0.055
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.079,0.026,0.269
"P29","A los candidatos de izquierda",0.012,0.056,0.073
"P29","No sabe",0.01,0.04,0.056
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.185,0.01,0.074
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.422,0.013,0.409
"P30","A Martín Lousteau como Jefe de Gobierno",0.235,0.03,0.038
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.024,0.669,0.036
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.007,0.16,0.024
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.082,0.032,0.258
"P30","A los candidatos de la izquierda",0.015,0.051,0.093
"P30","No sabe",0.03,0.035,0.068
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.186,0.007,0.067
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.459,0.015,0.437
"P31","A Martín Lousteau como Jefe de Gobierno",0.212,0.02,0.026
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.012,0.671,0.022
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.016,0.164,0.024
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.075,0.018,0.271
"P31","A los candidatos de la izquierda",0.007,0.077,0.089
"P31","No sabe",0.033,0.028,0.064
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.764,0.015,0.455
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.018,0.876,0.03
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.119,0.023,0.322
"P32","A los candidatos de la izquierda",0.013,0.053,0.093
"P32","No sabe",0.086,0.033,0.1
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.753,0.024,0.445
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.018,0.831,0.028
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.126,0.036,0.343
"P33","A los candidatos de la izquierda",0.017,0.064,0.094
"P33","No sabe",0.086,0.045,0.09
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.691,0.018,0.222
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.012,0.872,0.023
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.18,0.033,0.488
"P34","A los candidatos de la izquierda",0.005,0.054,0.092
"P34","No sabe",0.112,0.023,0.175
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.683,0.017,0.225
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.013,0.847,0.022
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.187,0.037,0.514
"P35","A los candidatos de la izquierda",0.016,0.063,0.096
"P35","No sabe",0.101,0.036,0.143
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.727,0.018,0.158
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.017,0.876,0.038
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.175,0.035,0.541
"P36","A los candidatos de la izquierda",0.014,0.052,0.076
"P36","No sabe",0.067,0.019,0.187
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.754,0.018,0.16
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.011,0.844,0.046
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.166,0.035,0.524
"P37","A los candidatos de la izquierda",0.005,0.062,0.082
"P37","No sabe",0.064,0.041,0.188
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.65,0.073,0.211
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.06,0.808,0.039
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.182,0.029,0.526
"P38","A los candidatos de la izquierda",0.014,0.061,0.088
"P38","No sabe",0.094,0.029,0.136
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.613,0.103,0.202
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.098,0.743,0.046
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.182,0.031,0.528
"P40","A los candidatos de la izquierda",0.009,0.074,0.084
"P40","No sabe",0.098,0.049,0.14
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.673,0.089,0.189
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.045,0.797,0.05
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.176,0.036,0.548
"P42","A los candidatos de la izquierda",0.006,0.052,0.084
"P42","No sabe",0.1,0.026,0.129
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.64,0.107,0.175
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.073,0.747,0.042
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.185,0.03,0.538
"P44","A los candidatos de la izquierda",0.011,0.074,0.082
"P44","No sabe",0.091,0.042,0.163
"P46","Jorge Macri por Juntos por el Cambio",0.851,0.018,0.552
"P46","Leandro Santoro por el Frente de Todos",0.03,0.96,0.014
"P46","No sabe",0.119,0.022,0.434
"P47","Soledad Acuña por Juntos por el Cambio",0.791,0.009,0.354
"P47","Leandro Santoro por el Frente de Todos",0.026,0.976,0.031
"P47","No sabe",0.183,0.015,0.615
"P48","Fernán Quirós por Juntos por el Cambio",0.881,0.032,0.391
"P48","Leandro Santoro por el Frente de Todos",0.022,0.954,0.015
"P48","No sabe",0.097,0.014,0.594
"P50","María Eugenia Vidal por Juntos por el Cambio",0.846,0.009,0.32
"P50","Leandro Santoro por el Frente de Todos",0.03,0.981,0.018
"P50","No sabe",0.124,0.01,0.662
"P51","Muy buena",0.347,0.071,0.15
"P51","Buena",0.406,0.091,0.233
"P51","Ni buena ni mala",0.148,0.099,0.289
"P51","Mala",0.046,0.267,0.205
"P51","Muy mala",0.04,0.465,0.119
"P51","No sabe",0.013,0.007,0.004
"P52","Muy buena",0.338,0.029,0.268
"P52","Buena",0.329,0.034,0.17
"P52","Ni buena ni mala",0.237,0.14,0.236
"P52","Mala",0.055,0.249,0.141
"P52","Muy mala",0.025,0.522,0.138
"P52","No sabe",0.016,0.026,0.047
"P53","Muy buena",0.046,0.59,0.031
"P53","Buena",0.066,0.221,0.051
"P53","Ni buena ni mala",0.247,0.059,0.196
"P53","Mala",0.298,0.038,0.201
"P53","Muy mala",0.301,0.082,0.443
"P53","No sabe",0.042,0.01,0.078
"P54","Muy buena",0.315,0.068,0.156
"P54","Buena",0.335,0.018,0.167
"P54","Ni buena ni mala",0.185,0.045,0.203
"P54","Mala",0.098,0.144,0.173
"P54","Muy mala",0.067,0.724,0.272
"P54","No sabe",0,0.001,0.029
"P55","Muy buena",0.241,0.009,0.12
"P55","Buena",0.331,0.022,0.192
"P55","Ni buena ni mala",0.284,0.067,0.248
"P55","Mala",0.068,0.128,0.157
"P55","Muy mala",0.038,0.761,0.158
"P55","No sabe",0.038,0.013,0.125
"P56","Muy buena",0.328,0.016,0.033
"P56","Buena",0.324,0.041,0.056
"P56","Ni buena ni mala",0.239,0.144,0.225
"P56","Mala",0.084,0.325,0.295
"P56","Muy mala",0.018,0.471,0.338
"P56","No sabe",0.007,0.003,0.053
"P57","Muy buena",0.067,0.201,0.007
"P57","Buena",0.049,0.375,0.032
"P57","Ni buena ni mala",0.218,0.243,0.15
"P57","Mala",0.298,0.061,0.253
"P57","Muy mala",0.323,0.109,0.484
"P57","No sabe",0.045,0.011,0.074
"P58","Muy buena",0.422,0.027,0.365
"P58","Buena",0.244,0.053,0.219
"P58","Ni buena ni mala",0.205,0.095,0.186
"P58","Mala",0.055,0.116,0.064
"P58","Muy mala",0.058,0.708,0.131
"P58","No sabe",0.016,0.001,0.035
"P59","Muy buena",0.581,0.037,0.238
"P59","Buena",0.214,0.13,0.219
"P59","Ni buena ni mala",0.146,0.288,0.255
"P59","Mala",0.021,0.199,0.105
"P59","Muy mala",0.009,0.332,0.133
"P59","No sabe",0.029,0.014,0.05
"P60","Muy buena",0.054,0.333,0.03
"P60","Buena",0.032,0.318,0.032
"P60","Ni buena ni mala",0.149,0.171,0.154
"P60","Mala",0.262,0.054,0.167
"P60","Muy mala",0.441,0.092,0.491
"P60","No sabe",0.062,0.032,0.126
"P61","Muy buena",0.018,0.18,0.004
"P61","Buena",0.006,0.141,0.02
"P61","Ni buena ni mala",0.177,0.341,0.162
"P61","Mala",0.167,0.035,0.153
"P61","Muy mala",0.318,0.072,0.347
"P61","No sabe",0.314,0.231,0.314
"P62","Muy buena",0.016,0.141,0.005
"P62","Buena",0.008,0.425,0.021
"P62","Ni buena ni mala",0.033,0.289,0.052
"P62","Mala",0.137,0.097,0.136
"P62","Muy mala",0.78,0.038,0.756
"P62","No sabe",0.026,0.01,0.03
"P63","Muy buena",0.017,0.122,0.001
"P63","Buena",0.005,0.393,0.035
"P63","Ni buena ni mala",0.028,0.297,0.034
"P63","Mala",0.127,0.138,0.128
"P63","Muy mala",0.82,0.045,0.791
"P63","No sabe",0.003,0.005,0.011
"P64","Muy buena",0.016,0.699,0.026
"P64","Buena",0.003,0.164,0.034
"P64","Ni buena ni mala",0.01,0.073,0.022
"P64","Mala",0.081,0.027,0.109
"P64","Muy mala",0.886,0.034,0.8
"P64","No sabe",0.004,0.003,0.009
"P65","Muy buena",0.352,0.084,0.311
"P65","Buena",0.268,0.03,0.194
"P65","Ni buena ni mala",0.168,0.033,0.108
"P65","Mala",0.088,0.083,0.127
"P65","Muy mala",0.123,0.769,0.255
"P65","No sabe",0.001,0.001,0.005
"P66","Muy buena",0.261,0.026,0.093
"P66","Buena",0.367,0.022,0.173
"P66","Ni buena ni mala",0.208,0.059,0.179
"P66","Mala",0.096,0.176,0.204
"P66","Muy mala",0.067,0.717,0.344
"P66","No sabe",0.001,0,0.007
"P67","Muy buena",0.034,0.141,0.014
"P67","Buena",0.044,0.427,0.035
"P67","Ni buena ni mala",0.08,0.227,0.073
"P67","Mala",0.219,0.078,0.205
"P67","Muy mala",0.617,0.124,0.647
"P67","No sabe",0.006,0.003,0.026
"P68","Muy buena",0.537,0.027,0.468
"P68","Buena",0.224,0.075,0.159
"P68","Ni buena ni mala",0.099,0.036,0.097
"P68","Mala",0.039,0.074,0.079
"P68","Muy mala",0.098,0.785,0.171
"P68","No sabe",0.003,0.003,0.026
"P69","Muy buena",0.167,0.028,0.341
"P69","Buena",0.152,0.011,0.214
"P69","Ni buena ni mala",0.341,0.038,0.161
"P69","Mala",0.188,0.053,0.091
"P69","Muy mala",0.136,0.865,0.158
"P69","No sabe",0.016,0.005,0.035
"P70","Muy buena",0.096,0.036,0.068
"P70","Buena",0.19,0.092,0.061
"P70","Ni buena ni mala",0.399,0.344,0.266
"P70","Mala",0.171,0.18,0.203
"P70","Muy mala",0.12,0.321,0.31
"P70","No sabe",0.024,0.027,0.092
"P71","Siempre",0.321,0.291,0.327
"P71","Casi siempre",0.433,0.424,0.388
"P71","Casi nunca",0.183,0.188,0.164
"P71","Nunca, pero esta es una excepción",0.063,0.097,0.121
"P72","Si",0.576,0.553,0.626
"P72","No",0.424,0.447,0.374
