"var","categoria","Jorge Macri por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","No sabe"
"P28","A los candidatos de izquierda",0.019,0.041,0.113
"P28","No sabe",0.012,0.023,0.062
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.385,0.004,0.068
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.132,0.016,0.089
"P29","A Martín Lousteau como Jefe de Gobierno",0.165,0.036,0.237
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.118,0.173,0.096
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.006,0.551,0.019
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.07,0.111,0.031
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.093,0.017,0.325
"P29","A los candidatos de izquierda",0.02,0.052,0.065
"P29","No sabe",0.011,0.04,0.07
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.184,0.012,0.039
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.49,0.009,0.172
"P30","A Martín Lousteau como Jefe de Gobierno",0.161,0.034,0.231
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.013,0.674,0.046
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.006,0.156,0.041
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.097,0.028,0.292
"P30","A los candidatos de la izquierda",0.017,0.051,0.116
"P30","No sabe",0.032,0.036,0.063
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.178,0.015,0.049
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.534,0.017,0.151
"P31","A Martín Lousteau como Jefe de Gobierno",0.135,0.026,0.231
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.005,0.674,0.022
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.01,0.157,0.06
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.094,0.01,0.314
"P31","A los candidatos de la izquierda",0.01,0.071,0.111
"P31","No sabe",0.034,0.03,0.062
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.812,0.016,0.186
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.007,0.873,0.052
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.13,0.02,0.381
"P32","A los candidatos de la izquierda",0.01,0.06,0.11
"P32","No sabe",0.041,0.031,0.271
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.801,0.025,0.18
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.006,0.828,0.058
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.134,0.033,0.417
"P33","A los candidatos de la izquierda",0.011,0.063,0.133
"P33","No sabe",0.048,0.051,0.212
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.66,0.035,0.149
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.006,0.866,0.035
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.239,0.019,0.431
"P34","A los candidatos de la izquierda",0.004,0.053,0.122
"P34","No sabe",0.091,0.027,0.263
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.654,0.025,0.175
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.008,0.839,0.035
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.245,0.025,0.461
"P35","A los candidatos de la izquierda",0.008,0.069,0.132
"P35","No sabe",0.085,0.042,0.197
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.642,0.029,0.269
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.009,0.874,0.051
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.25,0.022,0.439
"P36","A los candidatos de la izquierda",0.011,0.057,0.092
"P36","No sabe",0.088,0.018,0.149
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.657,0.041,0.277
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.006,0.835,0.07
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.24,0.021,0.425
"P37","A los candidatos de la izquierda",0.007,0.062,0.095
"P37","No sabe",0.09,0.041,0.133
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.628,0.082,0.136
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.048,0.806,0.058
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.247,0.021,0.445
"P38","A los candidatos de la izquierda",0.006,0.059,0.14
"P38","No sabe",0.071,0.032,0.221
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.587,0.107,0.154
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.085,0.753,0.03
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.246,0.021,0.452
"P40","A los candidatos de la izquierda",0.008,0.065,0.13
"P40","No sabe",0.074,0.054,0.234
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.625,0.105,0.165
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.042,0.798,0.048
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.248,0.022,0.461
"P42","A los candidatos de la izquierda",0.007,0.047,0.11
"P42","No sabe",0.078,0.028,0.216
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.605,0.11,0.158
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.059,0.752,0.046
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.253,0.021,0.45
"P44","A los candidatos de la izquierda",0.01,0.072,0.105
"P44","No sabe",0.073,0.045,0.241
"P47","Soledad Acuña por Juntos por el Cambio",0.821,0.019,0.122
"P47","Leandro Santoro por el Frente de Todos",0.012,0.974,0.057
"P47","No sabe",0.167,0.007,0.821
"P48","Fernán Quirós por Juntos por el Cambio",0.873,0.046,0.268
"P48","Leandro Santoro por el Frente de Todos",0.01,0.944,0.05
"P48","No sabe",0.117,0.01,0.682
"P49","Martín Lousteau por Juntos por el Cambio",0.787,0.046,0.389
"P49","Leandro Santoro por el Frente de Todos",0.011,0.945,0.045
"P49","No sabe",0.202,0.009,0.566
"P50","María Eugenia Vidal por Juntos por el Cambio",0.833,0.015,0.223
"P50","Leandro Santoro por el Frente de Todos",0.01,0.979,0.056
"P50","No sabe",0.157,0.006,0.721
"P51","Muy buena",0.339,0.085,0.098
"P51","Buena",0.393,0.094,0.233
"P51","Ni buena ni mala",0.16,0.106,0.276
"P51","Mala",0.056,0.261,0.22
"P51","Muy mala",0.043,0.448,0.155
"P51","No sabe",0.009,0.006,0.018
"P52","Muy buena",0.4,0.024,0.042
"P52","Buena",0.342,0.031,0.085
"P52","Ni buena ni mala",0.191,0.141,0.402
"P52","Mala",0.03,0.254,0.24
"P52","Muy mala",0.017,0.525,0.183
"P52","No sabe",0.02,0.025,0.048
"P53","Muy buena",0.041,0.591,0.024
"P53","Buena",0.055,0.223,0.078
"P53","Ni buena ni mala",0.244,0.058,0.198
"P53","Mala",0.272,0.031,0.286
"P53","Muy mala",0.346,0.083,0.33
"P53","No sabe",0.042,0.014,0.084
"P54","Muy buena",0.307,0.083,0.109
"P54","Buena",0.33,0.02,0.139
"P54","Ni buena ni mala",0.192,0.036,0.208
"P54","Mala",0.087,0.148,0.225
"P54","Muy mala",0.083,0.712,0.281
"P54","No sabe",0.001,0.001,0.038
"P55","Muy buena",0.243,0.017,0.063
"P55","Buena",0.338,0.026,0.124
"P55","Ni buena ni mala",0.272,0.068,0.285
"P55","Mala",0.078,0.125,0.155
"P55","Muy mala",0.031,0.752,0.217
"P55","No sabe",0.038,0.012,0.156
"P56","Muy buena",0.243,0.032,0.222
"P56","Buena",0.282,0.052,0.109
"P56","Ni buena ni mala",0.242,0.144,0.213
"P56","Mala",0.145,0.321,0.143
"P56","Muy mala",0.08,0.448,0.247
"P56","No sabe",0.008,0.003,0.066
"P57","Muy buena",0.045,0.219,0.023
"P57","Buena",0.051,0.366,0.027
"P57","Ni buena ni mala",0.194,0.246,0.208
"P57","Mala",0.283,0.062,0.299
"P57","Muy mala",0.386,0.095,0.347
"P57","No sabe",0.041,0.012,0.096
"P58","Muy buena",0.478,0.025,0.166
"P58","Buena",0.252,0.05,0.196
"P58","Ni buena ni mala",0.176,0.094,0.288
"P58","Mala",0.035,0.126,0.115
"P58","Muy mala",0.047,0.704,0.178
"P58","No sabe",0.012,0.001,0.057
"P59","Muy buena",0.556,0.064,0.185
"P59","Buena",0.229,0.123,0.184
"P59","Ni buena ni mala",0.146,0.279,0.303
"P59","Mala",0.029,0.196,0.103
"P59","Muy mala",0.017,0.322,0.151
"P59","No sabe",0.023,0.016,0.074
"P60","Muy buena",0.044,0.337,0.039
"P60","Buena",0.03,0.31,0.046
"P60","Ni buena ni mala",0.136,0.17,0.206
"P60","Mala",0.244,0.057,0.201
"P60","Muy mala",0.478,0.092,0.383
"P60","No sabe",0.068,0.034,0.125
"P61","Muy buena",0.011,0.184,0.009
"P61","Buena",0.011,0.137,0.011
"P61","Ni buena ni mala",0.169,0.332,0.198
"P61","Mala",0.16,0.039,0.169
"P61","Muy mala",0.325,0.069,0.348
"P61","No sabe",0.324,0.239,0.265
"P62","Muy buena",0.01,0.146,0.006
"P62","Buena",0.007,0.419,0.028
"P62","Ni buena ni mala",0.026,0.294,0.062
"P62","Mala",0.113,0.1,0.22
"P62","Muy mala",0.824,0.03,0.636
"P62","No sabe",0.02,0.011,0.048
"P63","Muy buena",0.01,0.121,0.02
"P63","Buena",0.002,0.396,0.032
"P63","Ni buena ni mala",0.015,0.31,0.045
"P63","Mala",0.111,0.132,0.199
"P63","Muy mala",0.86,0.037,0.685
"P63","No sabe",0.002,0.004,0.019
"P64","Muy buena",0.007,0.689,0.059
"P64","Buena",0.001,0.165,0.047
"P64","Ni buena ni mala",0.009,0.075,0.022
"P64","Mala",0.066,0.033,0.162
"P64","Muy mala",0.914,0.038,0.692
"P64","No sabe",0.003,0,0.018
"P65","Muy buena",0.402,0.089,0.116
"P65","Buena",0.288,0.027,0.112
"P65","Ni buena ni mala",0.136,0.033,0.21
"P65","Mala",0.063,0.089,0.222
"P65","Muy mala",0.111,0.761,0.333
"P65","No sabe",0,0.001,0.007
"P66","Muy buena",0.239,0.05,0.074
"P66","Buena",0.349,0.025,0.177
"P66","Ni buena ni mala",0.204,0.055,0.199
"P66","Mala",0.107,0.174,0.2
"P66","Muy mala",0.099,0.696,0.343
"P66","No sabe",0.002,0,0.007
"P67","Muy buena",0.023,0.152,0.02
"P67","Buena",0.033,0.435,0.042
"P67","Ni buena ni mala",0.059,0.224,0.147
"P67","Mala",0.202,0.063,0.3
"P67","Muy mala",0.677,0.123,0.457
"P67","No sabe",0.006,0.003,0.034
"P68","Muy buena",0.605,0.037,0.193
"P68","Buena",0.205,0.065,0.234
"P68","Ni buena ni mala",0.072,0.042,0.184
"P68","Mala",0.03,0.077,0.12
"P68","Muy mala",0.086,0.776,0.233
"P68","No sabe",0.002,0.003,0.036
"P69","Muy buena",0.193,0.034,0.298
"P69","Buena",0.178,0.01,0.146
"P69","Ni buena ni mala",0.327,0.04,0.158
"P69","Mala",0.176,0.059,0.095
"P69","Muy mala",0.108,0.852,0.267
"P69","No sabe",0.018,0.005,0.036
"P70","Muy buena",0.078,0.043,0.108
"P70","Buena",0.161,0.098,0.115
"P70","Ni buena ni mala",0.385,0.345,0.272
"P70","Mala",0.202,0.173,0.116
"P70","Muy mala",0.149,0.314,0.275
"P70","No sabe",0.025,0.027,0.114
"P71","Siempre",0.332,0.298,0.278
"P71","Casi siempre",0.431,0.425,0.376
"P71","Casi nunca",0.17,0.187,0.205
"P71","Nunca, pero esta es una excepción",0.067,0.09,0.141
"P72","Si",0.618,0.541,0.521
"P72","No",0.382,0.459,0.479
