"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","A Ricardo López Murphy como Jefe de Gobierno","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario","A los candidatos de izquierda","No sabe"
"P08","5",0.158,0.132,0.159,0.088,0.062,0.089,0.163,0.108,0.068
"P08","6",0.045,0.035,0.04,0.031,0.004,0.008,0.04,0.027,0.011
"P08","7",0.071,0.049,0.043,0.033,0.011,0.047,0.028,0.046,0.027
"P08","8",0.043,0.033,0.041,0.059,0.013,0.035,0.05,0.013,0.02
"P08","9",0.345,0.256,0.285,0.178,0.074,0.254,0.414,0.163,0.155
"P10","Del Frente de Todos y el peronismo",0.048,0.069,0.067,0.471,0.849,0.498,0.025,0.191,0.31
"P10","De Cambiemos",0.77,0.706,0.695,0.348,0.064,0.417,0.045,0.043,0.205
"P10","De los Liberales libertarios",0.125,0.072,0.109,0.119,0.013,0.048,0.85,0.349,0.056
"P10","De la Izquierda",0,0.032,0.021,0.006,0.031,0.003,0.004,0.358,0.21
"P10","No sabe",0.057,0.121,0.108,0.056,0.043,0.034,0.076,0.059,0.219
"P11","A Alberto Fernández",0.261,0.25,0.103,0.091,0.081,0.187,0.266,0.031,0.07
"P11","A Sergio Massa",0.356,0.271,0.55,0.142,0.175,0.216,0.215,0.154,0.143
"P11","A algún candidato del peronismo",0.383,0.307,0.22,0.087,0.114,0.197,0.107,0.125,0.153
"P11","A algún candidato del kirchnerismo",0,0.172,0.127,0.68,0.63,0.4,0.412,0.69,0.634
"P12","A Alberto Fernández",0.211,0.15,0.103,0.048,0.044,0.106,0.079,0,0.018
"P12","A Sergio Massa",0.238,0.322,0.516,0.116,0.069,0.152,0.107,0.127,0.125
"P12","A algún candidato del peronismo",0.501,0.19,0.22,0.051,0.077,0.149,0.187,0.085,0.057
"P12","A Cristina Fernández de Kirchner",0.05,0.338,0.161,0.785,0.81,0.593,0.627,0.788,0.8
"P13","A Horacio Rodriguez Larreta",0.082,0.428,0.295,0.18,0.255,0.149,0.389,0.048,0.445
"P13","A Mauricio Macri",0.382,0.284,0.27,0.384,0.022,0.336,0.256,0.496,0.296
"P13","A Patricia Bullrich",0.524,0.216,0.304,0.403,0.135,0.499,0.271,0.288,0.205
"P13","A Facundo Manes",0.006,0.035,0.066,0.012,0.559,0.012,0.084,0.168,0.054
"P13","A Gerardo Morales",0.006,0.037,0.065,0.021,0.029,0.004,0,0,0
"P14","Del Frente de Todos y el peronismo",0.027,0.072,0.056,0.439,0.803,0.432,0.021,0.215,0.339
"P14","A Juntos por el Cambio",0.827,0.805,0.754,0.381,0.029,0.46,0.087,0.032,0.247
"P14","De los Liberales libertarios",0.108,0.052,0.082,0.095,0.03,0.041,0.804,0.346,0.023
"P14","De la Izquierda",0.003,0.024,0.025,0.033,0.1,0.025,0.002,0.369,0.209
"P14","No sabe",0.035,0.047,0.083,0.052,0.038,0.042,0.086,0.038,0.182
"P16","A Leandro Santoro",0.395,0.503,0.684,0.693,0.71,0.373,0.715,0.596,0.551
"P16","A Matias Lammens",0.539,0.373,0.152,0.115,0.106,0.433,0.102,0.234,0.14
"P16","A Mariano Recalde",0.066,0.124,0.164,0.192,0.184,0.194,0.183,0.17,0.309
"P17","A Soledad Acuña",0.045,0.05,0.024,0.022,0.299,0.02,0.119,0,0.028
"P17","A Jorge Macri",0.486,0.222,0.076,0.118,0.101,0.545,0.236,0.081,0.235
"P17","A Martín Lousteau",0.124,0.343,0.546,0.153,0.073,0.1,0.149,0.298,0.174
"P17","A Fernan Quirós",0.163,0.302,0.17,0.185,0.497,0.22,0.354,0.18,0.445
"P17","A Ricardo López Murphy",0.182,0.083,0.184,0.522,0.03,0.115,0.142,0.441,0.118
"P18","Lo votaría",0.226,0.489,0.541,0.12,0.049,0.087,0.043,0.07,0.079
"P18","Puede que lo vote",0.318,0.279,0.207,0.254,0.089,0.292,0.148,0.162,0.237
"P18","Nunca lo votaría",0.364,0.145,0.188,0.529,0.753,0.547,0.674,0.703,0.575
"P18","No sabe",0.092,0.087,0.064,0.097,0.109,0.074,0.135,0.065,0.109
"P19","Lo votaría",0.037,0.072,0.102,0.423,0.693,0.28,0.014,0.151,0.262
"P19","Puede que lo vote",0.085,0.11,0.139,0.089,0.153,0.173,0.078,0.246,0.25
"P19","Nunca lo votaría",0.807,0.652,0.651,0.399,0.112,0.481,0.804,0.577,0.347
"P19","No sabe",0.071,0.166,0.108,0.089,0.042,0.066,0.104,0.026,0.141
"P20","Lo votaría",0.135,0.176,0.081,0.086,0.081,0.077,0.028,0.04,0.021
"P20","Puede que lo vote",0.369,0.294,0.337,0.237,0.057,0.233,0.101,0.12,0.093
"P20","Nunca lo votaría",0.37,0.364,0.449,0.594,0.798,0.609,0.695,0.779,0.751
"P20","No sabe",0.126,0.166,0.133,0.083,0.064,0.081,0.176,0.061,0.135
"P21","Lo votaría",0.018,0.043,0.027,0.141,0.25,0.26,0.009,0.03,0.063
"P21","Puede que lo vote",0.06,0.122,0.137,0.286,0.441,0.193,0.077,0.191,0.34
"P21","Nunca lo votaría",0.846,0.701,0.733,0.5,0.232,0.484,0.731,0.64,0.471
"P21","No sabe",0.076,0.134,0.103,0.073,0.077,0.063,0.183,0.139,0.126
"P22","Lo votaría",0.326,0.424,0.288,0.167,0.058,0.145,0.091,0.029,0.137
"P22","Puede que lo vote",0.38,0.294,0.353,0.268,0.16,0.295,0.171,0.102,0.251
"P22","Nunca lo votaría",0.22,0.208,0.246,0.484,0.682,0.455,0.575,0.744,0.481
"P22","No sabe",0.074,0.074,0.113,0.081,0.1,0.105,0.163,0.125,0.131
"P23","Lo votaría",0.595,0.36,0.282,0.164,0.017,0.36,0.071,0.03,0.127
"P23","Puede que lo vote",0.303,0.295,0.311,0.249,0.035,0.117,0.254,0.102,0.122
"P23","Nunca lo votaría",0.071,0.28,0.32,0.556,0.918,0.488,0.57,0.779,0.694
"P23","No sabe",0.031,0.065,0.087,0.031,0.03,0.035,0.105,0.089,0.057
"P24","Lo votaría",0.401,0.389,0.301,0.144,0.016,0.147,0.079,0.021,0.128
"P24","Puede que lo vote",0.334,0.29,0.325,0.182,0.029,0.219,0.147,0.082,0.085
"P24","Nunca lo votaría",0.234,0.275,0.337,0.628,0.94,0.598,0.65,0.841,0.718
"P24","No sabe",0.031,0.046,0.037,0.046,0.015,0.036,0.124,0.056,0.069
"P25","Lo votaría",0.388,0.216,0.324,0.358,0.017,0.113,0.19,0.133,0.06
"P25","Puede que lo vote",0.334,0.349,0.317,0.117,0.021,0.282,0.349,0.136,0.124
"P25","Nunca lo votaría",0.219,0.353,0.281,0.519,0.927,0.545,0.327,0.703,0.715
"P25","No sabe",0.059,0.082,0.078,0.006,0.035,0.06,0.134,0.028,0.101
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.514,0.129,0.129,0.048,0.01,0.35,0.027,0.008,0.087
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.311,0.099,0.221,0.291,0.016,0.063,0.08,0.012,0.062
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.045,0.118,0.043,0.013,0.006,0.025,0.007,0,0.015
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.049,0.216,0.092,0.089,0.02,0.017,0.027,0.012,0.081
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.063,0.31,0.41,0.035,0.01,0.06,0.008,0.03,0.088
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.005,0.075,0.041,0.437,0.657,0.189,0.016,0.114,0.229
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.004,0.027,0.035,0.045,0.272,0.29,0.015,0.105,0.112
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.009,0.019,0.015,0.038,0,0.006,0.82,0.34,0.019
"P26","A los candidatos de la izquierda",0,0.007,0.014,0.004,0.009,0,0,0.379,0.307
"P26","No sabe",0,0,0,0,0,0,0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.532,0.128,0.115,0.034,0.005,0.372,0.029,0.012,0.078
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.327,0.105,0.245,0.314,0.019,0.073,0.08,0.023,0.06
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.033,0.118,0.04,0.008,0.006,0.002,0.011,0.008,0.023
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.04,0.23,0.071,0.096,0.02,0.022,0.018,0.012,0.108
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.055,0.295,0.435,0.036,0.007,0.035,0.006,0.007,0.08
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.004,0.058,0.027,0.425,0.654,0.136,0.006,0.047,0.137
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0,0.026,0.034,0.062,0.268,0.339,0.012,0.024,0.064
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.009,0.024,0.015,0.019,0,0.002,0.838,0.354,0.019
"P27","A los candidatos de la izquierda",0,0.016,0.018,0.006,0.021,0.019,0,0.513,0.431
"P27","No sabe",0,0,0,0,0,0,0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.774,0.08,0.034,0.035,0.004,0.323,0.023,0.011,0.074
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.069,0.344,0.045,0.023,0.001,0.009,0.006,0,0.035
"P28","A Martín Lousteau como Jefe de Gobierno",0.07,0.434,0.615,0.052,0.02,0.087,0.018,0.018,0.034
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.052,0.065,0.236,0.413,0.002,0.078,0.015,0.006,0.042
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0,0.039,0.022,0.398,0.857,0.159,0.005,0.138,0.237
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.002,0.013,0.017,0.038,0.096,0.323,0.004,0.042,0.067
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.019,0.004,0.013,0.01,0,0.013,0.885,0.002,0
"P28","A los candidatos de izquierda",0.001,0.003,0.007,0.005,0.01,0.002,0.042,0.741,0.038
"P28","No sabe",0.013,0.018,0.011,0.026,0.01,0.006,0.002,0.042,0.473
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.187,0.295,0.179,0.046,0.021,0.112,0.008,0.011,0.055
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.601,0.175,0.254,0.358,0.01,0.287,0.063,0.01,0.104
"P30","A Martín Lousteau como Jefe de Gobierno",0.094,0.408,0.447,0.039,0.012,0.061,0.024,0.018,0.098
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.004,0.029,0.055,0.422,0.749,0.101,0.005,0.08,0.234
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.002,0.015,0.017,0.061,0.169,0.288,0.009,0.062,0.07
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.06,0.046,0.019,0.031,0.007,0.087,0.696,0.014,0.004
"P30","A los candidatos de la izquierda",0.01,0.013,0.011,0.018,0.01,0.009,0.163,0.333,0.196
"P30","No sabe",0.042,0.019,0.018,0.025,0.022,0.055,0.032,0.472,0.239
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.176,0.309,0.151,0.057,0.012,0.109,0.007,0.008,0.108
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.664,0.158,0.29,0.377,0.016,0.308,0.051,0.01,0.064
"P31","A Martín Lousteau como Jefe de Gobierno",0.077,0.407,0.433,0.031,0.008,0.035,0.01,0.007,0.064
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.005,0.024,0.037,0.428,0.766,0.105,0,0.03,0.134
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.003,0.051,0.021,0.061,0.16,0.335,0.006,0.005,0.086
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.035,0.022,0.023,0.03,0.004,0.047,0.776,0.027,0.028
"P31","A los candidatos de la izquierda",0.008,0.002,0.021,0,0.013,0.015,0.145,0.442,0.232
"P31","No sabe",0.032,0.027,0.024,0.016,0.021,0.046,0.005,0.471,0.284
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.934,0.676,0.608,0.423,0.021,0.454,0.041,0.029,0.2
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.004,0.057,0.09,0.457,0.906,0.388,0.021,0.166,0.347
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.037,0.072,0.1,0.058,0.012,0.043,0.873,0.297,0.011
"P32","A los candidatos de la izquierda",0.001,0.019,0.031,0.017,0.033,0.019,0.02,0.479,0.227
"P32","No sabe",0.024,0.176,0.171,0.045,0.028,0.096,0.045,0.029,0.215
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.924,0.645,0.62,0.407,0.022,0.468,0.029,0.033,0.216
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.003,0.07,0.052,0.455,0.883,0.411,0.016,0.079,0.215
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.038,0.074,0.099,0.087,0.009,0.027,0.897,0.315,0.015
"P33","A los candidatos de la izquierda",0.005,0.026,0.055,0.008,0.029,0.015,0.025,0.527,0.317
"P33","No sabe",0.03,0.185,0.174,0.043,0.057,0.079,0.033,0.046,0.237
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.688,0.729,0.558,0.344,0.023,0.358,0.031,0.038,0.158
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.004,0.048,0.067,0.457,0.927,0.448,0.02,0.175,0.254
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.171,0.06,0.162,0.128,0.003,0.078,0.898,0.314,0.038
"P34","A los candidatos de la izquierda",0.005,0.005,0.025,0,0.013,0.016,0.006,0.432,0.321
"P34","No sabe",0.132,0.158,0.188,0.071,0.034,0.1,0.045,0.041,0.229
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.686,0.779,0.56,0.323,0.022,0.353,0.016,0.032,0.149
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.002,0.027,0.058,0.447,0.906,0.466,0.02,0.121,0.176
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.184,0.06,0.182,0.135,0.003,0.08,0.915,0.316,0.054
"P35","A los candidatos de la izquierda",0.007,0.011,0.03,0.027,0.024,0.004,0.018,0.508,0.365
"P35","No sabe",0.121,0.123,0.17,0.068,0.045,0.097,0.031,0.023,0.256
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.668,0.788,0.721,0.295,0.028,0.376,0.024,0.017,0.171
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.007,0.048,0.061,0.445,0.914,0.444,0.025,0.212,0.322
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.19,0.066,0.101,0.161,0,0.096,0.906,0.33,0.04
"P36","A los candidatos de la izquierda",0.005,0.006,0.02,0.018,0.022,0.009,0.022,0.4,0.313
"P36","No sabe",0.13,0.092,0.097,0.081,0.036,0.075,0.023,0.041,0.154
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.677,0.861,0.712,0.327,0.028,0.374,0.03,0.018,0.149
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.004,0.044,0.063,0.45,0.912,0.453,0.019,0.139,0.206
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.182,0.04,0.102,0.136,0.002,0.095,0.919,0.354,0.04
"P37","A los candidatos de la izquierda",0.006,0.014,0.02,0,0.015,0.008,0.004,0.455,0.32
"P37","No sabe",0.131,0.041,0.103,0.087,0.043,0.07,0.028,0.034,0.285
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.662,0.706,0.587,0.331,0.073,0.43,0.045,0.021,0.169
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.063,0.046,0.078,0.433,0.874,0.407,0.018,0.118,0.296
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.184,0.08,0.124,0.139,0.002,0.109,0.907,0.363,0.074
"P38","A los candidatos de la izquierda",0.002,0.017,0.046,0.003,0.018,0.021,0.004,0.471,0.312
"P38","No sabe",0.089,0.151,0.165,0.094,0.033,0.033,0.026,0.027,0.149
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.636,0.603,0.531,0.353,0.132,0.4,0.033,0.036,0.177
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.076,0.173,0.127,0.425,0.797,0.447,0.011,0.043,0.156
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.195,0.078,0.125,0.138,0.002,0.067,0.935,0.348,0.022
"P40","A los candidatos de la izquierda",0.002,0.02,0.047,0.007,0.018,0.009,0,0.522,0.368
"P40","No sabe",0.091,0.126,0.17,0.077,0.051,0.077,0.021,0.051,0.277
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.639,0.744,0.559,0.344,0.121,0.375,0.022,0.008,0.188
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.038,0.105,0.119,0.406,0.835,0.46,0.033,0.093,0.333
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.21,0.035,0.135,0.155,0,0.094,0.936,0.404,0.032
"P42","A los candidatos de la izquierda",0.001,0.01,0.027,0.004,0.011,0,0.007,0.462,0.256
"P42","No sabe",0.112,0.106,0.16,0.091,0.033,0.071,0.002,0.033,0.191
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.623,0.694,0.548,0.324,0.157,0.351,0.033,0.021,0.193
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.059,0.095,0.117,0.43,0.783,0.46,0.017,0.089,0.158
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.211,0.07,0.134,0.161,0.005,0.09,0.92,0.383,0.027
"P44","A los candidatos de la izquierda",0.012,0.024,0.03,0,0.016,0.033,0,0.451,0.328
"P44","No sabe",0.095,0.117,0.171,0.085,0.039,0.066,0.03,0.056,0.294
"P46","Jorge Macri por Juntos por el Cambio",0.948,0.793,0.657,0.477,0.018,0.486,0.484,0.289,0.209
"P46","Leandro Santoro por el Frente de Todos",0.006,0.059,0.084,0.415,0.966,0.455,0.053,0.451,0.434
"P46","No sabe",0.046,0.148,0.259,0.108,0.016,0.059,0.463,0.26,0.357
"P47","Soledad Acuña por Juntos por el Cambio",0.776,0.79,0.57,0.465,0.017,0.386,0.412,0.162,0.134
"P47","Leandro Santoro por el Frente de Todos",0.012,0.043,0.101,0.395,0.969,0.457,0.102,0.477,0.472
"P47","No sabe",0.212,0.167,0.329,0.14,0.014,0.157,0.486,0.361,0.394
"P48","Fernán Quirós por Juntos por el Cambio",0.843,0.822,0.758,0.482,0.043,0.452,0.374,0.236,0.211
"P48","Leandro Santoro por el Frente de Todos",0.017,0.049,0.078,0.4,0.939,0.449,0.075,0.45,0.434
"P48","No sabe",0.14,0.129,0.164,0.118,0.018,0.099,0.551,0.314,0.355
"P49","Martín Lousteau por Juntos por el Cambio",0.744,0.866,0.812,0.415,0.037,0.385,0.39,0.154,0.175
"P49","Leandro Santoro por el Frente de Todos",0.012,0.043,0.072,0.379,0.951,0.475,0.081,0.469,0.443
"P49","No sabe",0.244,0.091,0.116,0.206,0.012,0.14,0.529,0.377,0.382
"P50","María Eugenia Vidal por Juntos por el Cambio",0.81,0.814,0.659,0.426,0.019,0.42,0.386,0.135,0.201
"P50","Leandro Santoro por el Frente de Todos",0.009,0.062,0.091,0.418,0.972,0.453,0.085,0.476,0.467
"P50","No sabe",0.181,0.124,0.25,0.156,0.009,0.127,0.529,0.389,0.332
"P51","Muy buena",0.339,0.403,0.279,0.235,0.073,0.218,0.085,0.035,0.105
"P51","Buena",0.404,0.367,0.439,0.215,0.102,0.261,0.192,0.102,0.079
"P51","Ni buena ni mala",0.157,0.08,0.203,0.17,0.116,0.101,0.259,0.26,0.151
"P51","Mala",0.066,0.038,0.038,0.14,0.283,0.137,0.222,0.333,0.291
"P51","Muy mala",0.014,0.112,0.03,0.236,0.419,0.283,0.23,0.27,0.359
"P51","No sabe",0.02,0,0.011,0.004,0.007,0,0.012,0,0.015
"P52","Muy buena",0.517,0.336,0.205,0.135,0.01,0.317,0.067,0.058,0.096
"P52","Buena",0.321,0.27,0.329,0.207,0.042,0.152,0.15,0.078,0.053
"P52","Ni buena ni mala",0.138,0.224,0.305,0.199,0.134,0.148,0.393,0.233,0.172
"P52","Mala",0.004,0.062,0.096,0.13,0.268,0.173,0.186,0.328,0.12
"P52","Muy mala",0.004,0.05,0.035,0.31,0.523,0.21,0.155,0.283,0.544
"P52","No sabe",0.016,0.058,0.03,0.019,0.023,0,0.049,0.02,0.015
"P53","Muy buena",0.059,0.034,0.034,0.308,0.68,0.218,0.029,0.11,0.173
"P53","Buena",0.049,0.092,0.115,0.139,0.167,0.181,0.075,0.148,0.069
"P53","Ni buena ni mala",0.228,0.277,0.246,0.139,0.029,0.166,0.239,0.122,0.184
