"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P14","De los Liberales libertarios",0.078,0.019,0.743,0.013,0.075
"P14","De la Izquierda",0.003,0.07,0.016,0.507,0.052
"P14","No sabe",0.021,0.042,0.063,0.086,0.223
"P16","A Leandro Santoro",0.518,0.692,0.765,0.706,0.609
"P16","A Matias Lammens",0.419,0.119,0.235,0.039,0.216
"P16","A Mariano Recalde",0.063,0.189,0,0.255,0.175
"P17","A Soledad Acuña",0.04,0.053,0.04,0.23,0.016
"P17","A Jorge Macri",0.337,0.148,0.257,0,0.123
"P17","A Martín Lousteau",0.203,0.234,0.268,0.378,0.59
"P17","A Fernan Quirós",0.198,0.426,0.214,0.334,0.186
"P17","A Ricardo López Murphy",0.222,0.139,0.221,0.058,0.085
"P18","Lo votaría",0.282,0.079,0.129,0.08,0.379
"P18","Puede que lo vote",0.337,0.092,0.182,0.144,0.204
"P18","Nunca lo votaría",0.302,0.74,0.613,0.695,0.254
"P18","No sabe",0.079,0.089,0.076,0.081,0.163
"P19","Lo votaría",0.038,0.716,0.053,0.195,0.162
"P19","Puede que lo vote",0.096,0.15,0.085,0.273,0.19
"P19","Nunca lo votaría",0.773,0.097,0.8,0.442,0.424
"P19","No sabe",0.093,0.037,0.062,0.09,0.224
"P20","Lo votaría",0.128,0.066,0.07,0.026,0.042
"P20","Puede que lo vote",0.395,0.057,0.166,0.133,0.158
"P20","Nunca lo votaría",0.361,0.807,0.625,0.741,0.556
"P20","No sabe",0.116,0.07,0.139,0.1,0.244
"P21","Lo votaría",0.023,0.291,0.038,0.048,0.049
"P21","Puede que lo vote",0.076,0.439,0.076,0.239,0.175
"P21","Nunca lo votaría",0.814,0.204,0.738,0.545,0.639
"P21","No sabe",0.087,0.066,0.148,0.168,0.137
"P22","Lo votaría",0.351,0.053,0.124,0.065,0.202
"P22","Puede que lo vote",0.379,0.153,0.207,0.156,0.263
"P22","Nunca lo votaría",0.193,0.706,0.571,0.649,0.335
"P22","No sabe",0.077,0.088,0.098,0.13,0.2
"P23","Lo votaría",0.533,0.013,0.122,0.028,0.135
"P23","Puede que lo vote",0.329,0.051,0.318,0.058,0.128
"P23","Nunca lo votaría",0.096,0.92,0.466,0.826,0.594
"P23","No sabe",0.042,0.016,0.094,0.088,0.143
"P24","Lo votaría",0.383,0.011,0.123,0.03,0.191
"P24","Puede que lo vote",0.366,0.031,0.157,0.068,0.189
"P24","Nunca lo votaría",0.215,0.946,0.644,0.825,0.521
"P24","No sabe",0.036,0.012,0.076,0.077,0.099
"P25","Lo votaría",0.425,0.014,0.31,0.047,0.086
"P25","Puede que lo vote",0.356,0.029,0.338,0.031,0.261
"P25","Nunca lo votaría",0.173,0.931,0.273,0.825,0.528
"P25","No sabe",0.046,0.026,0.079,0.097,0.125
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.376,0.006,0.055,0.023,0.073
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.31,0.003,0.135,0.034,0.095
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.044,0.011,0.021,0.031,0.032
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.103,0.024,0.02,0.064,0.113
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.146,0.02,0.052,0.085,0.341
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.008,0.666,0.04,0.186,0.154
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.008,0.26,0.014,0.064,0.112
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.005,0.003,0.663,0.026,0.055
"P26","A los candidatos de la izquierda",0,0.007,0,0.487,0.025
"P26","No sabe",0,0,0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.371,0.007,0.065,0.011,0.071
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.331,0.006,0.142,0.034,0.102
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.034,0.013,0.02,0.021,0.02
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.102,0.019,0.022,0.037,0.128
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.144,0.008,0.055,0.087,0.341
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.007,0.629,0.037,0.13,0.121
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.006,0.29,0.012,0.016,0.072
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.005,0,0.645,0.063,0.067
"P27","A los candidatos de la izquierda",0,0.028,0.002,0.601,0.078
"P27","No sabe",0,0,0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.455,0.011,0.054,0.016,0.07
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.105,0.008,0.013,0.016,0.052
"P28","A Martín Lousteau como Jefe de Gobierno",0.2,0.038,0.102,0.121,0.419
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.199,0.024,0.101,0.034,0.057
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.004,0.749,0.022,0.204,0.206
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.01,0.138,0.016,0.036,0.061
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.011,0.011,0.573,0.045,0.039
"P28","A los candidatos de izquierda",0.003,0.006,0.117,0.384,0.019
"P28","No sabe",0.013,0.015,0.002,0.144,0.077
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.429,0.002,0.054,0.019,0.075
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.139,0.023,0.048,0.045,0.213
"P29","A Martín Lousteau como Jefe de Gobierno",0.182,0.024,0.089,0.129,0.273
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.124,0.216,0.081,0.021,0.069
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.009,0.566,0.011,0.096,0.126
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.091,0.125,0.016,0.023,0.082
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.006,0.005,0.601,0.045,0.039
"P29","A los candidatos de izquierda",0.003,0.013,0.097,0.427,0.025
"P29","No sabe",0.017,0.026,0.003,0.195,0.098
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.197,0.011,0.03,0.024,0.123
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.547,0.01,0.12,0.049,0.124
"P30","A Martín Lousteau como Jefe de Gobierno",0.172,0.032,0.101,0.106,0.374
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.012,0.714,0.014,0.157,0.144
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.013,0.191,0.015,0.029,0.072
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.029,0.016,0.525,0.061,0.064
"P30","A los candidatos de la izquierda",0.003,0.013,0.101,0.442,0.006
"P30","No sabe",0.027,0.013,0.094,0.132,0.093
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.208,0.011,0.031,0.027,0.106
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.591,0.005,0.115,0.021,0.111
"P31","A Martín Lousteau como Jefe de Gobierno",0.142,0.024,0.086,0.099,0.39
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.008,0.722,0.011,0.065,0.1
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.006,0.205,0.029,0.032,0.086
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.019,0.011,0.566,0.063,0.055
"P31","A los candidatos de la izquierda",0.001,0.017,0.065,0.59,0.027
"P31","No sabe",0.025,0.005,0.097,0.103,0.125
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.957,0.007,0.049,0.08,0.146
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.007,0.929,0.035,0.217,0.18
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.012,0.014,0.863,0.051,0.05
"P32","A los candidatos de la izquierda",0.002,0.02,0.027,0.601,0.021
"P32","No sabe",0.022,0.03,0.026,0.051,0.603
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.764,0.01,0.065,0.052,0.241
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.007,0.951,0.026,0.197,0.153
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.117,0.011,0.881,0.052,0.04
"P34","A los candidatos de la izquierda",0.002,0.006,0.004,0.658,0.004
"P34","No sabe",0.11,0.022,0.024,0.041,0.562
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.76,0.024,0.062,0.051,0.196
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.007,0.941,0.025,0.078,0.103
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.135,0.011,0.884,0.071,0.039
"P35","A los candidatos de la izquierda",0.003,0.01,0.025,0.787,0.03
"P35","No sabe",0.095,0.014,0.004,0.013,0.632
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.762,0.024,0.064,0.066,0.364
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.006,0.944,0.024,0.205,0.187
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.131,0.006,0.891,0.042,0.037
"P36","A los candidatos de la izquierda",0.003,0.01,0.015,0.659,0.017
"P36","No sabe",0.098,0.016,0.006,0.028,0.395
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.764,0.019,0.106,0.062,0.404
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.008,0.952,0.016,0.162,0.111
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.124,0.001,0.87,0.078,0.071
"P37","A los candidatos de la izquierda",0.003,0.009,0.003,0.667,0.015
"P37","No sabe",0.101,0.019,0.005,0.031,0.399
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.736,0.083,0.062,0.046,0.233
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.057,0.858,0.043,0.15,0.169
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.128,0.015,0.879,0.095,0.057
"P38","A los candidatos de la izquierda",0.003,0.011,0.007,0.69,0.037
"P38","No sabe",0.076,0.033,0.009,0.019,0.504
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.683,0.138,0.044,0.044,0.193
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.107,0.81,0.037,0.052,0.123
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.133,0.004,0.906,0.085,0.047
"P40","A los candidatos de la izquierda",0.004,0.013,0.008,0.787,0.014
"P40","No sabe",0.073,0.035,0.005,0.032,0.623
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.708,0.093,0.088,0.059,0.235
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.052,0.871,0.028,0.15,0.189
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.148,0.006,0.875,0.084,0.091
"P42","A los candidatos de la izquierda",0.003,0.005,0.005,0.645,0.018
"P42","No sabe",0.089,0.025,0.004,0.062,0.467
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.683,0.126,0.036,0.092,0.271
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.078,0.816,0.044,0.093,0.121
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.148,0.01,0.898,0.086,0.055
"P44","A los candidatos de la izquierda",0.003,0.02,0.008,0.665,0.051
"P44","No sabe",0.088,0.028,0.014,0.064,0.502
"P46","Jorge Macri por Juntos por el Cambio",0.926,0.013,0.499,0.133,0.35
"P46","Leandro Santoro por el Frente de Todos",0.017,0.956,0.074,0.439,0.222
"P46","No sabe",0.057,0.031,0.427,0.428,0.428
"P47","Soledad Acuña por Juntos por el Cambio",0.799,0.015,0.429,0.101,0.312
"P47","Leandro Santoro por el Frente de Todos",0.019,0.954,0.099,0.446,0.255
"P47","No sabe",0.182,0.031,0.472,0.453,0.433
"P48","Fernán Quirós por Juntos por el Cambio",0.877,0.031,0.417,0.148,0.517
"P48","Leandro Santoro por el Frente de Todos",0.018,0.935,0.099,0.431,0.185
"P48","No sabe",0.105,0.034,0.484,0.421,0.298
"P49","Martín Lousteau por Juntos por el Cambio",0.797,0.033,0.441,0.179,0.572
"P49","Leandro Santoro por el Frente de Todos",0.016,0.947,0.081,0.429,0.191
"P49","No sabe",0.187,0.02,0.478,0.392,0.237
"P50","María Eugenia Vidal por Juntos por el Cambio",0.839,0.016,0.385,0.124,0.372
"P50","Leandro Santoro por el Frente de Todos",0.017,0.953,0.103,0.459,0.262
"P50","No sabe",0.144,0.031,0.512,0.417,0.366
"P51","Muy buena",0.373,0.082,0.107,0.037,0.131
"P51","Buena",0.401,0.087,0.266,0.08,0.301
"P51","Ni buena ni mala",0.135,0.102,0.26,0.169,0.34
"P51","Mala",0.053,0.266,0.188,0.289,0.119
"P51","Muy mala",0.027,0.458,0.171,0.414,0.091
"P51","No sabe",0.011,0.005,0.008,0.011,0.018
"P52","Muy buena",0.437,0.025,0.074,0.042,0.069
"P52","Buena",0.337,0.031,0.198,0.005,0.165
"P52","Ni buena ni mala",0.181,0.14,0.378,0.141,0.331
"P52","Mala",0.022,0.244,0.162,0.348,0.221
"P52","Muy mala",0.012,0.532,0.137,0.441,0.157
"P52","No sabe",0.011,0.028,0.051,0.023,0.057
"P53","Muy buena",0.048,0.606,0.052,0.132,0.143
"P53","Buena",0.062,0.209,0.081,0.138,0.105
"P53","Ni buena ni mala",0.233,0.048,0.22,0.136,0.269
"P53","Mala",0.27,0.03,0.284,0.245,0.172
"P53","Muy mala",0.346,0.093,0.345,0.305,0.154
"P53","No sabe",0.041,0.014,0.018,0.044,0.157
"P54","Muy buena",0.347,0.073,0.091,0.024,0.158
"P54","Buena",0.346,0.011,0.16,0.042,0.21
"P54","Ni buena ni mala",0.171,0.028,0.235,0.127,0.257
"P54","Mala",0.079,0.152,0.209,0.199,0.13
"P54","Muy mala",0.057,0.729,0.301,0.608,0.196
"P54","No sabe",0,0.007,0.004,0,0.049
"P55","Muy buena",0.267,0.012,0.077,0,0.092
"P55","Buena",0.365,0.014,0.165,0.025,0.126
"P55","Ni buena ni mala",0.251,0.06,0.317,0.169,0.322
"P55","Mala",0.068,0.112,0.174,0.148,0.143
"P55","Muy mala",0.019,0.785,0.157,0.603,0.173
"P55","No sabe",0.03,0.017,0.11,0.055,0.144
"P56","Muy buena",0.269,0.011,0.116,0.076,0.333
"P56","Buena",0.291,0.045,0.137,0.064,0.18
"P56","Ni buena ni mala",0.232,0.139,0.261,0.172,0.217
"P56","Mala",0.132,0.33,0.206,0.292,0.087
"P56","Muy mala",0.066,0.471,0.268,0.362,0.103
"P56","No sabe",0.01,0.004,0.012,0.034,0.08
"P57","Muy buena",0.042,0.211,0.057,0.067,0.114
"P57","Buena",0.055,0.392,0.057,0.04,0.059
"P57","Ni buena ni mala",0.192,0.22,0.189,0.335,0.274
"P57","Mala",0.284,0.05,0.254,0.263,0.289
"P57","Muy mala",0.392,0.117,0.375,0.251,0.131
"P57","No sabe",0.035,0.01,0.068,0.044,0.133
"P58","Muy buena",0.511,0.017,0.266,0.033,0.102
"P58","Buena",0.253,0.042,0.271,0.022,0.157
"P58","Ni buena ni mala",0.155,0.102,0.253,0.156,0.331
"P58","Mala",0.036,0.116,0.075,0.165,0.122
"P58","Muy mala",0.035,0.722,0.124,0.624,0.176
"P58","No sabe",0.01,0.001,0.011,0,0.112
"P59","Muy buena",0.604,0.04,0.188,0.085,0.309
"P59","Buena",0.234,0.13,0.198,0.063,0.193
"P59","Ni buena ni mala",0.126,0.283,0.324,0.207,0.273
"P59","Mala",0.014,0.188,0.131,0.226,0.076
"P59","Muy mala",0.007,0.341,0.116,0.397,0.023
"P59","No sabe",0.015,0.018,0.043,0.022,0.126
"P60","Muy buena",0.049,0.34,0.058,0.069,0.112
"P60","Buena",0.028,0.326,0.039,0.15,0.083
"P60","Ni buena ni mala",0.125,0.148,0.201,0.317,0.206
"P60","Mala",0.256,0.043,0.193,0.123,0.201
"P60","Muy mala",0.491,0.101,0.387,0.285,0.255
"P60","No sabe",0.051,0.042,0.122,0.056,0.143
"P61","Muy buena",0.012,0.189,0.023,0.068,0.025
"P61","Buena",0.012,0.142,0.011,0.071,0.015
"P61","Ni buena ni mala",0.152,0.328,0.212,0.316,0.268
"P61","Mala",0.168,0.03,0.156,0.141,0.114
"P61","Muy mala",0.337,0.082,0.34,0.213,0.143
"P61","No sabe",0.319,0.229,0.258,0.191,0.435
"P62","Muy buena",0.008,0.16,0.026,0.011,0.007
"P62","Buena",0.008,0.464,0.004,0.074,0.067
"P62","Ni buena ni mala",0.027,0.279,0.057,0.168,0.146
"P62","Mala",0.122,0.052,0.143,0.414,0.191
"P62","Muy mala",0.815,0.032,0.751,0.333,0.507
"P62","No sabe",0.02,0.013,0.019,0,0.082
"P63","Muy buena",0.007,0.135,0.032,0.019,0.007
"P63","Buena",0.005,0.434,0,0.08,0.078
"P63","Ni buena ni mala",0.018,0.299,0.029,0.193,0.122
"P63","Mala",0.111,0.095,0.156,0.373,0.189
"P63","Muy mala",0.858,0.032,0.773,0.335,0.573
"P63","No sabe",0.001,0.005,0.01,0,0.031
"P64","Muy buena",0.002,0.738,0.048,0.163,0.163
"P64","Buena",0.004,0.142,0.029,0.222,0.057
"P64","Ni buena ni mala",0.011,0.069,0.014,0.071,0.03
"P64","Mala",0.067,0.017,0.109,0.219,0.115
"P64","Muy mala",0.913,0.034,0.788,0.325,0.619
"P64","No sabe",0.003,0,0.012,0,0.016
"P65","Muy buena",0.452,0.097,0.112,0.005,0.098
"P65","Buena",0.279,0.023,0.221,0.032,0.154
"P65","Ni buena ni mala",0.133,0.026,0.218,0.033,0.183
"P65","Mala",0.042,0.076,0.221,0.14,0.229
"P65","Muy mala",0.093,0.777,0.224,0.79,0.329
"P65","No sabe",0.001,0.001,0.004,0,0.007
"P66","Muy buena",0.264,0.04,0.069,0.037,0.129
"P66","Buena",0.38,0.019,0.13,0.062,0.245
"P66","Ni buena ni mala",0.193,0.049,0.193,0.114,0.284
"P66","Mala",0.087,0.175,0.269,0.07,0.174
"P66","Muy mala",0.074,0.717,0.335,0.717,0.161
"P66","No sabe",0.002,0,0.004,0,0.007
"P67","Muy buena",0.022,0.15,0.041,0.013,0.074
"P67","Buena",0.042,0.437,0.05,0.128,0.12
"P67","Ni buena ni mala",0.061,0.232,0.067,0.128,0.227
"P67","Mala",0.186,0.052,0.271,0.397,0.211
"P67","Muy mala",0.683,0.125,0.567,0.334,0.309
"P67","No sabe",0.006,0.004,0.004,0,0.059
"P68","Muy buena",0.658,0.028,0.276,0.037,0.147
"P68","Buena",0.196,0.051,0.345,0.011,0.161
"P68","Ni buena ni mala",0.053,0.034,0.154,0.097,0.256
"P68","Mala",0.022,0.078,0.062,0.126,0.16
"P68","Muy mala",0.067,0.806,0.157,0.729,0.226
"P68","No sabe",0.004,0.003,0.006,0,0.05
"P69","Muy buena",0.118,0.019,0.664,0.036,0.068
"P69","Buena",0.176,0.007,0.225,0,0.074
"P69","Ni buena ni mala",0.371,0.032,0.064,0.082,0.23
"P69","Mala",0.2,0.058,0.008,0.068,0.182
"P69","Muy mala",0.117,0.878,0.039,0.806,0.365
"P69","No sabe",0.018,0.006,0,0.008,0.081
"P70","Muy buena",0.063,0.044,0.147,0.023,0.12
"P70","Buena",0.165,0.085,0.107,0.061,0.215
"P70","Ni buena ni mala",0.391,0.351,0.323,0.21,0.303
"P70","Mala",0.201,0.172,0.17,0.137,0.131
"P70","Muy mala",0.162,0.318,0.186,0.508,0.101
"P70","No sabe",0.018,0.03,0.067,0.061,0.13
"P71","Siempre",0.352,0.28,0.29,0.278,0.255
"P71","Casi siempre",0.436,0.417,0.391,0.428,0.395
"P71","Casi nunca",0.151,0.199,0.229,0.125,0.246
"P71","Nunca, pero esta es una excepción",0.061,0.104,0.09,0.169,0.104
"P72","Si",0.612,0.536,0.573,0.647,0.502
"P72","No",0.388,0.464,0.427,0.353,0.498
